,BGN IM Equity
,RETURN_COM_EQY
2010-01-01,27.912
2010-01-02,27.912
2010-01-03,27.912
2010-01-04,27.912
2010-01-05,27.912
2010-01-06,27.912
2010-01-07,27.912
2010-01-08,27.912
2010-01-09,27.912
2010-01-10,27.912
2010-01-11,27.912
2010-01-12,27.912
2010-01-13,27.912
2010-01-14,27.912
2010-01-15,27.912
2010-01-16,27.912
2010-01-17,27.912
2010-01-18,27.912
2010-01-19,27.912
2010-01-20,27.912
2010-01-21,27.912
2010-01-22,27.912
2010-01-23,27.912
2010-01-24,27.912
2010-01-25,27.912
2010-01-26,27.912
2010-01-27,27.912
2010-01-28,27.912
2010-01-29,27.912
2010-01-30,27.912
2010-01-31,27.912
2010-02-01,27.912
2010-02-02,27.912
2010-02-03,27.912
2010-02-04,27.912
2010-02-05,27.912
2010-02-06,27.912
2010-02-07,27.912
2010-02-08,27.912
2010-02-09,27.912
2010-02-10,27.912
2010-02-11,27.912
2010-02-12,27.912
2010-02-13,27.912
2010-02-14,27.912
2010-02-15,27.912
2010-02-16,27.912
2010-02-17,27.912
2010-02-18,27.912
2010-02-19,27.912
2010-02-20,27.912
2010-02-21,27.912
2010-02-22,27.912
2010-02-23,27.912
2010-02-24,27.912
2010-02-25,27.912
2010-02-26,27.912
2010-02-27,27.912
2010-02-28,27.912
2010-03-01,27.912
2010-03-02,27.912
2010-03-03,27.912
2010-03-04,27.912
2010-03-05,27.912
2010-03-06,27.912
2010-03-07,27.912
2010-03-08,27.912
2010-03-09,27.912
2010-03-10,27.912
2010-03-11,27.912
2010-03-12,27.912
2010-03-13,27.912
2010-03-14,27.912
2010-03-15,27.912
2010-03-16,27.912
2010-03-17,27.912
2010-03-18,27.912
2010-03-19,27.912
2010-03-20,27.912
2010-03-21,27.912
2010-03-22,27.912
2010-03-23,27.912
2010-03-24,27.912
2010-03-25,27.912
2010-03-26,27.912
2010-03-27,27.912
2010-03-28,27.912
2010-03-29,27.912
2010-03-30,27.912
2010-03-31,28.1818
2010-04-01,28.1818
2010-04-02,28.1818
2010-04-03,28.1818
2010-04-04,28.1818
2010-04-05,28.1818
2010-04-06,28.1818
2010-04-07,28.1818
2010-04-08,28.1818
2010-04-09,28.1818
2010-04-10,28.1818
2010-04-11,28.1818
2010-04-12,28.1818
2010-04-13,28.1818
2010-04-14,28.1818
2010-04-15,28.1818
2010-04-16,28.1818
2010-04-17,28.1818
2010-04-18,28.1818
2010-04-19,28.1818
2010-04-20,28.1818
2010-04-21,28.1818
2010-04-22,28.1818
2010-04-23,28.1818
2010-04-24,28.1818
2010-04-25,28.1818
2010-04-26,28.1818
2010-04-27,28.1818
2010-04-28,28.1818
2010-04-29,28.1818
2010-04-30,28.1818
2010-05-01,28.1818
2010-05-02,28.1818
2010-05-03,28.1818
2010-05-04,28.1818
2010-05-05,28.1818
2010-05-06,28.1818
2010-05-07,28.1818
2010-05-08,28.1818
2010-05-09,28.1818
2010-05-10,28.1818
2010-05-11,28.1818
2010-05-12,28.1818
2010-05-13,28.1818
2010-05-14,28.1818
2010-05-15,28.1818
2010-05-16,28.1818
2010-05-17,28.1818
2010-05-18,28.1818
2010-05-19,28.1818
2010-05-20,28.1818
2010-05-21,28.1818
2010-05-22,28.1818
2010-05-23,28.1818
2010-05-24,28.1818
2010-05-25,28.1818
2010-05-26,28.1818
2010-05-27,28.1818
2010-05-28,28.1818
2010-05-29,28.1818
2010-05-30,28.1818
2010-05-31,28.1818
2010-06-01,28.1818
2010-06-02,28.1818
2010-06-03,28.1818
2010-06-04,28.1818
2010-06-05,28.1818
2010-06-06,28.1818
2010-06-07,28.1818
2010-06-08,28.1818
2010-06-09,28.1818
2010-06-10,28.1818
2010-06-11,28.1818
2010-06-12,28.1818
2010-06-13,28.1818
2010-06-14,28.1818
2010-06-15,28.1818
2010-06-16,28.1818
2010-06-17,28.1818
2010-06-18,28.1818
2010-06-19,28.1818
2010-06-20,28.1818
2010-06-21,28.1818
2010-06-22,28.1818
2010-06-23,28.1818
2010-06-24,28.1818
2010-06-25,28.1818
2010-06-26,28.1818
2010-06-27,28.1818
2010-06-28,28.1818
2010-06-29,28.1818
2010-06-30,35.6302
2010-07-01,35.6302
2010-07-02,35.6302
2010-07-03,35.6302
2010-07-04,35.6302
2010-07-05,35.6302
2010-07-06,35.6302
2010-07-07,35.6302
2010-07-08,35.6302
2010-07-09,35.6302
2010-07-10,35.6302
2010-07-11,35.6302
2010-07-12,35.6302
2010-07-13,35.6302
2010-07-14,35.6302
2010-07-15,35.6302
2010-07-16,35.6302
2010-07-17,35.6302
2010-07-18,35.6302
2010-07-19,35.6302
2010-07-20,35.6302
2010-07-21,35.6302
2010-07-22,35.6302
2010-07-23,35.6302
2010-07-24,35.6302
2010-07-25,35.6302
2010-07-26,35.6302
2010-07-27,35.6302
2010-07-28,35.6302
2010-07-29,35.6302
2010-07-30,35.6302
2010-07-31,35.6302
2010-08-01,35.6302
2010-08-02,35.6302
2010-08-03,35.6302
2010-08-04,35.6302
2010-08-05,35.6302
2010-08-06,35.6302
2010-08-07,35.6302
2010-08-08,35.6302
2010-08-09,35.6302
2010-08-10,35.6302
2010-08-11,35.6302
2010-08-12,35.6302
2010-08-13,35.6302
2010-08-14,35.6302
2010-08-15,35.6302
2010-08-16,35.6302
2010-08-17,35.6302
2010-08-18,35.6302
2010-08-19,35.6302
2010-08-20,35.6302
2010-08-21,35.6302
2010-08-22,35.6302
2010-08-23,35.6302
2010-08-24,35.6302
2010-08-25,35.6302
2010-08-26,35.6302
2010-08-27,35.6302
2010-08-28,35.6302
2010-08-29,35.6302
2010-08-30,35.6302
2010-08-31,35.6302
2010-09-01,35.6302
2010-09-02,35.6302
2010-09-03,35.6302
2010-09-04,35.6302
2010-09-05,35.6302
2010-09-06,35.6302
2010-09-07,35.6302
2010-09-08,35.6302
2010-09-09,35.6302
2010-09-10,35.6302
2010-09-11,35.6302
2010-09-12,35.6302
2010-09-13,35.6302
2010-09-14,35.6302
2010-09-15,35.6302
2010-09-16,35.6302
2010-09-17,35.6302
2010-09-18,35.6302
2010-09-19,35.6302
2010-09-20,35.6302
2010-09-21,35.6302
2010-09-22,35.6302
2010-09-23,35.6302
2010-09-24,35.6302
2010-09-25,35.6302
2010-09-26,35.6302
2010-09-27,35.6302
2010-09-28,35.6302
2010-09-29,35.6302
2010-09-30,30.5076
2010-10-01,30.5076
2010-10-02,30.5076
2010-10-03,30.5076
2010-10-04,30.5076
2010-10-05,30.5076
2010-10-06,30.5076
2010-10-07,30.5076
2010-10-08,30.5076
2010-10-09,30.5076
2010-10-10,30.5076
2010-10-11,30.5076
2010-10-12,30.5076
2010-10-13,30.5076
2010-10-14,30.5076
2010-10-15,30.5076
2010-10-16,30.5076
2010-10-17,30.5076
2010-10-18,30.5076
2010-10-19,30.5076
2010-10-20,30.5076
2010-10-21,30.5076
2010-10-22,30.5076
2010-10-23,30.5076
2010-10-24,30.5076
2010-10-25,30.5076
2010-10-26,30.5076
2010-10-27,30.5076
2010-10-28,30.5076
2010-10-29,30.5076
2010-10-30,30.5076
2010-10-31,30.5076
2010-11-01,30.5076
2010-11-02,30.5076
2010-11-03,30.5076
2010-11-04,30.5076
2010-11-05,30.5076
2010-11-06,30.5076
2010-11-07,30.5076
2010-11-08,30.5076
2010-11-09,30.5076
2010-11-10,30.5076
2010-11-11,30.5076
2010-11-12,30.5076
2010-11-13,30.5076
2010-11-14,30.5076
2010-11-15,30.5076
2010-11-16,30.5076
2010-11-17,30.5076
2010-11-18,30.5076
2010-11-19,30.5076
2010-11-20,30.5076
2010-11-21,30.5076
2010-11-22,30.5076
2010-11-23,30.5076
2010-11-24,30.5076
2010-11-25,30.5076
2010-11-26,30.5076
2010-11-27,30.5076
2010-11-28,30.5076
2010-11-29,30.5076
2010-11-30,30.5076
2010-12-01,30.5076
2010-12-02,30.5076
2010-12-03,30.5076
2010-12-04,30.5076
2010-12-05,30.5076
2010-12-06,30.5076
2010-12-07,30.5076
2010-12-08,30.5076
2010-12-09,30.5076
2010-12-10,30.5076
2010-12-11,30.5076
2010-12-12,30.5076
2010-12-13,30.5076
2010-12-14,30.5076
2010-12-15,30.5076
2010-12-16,30.5076
2010-12-17,30.5076
2010-12-18,30.5076
2010-12-19,30.5076
2010-12-20,30.5076
2010-12-21,30.5076
2010-12-22,30.5076
2010-12-23,30.5076
2010-12-24,30.5076
2010-12-25,30.5076
2010-12-26,30.5076
2010-12-27,30.5076
2010-12-28,30.5076
2010-12-29,30.5076
2010-12-30,30.5076
2010-12-31,30.526
2011-01-01,30.526
2011-01-02,30.526
2011-01-03,30.526
2011-01-04,30.526
2011-01-05,30.526
2011-01-06,30.526
2011-01-07,30.526
2011-01-08,30.526
2011-01-09,30.526
2011-01-10,30.526
2011-01-11,30.526
2011-01-12,30.526
2011-01-13,30.526
2011-01-14,30.526
2011-01-15,30.526
2011-01-16,30.526
2011-01-17,30.526
2011-01-18,30.526
2011-01-19,30.526
2011-01-20,30.526
2011-01-21,30.526
2011-01-22,30.526
2011-01-23,30.526
2011-01-24,30.526
2011-01-25,30.526
2011-01-26,30.526
2011-01-27,30.526
2011-01-28,30.526
2011-01-29,30.526
2011-01-30,30.526
2011-01-31,30.526
2011-02-01,30.526
2011-02-02,30.526
2011-02-03,30.526
2011-02-04,30.526
2011-02-05,30.526
2011-02-06,30.526
2011-02-07,30.526
2011-02-08,30.526
2011-02-09,30.526
2011-02-10,30.526
2011-02-11,30.526
2011-02-12,30.526
