,GTII CN Equity
2020-12-29,98.9022
2020-12-30,98.0876
2020-12-31,51.2719
2021-01-01,51.2719
2021-01-02,51.2719
2021-01-03,51.2719
2021-01-04,52.2025
2021-01-05,52.9516
2021-01-06,56.7313
2021-01-07,57.9173
2021-01-08,57.1488
2021-01-09,57.1488
2021-01-10,57.1488
2021-01-11,60.8634
2021-01-12,60.6109
2021-01-13,62.5101
2021-01-14,62.6559
2021-01-15,59.0258
2021-01-16,59.0258
2021-01-17,59.0258
2021-01-18,59.8609
2021-01-19,60.4678
2021-01-20,61.4296
2021-01-21,62.9282
2021-01-22,64.1572
2021-01-23,64.1572
2021-01-24,64.1572
2021-01-25,61.5712
2021-01-26,55.701
2021-01-27,53.1765
2021-01-28,58.6802
2021-01-29,60.5063
2021-01-30,60.5063
2021-01-31,60.5063
2021-02-01,62.8365
2021-02-02,66.7144
2021-02-03,66.9123
2021-02-04,69.0331
2021-02-05,68.8743
2021-02-06,68.8743
2021-02-07,68.8743
2021-02-08,70.4998
2021-02-09,74.3509
2021-02-10,79.8275
2021-02-11,76.0821
2021-02-12,75.8352
2021-02-13,75.8352
2021-02-14,75.8352
2021-02-15,75.8352
2021-02-16,76.6655
2021-02-17,75.4483
2021-02-18,73.705
2021-02-19,76.8533
2021-02-20,76.8533
2021-02-21,76.8533
2021-02-22,74.1288
2021-02-23,72.8546
2021-02-24,72.7406
2021-02-25,69.1494
2021-02-26,68.327
2021-02-27,68.327
2021-02-28,68.327
2021-03-01,71.7644
2021-03-02,75.9641
2021-03-03,76.5154
2021-03-04,69.8541
2021-03-05,69.3299
2021-03-06,69.3299
2021-03-07,69.3299
2021-03-08,64.5892
2021-03-09,67.1515
2021-03-10,65.9516
2021-03-11,70.149
2021-03-12,73.3511
2021-03-13,73.3511
2021-03-14,73.3511
2021-03-15,75.4602
2021-03-16,74.8753
2021-03-17,75.7366
2021-03-18,75.3582
2021-03-19,74.0326
2021-03-20,74.0326
2021-03-21,74.0326
2021-03-22,72.624
2021-03-23,66.5033
2021-03-24,67.8155
2021-03-25,65.7812
2021-03-26,65.693
2021-03-27,65.693
2021-03-28,65.693
2021-03-29,61.7623
2021-03-30,55.0835
2021-03-31,43.8571
2021-04-01,42.8197
2021-04-02,42.8197
2021-04-03,42.8197
2021-04-04,42.8197
2021-04-05,43.1183
2021-04-06,41.1259
2021-04-07,40.3713
2021-04-08,39.7804
2021-04-09,41.8172
2021-04-10,41.8172
2021-04-11,41.8172
2021-04-12,42.1604
2021-04-13,43.2376
2021-04-14,43.5147
2021-04-15,43.3425
2021-04-16,41.6685
2021-04-17,41.6685
2021-04-18,41.6685
2021-04-19,40.2472
2021-04-20,39.8671
2021-04-21,41.9849
2021-04-22,41.4569
2021-04-23,41.3839
2021-04-24,41.3839
2021-04-25,41.3839
2021-04-26,42.2756
2021-04-27,44.367
2021-04-28,45.2388
2021-04-29,44.2091
2021-04-30,47.1999
2021-05-01,47.1999
2021-05-02,47.1999
2021-05-03,46.8019
2021-05-04,45.8207
2021-05-05,46.9148
2021-05-06,45.9731
2021-05-07,46.5607
2021-05-08,46.5607
2021-05-09,46.5607
2021-05-10,44.2047
2021-05-11,44.7465
2021-05-12,43.8763
2021-05-13,41.3518
2021-05-14,43.0382
2021-05-15,43.0382
2021-05-16,43.0382
2021-05-17,42.8523
2021-05-18,42.4517
2021-05-19,40.2273
2021-05-20,40.2082
2021-05-21,40.3692
2021-05-22,40.3692
2021-05-23,40.3692
2021-05-24,40.3692
2021-05-25,42.7207
2021-05-26,43.3387
2021-05-27,43.7439
2021-05-28,43.2419
2021-05-29,43.2419
2021-05-30,43.2419
2021-05-31,43.876
2021-06-01,43.8408
2021-06-02,44.0363
2021-06-03,43.6598
2021-06-04,43.7162
2021-06-05,43.7162
2021-06-06,43.7162
2021-06-07,44.3138
2021-06-08,43.5789
2021-06-09,42.2037
2021-06-10,43.1935
2021-06-11,44.1189
2021-06-12,44.1189
2021-06-13,44.1189
2021-06-14,44.4481
2021-06-15,43.2814
2021-06-16,43.793
2021-06-17,42.7803
2021-06-18,41.7157
2021-06-19,41.7157
2021-06-20,41.7157
2021-06-21,43.1853
2021-06-22,42.8077
2021-06-23,44.3885
2021-06-24,46.4138
2021-06-25,46.9954
2021-06-26,46.9954
2021-06-27,46.9954
2021-06-28,47.8161
2021-06-29,47.2573
2021-06-30,38.8137
2021-07-01,38.8137
2021-07-02,38.8658
2021-07-03,38.8658
2021-07-04,38.8658
2021-07-05,39.1291
2021-07-06,38.6465
2021-07-07,38.8346
2021-07-08,38.5449
2021-07-09,39.6253
2021-07-10,39.6253
2021-07-11,39.6253
2021-07-12,38.6865
2021-07-13,39.5113
2021-07-14,37.0271
2021-07-15,36.9838
2021-07-16,36.3918
2021-07-17,36.3918
2021-07-18,36.3918
2021-07-19,34.7462
2021-07-20,35.5164
2021-07-21,36.1024
2021-07-22,36.7366
2021-07-23,35.9034
2021-07-24,35.9034
2021-07-25,35.9034
2021-07-26,35.9079
2021-07-27,34.4856
2021-07-28,34.6247
2021-07-29,34.4822
2021-07-30,34.9803
2021-07-31,34.9803
2021-08-01,34.9803
2021-08-02,34.9803
2021-08-03,37.347
2021-08-04,37.3242
2021-08-05,39.066
2021-08-06,38.9183
2021-08-07,38.9183
2021-08-08,38.9183
2021-08-09,39.5174
2021-08-10,39.7025
2021-08-11,37.6716
2021-08-12,39.098
2021-08-13,38.1061
2021-08-14,38.1061
2021-08-15,38.1061
2021-08-16,37.1163
2021-08-17,36.1428
2021-08-18,36.6318
2021-08-19,35.5673
2021-08-20,34.1946
2021-08-21,34.1946
2021-08-22,34.1946
2021-08-23,34.8401
2021-08-24,36.4949
2021-08-25,36.4496
2021-08-26,36.5118
2021-08-27,36.6991
2021-08-28,36.6991
2021-08-29,36.6991
2021-08-30,35.9941
2021-08-31,36.3745
2021-09-01,35.9217
2021-09-02,35.0935
2021-09-03,35.785
2021-09-04,35.785
2021-09-05,35.785
2021-09-06,35.785
2021-09-07,34.9578
2021-09-08,33.6822
2021-09-09,32.1446
2021-09-10,30.8893
2021-09-11,30.8893
2021-09-12,30.8893
2021-09-13,31.7176
2021-09-14,31.015
2021-09-15,33.3925
2021-09-16,33.2446
2021-09-17,32.2483
2021-09-18,32.2483
2021-09-19,32.2483
2021-09-20,30.8645
2021-09-21,32.4539
2021-09-22,32.7429
2021-09-23,32.723
2021-09-24,34.0817
2021-09-25,34.0817
2021-09-26,34.0817
2021-09-27,34.9271
2021-09-28,33.8023
2021-09-29,33.113
2021-09-30,30.5036
2021-10-01,30.8223
2021-10-02,30.8223
2021-10-03,30.8223
2021-10-04,29.4984
2021-10-05,30.1173
2021-10-06,29.2766
2021-10-07,29.3639
2021-10-08,28.5502
2021-10-09,28.5502
2021-10-10,28.5502
2021-10-11,28.5502
2021-10-12,28.7261
2021-10-13,27.9282
2021-10-14,27.2064
2021-10-15,26.6572
2021-10-16,26.6572
2021-10-17,26.6572
2021-10-18,25.6932
2021-10-19,26.837
2021-10-20,27.1296
2021-10-21,26.9552
2021-10-22,26.1292
2021-10-23,26.1292
2021-10-24,26.1292
2021-10-25,25.3742
2021-10-26,24.921
2021-10-27,23.352
2021-10-28,22.6087
2021-10-29,23.0236
2021-10-30,23.0236
2021-10-31,23.0236
2021-11-01,23.2166
2021-11-02,22.3493
2021-11-03,22.0177
2021-11-04,20.8673
2021-11-05,23.7205
2021-11-06,23.7205
2021-11-07,23.7205
2021-11-08,24.9872
2021-11-09,25.1519
2021-11-10,24.5791
2021-11-11,28.1206
2021-11-12,30.2454
2021-11-13,30.2454
2021-11-14,30.2454
2021-11-15,27.0903
2021-11-16,25.5244
2021-11-17,25.4984
2021-11-18,24.5212
2021-11-19,24.5229
2021-11-20,24.5229
2021-11-21,24.5229
2021-11-22,23.435
2021-11-23,24.8887
2021-11-24,25.7004
2021-11-25,26.2606
2021-11-26,25.6533
2021-11-27,25.6533
2021-11-28,25.6533
2021-11-29,24.4732
2021-11-30,23.8554
2021-12-01,22.2067
2021-12-02,23.3871
2021-12-03,23.1158
2021-12-04,23.1158
2021-12-05,23.1158
2021-12-06,21.7853
2021-12-07,21.9398
2021-12-08,24.4967
2021-12-09,24.5379
2021-12-10,24.6704
2021-12-11,24.6704
2021-12-12,24.6704
2021-12-13,23.3505
2021-12-14,22.3975
2021-12-15,22.1999
2021-12-16,21.8577
2021-12-17,21.831
2021-12-18,21.831
2021-12-19,21.831
2021-12-20,21.0162
2021-12-21,20.9255
2021-12-22,22.0484
2021-12-23,23.1085
2021-12-24,23.085
2021-12-25,23.085
2021-12-26,23.085
2021-12-27,23.085
2021-12-28,23.085
2021-12-29,23.8852
2021-12-30,23.9656
2021-12-31,24.5022
2022-01-01,24.5022
2022-01-02,24.5022
2022-01-03,24.5022
2022-01-04,23.6465
2022-01-05,22.514
2022-01-06,22.5949
2022-01-07,23.2093
2022-01-08,23.2093
2022-01-09,23.2093
2022-01-10,23.0415
2022-01-11,23.151
2022-01-12,23.0454
2022-01-13,22.3074
2022-01-14,22.6451
2022-01-15,22.6451
2022-01-16,22.6451
2022-01-17,23.306
2022-01-18,23.1195
2022-01-19,23.799
2022-01-20,22.422
2022-01-21,21.6737
2022-01-22,21.6737
2022-01-23,21.6737
2022-01-24,21.4582
2022-01-25,21.1279
2022-01-26,21.1494
2022-01-27,20.0173
2022-01-28,19.6783
2022-01-29,19.6783
2022-01-30,19.6783
2022-01-31,20.3286
2022-02-01,21.3153
2022-02-02,20.6139
2022-02-03,19.8893
2022-02-04,21.2242
2022-02-05,21.2242
2022-02-06,21.2242
2022-02-07,21.8324
2022-02-08,21.9984
2022-02-09,23.2424
2022-02-10,23.0331
2022-02-11,23.4448
2022-02-12,23.4448
2022-02-13,23.4448
2022-02-14,23.9778
2022-02-15,24.8194
2022-02-16,24.9434
2022-02-17,24.6368
2022-02-18,24.0647
2022-02-19,24.0647
2022-02-20,24.0647
2022-02-21,24.0647
2022-02-22,23.1292
2022-02-23,22.4125
2022-02-24,22.4799
2022-02-25,21.6608
2022-02-26,21.6608
2022-02-27,21.6608
2022-02-28,22.507
2022-03-01,21.3101
2022-03-02,20.3382
2022-03-03,19.8555
2022-03-04,18.983
2022-03-05,18.983
2022-03-06,18.983
2022-03-07,17.6273
2022-03-08,17.924
2022-03-09,18.2643
2022-03-10,18.4716
2022-03-11,18.1208
2022-03-12,18.1208
2022-03-13,18.1208
2022-03-14,17.7695
2022-03-15,18.6256
2022-03-16,19.648
2022-03-17,19.9812
2022-03-18,20.7453
2022-03-19,20.7453
2022-03-20,20.7453
2022-03-21,20.939
2022-03-22,20.5144
2022-03-23,19.9942
2022-03-24,19.8617
2022-03-25,20.1646
2022-03-26,20.1646
2022-03-27,20.1646
2022-03-28,19.8967
2022-03-29,20.0606
2022-03-30,20.7601
2022-03-31,21.5609
2022-04-01,21.825
2022-04-02,21.825
2022-04-03,21.825
2022-04-04,21.5437
2022-04-05,21.5418
2022-04-06,20.797
2022-04-07,20.3845
2022-04-08,20.316
2022-04-09,20.316
2022-04-10,20.316
2022-04-11,19.8047
2022-04-12,19.0595
2022-04-13,19.2777
2022-04-14,19.19
2022-04-15,19.19
2022-04-16,19.19
2022-04-17,19.19
2022-04-18,18.7109
2022-04-19,19.1386
2022-04-20,19.0243
2022-04-21,18.7232
2022-04-22,18.2692
2022-04-23,18.2692
2022-04-24,18.2692
2022-04-25,18.1242
2022-04-26,18.2607
2022-04-27,16.8163
2022-04-28,17.3052
2022-04-29,16.3602
2022-04-30,16.3602
2022-05-01,16.3602
2022-05-02,16.0177
2022-05-03,15.2054
2022-05-04,14.9961
2022-05-05,14.1462
2022-05-06,15.3599
2022-05-07,15.3599
2022-05-08,15.3599
2022-05-09,14.216
2022-05-10,13.8047
2022-05-11,13.873
2022-05-12,14.6315
2022-05-13,15.3507
2022-05-14,15.3507
2022-05-15,15.3507
2022-05-16,14.9429
2022-05-17,14.2521
2022-05-18,13.8203
2022-05-19,14.3515
2022-05-20,15.2274
2022-05-21,15.2274
2022-05-22,15.2274
2022-05-23,15.2274
2022-05-24,14.2293
2022-05-25,13.9713
2022-05-26,13.7452
2022-05-27,13.3994
2022-05-28,13.3994
2022-05-29,13.3994
2022-05-30,13.8309
2022-05-31,13.3577
2022-06-01,13.0804
2022-06-02,13.4408
2022-06-03,13.1508
2022-06-04,13.1508
2022-06-05,13.1508
2022-06-06,13.4483
2022-06-07,13.5624
2022-06-08,13.4336
2022-06-09,13.3459
2022-06-10,13.0998
2022-06-11,13.0998
2022-06-12,13.0998
2022-06-13,12.1813
2022-06-14,11.4591
2022-06-15,11.3988
2022-06-16,11.0996
2022-06-17,10.9165
2022-06-18,10.9165
2022-06-19,10.9165
2022-06-20,11.178
2022-06-21,10.8117
2022-06-22,10.6301
2022-06-23,10.3311
2022-06-24,10.3999
2022-06-25,10.3999
2022-06-26,10.3999
2022-06-27,10.7325
2022-06-28,10.5118
2022-06-29,10.0306
2022-06-30,9.8411
2022-07-01,9.8411
2022-07-02,9.8411
2022-07-03,9.8411
2022-07-04,9.9874
2022-07-05,10.7923
2022-07-06,11.0352
2022-07-07,11.2618
2022-07-08,11.0526
2022-07-09,11.0526
2022-07-10,11.0526
2022-07-11,10.8287
2022-07-12,10.8808
2022-07-13,10.9751
2022-07-14,11.2908
2022-07-15,11.2265
2022-07-16,11.2265
2022-07-17,11.2265
2022-07-18,11.5343
2022-07-19,11.5809
2022-07-20,11.835
2022-07-21,12.2888
2022-07-22,12.2436
2022-07-23,12.2436
2022-07-24,12.2436
2022-07-25,12.0003
2022-07-26,11.5108
2022-07-27,11.1682
2022-07-28,10.989
2022-07-29,11.0523
2022-07-30,11.0523
2022-07-31,11.0523
2022-08-01,11.0523
2022-08-02,11.615
2022-08-03,11.6699
2022-08-04,11.2899
2022-08-05,11.8777
2022-08-06,11.8777
2022-08-07,11.8777
2022-08-08,12.0441
2022-08-09,12.035
2022-08-10,12.3199
2022-08-11,12.7899
2022-08-12,13.0451
2022-08-13,13.0451
2022-08-14,13.0451
2022-08-15,12.9448
2022-08-16,13.018
2022-08-17,12.3654
2022-08-18,12.9107
2022-08-19,12.8987
2022-08-20,12.8987
2022-08-21,12.8987
2022-08-22,13.0565
2022-08-23,13.4577
2022-08-24,14.4711
2022-08-25,15.6849
2022-08-26,15.2575
2022-08-27,15.2575
2022-08-28,15.2575
2022-08-29,15.6827
2022-08-30,15.1021
2022-08-31,15.2821
2022-09-01,14.8676
2022-09-02,14.9903
2022-09-03,14.9903
2022-09-04,14.9903
2022-09-05,14.9903
2022-09-06,14.8142
2022-09-07,14.5132
2022-09-08,14.4833
2022-09-09,14.7122
2022-09-10,14.7122
2022-09-11,14.7122
2022-09-12,14.1017
2022-09-13,13.2589
2022-09-14,13.4035
2022-09-15,13.0765
2022-09-16,13.0152
2022-09-17,13.0152
2022-09-18,13.0152
2022-09-19,12.9454
2022-09-20,13.0203
2022-09-21,13.0745
2022-09-22,12.4181
2022-09-23,11.7674
2022-09-24,11.7674
2022-09-25,11.7674
2022-09-26,11.467
2022-09-27,11.1575
2022-09-28,11.5527
2022-09-29,11.0361
2022-09-30,12.1136
2022-10-01,12.1136
2022-10-02,12.1136
2022-10-03,12.7073
2022-10-04,12.7898
2022-10-05,12.4643
2022-10-06,15.7946
2022-10-07,15.9421
2022-10-08,15.9421
2022-10-09,15.9421
2022-10-10,15.9421
2022-10-11,12.8948
2022-10-12,12.6358
2022-10-13,12.5862
2022-10-14,12.1883
2022-10-15,12.1883
2022-10-16,12.1883
2022-10-17,12.692
2022-10-18,13.3301
2022-10-19,13.5756
2022-10-20,14.3338
2022-10-21,14.2678
2022-10-22,14.2678
2022-10-23,14.2678
2022-10-24,13.5891
2022-10-25,13.6846
2022-10-26,13.9019
2022-10-27,13.6626
2022-10-28,13.746
2022-10-29,13.746
2022-10-30,13.746
2022-10-31,14.4299
2022-11-01,14.3128
2022-11-02,14.0669
2022-11-03,14.9046
2022-11-04,14.8801
2022-11-05,14.8801
2022-11-06,14.8801
2022-11-07,14.377
2022-11-08,14.835
2022-11-09,15.4702
2022-11-10,15.762
2022-11-11,16.4916
2022-11-12,16.4916
2022-11-13,16.4916
2022-11-14,16.6688
2022-11-15,16.958
2022-11-16,17.0608
2022-11-17,16.3213
2022-11-18,15.5338
2022-11-19,15.5338
2022-11-20,15.5338
2022-11-21,15.3939
2022-11-22,15.5696
2022-11-23,15.9666
2022-11-24,16.2898
2022-11-25,15.8989
2022-11-26,15.8989
2022-11-27,15.8989
2022-11-28,15.5755
2022-11-29,15.3381
2022-11-30,15.7351
2022-12-01,17.3472
2022-12-02,18.3731
2022-12-03,18.3731
2022-12-04,18.3731
2022-12-05,18.5974
2022-12-06,16.1687
2022-12-07,15.4547
2022-12-08,13.8199
2022-12-09,13.926
2022-12-10,13.926
2022-12-11,13.926
2022-12-12,12.7537
2022-12-13,12.4982
2022-12-14,12.0916
2022-12-15,11.4697
2022-12-16,12.3149
2022-12-17,12.3149
2022-12-18,12.3149
2022-12-19,10.9998
2022-12-20,10.4989
2022-12-21,10.3871
2022-12-22,10.2812
2022-12-23,10.6975
2022-12-24,10.6975
2022-12-25,10.6975
2022-12-26,10.6975
2022-12-27,10.6975
2022-12-28,10.398
2022-12-29,11.1481
2022-12-30,20.2589
2022-12-31,20.2589
2023-01-01,20.2589
2023-01-02,20.2589
2023-01-03,19.2268
2023-01-04,19.5559
2023-01-05,19.6952
2023-01-06,19.5472
2023-01-07,19.5472
2023-01-08,19.5472
2023-01-09,18.8518
2023-01-10,18.8159
2023-01-11,18.7751
2023-01-12,19.0485
2023-01-13,19.1435
2023-01-14,19.1435
2023-01-15,19.1435
2023-01-16,19.3605
2023-01-17,19.5006
2023-01-18,19.353
2023-01-19,18.6421
2023-01-20,18.5215
2023-01-21,18.5215
2023-01-22,18.5215
2023-01-23,18.5193
2023-01-24,18.4683
2023-01-25,18.1969
2023-01-26,17.5499
2023-01-27,17.6665
2023-01-28,17.6665
2023-01-29,17.6665
2023-01-30,17.716
2023-01-31,18.8664
2023-02-01,19.2003
2023-02-02,19.135
2023-02-03,19.7872
2023-02-04,19.7872
2023-02-05,19.7872
2023-02-06,20.2199
2023-02-07,19.8224
2023-02-08,19.1356
2023-02-09,18.6328
2023-02-10,19.1188
2023-02-11,19.1188
2023-02-12,19.1188
2023-02-13,19.4376
2023-02-14,19.7616
2023-02-15,20.2108
2023-02-16,20.4594
2023-02-17,20.7416
2023-02-18,20.7416
2023-02-19,20.7416
2023-02-20,20.7416
2023-02-21,19.6028
2023-02-22,19.6447
2023-02-23,19.5392
2023-02-24,19.5637
2023-02-25,19.5637
2023-02-26,19.5637
2023-02-27,19.0679
2023-02-28,19.061
2023-03-01,19.056
2023-03-02,19.6097
2023-03-03,20.3535
2023-03-04,20.3535
2023-03-05,20.3535
2023-03-06,20.0064
2023-03-07,19.3373
2023-03-08,19.2816
2023-03-09,18.7455
2023-03-10,18.8393
2023-03-11,18.8393
2023-03-12,18.8393
2023-03-13,18.5717
2023-03-14,18.596
2023-03-15,18.3081
2023-03-16,18.666
2023-03-17,18.9763
2023-03-18,18.9763
2023-03-19,18.9763
2023-03-20,18.7513
2023-03-21,18.5791
2023-03-22,18.8518
2023-03-23,18.3633
2023-03-24,18.3196
2023-03-25,18.3196
2023-03-26,18.3196
2023-03-27,18.3329
2023-03-28,18.6177
2023-03-29,18.617
2023-03-30,18.5199
2023-03-31,19.4608
2023-04-01,19.4608
2023-04-02,19.4608
2023-04-03,18.9033
2023-04-04,18.2384
2023-04-05,18.3555
2023-04-06,18.4811
2023-04-07,18.4811
2023-04-08,18.4811
2023-04-09,18.4811
2023-04-10,18.4774
2023-04-11,18.0903
2023-04-12,18.4937
2023-04-13,18.9059
2023-04-14,18.2867
2023-04-15,18.2867
2023-04-16,18.2867
2023-04-17,18.6045
2023-04-18,18.4251
2023-04-19,18.4381
2023-04-20,18.1282
2023-04-21,18.0382
2023-04-22,18.0382
2023-04-23,18.0382
2023-04-24,17.889
2023-04-25,17.4999
2023-04-26,17.7773
2023-04-27,18.797
2023-04-28,18.3801
2023-04-29,18.3801
2023-04-30,18.3801
2023-05-01,18.9281
2023-05-02,19.0277
2023-05-03,19.1627
2023-05-04,20.3201
2023-05-05,21.6906
2023-05-06,21.6906
2023-05-07,21.6906
2023-05-08,21.5952
2023-05-09,20.8369
2023-05-10,20.3404
2023-05-11,18.8712
2023-05-12,18.7208
2023-05-13,18.7208
2023-05-14,18.7208
2023-05-15,18.8384
2023-05-16,19.1711
