,TRUL CN Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,4.6453
2020-01-02,4.5155
2020-01-03,4.408
2020-01-04,4.408
2020-01-05,4.408
2020-01-06,4.235
2020-01-07,4.0461
2020-01-08,4.0722
2020-01-09,4.0032
2020-01-10,3.9854
2020-01-11,3.9854
2020-01-12,3.9854
2020-01-13,4.0573
2020-01-14,4.0511
2020-01-15,4.1388
2020-01-16,4.2992
2020-01-17,4.2854
2020-01-18,4.2854
2020-01-19,4.2854
2020-01-20,4.3296
2020-01-21,4.3014
2020-01-22,4.2411
2020-01-23,4.4148
2020-01-24,4.3992
2020-01-25,4.3992
2020-01-26,4.3992
2020-01-27,4.321
2020-01-28,4.2821
2020-01-29,4.4075
2020-01-30,4.3736
2020-01-31,4.2808
2020-02-01,4.2808
2020-02-02,4.2808
2020-02-03,4.1083
2020-02-04,4.1084
2020-02-05,4.1105
2020-02-06,4.1071
2020-02-07,4.0178
2020-02-08,4.0178
2020-02-09,4.0178
2020-02-10,3.9957
2020-02-11,4.046
2020-02-12,4.0052
2020-02-13,4.0619
2020-02-14,4.2204
2020-02-15,4.2204
2020-02-16,4.2204
2020-02-17,4.2204
2020-02-18,4.3014
2020-02-19,4.3158
2020-02-20,4.3632
2020-02-21,4.2427
2020-02-22,4.2427
2020-02-23,4.2427
2020-02-24,4.0874
2020-02-25,3.9475
2020-02-26,3.8789
2020-02-27,3.6844
2020-02-28,3.8144
2020-02-29,3.8144
2020-03-01,3.8144
2020-03-02,3.7616
2020-03-03,3.6281
2020-03-04,3.6504
2020-03-05,3.6265
2020-03-06,3.6054
2020-03-07,3.6054
2020-03-08,3.6054
2020-03-09,3.3415
2020-03-10,3.353
2020-03-11,3.1306
2020-03-12,2.6361
2020-03-13,2.7733
2020-03-14,2.7733
2020-03-15,2.7733
2020-03-16,2.5829
2020-03-17,2.6202
2020-03-18,2.471
2020-03-19,2.59
2020-03-20,2.7056
2020-03-21,2.7056
2020-03-22,2.7056
2020-03-23,2.9946
2020-03-24,3.2759
2020-03-25,3.3433
2020-03-26,3.5531
2020-03-27,3.5597
2020-03-28,3.5597
2020-03-29,3.5597
2020-03-30,3.5818
2020-03-31,3.5068
2020-04-01,3.4723
2020-04-02,3.6106
2020-04-03,3.5857
2020-04-04,3.5857
2020-04-05,3.5857
2020-04-06,3.7919
2020-04-07,3.7989
2020-04-08,3.7119
2020-04-09,3.7167
2020-04-10,3.7167
2020-04-11,3.7167
2020-04-12,3.7167
2020-04-13,3.5782
2020-04-14,3.592
2020-04-15,3.5199
2020-04-16,3.4641
2020-04-17,3.5072
2020-04-18,3.5072
2020-04-19,3.5072
2020-04-20,3.6199
2020-04-21,3.513
2020-04-22,3.53
2020-04-23,3.6871
2020-04-24,3.7055
2020-04-25,3.7055
2020-04-26,3.7055
2020-04-27,3.8519
2020-04-28,3.9166
2020-04-29,3.9827
2020-04-30,3.9549
2020-05-01,3.7886
2020-05-02,3.7886
2020-05-03,3.7886
2020-05-04,3.7489
2020-05-05,3.8774
2020-05-06,3.893
2020-05-07,3.9233
2020-05-08,3.9638
2020-05-09,3.9638
2020-05-10,3.9638
2020-05-11,4.0582
2020-05-12,4.293
2020-05-13,4.2646
2020-05-14,4.2805
2020-05-15,4.6125
