,TRUL CN Equity
,RETURN_COM_EQY
2020-01-01,92.1074
2020-01-02,92.1074
2020-01-03,92.1074
2020-01-04,92.1074
2020-01-05,92.1074
2020-01-06,92.1074
2020-01-07,92.1074
2020-01-08,92.1074
2020-01-09,92.1074
2020-01-10,92.1074
2020-01-11,92.1074
2020-01-12,92.1074
2020-01-13,92.1074
2020-01-14,92.1074
2020-01-15,92.1074
2020-01-16,92.1074
2020-01-17,92.1074
2020-01-18,92.1074
2020-01-19,92.1074
2020-01-20,92.1074
2020-01-21,92.1074
2020-01-22,92.1074
2020-01-23,92.1074
2020-01-24,92.1074
2020-01-25,92.1074
2020-01-26,92.1074
2020-01-27,92.1074
2020-01-28,92.1074
2020-01-29,92.1074
2020-01-30,92.1074
2020-01-31,92.1074
2020-02-01,92.1074
2020-02-02,92.1074
2020-02-03,92.1074
2020-02-04,92.1074
2020-02-05,92.1074
2020-02-06,92.1074
2020-02-07,92.1074
2020-02-08,92.1074
2020-02-09,92.1074
2020-02-10,92.1074
2020-02-11,92.1074
2020-02-12,92.1074
2020-02-13,92.1074
2020-02-14,92.1074
2020-02-15,92.1074
2020-02-16,92.1074
2020-02-17,92.1074
2020-02-18,92.1074
2020-02-19,92.1074
2020-02-20,92.1074
2020-02-21,92.1074
2020-02-22,92.1074
2020-02-23,92.1074
2020-02-24,92.1074
2020-02-25,92.1074
2020-02-26,92.1074
2020-02-27,92.1074
2020-02-28,92.1074
2020-02-29,92.1074
2020-03-01,92.1074
2020-03-02,92.1074
2020-03-03,92.1074
2020-03-04,92.1074
2020-03-05,92.1074
2020-03-06,92.1074
2020-03-07,92.1074
2020-03-08,92.1074
2020-03-09,92.1074
2020-03-10,92.1074
2020-03-11,92.1074
2020-03-12,92.1074
2020-03-13,92.1074
2020-03-14,92.1074
2020-03-15,92.1074
2020-03-16,92.1074
2020-03-17,92.1074
2020-03-18,92.1074
2020-03-19,92.1074
2020-03-20,92.1074
2020-03-21,92.1074
2020-03-22,92.1074
2020-03-23,92.1074
2020-03-24,92.1074
2020-03-25,92.1074
2020-03-26,92.1074
2020-03-27,92.1074
2020-03-28,92.1074
2020-03-29,92.1074
2020-03-30,92.1074
2020-03-31,89.9505
2020-04-01,89.9505
2020-04-02,89.9505
2020-04-03,89.9505
2020-04-04,89.9505
2020-04-05,89.9505
2020-04-06,89.9505
2020-04-07,89.9505
2020-04-08,89.9505
2020-04-09,89.9505
2020-04-10,89.9505
2020-04-11,89.9505
2020-04-12,89.9505
2020-04-13,89.9505
2020-04-14,89.9505
2020-04-15,89.9505
2020-04-16,89.9505
2020-04-17,89.9505
2020-04-18,89.9505
2020-04-19,89.9505
2020-04-20,89.9505
2020-04-21,89.9505
2020-04-22,89.9505
2020-04-23,89.9505
2020-04-24,89.9505
2020-04-25,89.9505
2020-04-26,89.9505
2020-04-27,89.9505
2020-04-28,89.9505
2020-04-29,89.9505
2020-04-30,89.9505
2020-05-01,89.9505
2020-05-02,89.9505
2020-05-03,89.9505
2020-05-04,89.9505
2020-05-05,89.9505
2020-05-06,89.9505
2020-05-07,89.9505
2020-05-08,89.9505
2020-05-09,89.9505
2020-05-10,89.9505
2020-05-11,89.9505
2020-05-12,89.9505
2020-05-13,89.9505
2020-05-14,89.9505
2020-05-15,89.9505
2020-05-16,89.9505
2020-05-17,89.9505
2020-05-18,89.9505
2020-05-19,89.9505
2020-05-20,89.9505
2020-05-21,89.9505
2020-05-22,89.9505
2020-05-23,89.9505
2020-05-24,89.9505
2020-05-25,89.9505
2020-05-26,89.9505
2020-05-27,89.9505
2020-05-28,89.9505
2020-05-29,89.9505
2020-05-30,89.9505
2020-05-31,89.9505
2020-06-01,89.9505
2020-06-02,89.9505
2020-06-03,89.9505
2020-06-04,89.9505
2020-06-05,89.9505
2020-06-06,89.9505
2020-06-07,89.9505
2020-06-08,89.9505
2020-06-09,89.9505
2020-06-10,89.9505
2020-06-11,89.9505
2020-06-12,89.9505
2020-06-13,89.9505
2020-06-14,89.9505
2020-06-15,89.9505
2020-06-16,89.9505
2020-06-17,89.9505
2020-06-18,89.9505
2020-06-19,89.9505
2020-06-20,89.9505
2020-06-21,89.9505
2020-06-22,89.9505
2020-06-23,89.9505
