,NPI CN Equity
,RETURN_COM_EQY
2010-01-01,6.2605
2010-01-02,6.2605
2010-01-03,6.2605
2010-01-04,6.2605
2010-01-05,6.2605
2010-01-06,6.2605
2010-01-07,6.2605
2010-01-08,6.2605
2010-01-09,6.2605
2010-01-10,6.2605
2010-01-11,6.2605
2010-01-12,6.2605
2010-01-13,6.2605
2010-01-14,6.2605
2010-01-15,6.2605
2010-01-16,6.2605
2010-01-17,6.2605
2010-01-18,6.2605
2010-01-19,6.2605
2010-01-20,6.2605
2010-01-21,6.2605
2010-01-22,6.2605
2010-01-23,6.2605
2010-01-24,6.2605
2010-01-25,6.2605
2010-01-26,6.2605
2010-01-27,6.2605
2010-01-28,6.2605
2010-01-29,6.2605
2010-01-30,6.2605
2010-01-31,6.2605
2010-02-01,6.2605
2010-02-02,6.2605
2010-02-03,6.2605
2010-02-04,6.2605
2010-02-05,6.2605
2010-02-06,6.2605
2010-02-07,6.2605
2010-02-08,6.2605
2010-02-09,6.2605
2010-02-10,6.2605
2010-02-11,6.2605
2010-02-12,6.2605
2010-02-13,6.2605
2010-02-14,6.2605
2010-02-15,6.2605
2010-02-16,6.2605
2010-02-17,6.2605
2010-02-18,6.2605
2010-02-19,6.2605
2010-02-20,6.2605
2010-02-21,6.2605
2010-02-22,6.2605
2010-02-23,6.2605
2010-02-24,6.2605
2010-02-25,6.2605
2010-02-26,6.2605
2010-02-27,6.2605
2010-02-28,6.2605
2010-03-01,6.2605
2010-03-02,6.2605
2010-03-03,6.2605
2010-03-04,6.2605
2010-03-05,6.2605
2010-03-06,6.2605
2010-03-07,6.2605
2010-03-08,6.2605
2010-03-09,6.2605
2010-03-10,6.2605
2010-03-11,6.2605
2010-03-12,6.2605
2010-03-13,6.2605
2010-03-14,6.2605
2010-03-15,6.2605
2010-03-16,6.2605
2010-03-17,6.2605
2010-03-18,6.2605
2010-03-19,6.2605
2010-03-20,6.2605
2010-03-21,6.2605
2010-03-22,6.2605
2010-03-23,6.2605
2010-03-24,6.2605
2010-03-25,6.2605
2010-03-26,6.2605
2010-03-27,6.2605
2010-03-28,6.2605
2010-03-29,6.2605
2010-03-30,6.2605
2010-03-31,-13.4348
2010-04-01,-13.4348
2010-04-02,-13.4348
2010-04-03,-13.4348
2010-04-04,-13.4348
2010-04-05,-13.4348
2010-04-06,-13.4348
2010-04-07,-13.4348
2010-04-08,-13.4348
2010-04-09,-13.4348
2010-04-10,-13.4348
2010-04-11,-13.4348
2010-04-12,-13.4348
2010-04-13,-13.4348
2010-04-14,-13.4348
2010-04-15,-13.4348
2010-04-16,-13.4348
2010-04-17,-13.4348
2010-04-18,-13.4348
2010-04-19,-13.4348
2010-04-20,-13.4348
2010-04-21,-13.4348
2010-04-22,-13.4348
2010-04-23,-13.4348
2010-04-24,-13.4348
2010-04-25,-13.4348
2010-04-26,-13.4348
2010-04-27,-13.4348
2010-04-28,-13.4348
2010-04-29,-13.4348
2010-04-30,-13.4348
2010-05-01,-13.4348
2010-05-02,-13.4348
2010-05-03,-13.4348
2010-05-04,-13.4348
2010-05-05,-13.4348
2010-05-06,-13.4348
2010-05-07,-13.4348
2010-05-08,-13.4348
2010-05-09,-13.4348
2010-05-10,-13.4348
2010-05-11,-13.4348
2010-05-12,-13.4348
2010-05-13,-13.4348
2010-05-14,-13.4348
