,SIM DC Equity
,RETURN_COM_EQY
2010-01-01,38.9222
2010-01-02,38.9222
2010-01-03,38.9222
2010-01-04,38.9222
2010-01-05,38.9222
2010-01-06,38.9222
2010-01-07,38.9222
2010-01-08,38.9222
2010-01-09,38.9222
2010-01-10,38.9222
2010-01-11,38.9222
2010-01-12,38.9222
2010-01-13,38.9222
2010-01-14,38.9222
2010-01-15,38.9222
2010-01-16,38.9222
2010-01-17,38.9222
2010-01-18,38.9222
2010-01-19,38.9222
2010-01-20,38.9222
2010-01-21,38.9222
2010-01-22,38.9222
2010-01-23,38.9222
2010-01-24,38.9222
2010-01-25,38.9222
2010-01-26,38.9222
2010-01-27,38.9222
2010-01-28,38.9222
2010-01-29,38.9222
2010-01-30,38.9222
2010-01-31,38.9222
2010-02-01,38.9222
2010-02-02,38.9222
2010-02-03,38.9222
2010-02-04,38.9222
2010-02-05,38.9222
2010-02-06,38.9222
2010-02-07,38.9222
2010-02-08,38.9222
2010-02-09,38.9222
2010-02-10,38.9222
2010-02-11,38.9222
2010-02-12,38.9222
2010-02-13,38.9222
2010-02-14,38.9222
2010-02-15,38.9222
2010-02-16,38.9222
2010-02-17,38.9222
2010-02-18,38.9222
2010-02-19,38.9222
2010-02-20,38.9222
2010-02-21,38.9222
2010-02-22,38.9222
2010-02-23,38.9222
2010-02-24,38.9222
2010-02-25,38.9222
2010-02-26,38.9222
2010-02-27,38.9222
2010-02-28,38.9222
2010-03-01,38.9222
2010-03-02,38.9222
2010-03-03,38.9222
2010-03-04,38.9222
2010-03-05,38.9222
2010-03-06,38.9222
2010-03-07,38.9222
2010-03-08,38.9222
2010-03-09,38.9222
2010-03-10,38.9222
2010-03-11,38.9222
2010-03-12,38.9222
2010-03-13,38.9222
2010-03-14,38.9222
2010-03-15,38.9222
2010-03-16,38.9222
2010-03-17,38.9222
2010-03-18,38.9222
2010-03-19,38.9222
2010-03-20,38.9222
2010-03-21,38.9222
2010-03-22,38.9222
2010-03-23,38.9222
2010-03-24,38.9222
2010-03-25,38.9222
2010-03-26,38.9222
2010-03-27,38.9222
2010-03-28,38.9222
2010-03-29,38.9222
2010-03-30,38.9222
2010-03-31,47.403
2010-04-01,47.403
2010-04-02,47.403
2010-04-03,47.403
2010-04-04,47.403
2010-04-05,47.403
2010-04-06,47.403
2010-04-07,47.403
2010-04-08,47.403
2010-04-09,47.403
2010-04-10,47.403
2010-04-11,47.403
2010-04-12,47.403
2010-04-13,47.403
2010-04-14,47.403
2010-04-15,47.403
2010-04-16,47.403
2010-04-17,47.403
2010-04-18,47.403
2010-04-19,47.403
2010-04-20,47.403
2010-04-21,47.403
2010-04-22,47.403
2010-04-23,47.403
2010-04-24,47.403
2010-04-25,47.403
2010-04-26,47.403
2010-04-27,47.403
2010-04-28,47.403
2010-04-29,47.403
2010-04-30,47.403
2010-05-01,47.403
2010-05-02,47.403
2010-05-03,47.403
2010-05-04,47.403
2010-05-05,47.403
2010-05-06,47.403
2010-05-07,47.403
2010-05-08,47.403
2010-05-09,47.403
2010-05-10,47.403
2010-05-11,47.403
2010-05-12,47.403
2010-05-13,47.403
2010-05-14,47.403
2010-05-15,47.403
2010-05-16,47.403
2010-05-17,47.403
2010-05-18,47.403
2010-05-19,47.403
2010-05-20,47.403
2010-05-21,47.403
2010-05-22,47.403
2010-05-23,47.403
2010-05-24,47.403
2010-05-25,47.403
2010-05-26,47.403
2010-05-27,47.403
2010-05-28,47.403
2010-05-29,47.403
2010-05-30,47.403
2010-05-31,47.403
2010-06-01,47.403
2010-06-02,47.403
2010-06-03,47.403
2010-06-04,47.403
2010-06-05,47.403
2010-06-06,47.403
2010-06-07,47.403
2010-06-08,47.403
2010-06-09,47.403
2010-06-10,47.403
2010-06-11,47.403
2010-06-12,47.403
2010-06-13,47.403
2010-06-14,47.403
2010-06-15,47.403
2010-06-16,47.403
2010-06-17,47.403
2010-06-18,47.403
2010-06-19,47.403
2010-06-20,47.403
2010-06-21,47.403
2010-06-22,47.403
2010-06-23,47.403
2010-06-24,47.403
2010-06-25,47.403
2010-06-26,47.403
2010-06-27,47.403
2010-06-28,47.403
2010-06-29,47.403
2010-06-30,31.955
2010-07-01,31.955
2010-07-02,31.955
2010-07-03,31.955
