,NOVOB DC Equity
,RETURN_COM_EQY
2010-01-01,31.342
2010-01-02,31.342
2010-01-03,31.342
2010-01-04,31.342
2010-01-05,31.342
2010-01-06,31.342
2010-01-07,31.342
2010-01-08,31.342
2010-01-09,31.342
2010-01-10,31.342
2010-01-11,31.342
2010-01-12,31.342
2010-01-13,31.342
2010-01-14,31.342
2010-01-15,31.342
2010-01-16,31.342
2010-01-17,31.342
2010-01-18,31.342
2010-01-19,31.342
2010-01-20,31.342
2010-01-21,31.342
2010-01-22,31.342
2010-01-23,31.342
2010-01-24,31.342
2010-01-25,31.342
2010-01-26,31.342
2010-01-27,31.342
2010-01-28,31.342
2010-01-29,31.342
2010-01-30,31.342
2010-01-31,31.342
2010-02-01,31.342
2010-02-02,31.342
2010-02-03,31.342
2010-02-04,31.342
2010-02-05,31.342
2010-02-06,31.342
2010-02-07,31.342
2010-02-08,31.342
2010-02-09,31.342
2010-02-10,31.342
2010-02-11,31.342
2010-02-12,31.342
2010-02-13,31.342
2010-02-14,31.342
2010-02-15,31.342
2010-02-16,31.342
2010-02-17,31.342
2010-02-18,31.342
2010-02-19,31.342
2010-02-20,31.342
2010-02-21,31.342
2010-02-22,31.342
2010-02-23,31.342
2010-02-24,31.342
2010-02-25,31.342
2010-02-26,31.342
2010-02-27,31.342
2010-02-28,31.342
2010-03-01,31.342
2010-03-02,31.342
2010-03-03,31.342
2010-03-04,31.342
2010-03-05,31.342
2010-03-06,31.342
2010-03-07,31.342
2010-03-08,31.342
2010-03-09,31.342
2010-03-10,31.342
2010-03-11,31.342
2010-03-12,31.342
2010-03-13,31.342
2010-03-14,31.342
2010-03-15,31.342
2010-03-16,31.342
2010-03-17,31.342
2010-03-18,31.342
2010-03-19,31.342
2010-03-20,31.342
2010-03-21,31.342
2010-03-22,31.342
2010-03-23,31.342
2010-03-24,31.342
2010-03-25,31.342
2010-03-26,31.342
2010-03-27,31.342
2010-03-28,31.342
2010-03-29,31.342
2010-03-30,31.342
2010-03-31,35.4585
2010-04-01,35.4585
2010-04-02,35.4585
2010-04-03,35.4585
2010-04-04,35.4585
2010-04-05,35.4585
2010-04-06,35.4585
2010-04-07,35.4585
2010-04-08,35.4585
2010-04-09,35.4585
2010-04-10,35.4585
2010-04-11,35.4585
2010-04-12,35.4585
2010-04-13,35.4585
2010-04-14,35.4585
2010-04-15,35.4585
2010-04-16,35.4585
2010-04-17,35.4585
2010-04-18,35.4585
2010-04-19,35.4585
2010-04-20,35.4585
2010-04-21,35.4585
2010-04-22,35.4585
2010-04-23,35.4585
2010-04-24,35.4585
2010-04-25,35.4585
2010-04-26,35.4585
2010-04-27,35.4585
2010-04-28,35.4585
2010-04-29,35.4585
2010-04-30,35.4585
2010-05-01,35.4585
2010-05-02,35.4585
2010-05-03,35.4585
2010-05-04,35.4585
2010-05-05,35.4585
2010-05-06,35.4585
2010-05-07,35.4585
2010-05-08,35.4585
2010-05-09,35.4585
2010-05-10,35.4585
2010-05-11,35.4585
2010-05-12,35.4585
2010-05-13,35.4585
2010-05-14,35.4585
2010-05-15,35.4585
2010-05-16,35.4585
2010-05-17,35.4585
2010-05-18,35.4585
2010-05-19,35.4585
2010-05-20,35.4585
2010-05-21,35.4585
2010-05-22,35.4585
2010-05-23,35.4585
2010-05-24,35.4585
2010-05-25,35.4585
2010-05-26,35.4585
2010-05-27,35.4585
2010-05-28,35.4585
2010-05-29,35.4585
2010-05-30,35.4585
2010-05-31,35.4585
2010-06-01,35.4585
2010-06-02,35.4585
2010-06-03,35.4585
2010-06-04,35.4585
2010-06-05,35.4585
2010-06-06,35.4585
2010-06-07,35.4585
2010-06-08,35.4585
2010-06-09,35.4585
2010-06-10,35.4585
2010-06-11,35.4585
2010-06-12,35.4585
2010-06-13,35.4585
2010-06-14,35.4585
2010-06-15,35.4585
2010-06-16,35.4585
2010-06-17,35.4585
2010-06-18,35.4585
2010-06-19,35.4585
2010-06-20,35.4585
2010-06-21,35.4585
2010-06-22,35.4585
2010-06-23,35.4585
2010-06-24,35.4585
2010-06-25,35.4585
2010-06-26,35.4585
2010-06-27,35.4585
2010-06-28,35.4585
2010-06-29,35.4585
2010-06-30,35.2919
2010-07-01,35.2919
2010-07-02,35.2919
2010-07-03,35.2919
2010-07-04,35.2919
2010-07-05,35.2919
2010-07-06,35.2919
2010-07-07,35.2919
2010-07-08,35.2919
2010-07-09,35.2919
2010-07-10,35.2919
2010-07-11,35.2919
2010-07-12,35.2919
2010-07-13,35.2919
2010-07-14,35.2919
2010-07-15,35.2919
2010-07-16,35.2919
2010-07-17,35.2919
2010-07-18,35.2919
2010-07-19,35.2919
2010-07-20,35.2919
2010-07-21,35.2919
2010-07-22,35.2919
2010-07-23,35.2919
2010-07-24,35.2919
2010-07-25,35.2919
2010-07-26,35.2919
2010-07-27,35.2919
2010-07-28,35.2919
2010-07-29,35.2919
2010-07-30,35.2919
2010-07-31,35.2919
2010-08-01,35.2919
2010-08-02,35.2919
2010-08-03,35.2919
2010-08-04,35.2919
2010-08-05,35.2919
2010-08-06,35.2919
2010-08-07,35.2919
2010-08-08,35.2919
2010-08-09,35.2919
2010-08-10,35.2919
2010-08-11,35.2919
2010-08-12,35.2919
2010-08-13,35.2919
2010-08-14,35.2919
2010-08-15,35.2919
2010-08-16,35.2919
2010-08-17,35.2919
2010-08-18,35.2919
2010-08-19,35.2919
2010-08-20,35.2919
2010-08-21,35.2919
2010-08-22,35.2919
2010-08-23,35.2919
2010-08-24,35.2919
2010-08-25,35.2919
2010-08-26,35.2919
2010-08-27,35.2919
2010-08-28,35.2919
2010-08-29,35.2919
2010-08-30,35.2919
2010-08-31,35.2919
2010-09-01,35.2919
2010-09-02,35.2919
2010-09-03,35.2919
2010-09-04,35.2919
2010-09-05,35.2919
2010-09-06,35.2919
2010-09-07,35.2919
2010-09-08,35.2919
2010-09-09,35.2919
2010-09-10,35.2919
2010-09-11,35.2919
2010-09-12,35.2919
2010-09-13,35.2919
2010-09-14,35.2919
2010-09-15,35.2919
