,ECOPETL CB Equity,ECOPETL CB Equity,ECOPETL CB Equity,ECOPETL CB Equity,ECOPETL CB Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,935.654,939.435,935.654,939.435,1168135.0
2010-01-02,935.654,939.435,935.654,939.435,1168135.0
2010-01-03,935.654,939.435,935.654,939.435,1168135.0
2010-01-04,946.995,950.776,937.544,943.215,4216393.0
2010-01-05,943.215,943.215,929.983,931.874,2262625.0
2010-01-06,931.874,933.764,928.093,929.983,1930210.0
2010-01-07,928.093,929.983,922.423,922.423,2829685.0
2010-01-08,926.203,935.654,920.532,933.764,3802301.0
2010-01-09,926.203,935.654,920.532,933.764,3802301.0
2010-01-10,926.203,935.654,920.532,933.764,3802301.0
2010-01-11,926.203,935.654,920.532,933.764,3802301.0
2010-01-12,937.544,937.544,924.313,924.313,2167991.0
2010-01-13,924.313,924.313,916.752,920.532,5397966.0
2010-01-14,920.532,926.203,918.642,926.203,5200417.0
2010-01-15,928.093,933.764,922.423,933.764,4139752.0
2010-01-16,928.093,933.764,922.423,933.764,4139752.0
2010-01-17,928.093,933.764,922.423,933.764,4139752.0
2010-01-18,935.654,935.654,928.093,931.874,2612492.0
2010-01-19,933.764,933.764,928.093,929.983,3435600.0
2010-01-20,928.093,929.983,922.423,928.093,4232390.0
2010-01-21,928.093,928.093,899.74,903.521,11534968.0
2010-01-22,899.74,914.862,895.96,907.301,15300689.0
2010-01-23,899.74,914.862,895.96,907.301,15300689.0
2010-01-24,899.74,914.862,895.96,907.301,15300689.0
2010-01-25,912.972,922.423,895.96,895.96,9542413.0
2010-01-26,907.301,916.752,892.179,916.752,9579334.0
2010-01-27,916.752,924.313,905.411,924.313,13541192.0
2010-01-28,924.313,937.544,920.532,926.203,13591008.0
2010-01-29,929.983,933.764,922.423,928.093,6209850.0
2010-01-30,929.983,933.764,922.423,928.093,6209850.0
2010-01-31,929.983,933.764,922.423,928.093,6209850.0
2010-02-01,926.203,926.203,920.532,920.532,2181268.0
2010-02-02,924.313,928.093,920.532,924.313,3958607.0
2010-02-03,926.203,929.983,922.423,928.093,4244337.0
2010-02-04,924.313,924.313,916.752,916.752,2139189.0
2010-02-05,914.862,918.642,909.191,912.972,11000285.0
2010-02-06,914.862,918.642,909.191,912.972,11000285.0
2010-02-07,914.862,918.642,909.191,912.972,11000285.0
2010-02-08,909.191,914.862,907.301,909.191,3851429.0
2010-02-09,916.752,928.093,909.191,928.093,9032730.0
2010-02-10,926.203,931.874,918.642,931.874,4493410.0
2010-02-11,933.764,939.435,926.203,935.654,6948688.0
2010-02-12,933.764,945.105,926.203,937.544,7157071.0
2010-02-13,933.764,945.105,926.203,937.544,7157071.0
2010-02-14,933.764,945.105,926.203,937.544,7157071.0
2010-02-15,933.764,946.995,933.764,937.544,5948116.0
2010-02-16,943.215,945.105,931.874,933.764,4317378.0
2010-02-17,939.435,946.995,937.544,939.435,12077997.0
2010-02-18,937.544,937.544,929.983,933.764,4894129.0
2010-02-19,929.983,943.215,929.983,943.215,5039387.0
2010-02-20,929.983,943.215,929.983,943.215,5039387.0
2010-02-21,929.983,943.215,929.983,943.215,5039387.0
2010-02-22,937.544,950.776,937.544,945.105,9698717.0
2010-02-23,945.105,962.117,941.325,960.227,14797613.0
2010-02-24,964.007,982.909,964.007,982.909,18317306.0
2010-02-25,982.909,982.909,967.788,971.568,7516561.0
2010-02-26,971.568,975.349,964.007,967.788,6702214.0
2010-02-27,971.568,975.349,964.007,967.788,6702214.0
2010-02-28,971.568,975.349,964.007,967.788,6702214.0
2010-03-01,962.117,971.568,962.117,967.788,5320476.0
2010-03-02,969.678,973.458,967.788,969.678,3742864.0
2010-03-03,969.678,984.8,969.678,984.8,8462098.0
2010-03-04,984.8,992.36,982.909,984.8,5937861.0
2010-03-05,988.58,992.36,986.69,992.36,5414671.0
2010-03-06,988.58,992.36,986.69,992.36,5414671.0
2010-03-07,988.58,992.36,986.69,992.36,5414671.0
2010-03-08,992.36,998.031,992.36,998.031,6552441.0
2010-03-09,990.47,998.031,990.47,996.141,3681293.0
2010-03-10,992.36,1007.482,992.36,1003.702,10799160.0
2010-03-11,1007.482,1018.823,1003.702,1018.823,11208610.0
2010-03-12,1018.823,1028.274,1013.153,1013.153,27238867.0
2010-03-13,1018.823,1028.274,1013.153,1013.153,27238867.0
2010-03-14,1018.823,1028.274,1013.153,1013.153,27238867.0
2010-03-15,1009.372,1011.263,998.031,1011.263,20561355.0
2010-03-16,1013.153,1018.823,1011.263,1015.043,4871551.0
2010-03-17,1005.592,1024.494,1005.592,1024.494,9071948.0
2010-03-18,1024.494,1028.274,1018.823,1024.494,8332669.0
2010-03-19,1020.714,1020.714,1013.153,1020.714,6448085.0
2010-03-20,1020.714,1020.714,1013.153,1020.714,6448085.0
2010-03-21,1020.714,1020.714,1013.153,1020.714,6448085.0
2010-03-22,1020.714,1020.714,1013.153,1020.714,6448085.0
2010-03-23,1016.933,1020.714,1013.153,1020.714,3764836.0
2010-03-24,1009.372,1018.823,1009.372,1015.043,4971244.0
2010-03-25,1016.933,1018.823,1015.043,1016.933,5620735.0
2010-03-26,1016.933,1016.933,1007.482,1011.263,5216647.0
2010-03-27,1016.933,1016.933,1007.482,1011.263,5216647.0
2010-03-28,1016.933,1016.933,1007.482,1011.263,5216647.0
2010-03-29,1018.823,1018.823,1011.263,1013.153,2553921.0
2010-03-30,1015.043,1016.933,1009.372,1015.043,1614328.0
2010-03-31,1013.153,1020.714,1013.153,1020.714,1922174.0
2010-04-01,1013.153,1020.714,1013.153,1020.714,1922174.0
2010-04-02,1013.153,1020.714,1013.153,1020.714,1922174.0
2010-04-03,1013.153,1020.714,1013.153,1020.714,1922174.0
2010-04-04,1013.153,1020.714,1013.153,1020.714,1922174.0
2010-04-05,1020.714,1024.494,1018.823,1024.494,8676841.0
2010-04-06,1028.274,1032.055,1020.714,1032.055,9996468.0
2010-04-07,1028.274,1035.835,1028.274,1035.835,8103483.0
2010-04-08,1028.274,1035.835,1028.274,1030.165,4759320.0
2010-04-09,1035.835,1037.725,1030.165,1030.165,5319476.0
2010-04-10,1035.835,1037.725,1030.165,1030.165,5319476.0
2010-04-11,1035.835,1037.725,1030.165,1030.165,5319476.0
2010-04-12,1034.371,1040.107,1034.371,1040.107,5734248.0
2010-04-13,1034.371,1036.283,1034.371,1036.283,3506791.0
2010-04-14,1036.283,1042.019,1036.283,1038.195,3748228.0
2010-04-15,1036.283,1043.931,1034.371,1043.931,4836993.0
2010-04-16,1040.107,1040.107,1026.723,1028.635,9224751.0
2010-04-17,1040.107,1040.107,1026.723,1028.635,9224751.0
2010-04-18,1040.107,1040.107,1026.723,1028.635,9224751.0
2010-04-19,1026.723,1028.635,1020.987,1024.811,3351190.0
2010-04-20,1024.811,1038.195,1024.811,1038.195,6650477.0
2010-04-21,1034.371,1055.402,1034.371,1053.49,11912747.0
2010-04-22,1047.755,1059.226,1045.843,1051.578,12237228.0
2010-04-23,1051.578,1063.05,1051.578,1063.05,8815500.0
2010-04-24,1051.578,1063.05,1051.578,1063.05,8815500.0
2010-04-25,1051.578,1063.05,1051.578,1063.05,8815500.0
2010-04-26,1063.05,1066.874,1059.226,1064.962,7490177.0
2010-04-27,1064.962,1066.874,1045.843,1055.402,15527385.0
2010-04-28,1055.402,1055.402,1042.019,1043.931,11759754.0
2010-04-29,1053.49,1059.226,1051.578,1057.314,9117941.0
2010-04-30,1059.226,1061.138,1053.49,1057.314,5308864.0
2010-05-01,1059.226,1061.138,1053.49,1057.314,5308864.0
2010-05-02,1059.226,1061.138,1053.49,1057.314,5308864.0
