,KINDSDB SS Equity
,RETURN_COM_EQY
2010-01-01,23.9611
2010-01-02,23.9611
2010-01-03,23.9611
2010-01-04,23.9611
2010-01-05,23.9611
2010-01-06,23.9611
2010-01-07,23.9611
2010-01-08,23.9611
2010-01-09,23.9611
2010-01-10,23.9611
2010-01-11,23.9611
2010-01-12,23.9611
2010-01-13,23.9611
2010-01-14,23.9611
2010-01-15,23.9611
2010-01-16,23.9611
2010-01-17,23.9611
2010-01-18,23.9611
2010-01-19,23.9611
2010-01-20,23.9611
2010-01-21,23.9611
2010-01-22,23.9611
2010-01-23,23.9611
2010-01-24,23.9611
2010-01-25,23.9611
2010-01-26,23.9611
2010-01-27,23.9611
2010-01-28,23.9611
2010-01-29,23.9611
2010-01-30,23.9611
2010-01-31,23.9611
2010-02-01,23.9611
2010-02-02,23.9611
2010-02-03,23.9611
2010-02-04,23.9611
2010-02-05,23.9611
2010-02-06,23.9611
2010-02-07,23.9611
2010-02-08,23.9611
2010-02-09,23.9611
2010-02-10,23.9611
2010-02-11,23.9611
2010-02-12,23.9611
2010-02-13,23.9611
2010-02-14,23.9611
2010-02-15,23.9611
2010-02-16,23.9611
2010-02-17,23.9611
2010-02-18,23.9611
2010-02-19,23.9611
2010-02-20,23.9611
2010-02-21,23.9611
2010-02-22,23.9611
2010-02-23,23.9611
2010-02-24,23.9611
2010-02-25,23.9611
2010-02-26,23.9611
2010-02-27,23.9611
2010-02-28,23.9611
2010-03-01,23.9611
2010-03-02,23.9611
2010-03-03,23.9611
2010-03-04,23.9611
2010-03-05,23.9611
2010-03-06,23.9611
2010-03-07,23.9611
2010-03-08,23.9611
2010-03-09,23.9611
2010-03-10,23.9611
2010-03-11,23.9611
2010-03-12,23.9611
2010-03-13,23.9611
2010-03-14,23.9611
2010-03-15,23.9611
2010-03-16,23.9611
2010-03-17,23.9611
2010-03-18,23.9611
2010-03-19,23.9611
2010-03-20,23.9611
2010-03-21,23.9611
2010-03-22,23.9611
2010-03-23,23.9611
2010-03-24,23.9611
2010-03-25,23.9611
2010-03-26,23.9611
2010-03-27,23.9611
2010-03-28,23.9611
2010-03-29,23.9611
2010-03-30,23.9611
2010-03-31,21.4939
2010-04-01,21.4939
2010-04-02,21.4939
2010-04-03,21.4939
2010-04-04,21.4939
2010-04-05,21.4939
2010-04-06,21.4939
2010-04-07,21.4939
2010-04-08,21.4939
2010-04-09,21.4939
2010-04-10,21.4939
2010-04-11,21.4939
2010-04-12,21.4939
2010-04-13,21.4939
2010-04-14,21.4939
2010-04-15,21.4939
2010-04-16,21.4939
2010-04-17,21.4939
2010-04-18,21.4939
2010-04-19,21.4939
2010-04-20,21.4939
2010-04-21,21.4939
2010-04-22,21.4939
2010-04-23,21.4939
2010-04-24,21.4939
2010-04-25,21.4939
2010-04-26,21.4939
2010-04-27,21.4939
2010-04-28,21.4939
2010-04-29,21.4939
2010-04-30,21.4939
2010-05-01,21.4939
2010-05-02,21.4939
2010-05-03,21.4939
2010-05-04,21.4939
2010-05-05,21.4939
2010-05-06,21.4939
2010-05-07,21.4939
2010-05-08,21.4939
2010-05-09,21.4939
2010-05-10,21.4939
2010-05-11,21.4939
2010-05-12,21.4939
2010-05-13,21.4939
2010-05-14,21.4939
2010-05-15,21.4939
2010-05-16,21.4939
2010-05-17,21.4939
2010-05-18,21.4939
2010-05-19,21.4939
2010-05-20,21.4939
2010-05-21,21.4939
2010-05-22,21.4939
2010-05-23,21.4939
2010-05-24,21.4939
2010-05-25,21.4939
2010-05-26,21.4939
2010-05-27,21.4939
2010-05-28,21.4939
2010-05-29,21.4939
2010-05-30,21.4939
2010-05-31,21.4939
2010-06-01,21.4939
2010-06-02,21.4939
2010-06-03,21.4939
2010-06-04,21.4939
2010-06-05,21.4939
2010-06-06,21.4939
2010-06-07,21.4939
2010-06-08,21.4939
2010-06-09,21.4939
2010-06-10,21.4939
2010-06-11,21.4939
2010-06-12,21.4939
2010-06-13,21.4939
2010-06-14,21.4939
2010-06-15,21.4939
2010-06-16,21.4939
2010-06-17,21.4939
2010-06-18,21.4939
2010-06-19,21.4939
2010-06-20,21.4939
2010-06-21,21.4939
2010-06-22,21.4939
2010-06-23,21.4939
2010-06-24,21.4939
2010-06-25,21.4939
2010-06-26,21.4939
2010-06-27,21.4939
2010-06-28,21.4939
2010-06-29,21.4939
2010-06-30,27.1798
2010-07-01,27.1798
2010-07-02,27.1798
2010-07-03,27.1798
2010-07-04,27.1798
2010-07-05,27.1798
2010-07-06,27.1798
2010-07-07,27.1798
2010-07-08,27.1798
2010-07-09,27.1798
2010-07-10,27.1798
2010-07-11,27.1798
2010-07-12,27.1798
2010-07-13,27.1798
2010-07-14,27.1798
2010-07-15,27.1798
2010-07-16,27.1798
2010-07-17,27.1798
2010-07-18,27.1798
2010-07-19,27.1798
2010-07-20,27.1798
2010-07-21,27.1798
2010-07-22,27.1798
2010-07-23,27.1798
2010-07-24,27.1798
2010-07-25,27.1798
2010-07-26,27.1798
2010-07-27,27.1798
2010-07-28,27.1798
2010-07-29,27.1798
2010-07-30,27.1798
2010-07-31,27.1798
2010-08-01,27.1798
2010-08-02,27.1798
2010-08-03,27.1798
2010-08-04,27.1798
2010-08-05,27.1798
2010-08-06,27.1798
2010-08-07,27.1798
2010-08-08,27.1798
2010-08-09,27.1798
2010-08-10,27.1798
2010-08-11,27.1798
2010-08-12,27.1798
2010-08-13,27.1798
2010-08-14,27.1798
2010-08-15,27.1798
2010-08-16,27.1798
2010-08-17,27.1798
2010-08-18,27.1798
2010-08-19,27.1798
2010-08-20,27.1798
2010-08-21,27.1798
2010-08-22,27.1798
2010-08-23,27.1798
2010-08-24,27.1798
2010-08-25,27.1798
2010-08-26,27.1798
2010-08-27,27.1798
2010-08-28,27.1798
2010-08-29,27.1798
2010-08-30,27.1798
2010-08-31,27.1798
2010-09-01,27.1798
2010-09-02,27.1798
2010-09-03,27.1798
2010-09-04,27.1798
2010-09-05,27.1798
2010-09-06,27.1798
2010-09-07,27.1798
2010-09-08,27.1798
2010-09-09,27.1798
2010-09-10,27.1798
2010-09-11,27.1798
2010-09-12,27.1798
2010-09-13,27.1798
2010-09-14,27.1798
2010-09-15,27.1798
2010-09-16,27.1798
2010-09-17,27.1798
2010-09-18,27.1798
2010-09-19,27.1798
2010-09-20,27.1798
2010-09-21,27.1798
2010-09-22,27.1798
2010-09-23,27.1798
2010-09-24,27.1798
2010-09-25,27.1798
2010-09-26,27.1798
2010-09-27,27.1798
2010-09-28,27.1798
2010-09-29,27.1798
2010-09-30,25.4393
2010-10-01,25.4393
2010-10-02,25.4393
2010-10-03,25.4393
2010-10-04,25.4393
2010-10-05,25.4393
2010-10-06,25.4393
2010-10-07,25.4393
2010-10-08,25.4393
2010-10-09,25.4393
2010-10-10,25.4393
2010-10-11,25.4393
2010-10-12,25.4393
2010-10-13,25.4393
2010-10-14,25.4393
2010-10-15,25.4393
2010-10-16,25.4393
2010-10-17,25.4393
2010-10-18,25.4393
2010-10-19,25.4393
2010-10-20,25.4393
2010-10-21,25.4393
2010-10-22,25.4393
2010-10-23,25.4393
2010-10-24,25.4393
2010-10-25,25.4393
2010-10-26,25.4393
2010-10-27,25.4393
2010-10-28,25.4393
2010-10-29,25.4393
2010-10-30,25.4393
2010-10-31,25.4393
2010-11-01,25.4393
2010-11-02,25.4393
2010-11-03,25.4393
2010-11-04,25.4393
2010-11-05,25.4393
2010-11-06,25.4393
2010-11-07,25.4393
2010-11-08,25.4393
2010-11-09,25.4393
2010-11-10,25.4393
2010-11-11,25.4393
2010-11-12,25.4393
2010-11-13,25.4393
2010-11-14,25.4393
2010-11-15,25.4393
2010-11-16,25.4393
2010-11-17,25.4393
2010-11-18,25.4393
2010-11-19,25.4393
2010-11-20,25.4393
2010-11-21,25.4393
2010-11-22,25.4393
2010-11-23,25.4393
2010-11-24,25.4393
2010-11-25,25.4393
2010-11-26,25.4393
2010-11-27,25.4393
2010-11-28,25.4393
2010-11-29,25.4393
2010-11-30,25.4393
2010-12-01,25.4393
2010-12-02,25.4393
2010-12-03,25.4393
2010-12-04,25.4393
2010-12-05,25.4393
2010-12-06,25.4393
2010-12-07,25.4393
2010-12-08,25.4393
2010-12-09,25.4393
2010-12-10,25.4393
2010-12-11,25.4393
2010-12-12,25.4393
2010-12-13,25.4393
2010-12-14,25.4393
2010-12-15,25.4393
2010-12-16,25.4393
2010-12-17,25.4393
2010-12-18,25.4393
2010-12-19,25.4393
2010-12-20,25.4393
2010-12-21,25.4393
2010-12-22,25.4393
2010-12-23,25.4393
2010-12-24,25.4393
2010-12-25,25.4393
2010-12-26,25.4393
2010-12-27,25.4393
2010-12-28,25.4393
2010-12-29,25.4393
2010-12-30,25.4393
2010-12-31,24.4828
2011-01-01,24.4828
2011-01-02,24.4828
2011-01-03,24.4828
2011-01-04,24.4828
2011-01-05,24.4828
2011-01-06,24.4828
2011-01-07,24.4828
2011-01-08,24.4828
2011-01-09,24.4828
2011-01-10,24.4828
2011-01-11,24.4828
2011-01-12,24.4828
2011-01-13,24.4828
2011-01-14,24.4828
2011-01-15,24.4828
2011-01-16,24.4828
2011-01-17,24.4828
2011-01-18,24.4828
2011-01-19,24.4828
2011-01-20,24.4828
2011-01-21,24.4828
2011-01-22,24.4828
2011-01-23,24.4828
2011-01-24,24.4828
2011-01-25,24.4828
2011-01-26,24.4828
2011-01-27,24.4828
2011-01-28,24.4828
2011-01-29,24.4828
2011-01-30,24.4828
2011-01-31,24.4828
2011-02-01,24.4828
2011-02-02,24.4828
2011-02-03,24.4828
2011-02-04,24.4828
2011-02-05,24.4828
2011-02-06,24.4828
2011-02-07,24.4828
2011-02-08,24.4828
2011-02-09,24.4828
2011-02-10,24.4828
2011-02-11,24.4828
2011-02-12,24.4828
2011-02-13,24.4828
2011-02-14,24.4828
2011-02-15,24.4828
2011-02-16,24.4828
2011-02-17,24.4828
2011-02-18,24.4828
2011-02-19,24.4828
2011-02-20,24.4828
2011-02-21,24.4828
2011-02-22,24.4828
2011-02-23,24.4828
2011-02-24,24.4828
2011-02-25,24.4828
2011-02-26,24.4828
2011-02-27,24.4828
2011-02-28,24.4828
2011-03-01,24.4828
2011-03-02,24.4828
2011-03-03,24.4828
2011-03-04,24.4828
2011-03-05,24.4828
2011-03-06,24.4828
2011-03-07,24.4828
2011-03-08,24.4828
2011-03-09,24.4828
2011-03-10,24.4828
2011-03-11,24.4828
2011-03-12,24.4828
2011-03-13,24.4828
2011-03-14,24.4828
2011-03-15,24.4828
2011-03-16,24.4828
2011-03-17,24.4828
2011-03-18,24.4828
2011-03-19,24.4828
2011-03-20,24.4828
2011-03-21,24.4828
2011-03-22,24.4828
2011-03-23,24.4828
2011-03-24,24.4828
2011-03-25,24.4828
2011-03-26,24.4828
2011-03-27,24.4828
2011-03-28,24.4828
2011-03-29,24.4828
2011-03-30,24.4828
2011-03-31,22.6771
2011-04-01,22.6771
2011-04-02,22.6771
2011-04-03,22.6771
2011-04-04,22.6771
2011-04-05,22.6771
2011-04-06,22.6771
2011-04-07,22.6771
2011-04-08,22.6771
2011-04-09,22.6771
2011-04-10,22.6771
2011-04-11,22.6771
2011-04-12,22.6771
2011-04-13,22.6771
2011-04-14,22.6771
2011-04-15,22.6771
2011-04-16,22.6771
2011-04-17,22.6771
2011-04-18,22.6771
2011-04-19,22.6771
2011-04-20,22.6771
2011-04-21,22.6771
2011-04-22,22.6771
2011-04-23,22.6771
2011-04-24,22.6771
2011-04-25,22.6771
2011-04-26,22.6771
2011-04-27,22.6771
2011-04-28,22.6771
2011-04-29,22.6771
2011-04-30,22.6771
2011-05-01,22.6771
2011-05-02,22.6771
2011-05-03,22.6771
2011-05-04,22.6771
2011-05-05,22.6771
2011-05-06,22.6771
2011-05-07,22.6771
2011-05-08,22.6771
2011-05-09,22.6771
2011-05-10,22.6771
2011-05-11,22.6771
2011-05-12,22.6771
2011-05-13,22.6771
2011-05-14,22.6771
2011-05-15,22.6771
2011-05-16,22.6771
2011-05-17,22.6771
2011-05-18,22.6771
2011-05-19,22.6771
2011-05-20,22.6771
2011-05-21,22.6771
2011-05-22,22.6771
2011-05-23,22.6771
2011-05-24,22.6771
2011-05-25,22.6771
2011-05-26,22.6771
2011-05-27,22.6771
2011-05-28,22.6771
2011-05-29,22.6771
2011-05-30,22.6771
2011-05-31,22.6771
2011-06-01,22.6771
2011-06-02,22.6771
2011-06-03,22.6771
2011-06-04,22.6771
2011-06-05,22.6771
2011-06-06,22.6771
2011-06-07,22.6771
2011-06-08,22.6771
2011-06-09,22.6771
2011-06-10,22.6771
2011-06-11,22.6771
2011-06-12,22.6771
2011-06-13,22.6771
2011-06-14,22.6771
2011-06-15,22.6771
2011-06-16,22.6771
2011-06-17,22.6771
2011-06-18,22.6771
2011-06-19,22.6771
2011-06-20,22.6771
2011-06-21,22.6771
2011-06-22,22.6771
2011-06-23,22.6771
2011-06-24,22.6771
2011-06-25,22.6771
2011-06-26,22.6771
2011-06-27,22.6771
2011-06-28,22.6771
2011-06-29,22.6771
2011-06-30,21.8261
2011-07-01,21.8261
2011-07-02,21.8261
2011-07-03,21.8261
2011-07-04,21.8261
2011-07-05,21.8261
2011-07-06,21.8261
2011-07-07,21.8261
2011-07-08,21.8261
2011-07-09,21.8261
2011-07-10,21.8261
2011-07-11,21.8261
2011-07-12,21.8261
2011-07-13,21.8261
2011-07-14,21.8261
2011-07-15,21.8261
2011-07-16,21.8261
2011-07-17,21.8261
2011-07-18,21.8261
2011-07-19,21.8261
2011-07-20,21.8261
2011-07-21,21.8261
2011-07-22,21.8261
2011-07-23,21.8261
2011-07-24,21.8261
2011-07-25,21.8261
2011-07-26,21.8261
2011-07-27,21.8261
2011-07-28,21.8261
2011-07-29,21.8261
2011-07-30,21.8261
2011-07-31,21.8261
2011-08-01,21.8261
2011-08-02,21.8261
