,NETB SS Equity
,RETURN_COM_EQY
2010-01-01,74.1294
2010-01-02,74.1294
2010-01-03,74.1294
2010-01-04,74.1294
2010-01-05,74.1294
2010-01-06,74.1294
2010-01-07,74.1294
2010-01-08,74.1294
2010-01-09,74.1294
2010-01-10,74.1294
2010-01-11,74.1294
2010-01-12,74.1294
2010-01-13,74.1294
2010-01-14,74.1294
2010-01-15,74.1294
2010-01-16,74.1294
2010-01-17,74.1294
2010-01-18,74.1294
2010-01-19,74.1294
2010-01-20,74.1294
2010-01-21,74.1294
2010-01-22,74.1294
2010-01-23,74.1294
2010-01-24,74.1294
2010-01-25,74.1294
2010-01-26,74.1294
2010-01-27,74.1294
2010-01-28,74.1294
2010-01-29,74.1294
2010-01-30,74.1294
2010-01-31,74.1294
2010-02-01,74.1294
2010-02-02,74.1294
2010-02-03,74.1294
2010-02-04,74.1294
2010-02-05,74.1294
2010-02-06,74.1294
2010-02-07,74.1294
2010-02-08,74.1294
2010-02-09,74.1294
2010-02-10,74.1294
2010-02-11,74.1294
2010-02-12,74.1294
2010-02-13,74.1294
2010-02-14,74.1294
2010-02-15,74.1294
2010-02-16,74.1294
2010-02-17,74.1294
2010-02-18,74.1294
2010-02-19,74.1294
2010-02-20,74.1294
2010-02-21,74.1294
2010-02-22,74.1294
2010-02-23,74.1294
2010-02-24,74.1294
2010-02-25,74.1294
2010-02-26,74.1294
2010-02-27,74.1294
2010-02-28,74.1294
2010-03-01,74.1294
2010-03-02,74.1294
2010-03-03,74.1294
2010-03-04,74.1294
2010-03-05,74.1294
2010-03-06,74.1294
2010-03-07,74.1294
2010-03-08,74.1294
2010-03-09,74.1294
2010-03-10,74.1294
2010-03-11,74.1294
2010-03-12,74.1294
2010-03-13,74.1294
2010-03-14,74.1294
2010-03-15,74.1294
2010-03-16,74.1294
2010-03-17,74.1294
2010-03-18,74.1294
2010-03-19,74.1294
2010-03-20,74.1294
2010-03-21,74.1294
2010-03-22,74.1294
2010-03-23,74.1294
2010-03-24,74.1294
2010-03-25,74.1294
2010-03-26,74.1294
2010-03-27,74.1294
2010-03-28,74.1294
2010-03-29,74.1294
2010-03-30,74.1294
2010-03-31,62.6193
2010-04-01,62.6193
2010-04-02,62.6193
2010-04-03,62.6193
2010-04-04,62.6193
2010-04-05,62.6193
2010-04-06,62.6193
2010-04-07,62.6193
2010-04-08,62.6193
2010-04-09,62.6193
2010-04-10,62.6193
2010-04-11,62.6193
2010-04-12,62.6193
2010-04-13,62.6193
2010-04-14,62.6193
2010-04-15,62.6193
2010-04-16,62.6193
2010-04-17,62.6193
2010-04-18,62.6193
2010-04-19,62.6193
2010-04-20,62.6193
2010-04-21,62.6193
2010-04-22,62.6193
2010-04-23,62.6193
2010-04-24,62.6193
2010-04-25,62.6193
2010-04-26,62.6193
2010-04-27,62.6193
2010-04-28,62.6193
2010-04-29,62.6193
2010-04-30,62.6193
2010-05-01,62.6193
2010-05-02,62.6193
2010-05-03,62.6193
2010-05-04,62.6193
2010-05-05,62.6193
2010-05-06,62.6193
2010-05-07,62.6193
2010-05-08,62.6193
2010-05-09,62.6193
2010-05-10,62.6193
2010-05-11,62.6193
2010-05-12,62.6193
2010-05-13,62.6193
2010-05-14,62.6193
2010-05-15,62.6193
2010-05-16,62.6193
2010-05-17,62.6193
2010-05-18,62.6193
2010-05-19,62.6193
2010-05-20,62.6193
2010-05-21,62.6193
2010-05-22,62.6193
2010-05-23,62.6193
2010-05-24,62.6193
2010-05-25,62.6193
2010-05-26,62.6193
2010-05-27,62.6193
2010-05-28,62.6193
2010-05-29,62.6193
2010-05-30,62.6193
2010-05-31,62.6193
2010-06-01,62.6193
2010-06-02,62.6193
2010-06-03,62.6193
2010-06-04,62.6193
2010-06-05,62.6193
2010-06-06,62.6193
2010-06-07,62.6193
2010-06-08,62.6193
2010-06-09,62.6193
2010-06-10,62.6193
2010-06-11,62.6193
2010-06-12,62.6193
2010-06-13,62.6193
2010-06-14,62.6193
2010-06-15,62.6193
2010-06-16,62.6193
2010-06-17,62.6193
2010-06-18,62.6193
2010-06-19,62.6193
2010-06-20,62.6193
2010-06-21,62.6193
2010-06-22,62.6193
2010-06-23,62.6193
2010-06-24,62.6193
2010-06-25,62.6193
2010-06-26,62.6193
2010-06-27,62.6193
2010-06-28,62.6193
2010-06-29,62.6193
2010-06-30,86.4479
2010-07-01,86.4479
2010-07-02,86.4479
2010-07-03,86.4479
2010-07-04,86.4479
2010-07-05,86.4479
2010-07-06,86.4479
2010-07-07,86.4479
2010-07-08,86.4479
2010-07-09,86.4479
2010-07-10,86.4479
2010-07-11,86.4479
2010-07-12,86.4479
2010-07-13,86.4479
2010-07-14,86.4479
2010-07-15,86.4479
2010-07-16,86.4479
2010-07-17,86.4479
2010-07-18,86.4479
2010-07-19,86.4479
2010-07-20,86.4479
2010-07-21,86.4479
2010-07-22,86.4479
2010-07-23,86.4479
2010-07-24,86.4479
2010-07-25,86.4479
2010-07-26,86.4479
2010-07-27,86.4479
2010-07-28,86.4479
2010-07-29,86.4479
2010-07-30,86.4479
2010-07-31,86.4479
2010-08-01,86.4479
2010-08-02,86.4479
2010-08-03,86.4479
2010-08-04,86.4479
2010-08-05,86.4479
2010-08-06,86.4479
2010-08-07,86.4479
2010-08-08,86.4479
2010-08-09,86.4479
2010-08-10,86.4479
2010-08-11,86.4479
2010-08-12,86.4479
2010-08-13,86.4479
2010-08-14,86.4479
2010-08-15,86.4479
2010-08-16,86.4479
2010-08-17,86.4479
2010-08-18,86.4479
2010-08-19,86.4479
2010-08-20,86.4479
2010-08-21,86.4479
2010-08-22,86.4479
2010-08-23,86.4479
2010-08-24,86.4479
2010-08-25,86.4479
2010-08-26,86.4479
2010-08-27,86.4479
2010-08-28,86.4479
2010-08-29,86.4479
2010-08-30,86.4479
2010-08-31,86.4479
2010-09-01,86.4479
2010-09-02,86.4479
2010-09-03,86.4479
2010-09-04,86.4479
2010-09-05,86.4479
2010-09-06,86.4479
2010-09-07,86.4479
2010-09-08,86.4479
2010-09-09,86.4479
2010-09-10,86.4479
2010-09-11,86.4479
2010-09-12,86.4479
2010-09-13,86.4479
2010-09-14,86.4479
2010-09-15,86.4479
2010-09-16,86.4479
2010-09-17,86.4479
2010-09-18,86.4479
2010-09-19,86.4479
2010-09-20,86.4479
2010-09-21,86.4479
2010-09-22,86.4479
2010-09-23,86.4479
2010-09-24,86.4479
2010-09-25,86.4479
2010-09-26,86.4479
2010-09-27,86.4479
2010-09-28,86.4479
2010-09-29,86.4479
2010-09-30,79.15
2010-10-01,79.15
2010-10-02,79.15
2010-10-03,79.15
2010-10-04,79.15
2010-10-05,79.15
2010-10-06,79.15
2010-10-07,79.15
2010-10-08,79.15
2010-10-09,79.15
2010-10-10,79.15
2010-10-11,79.15
2010-10-12,79.15
2010-10-13,79.15
2010-10-14,79.15
2010-10-15,79.15
2010-10-16,79.15
2010-10-17,79.15
2010-10-18,79.15
