,HOT GR Equity
,RETURN_COM_EQY
2010-01-01,9.3611
2010-01-02,9.3611
2010-01-03,9.3611
2010-01-04,9.3611
2010-01-05,9.3611
2010-01-06,9.3611
2010-01-07,9.3611
2010-01-08,9.3611
2010-01-09,9.3611
2010-01-10,9.3611
2010-01-11,9.3611
2010-01-12,9.3611
2010-01-13,9.3611
2010-01-14,9.3611
2010-01-15,9.3611
2010-01-16,9.3611
2010-01-17,9.3611
2010-01-18,9.3611
2010-01-19,9.3611
2010-01-20,9.3611
2010-01-21,9.3611
2010-01-22,9.3611
2010-01-23,9.3611
2010-01-24,9.3611
2010-01-25,9.3611
2010-01-26,9.3611
2010-01-27,9.3611
2010-01-28,9.3611
2010-01-29,9.3611
2010-01-30,9.3611
2010-01-31,9.3611
2010-02-01,9.3611
2010-02-02,9.3611
2010-02-03,9.3611
2010-02-04,9.3611
2010-02-05,9.3611
2010-02-06,9.3611
2010-02-07,9.3611
2010-02-08,9.3611
2010-02-09,9.3611
2010-02-10,9.3611
2010-02-11,9.3611
2010-02-12,9.3611
2010-02-13,9.3611
2010-02-14,9.3611
2010-02-15,9.3611
2010-02-16,9.3611
2010-02-17,9.3611
2010-02-18,9.3611
2010-02-19,9.3611
2010-02-20,9.3611
2010-02-21,9.3611
2010-02-22,9.3611
2010-02-23,9.3611
2010-02-24,9.3611
2010-02-25,9.3611
2010-02-26,9.3611
2010-02-27,9.3611
2010-02-28,9.3611
2010-03-01,9.3611
2010-03-02,9.3611
2010-03-03,9.3611
2010-03-04,9.3611
2010-03-05,9.3611
2010-03-06,9.3611
2010-03-07,9.3611
2010-03-08,9.3611
2010-03-09,9.3611
2010-03-10,9.3611
2010-03-11,9.3611
2010-03-12,9.3611
2010-03-13,9.3611
2010-03-14,9.3611
2010-03-15,9.3611
2010-03-16,9.3611
2010-03-17,9.3611
2010-03-18,9.3611
2010-03-19,9.3611
2010-03-20,9.3611
2010-03-21,9.3611
2010-03-22,9.3611
2010-03-23,9.3611
2010-03-24,9.3611
2010-03-25,9.3611
2010-03-26,9.3611
2010-03-27,9.3611
2010-03-28,9.3611
2010-03-29,9.3611
2010-03-30,9.3611
2010-03-31,8.686
2010-04-01,8.686
2010-04-02,8.686
2010-04-03,8.686
2010-04-04,8.686
2010-04-05,8.686
2010-04-06,8.686
2010-04-07,8.686
2010-04-08,8.686
2010-04-09,8.686
2010-04-10,8.686
2010-04-11,8.686
2010-04-12,8.686
2010-04-13,8.686
2010-04-14,8.686
2010-04-15,8.686
2010-04-16,8.686
2010-04-17,8.686
2010-04-18,8.686
2010-04-19,8.686
2010-04-20,8.686
2010-04-21,8.686
2010-04-22,8.686
2010-04-23,8.686
2010-04-24,8.686
2010-04-25,8.686
2010-04-26,8.686
