,REL LN Equity
,BEST_PE_RATIO
2010-01-01,2.78
2010-01-02,2.78
2010-01-03,2.78
2010-01-04,2.786
2010-01-05,2.775
2010-01-06,2.761
2010-01-07,2.731
2010-01-08,2.75
2010-01-09,2.75
2010-01-10,2.75
2010-01-11,2.739
2010-01-12,2.731
2010-01-13,2.75
2010-01-14,2.753
2010-01-15,2.769
2010-01-16,2.769
2010-01-17,2.769
2010-01-18,2.767
2010-01-19,2.75
2010-01-20,2.775
2010-01-21,2.829
2010-01-22,2.805
2010-01-23,2.805
2010-01-24,2.805
2010-01-25,2.75
2010-01-26,2.726
2010-01-27,2.709
2010-01-28,2.684
2010-01-29,2.718
2010-01-30,2.718
2010-01-31,2.718
2010-02-01,2.726
2010-02-02,2.734
2010-02-03,2.737
2010-02-04,2.682
2010-02-05,2.623
2010-02-06,2.623
2010-02-07,2.623
2010-02-08,2.645
2010-02-09,2.64
2010-02-10,2.626
2010-02-11,2.635
2010-02-12,2.658
2010-02-13,2.658
2010-02-14,2.658
2010-02-15,2.645
2010-02-16,2.642
2010-02-17,2.682
2010-02-18,2.643
2010-02-19,2.622
2010-02-20,2.622
2010-02-21,2.622
2010-02-22,2.621
2010-02-23,2.652
2010-02-24,2.642
2010-02-25,2.64
2010-02-26,2.674
2010-02-27,2.674
2010-02-28,2.674
2010-03-01,2.707
2010-03-02,2.753
2010-03-03,2.745
2010-03-04,2.737
2010-03-05,2.777
2010-03-06,2.777
2010-03-07,2.777
2010-03-08,2.799
2010-03-09,2.796
2010-03-10,2.772
2010-03-11,2.769
2010-03-12,2.758
2010-03-13,2.758
2010-03-14,2.758
2010-03-15,2.742
2010-03-16,2.753
2010-03-17,2.753
2010-03-18,2.737
2010-03-19,2.713
2010-03-20,2.713
2010-03-21,2.713
2010-03-22,2.726
2010-03-23,2.745
2010-03-24,2.767
2010-03-25,2.859
2010-03-26,2.837
2010-03-27,2.837
2010-03-28,2.837
2010-03-29,2.856
2010-03-30,2.843
2010-03-31,2.856
2010-04-01,2.859
2010-04-02,2.859
2010-04-03,2.859
2010-04-04,2.859
2010-04-05,2.859
2010-04-06,2.859
2010-04-07,2.848
2010-04-08,2.824
2010-04-09,2.859
2010-04-10,2.859
2010-04-11,2.859
2010-04-12,2.859
2010-04-13,2.859
2010-04-14,2.856
2010-04-15,2.883
2010-04-16,2.867
2010-04-17,2.867
2010-04-18,2.867
2010-04-19,2.862
2010-04-20,2.897
2010-04-21,2.905
2010-04-22,2.924
2010-04-23,2.96
2010-04-24,2.96
2010-04-25,2.96
2010-04-26,2.911
2010-04-27,2.881
2010-04-28,2.847
2010-04-29,2.867
2010-04-30,2.878
2010-05-01,2.878
2010-05-02,2.878
2010-05-03,2.878
2010-05-04,2.858
2010-05-05,2.789
2010-05-06,2.816
2010-05-07,2.685
2010-05-08,2.685
2010-05-09,2.685
2010-05-10,2.746
2010-05-11,2.735
2010-05-12,2.844
2010-05-13,2.85
2010-05-14,2.786
2010-05-15,2.786
2010-05-16,2.786
2010-05-17,2.775
2010-05-18,2.808
2010-05-19,2.721
2010-05-20,2.648
2010-05-21,2.642
2010-05-22,2.642
2010-05-23,2.642
2010-05-24,2.655
2010-05-25,2.576
2010-05-26,2.609
2010-05-27,2.657
2010-05-28,2.694
2010-05-29,2.694
2010-05-30,2.694
2010-05-31,2.694
2010-06-01,2.679
2010-06-02,2.654
2010-06-03,2.675
2010-06-04,2.666
2010-06-05,2.666
2010-06-06,2.666
2010-06-07,2.637
2010-06-08,2.664
2010-06-09,2.71
2010-06-10,2.705
2010-06-11,2.767
2010-06-12,2.767
2010-06-13,2.767
2010-06-14,2.779
2010-06-15,2.805
2010-06-16,2.791
2010-06-17,2.791
2010-06-18,2.802
2010-06-19,2.802
2010-06-20,2.802
2010-06-21,2.816
2010-06-22,2.76
2010-06-23,2.808
2010-06-24,2.802
2010-06-25,2.797
2010-06-26,2.797
2010-06-27,2.797
2010-06-28,2.828
2010-06-29,2.779
2010-06-30,2.791
2010-07-01,2.742
2010-07-02,2.768
2010-07-03,2.768
2010-07-04,2.768
2010-07-05,2.769
2010-07-06,2.8
2010-07-07,2.853
2010-07-08,2.889
2010-07-09,2.895
2010-07-10,2.895
2010-07-11,2.895
2010-07-12,2.881
2010-07-13,2.948
2010-07-14,2.945
2010-07-15,2.923
2010-07-16,2.889
2010-07-17,2.889
2010-07-18,2.889
2010-07-19,2.875
2010-07-20,2.858
2010-07-21,2.892
2010-07-22,2.948
2010-07-23,3.004
2010-07-24,3.004
2010-07-25,3.004
2010-07-26,2.99
2010-07-27,2.973
2010-07-28,2.976
2010-07-29,3.088
2010-07-30,3.088
2010-07-31,3.088
2010-08-01,3.088
2010-08-02,3.107
2010-08-03,3.138
2010-08-04,3.14
2010-08-05,3.169
2010-08-06,3.129
2010-08-07,3.129
2010-08-08,3.129
2010-08-09,3.104
2010-08-10,3.058
2010-08-11,2.996
2010-08-12,3.03
2010-08-13,3.033
2010-08-14,3.033
2010-08-15,3.033
2010-08-16,2.993
2010-08-17,3.047
2010-08-18,3.024
2010-08-19,2.996
2010-08-20,2.979
2010-08-21,2.979
2010-08-22,2.979
2010-08-23,2.96
2010-08-24,2.943
2010-08-25,2.906
2010-08-26,2.909
2010-08-27,2.948
2010-08-28,2.948
2010-08-29,2.948
2010-08-30,2.948
2010-08-31,2.96
2010-09-01,3.041
2010-09-02,3.064
2010-09-03,3.067
2010-09-04,3.067
2010-09-05,3.067
2010-09-06,3.061
2010-09-07,3.039
2010-09-08,3.039
2010-09-09,3.033
2010-09-10,3.027
2010-09-11,3.027
2010-09-12,3.027
2010-09-13,3.036
2010-09-14,3.047
2010-09-15,3.044
2010-09-16,3.03
2010-09-17,3.022
2010-09-18,3.022
2010-09-19,3.022
2010-09-20,3.118
2010-09-21,3.089
2010-09-22,3.036
2010-09-23,3.033
2010-09-24,3.053
2010-09-25,3.053
2010-09-26,3.053
2010-09-27,3.024
2010-09-28,3.047
2010-09-29,3.019
2010-09-30,3.039
2010-10-01,3.022
2010-10-02,3.022
2010-10-03,3.022
2010-10-04,2.985
2010-10-05,3.075
2010-10-06,3.129
2010-10-07,3.075
2010-10-08,3.067
2010-10-09,3.067
2010-10-10,3.067
2010-10-11,3.106
2010-10-12,3.104
2010-10-13,3.18
2010-10-14,3.115
2010-10-15,3.132
2010-10-16,3.132
2010-10-17,3.132
2010-10-18,3.146
2010-10-19,3.126
2010-10-20,3.126
2010-10-21,3.157
2010-10-22,3.121
2010-10-23,3.121
2010-10-24,3.121
2010-10-25,3.106
2010-10-26,3.075
2010-10-27,3.039
2010-10-28,3.033
2010-10-29,3.022
2010-10-30,3.022
2010-10-31,3.022
2010-11-01,3.039
2010-11-02,3.033
2010-11-03,3.016
2010-11-04,2.996
2010-11-05,2.971
2010-11-06,2.971
2010-11-07,2.971
2010-11-08,3.027
2010-11-09,3.039
2010-11-10,3.033
2010-11-11,3.008
2010-11-12,3.03
2010-11-13,3.03
2010-11-14,3.03
2010-11-15,3.03
2010-11-16,2.993
2010-11-17,3.027
2010-11-18,2.988
2010-11-19,3.024
2010-11-20,3.024
2010-11-21,3.024
2010-11-22,3.024
2010-11-23,2.993
2010-11-24,2.993
2010-11-25,2.971
2010-11-26,2.968
2010-11-27,2.968
2010-11-28,2.968
2010-11-29,2.914
2010-11-30,2.875
2010-12-01,2.912
2010-12-02,2.937
2010-12-03,2.962
2010-12-04,2.962
2010-12-05,2.962
2010-12-06,2.914
2010-12-07,2.934
2010-12-08,2.909
2010-12-09,2.943
2010-12-10,2.931
2010-12-11,2.931
2010-12-12,2.931
2010-12-13,2.962
2010-12-14,2.991
2010-12-15,2.999
2010-12-16,3.005
2010-12-17,2.982
2010-12-18,2.982
2010-12-19,2.982
2010-12-20,2.982
2010-12-21,3.008
2010-12-22,2.996
2010-12-23,3.024
2010-12-24,3.039
2010-12-25,3.039
2010-12-26,3.039
2010-12-27,3.039
2010-12-28,3.039
2010-12-29,3.024
2010-12-30,3.041
2010-12-31,3.058
2011-01-01,3.058
2011-01-02,3.058
2011-01-03,3.058
2011-01-04,3.058
2011-01-05,3.036
2011-01-06,2.999
2011-01-07,2.993
2011-01-08,2.993
2011-01-09,2.993
2011-01-10,3.036
2011-01-11,3.089
2011-01-12,3.064
2011-01-13,3.07
2011-01-14,3.095
2011-01-15,3.095
2011-01-16,3.095
2011-01-17,3.126
2011-01-18,3.163
2011-01-19,3.143
2011-01-20,3.14
2011-01-21,3.169
2011-01-22,3.169
2011-01-23,3.169
2011-01-24,3.202
2011-01-25,3.219
2011-01-26,3.214
2011-01-27,3.163
2011-01-28,3.154
2011-01-29,3.154
2011-01-30,3.154
2011-01-31,3.121
2011-02-01,3.129
2011-02-02,3.149
2011-02-03,3.126
2011-02-04,3.135
2011-02-05,3.135
2011-02-06,3.135
2011-02-07,3.214
2011-02-08,3.279
2011-02-09,3.293
2011-02-10,3.296
2011-02-11,3.335
2011-02-12,3.335
2011-02-13,3.335
2011-02-14,3.298
2011-02-15,3.253
2011-02-16,3.242
2011-02-17,3.171
2011-02-18,3.185
2011-02-19,3.185
2011-02-20,3.185
2011-02-21,3.188
2011-02-22,3.169
2011-02-23,3.104
2011-02-24,3.067
2011-02-25,3.092
2011-02-26,3.092
2011-02-27,3.092
2011-02-28,3.104
2011-03-01,3.047
2011-03-02,3.056
2011-03-03,3.078
2011-03-04,3.092
2011-03-05,3.092
2011-03-06,3.092
2011-03-07,3.112
2011-03-08,3.092
2011-03-09,3.098
2011-03-10,3.024
2011-03-11,2.982
2011-03-12,2.982
2011-03-13,2.982
2011-03-14,2.965
2011-03-15,2.869
2011-03-16,2.855
2011-03-17,2.886
2011-03-18,2.909
2011-03-19,2.909
2011-03-20,2.909
2011-03-21,2.928
2011-03-22,2.912
2011-03-23,2.903
2011-03-24,2.9
2011-03-25,2.9
2011-03-26,2.9
2011-03-27,2.9
2011-03-28,2.94
2011-03-29,2.965
2011-03-30,3.027
2011-03-31,3.05
2011-04-01,3.07
2011-04-02,3.07
2011-04-03,3.07
2011-04-04,3.095
2011-04-05,3.067
2011-04-06,3.058
2011-04-07,3.036
2011-04-08,3.047
2011-04-09,3.047
2011-04-10,3.047
2011-04-11,3.033
2011-04-12,3.022
2011-04-13,3.027
2011-04-14,3.027
2011-04-15,3.036
2011-04-16,3.036
2011-04-17,3.036
2011-04-18,3.024
2011-04-19,3.036
2011-04-20,3.071
2011-04-21,3.053
2011-04-22,3.053
2011-04-23,3.053
2011-04-24,3.053
2011-04-25,3.053
2011-04-26,3.056
2011-04-27,3.065
2011-04-28,3.079
2011-04-29,3.079
2011-04-30,3.079
2011-05-01,3.079
2011-05-02,3.079
2011-05-03,3.132
2011-05-04,3.14
2011-05-05,3.132
2011-05-06,3.123
2011-05-07,3.123
2011-05-08,3.123
2011-05-09,3.091
2011-05-10,3.193
2011-05-11,3.251
2011-05-12,3.248
2011-05-13,3.262
2011-05-14,3.262
2011-05-15,3.262
2011-05-16,3.242
2011-05-17,3.239
2011-05-18,3.242
2011-05-19,3.286
2011-05-20,3.28
2011-05-21,3.28
2011-05-22,3.28
2011-05-23,3.196
2011-05-24,3.19
2011-05-25,3.196
2011-05-26,3.172
2011-05-27,3.19
2011-05-28,3.19
2011-05-29,3.19
2011-05-30,3.19
2011-05-31,3.201
2011-06-01,3.19
2011-06-02,3.187
2011-06-03,3.21
2011-06-04,3.21
2011-06-05,3.21
2011-06-06,3.23
2011-06-07,3.172
2011-06-08,3.172
2011-06-09,3.184
2011-06-10,3.135
2011-06-11,3.135
2011-06-12,3.135
2011-06-13,3.132
2011-06-14,3.149
2011-06-15,3.135
2011-06-16,3.103
2011-06-17,3.117
2011-06-18,3.117
2011-06-19,3.117
2011-06-20,3.108
2011-06-21,3.123
2011-06-22,3.123
2011-06-23,3.076
2011-06-24,3.103
2011-06-25,3.103
2011-06-26,3.103
2011-06-27,3.126
2011-06-28,3.172
2011-06-29,3.219
2011-06-30,3.289
2011-07-01,3.329
2011-07-02,3.329
2011-07-03,3.329
2011-07-04,3.329
2011-07-05,3.341
2011-07-06,3.335
2011-07-07,3.358
2011-07-08,3.289
2011-07-09,3.289
2011-07-10,3.289
2011-07-11,3.257
2011-07-12,3.236
2011-07-13,3.219
2011-07-14,3.193
2011-07-15,3.167
2011-07-16,3.167
2011-07-17,3.167
2011-07-18,3.117
2011-07-19,3.149
2011-07-20,3.207
2011-07-21,3.239
2011-07-22,3.262
2011-07-23,3.262
2011-07-24,3.262
2011-07-25,3.259
2011-07-26,3.28
2011-07-27,3.251
2011-07-28,3.219
2011-07-29,3.219
2011-07-30,3.219
2011-07-31,3.219
2011-08-01,3.129
2011-08-02,3.076
2011-08-03,3.007
2011-08-04,2.917
2011-08-05,2.886
2011-08-06,2.886
2011-08-07,2.886
2011-08-08,2.801
2011-08-09,2.827
2011-08-10,2.738
2011-08-11,2.751
2011-08-12,2.842
2011-08-13,2.842
2011-08-14,2.842
2011-08-15,2.879
2011-08-16,2.845
2011-08-17,2.842
2011-08-18,2.709
2011-08-19,2.778
2011-08-20,2.778
2011-08-21,2.778
2011-08-22,2.817
2011-08-23,2.832
2011-08-24,2.879
2011-08-25,2.842
2011-08-26,2.852
2011-08-27,2.852
2011-08-28,2.852
2011-08-29,2.852
2011-08-30,2.899
2011-08-31,2.954
2011-09-01,3.001
2011-09-02,2.951
2011-09-03,2.951
2011-09-04,2.951
2011-09-05,2.872
2011-09-06,2.834
2011-09-07,2.898
2011-09-08,2.885
2011-09-09,2.821
2011-09-10,2.821
2011-09-11,2.821
2011-09-12,2.765
2011-09-13,2.748
2011-09-14,2.817
2011-09-15,2.882
2011-09-16,2.921
2011-09-17,2.921
2011-09-18,2.921
2011-09-19,2.875
2011-09-20,2.948
2011-09-21,2.934
2011-09-22,2.83
2011-09-23,2.858
2011-09-24,2.858
2011-09-25,2.858
2011-09-26,2.921
2011-09-27,2.966
2011-09-28,2.945
2011-09-29,2.942
2011-09-30,2.904
2011-10-01,2.904
2011-10-02,2.904
2011-10-03,2.925
2011-10-04,2.871
2011-10-05,2.914
2011-10-06,3.004
2011-10-07,3.022
2011-10-08,3.022
2011-10-09,3.022
2011-10-10,3.042
2011-10-11,3.042
2011-10-12,3.077
2011-10-13,3.083
2011-10-14,3.142
2011-10-15,3.142
2011-10-16,3.142
2011-10-17,3.077
2011-10-18,3.089
2011-10-19,3.083
2011-10-20,3.071
2011-10-21,3.139
2011-10-22,3.139
2011-10-23,3.139
2011-10-24,3.183
2011-10-25,3.171
2011-10-26,3.198
2011-10-27,3.256
2011-10-28,3.242
2011-10-29,3.242
2011-10-30,3.242
2011-10-31,3.139
2011-11-01,3.086
2011-11-02,3.133
2011-11-03,3.201
2011-11-04,3.209
2011-11-05,3.209
2011-11-06,3.209
2011-11-07,3.212
2011-11-08,3.183
2011-11-09,3.145
2011-11-10,3.139
2011-11-11,3.201
2011-11-12,3.201
2011-11-13,3.201
2011-11-14,3.174
2011-11-15,3.157
2011-11-16,3.08
2011-11-17,3.051
2011-11-18,3.039
2011-11-19,3.039
2011-11-20,3.039
2011-11-21,2.998
2011-11-22,2.978
2011-11-23,2.931
2011-11-24,2.916
2011-11-25,2.925
2011-11-26,2.925
2011-11-27,2.925
2011-11-28,3.001
2011-11-29,3.007
2011-11-30,3.101
2011-12-01,3.089
2011-12-02,3.077
2011-12-03,3.077
2011-12-04,3.077
2011-12-05,3.086
2011-12-06,3.039
2011-12-07,3.001
2011-12-08,3.019
2011-12-09,3.063
2011-12-10,3.063
2011-12-11,3.063
2011-12-12,2.995
2011-12-13,2.992
2011-12-14,2.975
2011-12-15,2.978
2011-12-16,2.963
2011-12-17,2.963
2011-12-18,2.963
2011-12-19,2.935
2011-12-20,2.995
2011-12-21,2.966
2011-12-22,2.957
2011-12-23,3.03
2011-12-24,3.03
2011-12-25,3.03
2011-12-26,3.03
2011-12-27,3.03
2011-12-28,3.016
