,APL PA Equity,APL PA Equity,APL PA Equity,APL PA Equity,APL PA Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,50.818,50.864,50.211,50.519,163045.0
2010-01-02,50.818,50.864,50.211,50.519,163045.0
2010-01-03,50.818,50.864,50.211,50.519,163045.0
2010-01-04,50.519,51.01,50.356,50.708,27689.0
2010-01-05,50.708,52.318,50.708,52.148,297071.0
2010-01-06,52.148,52.899,51.736,52.037,416172.0
2010-01-07,52.037,52.754,52.027,52.34,240747.0
2010-01-08,52.34,52.68,52.042,52.152,119249.0
2010-01-09,52.34,52.68,52.042,52.152,119249.0
2010-01-10,52.34,52.68,52.042,52.152,119249.0
2010-01-11,52.152,53.335,52.1,52.626,491219.0
2010-01-12,52.626,52.935,52.245,52.37,105801.0
2010-01-13,52.37,52.869,52.245,52.348,94833.0
2010-01-14,52.348,53.044,52.245,52.36,225407.0
2010-01-15,52.36,53.19,52.318,52.728,495867.0
2010-01-16,52.36,53.19,52.318,52.728,495867.0
2010-01-17,52.36,53.19,52.318,52.728,495867.0
2010-01-18,52.728,52.963,52.463,52.579,89914.0
2010-01-19,52.579,53.335,52.579,52.957,212172.0
2010-01-20,52.957,53.611,52.616,52.802,264583.0
2010-01-21,52.802,53.043,51.665,52.303,213728.0
2010-01-22,51.906,52.065,51.3,51.55,129678.0
2010-01-23,51.906,52.065,51.3,51.55,129678.0
2010-01-24,51.906,52.065,51.3,51.55,129678.0
2010-01-25,51.55,52.245,51.475,51.662,83246.0
2010-01-26,51.662,52.376,51.662,51.864,111713.0
2010-01-27,51.864,52.252,51.736,51.764,53203.0
2010-01-28,51.764,52.013,50.574,51.027,134412.0
2010-01-29,51.027,51.736,50.792,51.736,53970.0
2010-01-30,51.027,51.736,50.792,51.736,53970.0
2010-01-31,51.027,51.736,50.792,51.736,53970.0
2010-02-01,51.389,52.608,51.373,51.485,78738.0
2010-02-02,51.485,51.991,51.447,51.562,17153.0
2010-02-03,51.562,51.744,51.3,51.502,41757.0
2010-02-04,51.502,52.216,51.502,51.841,91487.0
2010-02-05,51.502,52.216,51.502,51.841,91487.0
2010-02-06,51.502,52.216,51.502,51.841,91487.0
2010-02-07,51.502,52.216,51.502,51.841,91487.0
2010-02-08,51.841,52.013,51.3,51.537,70725.0
2010-02-09,51.537,52.754,51.537,52.27,123978.0
2010-02-10,52.27,53.335,52.027,52.034,301041.0
2010-02-11,52.034,52.303,51.738,51.857,85618.0
2010-02-12,51.857,52.171,51.736,51.767,28274.0
2010-02-13,51.857,52.171,51.736,51.767,28274.0
2010-02-14,51.857,52.171,51.736,51.767,28274.0
2010-02-15,51.767,51.767,51.01,51.232,39606.0
2010-02-16,51.232,51.722,51.112,51.386,88463.0
2010-02-17,51.386,51.954,51.386,51.763,144580.0
2010-02-18,51.763,51.86,51.533,51.703,34005.0
2010-02-19,51.703,51.882,50.894,51.119,99105.0
2010-02-20,51.703,51.882,50.894,51.119,99105.0
2010-02-21,51.703,51.882,50.894,51.119,99105.0
2010-02-22,51.09,51.373,50.588,50.971,72645.0
2010-02-23,50.971,51.838,50.741,51.564,154980.0
2010-02-24,51.564,51.809,50.88,51.066,30862.0
2010-02-25,51.066,51.591,50.937,51.453,96943.0
2010-02-26,51.453,51.918,51.373,51.575,79680.0
2010-02-27,51.453,51.918,51.373,51.575,79680.0
2010-02-28,51.453,51.918,51.373,51.575,79680.0
2010-03-01,51.575,51.736,50.283,50.594,74492.0
2010-03-02,50.594,51.155,50.102,50.237,100146.0
2010-03-03,50.237,51.591,49.702,51.019,198266.0
2010-03-04,51.019,51.443,50.719,50.88,51075.0
2010-03-05,51.284,52.652,50.415,52.372,313217.0
