,HSY US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,21.6298
2020-01-02,21.2365
2020-01-03,21.4058
2020-01-04,21.4058
2020-01-05,21.4058
2020-01-06,21.3159
2020-01-07,21.3524
2020-01-08,21.5073
2020-01-09,21.5764
2020-01-10,21.7795
2020-01-11,21.7795
2020-01-12,21.7795
2020-01-13,21.9827
2020-01-14,21.8707
2020-01-15,21.829
2020-01-16,21.8889
2020-01-17,22.1337
2020-01-18,22.1337
2020-01-19,22.1337
2020-01-20,22.1337
2020-01-21,22.3916
2020-01-22,22.3408
2020-01-23,22.5218
2020-01-24,22.6325
2020-01-25,22.6325
2020-01-26,22.6325
2020-01-27,22.3942
2020-01-28,22.3083
2020-01-29,22.1728
2020-01-30,23.0831
2020-01-31,22.6963
2020-02-01,22.6963
2020-02-02,22.6963
2020-02-03,22.6286
2020-02-04,22.3408
2020-02-05,22.3981
2020-02-06,22.5882
2020-02-07,22.8109
2020-02-08,22.8109
2020-02-09,22.8109
2020-02-10,22.9334
2020-02-11,23.0193
2020-02-12,23.0467
2020-02-13,23.2381
2020-02-14,23.3696
2020-02-15,23.3696
2020-02-16,23.3696
2020-02-17,23.3696
2020-02-18,23.3332
2020-02-19,23.3892
2020-02-20,23.4223
2020-02-21,23.4498
2020-02-22,23.4498
2020-02-23,23.4498
2020-02-24,23.2694
2020-02-25,23.0576
2020-02-26,23.1961
2020-02-27,22.3568
2020-02-28,21.3147
2020-02-29,21.3147
2020-03-01,21.3147
2020-03-02,22.4091
2020-03-03,22.5568
2020-03-04,23.5322
2020-03-05,23.2772
2020-03-06,22.9229
2020-03-07,22.9229
2020-03-08,22.9229
2020-03-09,22.2312
2020-03-10,22.6954
2020-03-11,21.9397
2020-03-12,19.8608
2020-03-13,20.7721
2020-03-14,20.7721
2020-03-15,20.7721
2020-03-16,18.9534
2020-03-17,20.6754
2020-03-18,17.6695
2020-03-19,18.4122
2020-03-20,17.8813
2020-03-21,17.8813
2020-03-22,17.8813
2020-03-23,17.0576
2020-03-24,18.4291
2020-03-25,18.9809
2020-03-26,19.8059
2020-03-27,20.4392
2020-03-28,20.4392
2020-03-29,20.4392
2020-03-30,21.3795
2020-03-31,20.6641
2020-04-01,20.5503
2020-04-02,21.0633
2020-04-03,21.6095
2020-04-04,21.6095
2020-04-05,21.6095
2020-04-06,21.892
2020-04-07,21.7906
2020-04-08,22.007
2020-04-09,22.1692
2020-04-10,22.1692
2020-04-11,22.1692
2020-04-12,22.1692
2020-04-13,21.9989
2020-04-14,22.4693
2020-04-15,21.9921
2020-04-16,22.3774
2020-04-17,22.514
2020-04-18,22.514
2020-04-19,22.514
2020-04-20,22.2598
2020-04-21,21.8596
2020-04-22,22.084
2020-04-23,21.1078
2020-04-24,20.9506
2020-04-25,20.9506
2020-04-26,20.9506
2020-04-27,20.8659
2020-04-28,20.7504
2020-04-29,20.7719
2020-04-30,20.5058
2020-05-01,20.5206
2020-05-02,20.5206
2020-05-03,20.5206
2020-05-04,20.3473
2020-05-05,20.3621
2020-05-06,20.4118
2020-05-07,20.2505
2020-05-08,20.6079
2020-05-09,20.6079
2020-05-10,20.6079
2020-05-11,20.5757
2020-05-12,20.5112
2020-05-13,20.4306
2020-05-14,20.3177
2020-05-15,20.2304
2020-05-16,20.2304
2020-05-17,20.2304
2020-05-18,20.4843
2020-05-19,20.3016
2020-05-20,20.3432
2020-05-21,19.9146
2020-05-22,20.2143
2020-05-23,20.2143
2020-05-24,20.2143
2020-05-25,20.2143
2020-05-26,19.9469
2020-05-27,20.5891
2020-05-28,20.9828
2020-05-29,20.9425
2020-05-30,20.9425
2020-05-31,20.9425
2020-06-01,21.0433
2020-06-02,21.144
2020-06-03,20.7463
2020-06-04,20.6402
2020-06-05,20.9102
2020-06-06,20.9102
2020-06-07,20.9102
2020-06-08,20.9411
2020-06-09,20.6281
2020-06-10,20.8941
2020-06-11,20.0571
2020-06-12,20.0597
2020-06-13,20.0597
2020-06-14,20.0597
2020-06-15,20.1968
2020-06-16,20.526
2020-06-17,20.4857
2020-06-18,20.5206
2020-06-19,20.1054
2020-06-20,20.1054
2020-06-21,20.1054
2020-06-22,20.2546
2020-06-23,20.2129
2020-06-24,19.9079
2020-06-25,20.0006
2020-06-26,19.9207
2020-06-27,19.9207
2020-06-28,19.9207
2020-06-29,20.1613
2020-06-30,20.4361
2020-07-01,20.5044
2020-07-02,20.4689
2020-07-03,20.4689
2020-07-04,20.4689
2020-07-05,20.4689
2020-07-06,20.4129
2020-07-07,20.3855
2020-07-08,20.2857
2020-07-09,20.0437
2020-07-10,20.1804
2020-07-11,20.1804
2020-07-12,20.1804
2020-07-13,20.1982
2020-07-14,20.7341
2020-07-15,20.7615
2020-07-16,21.0964
2020-07-17,21.363
2020-07-18,21.363
2020-07-19,21.363
2020-07-20,21.2413
2020-07-21,21.4874
2020-07-22,21.6447
2020-07-23,22.7218
2020-07-24,22.633
2020-07-25,22.633
2020-07-26,22.633
2020-07-27,22.7164
2020-07-28,22.6398
2020-07-29,22.6507
2020-07-30,22.5796
2020-07-31,22.5961
2020-08-01,22.5961
2020-08-02,22.5961
2020-08-03,22.5318
2020-08-04,22.4443
2020-08-05,22.1667
2020-08-06,22.3582
2020-08-07,22.3923
2020-08-08,22.3923
2020-08-09,22.3923
2020-08-10,22.3923
2020-08-11,22.1996
2020-08-12,22.6795
2020-08-13,22.7547
2020-08-14,22.6863
2020-08-15,22.6863
2020-08-16,22.6863
2020-08-17,22.9953
2020-08-18,23.1676
2020-08-19,22.9174
2020-08-20,22.9146
2020-08-21,22.8722
2020-08-22,22.8722
2020-08-23,22.8722
2020-08-24,23.065
2020-08-25,23.0418
2020-08-26,23.1074
2020-08-27,23.0459
2020-08-28,23.1142
2020-08-29,23.1142
2020-08-30,23.1142
2020-08-31,23.0377
2020-09-01,23.0076
2020-09-02,23.1443
2020-09-03,22.9994
2020-09-04,23.0595
2020-09-05,23.0595
2020-09-06,23.0595
2020-09-07,23.0595
2020-09-08,22.6111
2020-09-09,22.9119
2020-09-10,22.5605
2020-09-11,22.6084
2020-09-12,22.6084
2020-09-13,22.6084
2020-09-14,22.4716
2020-09-15,22.4498
2020-09-16,22.2925
2020-09-17,21.9247
2020-09-18,21.7087
2020-09-19,21.7087
2020-09-20,21.7087
2020-09-21,21.4462
2020-09-22,21.505
2020-09-23,21.0825
2020-09-24,21.5364
2020-09-25,19.719
2020-09-26,19.719
2020-09-27,19.719
2020-09-28,19.8298
2020-09-29,19.9268
2020-09-30,20.1943
2020-10-01,20.2677
2020-10-02,20.142
2020-10-03,20.142
2020-10-04,20.142
2020-10-05,20.2478
2020-10-06,19.9728
2020-10-07,20.203
2020-10-08,20.2154
2020-10-09,20.4792
2020-10-10,20.4792
2020-10-11,20.4792
2020-10-12,20.784
2020-10-13,20.8798
2020-10-14,20.957
2020-10-15,21.0751
2020-10-16,21.0129
2020-10-17,21.0129
2020-10-18,21.0129
2020-10-19,20.7119
2020-10-20,20.6347
2020-10-21,20.473
2020-10-22,20.4556
2020-10-23,20.5675
2020-10-24,20.5675
2020-10-25,20.5675
2020-10-26,20.3013
2020-10-27,20.0898
2020-10-28,19.5548
2020-10-29,19.5088
2020-10-30,19.4627
2020-10-31,19.4627
2020-11-01,19.4627
2020-11-02,19.8758
2020-11-03,20.1172
2020-11-04,20.2689
2020-11-05,20.3511
2020-11-06,20.9591
2020-11-07,20.9591
2020-11-08,20.9591
2020-11-09,20.9989
2020-11-10,21.3151
2020-11-11,21.4894
2020-11-12,21.4769
2020-11-13,21.5317
2020-11-14,21.5317
2020-11-15,21.5317
2020-11-16,21.6711
2020-11-17,21.3985
2020-11-18,21.1134
