,TERP US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,91.7798
2020-01-02,91.6997
2020-01-03,91.9099
2020-01-04,91.9099
2020-01-05,91.9099
2020-01-06,91.6997
2020-01-07,91.6797
2020-01-08,91.9199
2020-01-09,92.04
2020-01-10,92.2001
2020-01-11,92.2001
2020-01-12,92.2001
2020-01-13,95.3226
2020-01-14,95.4227
2020-01-15,95.7029
2020-01-16,95.5528
2020-01-17,95.5828
2020-01-18,95.5828
2020-01-19,95.5828
2020-01-20,95.5828
2020-01-21,95.6229
2020-01-22,95.4627
2020-01-23,95.6029
2020-01-24,95.6229
2020-01-25,95.6229
2020-01-26,95.6229
2020-01-27,95.3426
2020-01-28,96.0232
2020-01-29,96.3034
2020-01-30,96.8839
2020-01-31,97.1841
2020-02-01,97.1841
2020-02-02,97.1841
2020-02-03,97.5044
2020-02-04,97.6645
2020-02-05,98.3851
2020-02-06,99.546
2020-02-07,99.7662
2020-02-08,99.7662
2020-02-09,99.7662
2020-02-10,100.5068
2020-02-11,100.9272
2020-02-12,101.2274
2020-02-13,101.6878
2020-02-14,102.1281
2020-02-15,102.1281
2020-02-16,102.1281
2020-02-17,102.1281
2020-02-18,103.3691
2020-02-19,103.7094
2020-02-20,103.6093
2020-02-21,103.3091
2020-02-22,103.3091
2020-02-23,103.3091
2020-02-24,101.8679
2020-02-25,100.0865
2020-02-26,100.3967
2020-02-27,98.4051
2020-02-28,98.5853
2020-02-29,98.5853
2020-03-01,98.5853
2020-03-02,100.3467
2020-03-03,101.0072
2020-03-04,101.5877
2020-03-05,100.9072
2020-03-06,100.5869
2020-03-07,100.5869
2020-03-08,100.5869
2020-03-09,95.823
2020-03-10,96.3835
2020-03-11,93.5812
2020-03-12,87.9967
2020-03-13,90.5387
2020-03-14,90.5387
2020-03-15,90.5387
2020-03-16,85.0143
2020-03-17,91.3394
2020-03-18,87.3354
2020-03-19,88.0143
2020-03-20,88.7333
2020-03-21,88.7333
2020-03-22,88.7333
2020-03-23,84.0802
2020-03-24,87.7947
2020-03-25,92.248
