,GVA US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,31.802
2020-01-02,31.7214
2020-01-03,32.074
2020-01-04,32.074
2020-01-05,32.074
2020-01-06,32.1647
2020-01-07,31.8826
2020-01-08,31.7113
2020-01-09,31.802
2020-01-10,31.8121
2020-01-11,31.8121
2020-01-12,31.8121
2020-01-13,30.2402
2020-01-14,31.0161
2020-01-15,31.4493
2020-01-16,31.671
2020-01-17,30.8851
2020-01-18,30.8851
2020-01-19,30.8851
2020-01-20,30.8851
2020-01-21,30.9052
2020-01-22,30.6836
2020-01-23,31.278
2020-01-24,30.9354
2020-01-25,30.9354
2020-01-26,30.9354
2020-01-27,30.9858
2020-01-28,31.1672
2020-01-29,31.8826
2020-01-30,31.8524
2020-01-31,31.2579
2020-02-01,31.2579
2020-02-02,31.2579
2020-02-03,31.137
2020-02-04,31.5602
2020-02-05,32.4368
2020-02-06,31.1571
2020-02-07,31.1873
2020-02-08,31.1873
2020-02-09,31.1873
2020-02-10,31.5904
2020-02-11,32.1043
2020-02-12,32.6484
2020-02-13,32.4771
2020-02-14,32.467
2020-02-15,32.467
2020-02-16,32.467
2020-02-17,32.467
2020-02-18,32.2856
2020-02-19,31.409
2020-02-20,30.7642
2020-02-21,30.1294
2020-02-22,30.1294
2020-02-23,30.1294
2020-02-24,29.152
2020-02-25,27.8018
2020-02-26,26.1796
2020-02-27,25.6456
2020-02-28,24.3962
2020-02-29,24.3962
2020-03-01,24.3962
2020-03-02,24.0233
2020-03-03,23.6707
2020-03-04,23.8823
2020-03-05,22.0585
2020-03-06,21.5547
2020-03-07,21.5547
2020-03-08,21.5547
2020-03-09,19.8721
2020-03-10,19.2373
2020-03-11,18.9753
2020-03-12,15.6905
2020-03-13,16.7384
2020-03-14,16.7384
2020-03-15,16.7384
2020-03-16,15.1968
2020-03-17,14.0985
2020-03-18,15.217
2020-03-19,18.2801
2020-03-20,16.154
2020-03-21,16.154
2020-03-22,16.154
2020-03-23,16.7082
2020-03-24,17.8669
2020-03-25,17.6856
2020-03-26,18.3808
2020-03-27,17.4841
2020-03-28,17.4841
2020-03-29,17.4841
2020-03-30,17.5848
2020-03-31,92.3233
2020-04-01,93.3859
2020-04-02,93.7556
2020-04-03,87.3336
2020-04-04,87.3336
2020-04-05,87.3336
2020-04-06,93.3859
2020-04-07,95.0954
2020-04-08,98.7452
2020-04-09,99.5768
2020-04-10,99.5768
2020-04-11,99.5768
2020-04-12,99.5768
2020-04-13,98.699
2020-04-14,98.3294
2020-04-15,93.848
2020-04-16,90.1519
2020-04-17,97.6364
2020-04-18,97.6364
2020-04-19,97.6364
2020-04-20,90.6139
2020-04-21,93.1549
2020-04-22,92.6467
2020-04-23,94.4024
2020-04-24,94.4486
2020-04-25,94.4486
2020-04-26,94.4486
2020-04-27,99.2996
2020-04-28,100.7781
