,STLD US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,8.602
2020-01-02,8.5496
2020-01-03,8.4186
2020-01-04,8.4186
2020-01-05,8.4186
2020-01-06,8.3957
2020-01-07,8.5562
2020-01-08,8.5627
2020-01-09,8.4929
2020-01-10,8.3073
2020-01-11,8.3073
2020-01-12,8.3073
2020-01-13,8.4295
2020-01-14,8.5081
2020-01-15,8.3804
2020-01-16,8.3662
2020-01-17,8.4208
2020-01-18,8.4208
2020-01-19,8.4208
2020-01-20,8.4208
2020-01-21,8.1392
2020-01-22,8.1719
2020-01-23,8.0759
2020-01-24,7.8837
2020-01-25,7.8837
2020-01-26,7.8837
2020-01-27,7.7942
2020-01-28,7.8728
2020-01-29,7.779
2020-01-30,7.8183
2020-01-31,7.6938
2020-02-01,7.6938
2020-02-02,7.6938
2020-02-03,7.7222
2020-02-04,7.7058
2020-02-05,7.7462
2020-02-06,7.5999
2020-02-07,7.5061
2020-02-08,7.5061
2020-02-09,7.5061
2020-02-10,7.5257
2020-02-11,7.6502
2020-02-12,7.589
2020-02-13,7.5257
2020-02-14,7.3794
2020-02-15,7.3794
2020-02-16,7.3794
2020-02-17,7.3794
2020-02-18,7.4406
2020-02-19,7.5301
2020-02-20,7.5781
2020-02-21,7.6523
2020-02-22,7.6523
2020-02-23,7.6523
2020-02-24,7.5716
2020-02-25,7.2943
2020-02-26,7.2528
2020-02-27,7.041
2020-02-28,6.9331
2020-02-29,6.9331
2020-03-01,6.9331
2020-03-02,7.0759
2020-03-03,6.9396
2020-03-04,7.0889
2020-03-05,6.721
2020-03-06,6.5695
2020-03-07,6.5695
2020-03-08,6.5695
2020-03-09,5.7559
2020-03-10,6.0588
2020-03-11,5.7472
2020-03-12,5.2257
2020-03-13,5.8987
2020-03-14,5.8987
2020-03-15,5.8987
2020-03-16,5.0396
2020-03-17,4.9531
2020-03-18,4.5246
2020-03-19,5.176
2020-03-20,5.2409
2020-03-21,5.2409
2020-03-22,5.2409
2020-03-23,5.0418
2020-03-24,5.6681
2020-03-25,5.4095
2020-03-26,5.6099
2020-03-27,5.5431
2020-03-28,5.5431
2020-03-29,5.5431
2020-03-30,5.875
2020-03-31,6.2429
2020-04-01,6.1112
2020-04-02,5.9685
2020-04-03,5.9004
2020-04-04,5.9004
2020-04-05,5.9004
2020-04-06,6.2561
2020-04-07,6.2978
2020-04-08,6.4537
2020-04-09,6.5546
2020-04-10,6.5546
2020-04-11,6.5546
2020-04-12,6.5546
2020-04-13,6.491
2020-04-14,6.3922
2020-04-15,6.0914
2020-04-16,6.1803
2020-04-17,6.4471
2020-04-18,6.4471
2020-04-19,6.4471
2020-04-20,6.2495
2020-04-21,6.1726
2020-04-22,6.3088
2020-04-23,6.5788
2020-04-24,6.4624
2020-04-25,6.4624
2020-04-26,6.4624
2020-04-27,6.7676
2020-04-28,6.7215
2020-04-29,6.9784
2020-04-30,6.6227
2020-05-01,6.6534
2020-05-02,6.6534
2020-05-03,6.6534
2020-05-04,6.6337
2020-05-05,6.5964
2020-05-06,6.5371
2020-05-07,6.592
2020-05-08,6.8642
