,EXEL US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,12.3211
2020-01-02,12.354
2020-01-03,11.8194
2020-01-04,11.8194
2020-01-05,11.8194
2020-01-06,12.2676
2020-01-07,13.1887
2020-01-08,13.4148
2020-01-09,13.1517
2020-01-10,12.8967
2020-01-11,12.8967
2020-01-12,12.8967
2020-01-13,13.0201
2020-01-14,13.9905
2020-01-15,14.6032
2020-01-16,14.6402
2020-01-17,14.1303
2020-01-18,14.1303
2020-01-19,14.1303
2020-01-20,14.1303
2020-01-21,14.081
2020-01-22,14.0481
2020-01-23,13.9247
2020-01-24,12.65
2020-01-25,12.65
2020-01-26,12.65
2020-01-27,12.4198
2020-01-28,12.5349
2020-01-29,12.4527
2020-01-30,11.9757
2020-01-31,11.9757
2020-02-01,11.9757
2020-02-02,11.9757
2020-02-03,12.2059
2020-02-04,12.3046
2020-02-05,12.9872
2020-02-06,13.1517
2020-02-07,13.4724
2020-02-08,13.4724
2020-02-09,13.4724
2020-02-10,13.6287
2020-02-11,13.7767
2020-02-12,14.3606
2020-02-13,14.4839
2020-02-14,14.9116
2020-02-15,14.9116
2020-02-16,14.9116
2020-02-17,14.9116
2020-02-18,15.2899
2020-02-19,15.7586
2020-02-20,15.4955
2020-02-21,15.1747
2020-02-22,15.1747
2020-02-23,15.1747
2020-02-24,14.4264
2020-02-25,13.7849
2020-02-26,13.2793
2020-02-27,13.0561
2020-02-28,13.1966
2020-02-29,13.1966
2020-03-01,13.1966
2020-03-02,13.7752
2020-03-03,13.3206
2020-03-04,14.2712
2020-03-05,13.6843
2020-03-06,13.2462
2020-03-07,13.2462
2020-03-08,13.2462
2020-03-09,12.4692
2020-03-10,13.0313
2020-03-11,12.1469
2020-03-12,10.4359
2020-03-13,11.6923
2020-03-14,11.6923
2020-03-15,11.6923
2020-03-16,9.7829
2020-03-17,10.0309
2020-03-18,9.9647
2020-03-19,10.3697
2020-03-20,10.3532
2020-03-21,10.3532
2020-03-22,10.3532
2020-03-23,10.5103
2020-03-24,10.9318
2020-03-25,10.8657
2020-03-26,12.1138
2020-03-27,12.0725
2020-03-28,12.0725
2020-03-29,12.0725
2020-03-30,12.5188
2020-03-31,12.8876
2020-04-01,12.2003
2020-04-02,12.3721
2020-04-03,12.2546
2020-04-04,12.2546
2020-04-05,12.2546
2020-04-06,13.2945
2020-04-07,13.2402
2020-04-08,14.1626
2020-04-09,13.6291
2020-04-10,13.6291
2020-04-11,13.6291
2020-04-12,13.6291
2020-04-13,13.4119
2020-04-14,14.1995
2020-04-15,13.8102
2020-04-16,14.0908
2020-04-17,14.9146
2020-04-18,14.9146
2020-04-19,14.9146
2020-04-20,18.658
2020-04-21,19.5497
2020-04-22,19.6946
2020-04-23,21.1883
2020-04-24,21.3331
2020-04-25,21.3331
2020-04-26,21.3331
2020-04-27,22.0936
2020-04-28,21.4146
2020-04-29,20.9122
2020-04-30,19.6719
2020-05-01,19.1333
2020-05-02,19.1333
2020-05-03,19.1333
2020-05-04,20.5184
2020-05-05,20.2799
2020-05-06,21.0971
2020-05-07,20.2889
2020-05-08,20.9246
2020-05-09,20.9246
2020-05-10,20.9246
2020-05-11,22.214
2020-05-12,21.7055
2020-05-13,21.4058
2020-05-14,19.7941
2020-05-15,20.7066
2020-05-16,20.7066
2020-05-17,20.7066
2020-05-18,20.6431
2020-05-19,19.9076
2020-05-20,20.0165
2020-05-21,19.6715
2020-05-22,19.6715
2020-05-23,19.6715
2020-05-24,19.6715
2020-05-25,19.6715
2020-05-26,19.3991
2020-05-27,19.4717
2020-05-28,19.4082
2020-05-29,19.7532
2020-05-30,19.7532
2020-05-31,19.7532
2020-06-01,19.2311
2020-06-02,19.3537
2020-06-03,18.3548
2020-06-04,17.8191
2020-06-05,17.6284
2020-06-06,17.6284
2020-06-07,17.6284
2020-06-08,17.8464
2020-06-09,17.86
2020-06-10,18.3185
2020-06-11,16.9474
2020-06-12,17.6466
2020-06-13,17.6466
2020-06-14,17.6466
2020-06-15,18.0189
2020-06-16,18.5819
2020-06-17,17.7283
2020-06-18,17.7192
2020-06-19,19.272
2020-06-20,19.272
2020-06-21,19.272
2020-06-22,19.2629
2020-06-23,19.0177
2020-06-24,18.6091
2020-06-25,18.9178
2020-06-26,18.0915
2020-06-27,18.0915
2020-06-28,18.0915
2020-06-29,17.9553
2020-06-30,19.0353
2020-07-01,18.8062
2020-07-02,18.7871
2020-07-03,18.7871
2020-07-04,18.7871
2020-07-05,18.7871
2020-07-06,18.4626
2020-07-07,18.6821
2020-07-08,19.2023
2020-07-09,19.4553
2020-07-10,20.1807
2020-07-11,20.1807
2020-07-12,20.1807
2020-07-13,19.1498
2020-07-14,19.0926
2020-07-15,19.6367
2020-07-16,19.398
2020-07-17,19.8562
2020-07-18,19.8562
2020-07-19,19.8562
2020-07-20,20.8107
2020-07-21,20.0376
2020-07-22,20.1044
2020-07-23,20.2189
2020-07-24,19.8467
2020-07-25,19.8467
2020-07-26,19.8467
2020-07-27,19.9946
2020-07-28,19.6271
2020-07-29,19.1498
2020-07-30,19.0735
2020-07-31,18.4149
2020-08-01,18.4149
2020-08-02,18.4149
2020-08-03,18.9876
2020-08-04,18.7585
2020-08-05,18.3767
2020-08-06,18.3135
2020-08-07,17.8807
2020-08-08,17.8807
2020-08-09,17.8807
2020-08-10,17.2748
2020-08-11,17.217
2020-08-12,17.3998
2020-08-13,17.5633
2020-08-14,17.5152
2020-08-15,17.5152
2020-08-16,17.5152
2020-08-17,18.2173
2020-08-18,18.0731
2020-08-19,17.9096
2020-08-20,17.9721
2020-08-21,17.7749
2020-08-22,17.7749
2020-08-23,17.7749
2020-08-24,17.1882
2020-08-25,17.4767
2020-08-26,17.0247
2020-08-27,17.3132
