,NGVT US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,18.125
2020-01-02,17.9564
2020-01-03,17.6704
2020-01-04,17.6704
2020-01-05,17.6704
2020-01-06,17.2498
2020-01-07,17.2205
2020-01-08,17.103
2020-01-09,16.9762
2020-01-10,16.8231
2020-01-11,16.8231
2020-01-12,16.8231
2020-01-13,17.0334
2020-01-14,17.338
2020-01-15,17.4895
2020-01-16,17.4849
2020-01-17,17.3797
2020-01-18,17.3797
2020-01-19,17.3797
2020-01-20,17.3797
2020-01-21,17.0535
2020-01-22,17.0937
2020-01-23,16.8045
2020-01-24,16.6561
2020-01-25,16.6561
2020-01-26,16.6561
2020-01-27,16.1134
2020-01-28,16.0284
2020-01-29,15.2831
2020-01-30,14.9058
2020-01-31,14.6986
2020-02-01,14.6986
2020-02-02,14.6986
2020-02-03,14.3585
2020-02-04,14.4095
2020-02-05,14.7435
2020-02-06,14.6832
2020-02-07,14.9491
2020-02-08,14.9491
2020-02-09,14.9491
2020-02-10,14.7899
2020-02-11,14.7821
2020-02-12,14.8548
2020-02-13,14.8656
2020-02-14,14.9491
2020-02-15,14.9491
2020-02-16,14.9491
2020-02-17,14.9491
2020-02-18,14.6646
2020-02-19,14.6894
2020-02-20,14.343
2020-02-21,13.6581
2020-02-22,13.6581
2020-02-23,13.6581
2020-02-24,13.0767
2020-02-25,12.4613
2020-02-26,12.1397
2020-02-27,11.9324
2020-02-28,11.5798
2020-02-29,11.5798
2020-03-01,11.5798
2020-03-02,12.2123
2020-03-03,12.07
2020-03-04,12.2324
2020-03-05,11.8427
2020-03-06,11.8659
2020-03-07,11.8659
2020-03-08,11.8659
2020-03-09,10.4431
2020-03-10,10.938
2020-03-11,10.6148
2020-03-12,9.9467
2020-03-13,10.4648
2020-03-14,10.4648
2020-03-15,10.4648
2020-03-16,10.0457
2020-03-17,9.7085
2020-03-18,8.9198
2020-03-19,9.4441
2020-03-20,8.9693
2020-03-21,8.9693
2020-03-22,8.9693
2020-03-23,9.0559
2020-03-24,9.4487
2020-03-25,9.6761
2020-03-26,10.1818
2020-03-27,9.7905
2020-03-28,9.7905
2020-03-29,9.7905
2020-03-30,9.8384
2020-03-31,8.7903
2020-04-01,8.7794
2020-04-02,8.9476
2020-04-03,8.7171
2020-04-04,8.7171
2020-04-05,8.7171
2020-04-06,9.2337
2020-04-07,9.1849
2020-04-08,9.5727
2020-04-09,9.8385
2020-04-10,9.8385
2020-04-11,9.8385
2020-04-12,9.8385
2020-04-13,9.5985
2020-04-14,9.4873
2020-04-15,9.174
2020-04-16,9.1578
2020-04-17,9.3964
2020-04-18,9.3964
2020-04-19,9.3964
2020-04-20,9.2079
2020-04-21,9.1293
2020-04-22,9.1822
2020-04-23,9.1808
2020-04-24,9.3015
2020-04-25,9.3015
2020-04-26,9.3015
2020-04-27,9.4737
2020-04-28,9.7856
2020-04-29,10.1083
2020-04-30,10.9526
2020-05-01,10.4129
2020-05-02,10.4129
2020-05-03,10.4129
2020-05-04,10.3942
2020-05-05,10.2419
2020-05-06,10.0669
2020-05-07,10.2019
2020-05-08,10.4877
2020-05-09,10.4877
2020-05-10,10.4877
2020-05-11,10.815
2020-05-12,10.3862
2020-05-13,9.912
2020-05-14,10.123
2020-05-15,10.1391
2020-05-16,10.1391
2020-05-17,10.1391
2020-05-18,10.823
2020-05-19,10.5892
2020-05-20,10.998
2020-05-21,10.8898
2020-05-22,10.8911
2020-05-23,10.8911
2020-05-24,10.8911
2020-05-25,10.8911
2020-05-26,11.3012
2020-05-27,11.738
2020-05-28,11.169
2020-05-29,11.0527
2020-05-30,11.0527
2020-05-31,11.0527
2020-06-01,11.1783
2020-06-02,11.5376
2020-06-03,11.7487
2020-06-04,11.5203
2020-06-05,11.75
2020-06-06,11.75
2020-06-07,11.75
2020-06-08,11.6832
2020-06-09,11.4936
2020-06-10,11.2905
2020-06-11,10.4436
2020-06-12,10.7295
2020-06-13,10.7295
2020-06-14,10.7295
2020-06-15,10.9512
2020-06-16,11.3466
2020-06-17,11.0447
2020-06-18,10.982
2020-06-19,10.8965
2020-06-20,10.8965
2020-06-21,10.8965
2020-06-22,10.9566
2020-06-23,10.9205
2020-06-24,10.6079
2020-06-25,10.6707
2020-06-26,10.3368
2020-06-27,10.3368
2020-06-28,10.3368
2020-06-29,10.9192
2020-06-30,13.006
2020-07-01,12.8739
2020-07-02,13.0203
2020-07-03,13.0203
2020-07-04,13.0203
2020-07-05,13.0203
2020-07-06,13.1094
2020-07-07,12.9089
2020-07-08,12.9599
2020-07-09,12.8453
2020-07-10,13.1046
2020-07-11,13.1046
2020-07-12,13.1046
2020-07-13,13.2208
2020-07-14,13.4817
2020-07-15,13.8843
2020-07-16,13.862
2020-07-17,14.1197
2020-07-18,14.1197
2020-07-19,14.1197
2020-07-20,14.0768
2020-07-21,14.1961
2020-07-22,14.0943
2020-07-23,14.1818
2020-07-24,13.8859
2020-07-25,13.8859
2020-07-26,13.8859
2020-07-27,13.9368
2020-07-28,13.7474
2020-07-29,14.1882
2020-07-30,13.5709
2020-07-31,13.9614
2020-08-01,13.9614
2020-08-02,13.9614
2020-08-03,13.9311
2020-08-04,13.6873
2020-08-05,13.7813
2020-08-06,13.7064
2020-08-07,13.9662
2020-08-08,13.9662
2020-08-09,13.9662
2020-08-10,14.1494
2020-08-11,14.6992
2020-08-12,14.5909
2020-08-13,14.4012
2020-08-14,14.32
2020-08-15,14.32
2020-08-16,14.32
2020-08-17,14.2132
2020-08-18,14.014
2020-08-19,14.0506
2020-08-20,13.9741
2020-08-21,13.8371
2020-08-22,13.8371
2020-08-23,13.8371
2020-08-24,14.1558
2020-08-25,13.9215
2020-08-26,13.743
2020-08-27,13.6968
2020-08-28,13.8833
2020-08-29,13.8833
2020-08-30,13.8833
2020-08-31,13.5932
2020-09-01,13.7335
2020-09-02,14.0984
2020-09-03,13.7749
2020-09-04,14.0809
2020-09-05,14.0809
2020-09-06,14.0809
2020-09-07,14.0809
2020-09-08,13.7144
2020-09-09,13.7016
2020-09-10,13.6586
2020-09-11,13.7048
2020-09-12,13.7048
2020-09-13,13.7048
2020-09-14,13.751
2020-09-15,13.7383
2020-09-16,13.6586
2020-09-17,13.6681
2020-09-18,13.4992
2020-09-19,13.4992
2020-09-20,13.4992
2020-09-21,12.7135
2020-09-22,12.5972
2020-09-23,12.4363
2020-09-24,12.3247
2020-09-25,12.3422
2020-09-26,12.3422
2020-09-27,12.3422
2020-09-28,12.5622
2020-09-29,12.5335
2020-09-30,12.1937
2020-10-01,12.274
2020-10-02,12.7433
2020-10-03,12.7433
2020-10-04,12.7433
2020-10-05,13.1008
2020-10-06,13.1401
2020-10-07,13.3984
2020-10-08,13.5905
2020-10-09,13.7575
2020-10-10,13.7575
2020-10-11,13.7575
2020-10-12,13.8236
2020-10-13,13.8551
2020-10-14,13.8882
2020-10-15,14.0535
2020-10-16,14.2189
2020-10-17,14.2189
2020-10-18,14.2189
2020-10-19,13.8677
2020-10-20,13.8913
2020-10-21,13.7307
2020-10-22,13.9527
2020-10-23,13.874
2020-10-24,13.874
2020-10-25,13.874
2020-10-26,13.6252
2020-10-27,13.359
2020-10-28,12.8126
2020-10-29,12.874
2020-10-30,13.0512
2020-10-31,13.0512
2020-11-01,13.0512
2020-11-02,13.415
2020-11-03,13.7316
2020-11-04,13.2748
2020-11-05,13.8702
2020-11-06,13.7237
2020-11-07,13.7237
2020-11-08,13.7237
2020-11-09,15.2325
2020-11-10,15.1175
2020-11-11,14.9648
2020-11-12,14.5962
2020-11-13,15.0152
2020-11-14,15.0152
2020-11-15,15.0152
2020-11-16,15.3443
2020-11-17,15.2089
2020-11-18,14.8514
2020-11-19,14.7096
2020-11-20,14.927
2020-11-21,14.927
2020-11-22,14.927
2020-11-23,15.5648
2020-11-24,15.6672
2020-11-25,15.2231
2020-11-26,15.2231
2020-11-27,15.1884
2020-11-28,15.1884
2020-11-29,15.1884
2020-11-30,14.8939
2020-12-01,15.075
2020-12-02,15.3711
2020-12-03,15.1632
2020-12-04,15.4561
2020-12-05,15.4561
2020-12-06,15.4561
2020-12-07,15.4861
2020-12-08,15.7727
2020-12-09,15.8593
2020-12-10,15.831
2020-12-11,15.6341
2020-12-12,15.6341
2020-12-13,15.6341
2020-12-14,15.4593
2020-12-15,15.9523
2020-12-16,15.7664
2020-12-17,15.9475
2020-12-18,15.7711
2020-12-19,15.7711
2020-12-20,15.7711
2020-12-21,15.7743
2020-12-22,15.7743
2020-12-23,16.0594
2020-12-24,16.1082
2020-12-25,16.1082
2020-12-26,16.1082
2020-12-27,16.1082
2020-12-28,16.1476
2020-12-29,16.0231
2020-12-30,16.3098
2020-12-31,15.4198
2021-01-01,15.4198
2021-01-02,15.4198
2021-01-03,15.4198
2021-01-04,14.9137
2021-01-05,15.3821
2021-01-06,15.8187
2021-01-07,15.6374
2021-01-08,15.3639
2021-01-09,15.3639
2021-01-10,15.3639
2021-01-11,15.3322
2021-01-12,15.716
2021-01-13,15.1902
2021-01-14,15.1403
2021-01-15,15.0708
2021-01-16,15.0708
2021-01-17,15.0708
2021-01-18,15.0708
2021-01-19,14.965
2021-01-20,15.0224
2021-01-21,14.8789
2021-01-22,14.9257
2021-01-23,14.9257
2021-01-24,14.9257
2021-01-25,14.6643
2021-01-26,14.2549
2021-01-27,14.1627
2021-01-28,14.2337
2021-01-29,13.9028
2021-01-30,13.9028
2021-01-31,13.9028
2021-02-01,14.3893
2021-02-02,14.5299
2021-02-03,14.5087
2021-02-04,14.6417
2021-02-05,14.9242
2021-02-06,14.9242
2021-02-07,14.9242
2021-02-08,15.1962
2021-02-09,15.0572
2021-02-10,15.0224
2021-02-11,14.3259
2021-02-12,14.548
2021-02-13,14.548
2021-02-14,14.548
2021-02-15,14.548
2021-02-16,14.4709
2021-02-17,14.5238
2021-02-18,14.4301
2021-02-19,14.3372
2021-02-20,14.3372
2021-02-21,14.3372
2021-02-22,14.4646
2021-02-23,14.3654
2021-02-24,14.398
2021-02-25,14.2306
2021-02-26,14.2691
2021-02-27,14.2691
2021-02-28,14.2691
2021-03-01,14.5772
2021-03-02,14.2484
2021-03-03,14.395
2021-03-04,14.2735
2021-03-05,14.7313
2021-03-06,14.7313
2021-03-07,14.7313
2021-03-08,14.9386
2021-03-09,15.5801
2021-03-10,15.9447
2021-03-11,16.1128
2021-03-12,16.2323
2021-03-13,16.2323
2021-03-14,16.2323
2021-03-15,16.49
2021-03-16,16.314
2021-03-17,16.3313
2021-03-18,16.0783
2021-03-19,15.8127
2021-03-20,15.8127
2021-03-21,15.8127
2021-03-22,15.7765
2021-03-23,15.2595
2021-03-24,15.2768
2021-03-25,15.6131
2021-03-26,16.0075
2021-03-27,16.0075
2021-03-28,16.0075
2021-03-29,15.8299
2021-03-30,16.0625
2021-03-31,15.4594
2021-04-01,15.49
2021-04-02,15.49
2021-04-03,15.49
2021-04-04,15.49
2021-04-05,15.34
2021-04-06,15.2849
2021-04-07,14.8349
2021-04-08,14.7599
2021-04-09,14.8426
2021-04-10,14.8426
2021-04-11,14.8426
2021-04-12,14.8058
2021-04-13,14.8625
2021-04-14,14.9773
2021-04-15,15.0492
2021-04-16,15.2451
2021-04-17,15.2451
2021-04-18,15.2451
2021-04-19,15.1043
2021-04-20,14.6818
2021-04-21,14.7951
2021-04-22,14.8625
2021-04-23,15.066
2021-04-24,15.066
2021-04-25,15.066
2021-04-26,15.2574
2021-04-27,15.3094
2021-04-28,15.5084
2021-04-29,15.028
2021-04-30,15.0408
2021-05-01,15.0408
2021-05-02,15.0408
2021-05-03,15.6188
2021-05-04,16.0284
2021-05-05,16.2396
2021-05-06,16.2281
2021-05-07,16.398
2021-05-08,16.398
2021-05-09,16.398
2021-05-10,16.2738
2021-05-11,16.2938
2021-05-12,16.084
2021-05-13,16.5664
2021-05-14,16.6334
2021-05-15,16.6334
2021-05-16,16.6334
2021-05-17,16.6577
2021-05-18,16.5264
2021-05-19,16.3166
2021-05-20,16.114
2021-05-21,16.0255
2021-05-22,16.0255
2021-05-23,16.0255
2021-05-24,16.1397
2021-05-25,15.7301
2021-05-26,15.7387
2021-05-27,15.7858
2021-05-28,15.6445
2021-05-29,15.6445
2021-05-30,15.6445
