,AEE US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,22.7736
2020-01-02,22.6279
2020-01-03,22.6337
2020-01-04,22.6337
2020-01-05,22.6337
2020-01-06,22.6473
2020-01-07,22.7017
2020-01-08,22.6765
2020-01-09,22.7328
2020-01-10,22.8143
2020-01-11,22.8143
2020-01-12,22.8143
2020-01-13,22.9347
2020-01-14,22.9308
2020-01-15,23.0454
2020-01-16,23.2415
2020-01-17,23.3464
2020-01-18,23.3464
2020-01-19,23.3464
2020-01-20,23.3464
2020-01-21,23.4008
2020-01-22,23.3775
2020-01-23,23.4532
2020-01-24,23.4707
2020-01-25,23.4707
2020-01-26,23.4707
2020-01-27,23.4163
2020-01-28,23.4571
2020-01-29,23.593
2020-01-30,23.7639
2020-01-31,23.793
2020-02-01,23.793
2020-02-02,23.793
2020-02-03,23.9056
2020-02-04,23.8357
2020-02-05,23.9153
2020-02-06,24.0105
2020-02-07,24.094
2020-02-08,24.094
2020-02-09,24.094
2020-02-10,24.1678
2020-02-11,24.2241
2020-02-12,24.2824
2020-02-13,24.5115
2020-02-14,24.7134
2020-02-15,24.7134
2020-02-16,24.7134
2020-02-17,24.7134
2020-02-18,24.7057
2020-02-19,24.5367
2020-02-20,24.494
2020-02-21,24.4319
2020-02-22,24.4319
2020-02-23,24.4319
2020-02-24,24.3309
2020-02-25,24.0862
2020-02-26,24.4066
2020-02-27,23.6998
2020-02-28,23.2008
2020-02-29,23.2008
2020-03-01,23.2008
2020-03-02,24.2532
2020-03-03,24.0086
2020-03-04,24.7678
2020-03-05,24.5697
2020-03-06,24.4338
2020-03-07,24.4338
2020-03-08,24.4338
2020-03-09,23.7056
2020-03-10,23.8979
2020-03-11,23.5639
2020-03-12,21.9191
2020-03-13,22.6473
2020-03-14,22.6473
2020-03-15,22.6473
2020-03-16,20.6667
2020-03-17,22.9464
2020-03-18,22.6473
2020-03-19,21.8182
2020-03-20,20.0802
2020-03-21,20.0802
2020-03-22,20.0802
2020-03-23,19.7773
2020-03-24,20.5385
2020-03-25,20.9754
2020-03-26,21.9949
2020-03-27,22.2764
2020-03-28,22.2764
2020-03-29,22.2764
2020-03-30,23.0832
2020-03-31,23.295
2020-04-01,22.2635
2020-04-02,23.0604
2020-04-03,22.4698
