,SPGI US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,21.9536
2020-01-02,22.3164
2020-01-03,22.246
2020-01-04,22.246
2020-01-05,22.246
2020-01-06,22.4073
2020-01-07,22.5542
2020-01-08,22.8594
2020-01-09,23.2056
2020-01-10,23.1571
2020-01-11,23.1571
2020-01-12,23.1571
2020-01-13,23.5585
2020-01-14,23.2502
2020-01-15,23.5691
2020-01-16,23.8576
2020-01-17,23.7516
2020-01-18,23.7516
2020-01-19,23.7516
2020-01-20,23.7516
2020-01-21,23.7069
2020-01-22,23.7993
2020-01-23,23.7819
2020-01-24,23.6032
2020-01-25,23.6032
2020-01-26,23.6032
2020-01-27,23.4744
2020-01-28,23.7887
2020-01-29,23.791
2020-01-30,23.9841
2020-01-31,23.5199
2020-02-01,23.5199
2020-02-02,23.5199
2020-02-03,23.6668
2020-02-04,23.8372
2020-02-05,23.5986
2020-02-06,23.6554
2020-02-07,23.6524
2020-02-08,23.6524
2020-02-09,23.6524
2020-02-10,23.7342
2020-02-11,23.4947
2020-02-12,24.2283
2020-02-13,24.0409
2020-02-14,24.5169
2020-02-15,24.5169
2020-02-16,24.5169
2020-02-17,24.5169
2020-02-18,24.4482
2020-02-19,24.7821
2020-02-20,24.1966
2020-02-21,23.429
2020-02-22,23.429
2020-02-23,23.429
2020-02-24,23.2514
2020-02-25,22.6266
2020-02-26,22.6372
2020-02-27,21.4571
2020-02-28,21.3635
2020-02-29,21.3635
2020-03-01,21.3635
2020-03-02,23.1313
2020-03-03,22.4385
2020-03-04,23.6413
2020-03-05,22.3086
2020-03-06,21.7525
2020-03-07,21.7525
2020-03-08,21.7525
2020-03-09,19.5956
2020-03-10,20.8542
2020-03-11,19.4331
2020-03-12,18.0053
2020-03-13,20.0179
2020-03-14,20.0179
2020-03-15,20.0179
2020-03-16,18.0581
2020-03-17,18.4737
2020-03-18,15.6754
2020-03-19,16.7718
2020-03-20,16.8471
2020-03-21,16.8471
2020-03-22,16.8471
2020-03-23,15.5985
2020-03-24,17.5833
2020-03-25,18.2196
2020-03-26,19.5442
2020-03-27,19.1564
2020-03-28,19.1564
2020-03-29,19.1564
2020-03-30,19.6964
2020-03-31,18.646
2020-04-01,17.9113
2020-04-02,18.4031
2020-04-03,18.2249
2020-04-04,18.2249
2020-04-05,18.2249
2020-04-06,19.4198
2020-04-07,19.4359
2020-04-08,19.8183
2020-04-09,21.3647
2020-04-10,21.3647
2020-04-11,21.3647
2020-04-12,21.3647
2020-04-13,20.3045
2020-04-14,20.929
2020-04-15,20.642
2020-04-16,20.7332
2020-04-17,21.2973
2020-04-18,21.2973
2020-04-19,21.2973
2020-04-20,21.0574
2020-04-21,20.2196
2020-04-22,20.8357
2020-04-23,21.0847
2020-04-24,21.3921
2020-04-25,21.3921
2020-04-26,21.3921
2020-04-27,21.9007
2020-04-28,22.2229
2020-04-29,22.124
2020-04-30,22.016
2020-05-01,21.5375
2020-05-02,21.5375
2020-05-03,21.5375
2020-05-04,21.5172
2020-05-05,22.1934
2020-05-06,21.769
2020-05-07,22.2054
2020-05-08,22.3506
2020-05-09,22.3506
2020-05-10,22.3506
2020-05-11,22.5631
2020-05-12,22.46
2020-05-13,22.1226
2020-05-14,22.5239
2020-05-15,22.7357
2020-05-16,22.7357
2020-05-17,22.7357
2020-05-18,23.3313
2020-05-19,23.2934
2020-05-20,23.4976
2020-05-21,23.2703
2020-05-22,23.3474
2020-05-23,23.3474
2020-05-24,23.3474
2020-05-25,23.3474
2020-05-26,23.3811
2020-05-27,23.5979
2020-05-28,23.8343
2020-05-29,24.2706
2020-05-30,24.2706
2020-05-31,24.2706
2020-06-01,24.4306
2020-06-02,24.4355
2020-06-03,24.8571
2020-06-04,24.4369
2020-06-05,24.8564
2020-06-06,24.8564
2020-06-07,24.8564
2020-06-08,24.7589
2020-06-09,24.4523
2020-06-10,24.7028
2020-06-11,23.0086
2020-06-12,23.7017
2020-06-13,23.7017
2020-06-14,23.7017
2020-06-15,23.8939
2020-06-16,24.2643
2020-06-17,24.3618
2020-06-18,24.3962
2020-06-19,24.1801
2020-06-20,24.1801
2020-06-21,24.1801
2020-06-22,24.3646
2020-06-23,24.519
2020-06-24,23.7761
2020-06-25,24.467
2020-06-26,24.0307
2020-06-27,24.0307
2020-06-28,24.0307
2020-06-29,24.009
2020-06-30,22.4897
2020-07-01,22.8156
2020-07-02,22.7335
2020-07-03,22.7335
2020-07-04,22.7335
2020-07-05,22.7335
2020-07-06,23.2358
2020-07-07,23.2468
2020-07-08,24.0957
2020-07-09,23.9923
2020-07-10,23.9334
2020-07-11,23.9334
2020-07-12,23.9334
2020-07-13,23.5636
2020-07-14,23.9225
2020-07-15,24.1268
2020-07-16,23.7847
2020-07-17,24.1197
2020-07-18,24.1197
2020-07-19,24.1197
2020-07-20,24.3395
2020-07-21,24.1287
2020-07-22,24.2334
2020-07-23,23.7039
2020-07-24,23.8145
2020-07-25,23.8145
2020-07-26,23.8145
2020-07-27,23.9018
2020-07-28,23.6706
2020-07-29,24.4636
2020-07-30,23.9791
2020-07-31,23.842
2020-08-01,23.842
2020-08-02,23.842
2020-08-03,23.8698
2020-08-04,23.5522
2020-08-05,23.657
2020-08-06,23.992
2020-08-07,23.6492
2020-08-08,23.6492
2020-08-09,23.6492
2020-08-10,23.4423
2020-08-11,23.419
2020-08-12,23.7734
2020-08-13,24.2223
2020-08-14,23.9726
2020-08-15,23.9726
2020-08-16,23.9726
2020-08-17,24.2876
2020-08-18,24.4804
2020-08-19,24.3504
2020-08-20,24.5515
2020-08-21,24.6026
2020-08-22,24.6026
2020-08-23,24.6026
2020-08-24,24.4726
2020-08-25,24.3756
2020-08-26,24.7579
2020-08-27,24.7301
2020-08-28,24.9144
2020-08-29,24.9144
2020-08-30,24.9144
2020-08-31,24.8879
2020-09-01,25.0153
2020-09-02,25.6634
2020-09-03,24.0645
2020-09-04,23.5141
2020-09-05,23.5141
2020-09-06,23.5141
2020-09-07,23.5141
2020-09-08,23.2217
2020-09-09,23.941
2020-09-10,23.4688
2020-09-11,23.7476
2020-09-12,23.7476
2020-09-13,23.7476
2020-09-14,24.0257
2020-09-15,24.2915
2020-09-16,24.3135
2020-09-17,23.9377
2020-09-18,23.8911
2020-09-19,23.8911
2020-09-20,23.8911
2020-09-21,23.8834
2020-09-22,23.8368
2020-09-23,23.3769
2020-09-24,23.5587
2020-09-25,24.0102
2020-09-26,24.0102
2020-09-27,24.0102
2020-09-28,24.1848
2020-09-29,24.2773
2020-09-30,24.1065
2020-10-01,24.3061
2020-10-02,24.2583
2020-10-03,24.2583
2020-10-04,24.2583
2020-10-05,24.3852
2020-10-06,23.7054
2020-10-07,23.743
2020-10-08,23.8897
2020-10-09,23.8616
2020-10-10,23.8616
2020-10-11,23.8616
2020-10-12,24.074
2020-10-13,23.6856
2020-10-14,23.5268
2020-10-15,23.2679
2020-10-16,23.3138
2020-10-17,23.3138
2020-10-18,23.3138
2020-10-19,22.8661
2020-10-20,22.8024
2020-10-21,22.6595
2020-10-22,22.6174
2020-10-23,22.6289
2020-10-24,22.6289
2020-10-25,22.6289
2020-10-26,22.3815
2020-10-27,22.2093
2020-10-28,21.91
2020-10-29,21.8489
2020-10-30,21.6573
2020-10-31,21.6573
2020-11-01,21.6573
2020-11-02,21.9877
2020-11-03,22.4226
2020-11-04,23.4635
2020-11-05,23.7749
2020-11-06,23.6711
2020-11-07,23.6711
2020-11-08,23.6711
2020-11-09,23.1649
2020-11-10,22.4448
2020-11-11,23.0096
2020-11-12,22.8663
2020-11-13,22.8791
2020-11-14,22.8791
2020-11-15,22.8791
2020-11-16,22.7326
2020-11-17,22.5442
2020-11-18,22.5327
2020-11-19,22.6696
2020-11-20,22.6473
2020-11-21,22.6473
2020-11-22,22.6473
2020-11-23,22.5735
2020-11-24,22.3882
2020-11-25,22.632
2020-11-26,22.632
2020-11-27,22.8568
2020-11-28,22.8568
2020-11-29,22.8568
2020-11-30,23.5068
2020-12-01,22.3951
2020-12-02,22.3289
2020-12-03,21.9042
2020-12-04,22.7217
2020-12-05,22.7217
2020-12-06,22.7217
2020-12-07,22.5173
2020-12-08,22.3556
2020-12-09,21.9469
2020-12-10,21.8545
2020-12-11,21.7902
2020-12-12,21.7902
2020-12-13,21.7902
2020-12-14,21.7177
2020-12-15,21.7278
2020-12-16,21.5388
2020-12-17,21.5508
2020-12-18,21.6425
2020-12-19,21.6425
2020-12-20,21.6425
2020-12-21,21.4566
2020-12-22,21.4152
2020-12-23,21.0778
2020-12-24,21.2656
2020-12-25,21.2656
2020-12-26,21.2656
2020-12-27,21.2656
2020-12-28,21.3586
