,BMY US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,30.7368
2020-01-02,30.4003
2020-01-03,30.1786
2020-01-04,30.1786
2020-01-05,30.1786
2020-01-06,30.2578
2020-01-07,30.6339
2020-01-08,30.6062
2020-01-09,31.2357
2020-01-10,31.1486
2020-01-11,31.1486
2020-01-12,31.1486
2020-01-13,31.5128
2020-01-14,31.6276
2020-01-15,31.683
2020-01-16,31.7622
2020-01-17,31.7385
2020-01-18,31.7385
2020-01-19,31.7385
2020-01-20,31.7385
2020-01-21,32.0195
2020-01-22,32.0195
2020-01-23,31.7978
2020-01-24,30.7249
2020-01-25,30.7249
2020-01-26,30.7249
2020-01-27,30.5428
2020-01-28,30.9823
2020-01-29,30.717
2020-01-30,30.5864
2020-01-31,30.2459
2020-02-01,30.2459
2020-02-02,30.2459
2020-02-03,30.4953
2020-02-04,30.7764
2020-02-05,31.2911
2020-02-06,31.8889
2020-02-07,31.5524
2020-02-08,31.5524
2020-02-09,31.5524
2020-02-10,31.8137
2020-02-11,31.8453
2020-02-12,31.8493
2020-02-13,31.4851
2020-02-14,31.6038
2020-02-15,31.6038
2020-02-16,31.6038
2020-02-17,31.6038
2020-02-18,31.4811
2020-02-19,31.3386
2020-02-20,31.1248
2020-02-21,31.3069
2020-02-22,31.3069
2020-02-23,31.3069
2020-02-24,29.7465
2020-02-25,29.0478
2020-02-26,29.0096
2020-02-27,28.0704
2020-02-28,27.8719
2020-02-29,27.8719
2020-03-01,27.8719
2020-03-02,28.3606
2020-03-03,27.9254
2020-03-04,28.7958
2020-03-05,28.4217
2020-03-06,28.3491
2020-03-07,28.3491
2020-03-08,28.3491
2020-03-09,27.3374
2020-03-10,27.4405
2020-03-11,26.8983
2020-03-12,25.4628
2020-03-13,26.318
2020-03-14,26.318
2020-03-15,26.318
2020-03-16,24.8367
2020-03-17,25.9744
2020-03-18,24.5045
2020-03-19,23.9509
2020-03-20,23.8021
2020-03-21,23.8021
2020-03-22,23.8021
2020-03-23,23.0385
2020-03-24,24.1228
2020-03-25,24.1647
2020-03-26,25.2719
2020-03-27,25.4781
2020-03-28,25.4781
2020-03-29,25.4781
2020-03-30,26.1345
2020-03-31,30.6159
2020-04-01,30.204
2020-04-02,30.3786
2020-04-03,30.5219
2020-04-04,30.5219
2020-04-05,30.5219
2020-04-06,31.5694
2020-04-07,31.1352
2020-04-08,31.7395
2020-04-09,32.035
2020-04-10,32.035
2020-04-11,32.035
2020-04-12,32.035
2020-04-13,32.0394
2020-04-14,32.5408
2020-04-15,32.2812
2020-04-16,32.3259
2020-04-17,32.7915
2020-04-18,32.7915
2020-04-19,32.7915
2020-04-20,33.275
2020-04-21,32.787
2020-04-22,32.9392
2020-04-23,32.9482
2020-04-24,33.5301
2020-04-25,33.5301
2020-04-26,33.5301
2020-04-27,33.6689
2020-04-28,33.4809
2020-04-29,33.2526
2020-04-30,32.8855
2020-05-01,32.6393
2020-05-02,32.6393
2020-05-03,32.6393
2020-05-04,32.599
2020-05-05,33.1317
2020-05-06,33.0288
2020-05-07,32.9912
2020-05-08,32.9957
2020-05-09,32.9957
2020-05-10,32.9957
2020-05-11,33.7165
2020-05-12,34.0254
2020-05-13,33.9896
2020-05-14,34.2134
2020-05-15,34.3567
2020-05-16,34.3567
2020-05-17,34.3567
2020-05-18,34.1373
2020-05-19,33.7389
2020-05-20,33.2777
2020-05-21,33.036
2020-05-22,32.8793
2020-05-23,32.8793
2020-05-24,32.8793
2020-05-25,32.8793
2020-05-26,32.6689
2020-05-27,32.7047
2020-05-28,32.4405
2020-05-29,32.4002
2020-05-30,32.4002
2020-05-31,32.4002
2020-06-01,32.6554
2020-06-02,32.8166
2020-06-03,32.6196
2020-06-04,32.9241
2020-06-05,33.121
2020-06-06,33.121
2020-06-07,33.121
2020-06-08,33.1658
2020-06-09,32.942
2020-06-10,32.5972
2020-06-11,31.0527
2020-06-12,30.8109
2020-06-13,30.8109
2020-06-14,30.8109
2020-06-15,30.3319
2020-06-16,31.2094
2020-06-17,31.1601
2020-06-18,30.7214
2020-06-19,30.9183
2020-06-20,30.9183
2020-06-21,30.9183
2020-06-22,31.4332
2020-06-23,31.8003
2020-06-24,31.5227
2020-06-25,31.7108
2020-06-26,31.4243
2020-06-27,31.4243
2020-06-28,31.4243
2020-06-29,31.5407
2020-06-30,38.9386
2020-07-01,39.2889
2020-07-02,39.1277
2020-07-03,39.1277
2020-07-04,39.1277
2020-07-05,39.1277
2020-07-06,39.7115
2020-07-07,39.7672
2020-07-08,39.3612
2020-07-09,38.5549
2020-07-10,38.1768
2020-07-11,38.1768
2020-07-12,38.1768
2020-07-13,38.3547
2020-07-14,38.4326
2020-07-15,39.2
2020-07-16,39.2278
2020-07-17,39.8228
2020-07-18,39.8228
2020-07-19,39.8228
2020-07-20,39.3056
2020-07-21,39.4947
2020-07-22,39.5225
2020-07-23,39.5336
2020-07-24,38.4103
2020-07-25,38.4103
2020-07-26,38.4103
2020-07-27,38.5215
2020-07-28,39.2889
2020-07-29,39.1332
2020-07-30,38.9775
2020-07-31,38.8607
2020-08-01,38.8607
2020-08-02,38.8607
2020-08-03,39.1054
2020-08-04,39.3112
2020-08-05,39.4335
2020-08-06,40.2135
2020-08-07,40.0418
2020-08-08,40.0418
2020-08-09,40.0418
2020-08-10,40.4849
2020-08-11,41.2106
2020-08-12,41.4931
2020-08-13,41.2715
2020-08-14,41.2272
2020-08-15,41.2272
2020-08-16,41.2272
2020-08-17,41.482
2020-08-18,41.1552
2020-08-19,41.1884
2020-08-20,40.7065
2020-08-21,40.6899
2020-08-22,40.6899
2020-08-23,40.6899
2020-08-24,40.8118
2020-08-25,40.9779
2020-08-26,40.7398
2020-08-27,40.8672
2020-08-28,40.7896
2020-08-29,40.7896
2020-08-30,40.7896
2020-08-31,40.6954
2020-09-01,40.0141
2020-09-02,40.3631
2020-09-03,39.5045
2020-09-04,39.4491
2020-09-05,39.4491
2020-09-06,39.4491
2020-09-07,39.4491
2020-09-08,38.6625
2020-09-09,38.9672
2020-09-10,38.5296
2020-09-11,38.9173
2020-09-12,38.9173
2020-09-13,38.9173
2020-09-14,39.3106
2020-09-15,39.2164
2020-09-16,39.1721
2020-09-17,39.1444
2020-09-18,39.0724
2020-09-19,39.0724
2020-09-20,39.0724
2020-09-21,38.2415
2020-09-22,38.7899
2020-09-23,38.9173
2020-09-24,38.5074
2020-09-25,39.1943
2020-09-26,39.1943
2020-09-27,39.1943
2020-09-28,39.3162
2020-09-29,39.4214
2020-09-30,43.8441
2020-10-01,43.554
2020-10-02,42.8751
2020-10-03,42.8751
2020-10-04,42.8751
2020-10-05,43.1714
2020-10-06,42.2703
2020-10-07,43.9244
2020-10-08,44.665
2020-10-09,44.7884
2020-10-10,44.7884
2020-10-11,44.7884
2020-10-12,44.7946
2020-10-13,44.3625
2020-10-14,44.2823
2020-10-15,43.9244
2020-10-16,44.4304
2020-10-17,44.4304
2020-10-18,44.4304
2020-10-19,44.1404
2020-10-20,44.0601
2020-10-21,43.6837
2020-10-22,44.1342
