,RDN US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,6.5226
2020-01-02,6.4738
2020-01-03,6.4427
2020-01-04,6.4427
2020-01-05,6.4427
2020-01-06,6.4116
2020-01-07,6.376
2020-01-08,6.3738
2020-01-09,6.4604
2020-01-10,6.4049
2020-01-11,6.4049
2020-01-12,6.4049
2020-01-13,6.4004
2020-01-14,6.4004
2020-01-15,6.4138
2020-01-16,6.5049
2020-01-17,6.5093
2020-01-18,6.5093
2020-01-19,6.5093
2020-01-20,6.5093
2020-01-21,6.4738
2020-01-22,6.5049
2020-01-23,6.5426
2020-01-24,6.476
2020-01-25,6.476
2020-01-26,6.476
2020-01-27,6.4515
2020-01-28,6.4471
2020-01-29,6.4116
2020-01-30,6.4649
2020-01-31,6.3738
2020-02-01,6.3738
2020-02-02,6.3738
2020-02-03,6.476
2020-02-04,6.5204
2020-02-05,6.6071
2020-02-06,6.4586
2020-02-07,6.3919
2020-02-08,6.3919
2020-02-09,6.3919
2020-02-10,6.4119
2020-02-11,6.4386
2020-02-12,6.3631
2020-02-13,6.352
2020-02-14,6.2986
2020-02-15,6.2986
2020-02-16,6.2986
2020-02-17,6.2986
2020-02-18,6.3164
2020-02-19,6.1586
2020-02-20,6.2786
2020-02-21,6.2053
2020-02-22,6.2053
2020-02-23,6.2053
2020-02-24,6.1364
2020-02-25,5.992
2020-02-26,5.9075
2020-02-27,5.752
2020-02-28,5.5928
2020-02-29,5.5928
2020-03-01,5.5928
2020-03-02,5.9197
2020-03-03,5.979
2020-03-04,6.0623
2020-03-05,5.9614
2020-03-06,5.8824
2020-03-07,5.8824
2020-03-08,5.8824
2020-03-09,5.4721
2020-03-10,5.4129
2020-03-11,5.0574
2020-03-12,4.8534
2020-03-13,4.9718
2020-03-14,4.9718
2020-03-15,4.9718
2020-03-16,4.3575
2020-03-17,4.5396
2020-03-18,3.708
2020-03-19,4.7436
2020-03-20,4.0305
2020-03-21,4.0305
2020-03-22,4.0305
2020-03-23,3.2604
2020-03-24,3.471
2020-03-25,3.8287
2020-03-26,4.4057
2020-03-27,4.1578
2020-03-28,4.1578
2020-03-29,4.1578
2020-03-30,4.0086
2020-03-31,3.9944
2020-04-01,3.637
2020-04-02,3.6599
2020-04-03,3.2497
2020-04-04,3.2497
2020-04-05,3.2497
2020-04-06,3.6026
2020-04-07,4.0608
2020-04-08,4.1777
2020-04-09,4.4755
2020-04-10,4.4755
2020-04-11,4.4755
2020-04-12,4.4755
2020-04-13,4.1649
2020-04-14,4.1537
2020-04-15,4.0143
2020-04-16,3.8974
2020-04-17,4.075
2020-04-18,4.075
2020-04-19,4.075
2020-04-20,3.9132
2020-04-21,3.7648
2020-04-22,3.848
2020-04-23,3.9514
2020-04-24,4.0121
2020-04-25,4.0121
2020-04-26,4.0121
2020-04-27,4.1492
2020-04-28,4.3267
2020-04-29,4.6009
2020-04-30,4.3941
2020-05-01,4.1649
2020-05-02,4.1649
2020-05-03,4.1649
2020-05-04,4.1379
2020-05-05,4.1784
2020-05-06,4.128
2020-05-07,4.3784
2020-05-08,4.2686
2020-05-09,4.2686
2020-05-10,4.2686
2020-05-11,4.2906
2020-05-12,4.0534
2020-05-13,3.8931
2020-05-14,4.1324
2020-05-15,4.0841
2020-05-16,4.0841
2020-05-17,4.0841
2020-05-18,4.2664
2020-05-19,4.2774
2020-05-20,4.5607
2020-05-21,4.4487
2020-05-22,4.3564
2020-05-23,4.3564
2020-05-24,4.3564
2020-05-25,4.3564
2020-05-26,4.5387
2020-05-27,4.8286
2020-05-28,4.5299
2020-05-29,4.5145
2020-05-30,4.5145
2020-05-31,4.5145
2020-06-01,4.6902
2020-06-02,4.7451
2020-06-03,4.7583
2020-06-04,4.7912
2020-06-05,5.0723
2020-06-06,5.0723
2020-06-07,5.0723
2020-06-08,5.248
2020-06-09,4.9757
2020-06-10,4.7363
2020-06-11,4.352
2020-06-12,4.5299
2020-06-13,4.5299
2020-06-14,4.5299
2020-06-15,4.5321
2020-06-16,4.6309
2020-06-17,4.5475
2020-06-18,4.5629
2020-06-19,4.4728
2020-06-20,4.4728
2020-06-21,4.4728
2020-06-22,4.4706
2020-06-23,4.5343
2020-06-24,4.273
2020-06-25,4.3433
2020-06-26,4.2291
2020-06-27,4.2291
2020-06-28,4.2291
2020-06-29,4.385
2020-06-30,7.04
2020-07-01,6.8579
2020-07-02,6.8919
2020-07-03,6.8919
2020-07-04,6.8919
2020-07-05,6.8919
2020-07-06,6.8672
2020-07-07,6.5246
2020-07-08,6.5925
2020-07-09,6.3395
2020-07-10,6.5123
2020-07-11,6.5123
2020-07-12,6.5123
2020-07-13,6.4752
2020-07-14,6.5154
2020-07-15,6.8301
2020-07-16,6.6666
2020-07-17,6.5308
2020-07-18,6.5308
2020-07-19,6.5308
2020-07-20,6.4629
2020-07-21,6.5709
2020-07-22,6.6049
2020-07-23,6.5586
2020-07-24,6.645
2020-07-25,6.645
2020-07-26,6.645
2020-07-27,6.5277
2020-07-28,6.6573
2020-07-29,6.8209
2020-07-30,6.8487
2020-07-31,6.8579
2020-08-01,6.8579
2020-08-02,6.8579
2020-08-03,6.8734
2020-08-04,6.8517
2020-08-05,6.9443
2020-08-06,6.9443
2020-08-07,7.0801
2020-08-08,7.0801
2020-08-09,7.0801
2020-08-10,7.1532
2020-08-11,7.2743
2020-08-12,7.1966
2020-08-13,7.0103
2020-08-14,6.9917
2020-08-15,6.9917
2020-08-16,6.9917
2020-08-17,7.0165
2020-08-18,6.9575
2020-08-19,6.9203
2020-08-20,6.8675
2020-08-21,6.8334
2020-08-22,6.8334
2020-08-23,6.8334
2020-08-24,7.0414
2020-08-25,6.9979
2020-08-26,6.8737
2020-08-27,6.9917
2020-08-28,7.0755
2020-08-29,7.0755
2020-08-30,7.0755
2020-08-31,7.0476
2020-09-01,7.0786
2020-09-02,7.237
2020-09-03,7.2153
2020-09-04,7.2122
2020-09-05,7.2122
2020-09-06,7.2122
2020-09-07,7.2122
2020-09-08,7.0103
2020-09-09,7.0414
2020-09-10,7.0041
2020-09-11,7.0569
2020-09-12,7.0569
2020-09-13,7.0569
2020-09-14,7.1656
2020-09-15,7.147
2020-09-16,7.1097
2020-09-17,7.1128
2020-09-18,6.9669
2020-09-19,6.9669
2020-09-20,6.9669
2020-09-21,6.6967
2020-09-22,6.7868
2020-09-23,6.6253
2020-09-24,6.6129
2020-09-25,6.6936
2020-09-26,6.6936
2020-09-27,6.6936
2020-09-28,6.9141
2020-09-29,6.7837
2020-09-30,7.3526
2020-10-01,7.4639
2020-10-02,7.7202
2020-10-03,7.7202
2020-10-04,7.7202
2020-10-05,7.8955
2020-10-06,8.0877
2020-10-07,8.3507
2020-10-08,8.3743
2020-10-09,8.3069
2020-10-10,8.3069
2020-10-11,8.3069
2020-10-12,8.5598
2020-10-13,8.4081
2020-10-14,8.3271
2020-10-15,8.435
2020-10-16,8.4114
2020-10-17,8.4114
2020-10-18,8.4114
2020-10-19,8.489
2020-10-20,8.3878
2020-10-21,8.2799
2020-10-22,8.3912
2020-10-23,8.6981
2020-10-24,8.6981
2020-10-25,8.6981
2020-10-26,8.5767
2020-10-27,8.4452
2020-10-28,8.1585
2020-10-29,8.2833
2020-10-30,8.4789
2020-10-31,8.4789
2020-11-01,8.4789
2020-11-02,8.5733
2020-11-03,8.7419
2020-11-04,8.7487
2020-11-05,8.4216
2020-11-06,8.3542
2020-11-07,8.3542
2020-11-08,8.3542
2020-11-09,8.5767
2020-11-10,8.8533
2020-11-11,8.7993
2020-11-12,8.5262
2020-11-13,8.6408
2020-11-14,8.6408
2020-11-15,8.6408
2020-11-16,8.9511
2020-11-17,8.9477
2020-11-18,8.7218
2020-11-19,8.7926
2020-11-20,8.7622
2020-11-21,8.7622
2020-11-22,8.7622
2020-11-23,8.8196
2020-11-24,9.1568
2020-11-25,9.1601
2020-11-26,9.1601
2020-11-27,9.0084
2020-11-28,9.0084
2020-11-29,9.0084
2020-11-30,8.7926
2020-12-01,8.887
2020-12-02,9.0151
2020-12-03,8.941
2020-12-04,9.1028
2020-12-05,9.1028
2020-12-06,9.1028
2020-12-07,9.032
2020-12-08,9.0084
2020-12-09,9.1703
2020-12-10,9.2917
2020-12-11,9.1264
2020-12-12,9.1264
2020-12-13,9.1264
2020-12-14,9.0624
2020-12-15,9.3018
2020-12-16,9.3355
2020-12-17,9.2849
2020-12-18,9.1433
2020-12-19,9.1433
2020-12-20,9.1433
2020-12-21,9.2276
2020-12-22,9.1399
2020-12-23,9.2208
2020-12-24,9.1703
2020-12-25,9.1703
2020-12-26,9.1703
2020-12-27,9.1703
2020-12-28,9.2107
2020-12-29,9.1062
2020-12-30,9.1332
2020-12-31,9.5204
2021-01-01,9.5204
2021-01-02,9.5204
2021-01-03,9.5204
2021-01-04,9.249
2021-01-05,9.423
2021-01-06,9.7257
2021-01-07,9.9762
2021-01-08,9.8509
2021-01-09,9.8509
2021-01-10,9.8509
2021-01-11,9.9031
2021-01-12,9.9762
2021-01-13,9.924
2021-01-14,10.1223
2021-01-15,10.0214
2021-01-16,10.0214
2021-01-17,10.0214
2021-01-18,10.0214
2021-01-19,9.9831
2021-01-20,10.1153
2021-01-21,9.9623
2021-01-22,9.6665
2021-01-23,9.6665
2021-01-24,9.6665
2021-01-25,9.7326
2021-01-26,9.5448
2021-01-27,9.2873
2021-01-28,9.4613
2021-01-29,9.1551
2021-01-30,9.1551
2021-01-31,9.1551
2021-02-01,9.3082
2021-02-02,9.343
2021-02-03,9.2595
2021-02-04,9.4717
2021-02-05,9.4926
2021-02-06,9.4926
2021-02-07,9.4926
2021-02-08,9.6457
2021-02-09,9.6839
2021-02-10,9.7187
2021-02-11,9.6491
2021-02-12,9.5969
2021-02-13,9.5969
2021-02-14,9.5969
2021-02-15,9.5969
2021-02-16,9.7465
2021-02-17,9.6909
2021-02-18,9.5691
2021-02-19,9.7431
2021-02-20,9.7431
2021-02-21,9.7431
2021-02-22,9.5308
2021-02-23,9.7152
2021-02-24,9.8857
2021-02-25,9.6266
2021-02-26,9.5744
2021-02-27,9.5744
2021-02-28,9.5744
2021-03-01,9.9013
2021-03-02,9.8142
2021-03-03,9.8316
2021-03-04,9.8003
2021-03-05,9.9117
2021-03-06,9.9117
2021-03-07,9.9117
2021-03-08,10.051
2021-03-09,10.1519
2021-03-10,10.3574
2021-03-11,10.4444
2021-03-12,10.5314
2021-03-13,10.5314
2021-03-14,10.5314
2021-03-15,10.6324
2021-03-16,10.5523
2021-03-17,10.6637
2021-03-18,10.4374
2021-03-19,10.333
2021-03-20,10.333
2021-03-21,10.333
2021-03-22,10.1763
2021-03-23,10.0371
2021-03-24,10.0057
2021-03-25,10.1624
2021-03-26,10.3991
2021-03-27,10.3991
2021-03-28,10.3991
2021-03-29,10.3121
2021-03-30,10.4688
2021-03-31,10.7748
2021-04-01,10.7783
2021-04-02,10.7783
2021-04-03,10.7783
2021-04-04,10.7783
2021-04-05,10.8991
2021-04-06,10.8387
2021-04-07,10.8494
2021-04-08,10.9027
2021-04-09,10.9353
2021-04-10,10.9353
2021-04-11,10.9353
2021-04-12,10.836
2021-04-13,10.7899
2021-04-14,10.8786
2021-04-15,10.9459
2021-04-16,10.9672
2021-04-17,10.9672
2021-04-18,10.9672
2021-04-19,11.0523
2021-04-20,10.9282
2021-04-21,11.0736
2021-04-22,11.0878
2021-04-23,11.2687
2021-04-24,11.2687
2021-04-25,11.2687
2021-04-26,11.2793
2021-04-27,11.3573
2021-04-28,11.3502
2021-04-29,11.3999
2021-04-30,11.2509
2021-05-01,11.2509
2021-05-02,11.2509
2021-05-03,11.2793
2021-05-04,11.2722
2021-05-05,10.8578
2021-05-06,10.7017
2021-05-07,10.8829
2021-05-08,10.8829
2021-05-09,10.8829
2021-05-10,10.6665
2021-05-11,10.5672
2021-05-12,10.2161
2021-05-13,10.5282
2021-05-14,10.6594
2021-05-15,10.6594
2021-05-16,10.6594
2021-05-17,10.6665
2021-05-18,10.6062
2021-05-19,10.553
2021-05-20,10.5601
2021-05-21,10.67
2021-05-22,10.67
2021-05-23,10.67
2021-05-24,10.6027
2021-05-25,10.4785
2021-05-26,10.7587
2021-05-27,10.7906
2021-05-28,10.7942
2021-05-29,10.7942
2021-05-30,10.7942
2021-05-31,10.7942
2021-06-01,10.8155
2021-06-02,10.663
2021-06-03,10.6381
2021-06-04,10.6488
2021-06-05,10.6488
2021-06-06,10.6488
2021-06-07,10.7232
2021-06-08,10.8013
2021-06-09,10.6984
2021-06-10,10.5565
2021-06-11,10.6771
2021-06-12,10.6771
2021-06-13,10.6771
2021-06-14,10.78
2021-06-15,10.9999
2021-06-16,11.0425
2021-06-17,10.8155
2021-06-18,10.3934
2021-06-19,10.3934
2021-06-20,10.3934
2021-06-21,10.6168
2021-06-22,10.592
2021-06-23,10.631
2021-06-24,10.6949
2021-06-25,10.7623
2021-06-26,10.7623
2021-06-27,10.7623
2021-06-28,10.6275
2021-06-29,10.4892
2021-06-30,7.1438
2021-07-01,7.2759
2021-07-02,7.2147
2021-07-03,7.2147
2021-07-04,7.2147
2021-07-05,7.2147
2021-07-06,7.1217
2021-07-07,7.0679
2021-07-08,6.992
2021-07-09,7.1242
2021-07-10,7.1242
2021-07-11,7.1242
2021-07-12,7.178
2021-07-13,7.036
2021-07-14,7.0777
2021-07-15,7.134
2021-07-16,7.0752
2021-07-17,7.0752
2021-07-18,7.0752
2021-07-19,6.9283
2021-07-20,7.0605
2021-07-21,7.1315
2021-07-22,7.0728
2021-07-23,7.134
2021-07-24,7.134
2021-07-25,7.134
2021-07-26,7.1364
2021-07-27,7.1217
