,QNST US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,116.1581
2020-01-02,114.6767
2020-01-03,115.1705
2020-01-04,115.1705
2020-01-05,115.1705
2020-01-06,116.5696
2020-01-07,113.6891
2020-01-08,111.7962
2020-01-09,110.9732
2020-01-10,109.1625
2020-01-11,109.1625
2020-01-12,109.1625
2020-01-13,110.4794
2020-01-14,109.6564
2020-01-15,110.644
2020-01-16,109.9033
2020-01-17,110.8909
2020-01-18,110.8909
2020-01-19,110.8909
2020-01-20,110.8909
2020-01-21,110.3148
2020-01-22,108.8333
2020-01-23,109.9856
2020-01-24,109.5741
2020-01-25,109.5741
2020-01-26,109.5741
2020-01-27,107.8457
2020-01-28,104.5537
2020-01-29,98.7103
2020-01-30,98.7103
2020-01-31,96.7762
2020-02-01,96.7762
2020-02-02,96.7762
2020-02-03,97.3112
2020-02-04,96.982
2020-02-05,93.7722
2020-02-06,112.1254
2020-02-07,114.495
2020-02-08,114.495
2020-02-09,114.495
2020-02-10,109.6775
2020-02-11,111.4218
2020-02-12,115.907
2020-02-13,113.6644
2020-02-14,113.2491
2020-02-15,113.2491
2020-02-16,113.2491
2020-02-17,113.2491
2020-02-18,110.8404
2020-02-19,110.5912
2020-02-20,110.5081
2020-02-21,111.3387
2020-02-22,111.3387
2020-02-23,111.3387
2020-02-24,109.8436
2020-02-25,103.6142
2020-02-26,102.7005
2020-02-27,98.3815
2020-02-28,97.1356
2020-02-29,97.1356
2020-03-01,97.1356
2020-03-02,94.6438
2020-03-03,91.9028
2020-03-04,94.0624
2020-03-05,88.0821
2020-03-06,82.8494
2020-03-07,82.8494
2020-03-08,82.8494
2020-03-09,73.2975
2020-03-10,75.2079
2020-03-11,70.3074
2020-03-12,57.6824
2020-03-13,61.42
2020-03-14,61.42
2020-03-15,61.42
2020-03-16,52.6988
2020-03-17,50.2901
2020-03-18,40.9044
2020-03-19,45.7218
2020-03-20,45.8879
2020-03-21,45.8879
2020-03-22,45.8879
2020-03-23,42.6486
2020-03-24,51.0376
2020-03-25,52.4496
2020-03-26,51.619
2020-03-27,51.2868
2020-03-28,51.2868
2020-03-29,51.2868
2020-03-30,54.6922
2020-03-31,29.8782
2020-04-01,25.4269
2020-04-02,25.1487
2020-04-03,23.0158
2020-04-04,23.0158
2020-04-05,23.0158
2020-04-06,26.1224
2020-04-07,28.209
2020-04-08,29.3681
2020-04-09,30.8055
2020-04-10,30.8055
2020-04-11,30.8055
2020-04-12,30.8055
2020-04-13,30.8519
2020-04-14,34.2831
2020-04-15,30.8519
2020-04-16,27.6062
2020-04-17,30.8519
2020-04-18,30.8519
2020-04-19,30.8519
2020-04-20,30.8055
2020-04-21,30.9446
2020-04-22,32.4747
2020-04-23,33.0312
2020-04-24,32.5675
2020-04-25,32.5675
2020-04-26,32.5675
2020-04-27,34.5613
2020-04-28,37.7606
2020-04-29,40.4963
2020-04-30,39.6617
2020-05-01,38.9198
2020-05-02,38.9198
2020-05-03,38.9198
2020-05-04,38.317
2020-05-05,38.2475
2020-05-06,38.1315
2020-05-07,42.6292
2020-05-08,41.525
2020-05-09,41.525
2020-05-10,41.525
2020-05-11,40.3135
2020-05-12,37.0052
2020-05-13,31.7865
2020-05-14,35.2346
2020-05-15,35.9801
2020-05-16,35.9801
2020-05-17,35.9801
2020-05-18,38.6128
2020-05-19,36.7722
2020-05-20,37.6575
2020-05-21,37.3314
2020-05-22,37.7973
2020-05-23,37.7973
2020-05-24,37.7973
2020-05-25,37.7973
2020-05-26,39.102
2020-05-27,41.8512
2020-05-28,39.5214
2020-05-29,39.801
2020-05-30,39.801
2020-05-31,39.801
2020-06-01,41.0125
2020-06-02,43.1093
2020-06-03,44.0412
2020-06-04,46.3943
2020-06-05,45.1595
2020-06-06,45.1595
2020-06-07,45.1595
2020-06-08,45.6721
2020-06-09,46.7438
2020-06-10,44.7401
2020-06-11,39.8476
2020-06-12,41.8512
2020-06-13,41.8512
2020-06-14,41.8512
2020-06-15,42.1774
2020-06-16,43.9946
2020-06-17,42.2706
2020-06-18,42.4103
2020-06-19,41.525
2020-06-20,41.525
2020-06-21,41.525
2020-06-22,42.224
2020-06-23,42.9695
2020-06-24,40.3135
2020-06-25,40.2669
2020-06-26,38.869
2020-06-27,38.869
2020-06-28,38.869
2020-06-29,39.8476
2020-06-30,65.3519
2020-07-01,64.1416
2020-07-02,65.0493
2020-07-03,65.0493
2020-07-04,65.0493
2020-07-05,65.0493
2020-07-06,66.2597
2020-07-07,63.5364
2020-07-08,64.5198
2020-07-09,63.2338
2020-07-10,64.8224
2020-07-11,64.8224
2020-07-12,64.8224
2020-07-13,62.6286
2020-07-14,69.7395
2020-07-15,72.0089
2020-07-16,69.3612
2020-07-17,70.269
2020-07-18,70.269
2020-07-19,70.269
2020-07-20,71.555
2020-07-21,75.7913
2020-07-22,73.3706
2020-07-23,73.2193
2020-07-24,72.6141
2020-07-25,72.6141
2020-07-26,72.6141
2020-07-27,74.4296
2020-07-28,72.6897
2020-07-29,74.8078
2020-07-30,72.7654
2020-07-31,74.5431
2020-08-01,74.5431
2020-08-02,74.5431
2020-08-03,76.2451
2020-08-04,79.1954
2020-08-05,79.3467
2020-08-06,85.8902
2020-08-07,85.5498
2020-08-08,85.5498
2020-08-09,85.5498
2020-08-10,87.7435
2020-08-11,87.5922
2020-08-12,87.7435
2020-08-13,88.1974
2020-08-14,88.6891
2020-08-15,88.6891
2020-08-16,88.6891
2020-08-17,87.7435
2020-08-18,88.4244
2020-08-19,87.214
2020-08-20,88.3487
2020-08-21,87.6679
2020-08-22,87.6679
2020-08-23,87.6679
2020-08-24,86.9114
2020-08-25,87.5922
2020-08-26,86.6088
2020-08-27,86.8358
2020-08-28,88.8945
2020-08-29,88.8945
2020-08-30,88.8945
2020-08-31,87.0543
2020-09-01,84.294
2020-09-02,92.575
2020-09-03,97.0989
2020-09-04,96.3322
2020-09-05,96.3322
2020-09-06,96.3322
2020-09-07,96.3322
2020-09-08,95.5654
2020-09-09,101.7762
2020-09-10,101.5461
2020-09-11,99.0158
2020-09-12,99.0158
2020-09-13,99.0158
2020-09-14,98.6324
2020-09-15,98.0736
2020-09-16,100.4126
2020-09-17,100.8727
2020-09-18,102.5215
2020-09-19,102.5215
2020-09-20,102.5215
2020-09-21,100.9494
2020-09-22,103.6335
2020-09-23,102.0997
2020-09-24,99.9525
2020-09-25,102.5598
2020-09-26,102.5598
2020-09-27,102.5598
2020-09-28,107.0077
2020-09-29,107.3145
2020-09-30,92.2502
2020-10-01,96.4624
2020-10-02,98.5361
2020-10-03,98.5361
2020-10-04,98.5361
2020-10-05,99.4434
2020-10-06,96.7216
2020-10-07,97.1752
2020-10-08,99.6378
2020-10-09,100.9986
2020-10-10,100.9986
2020-10-11,100.9986
2020-10-12,98.3417
2020-10-13,98.4713
2020-10-14,94.9719
2020-10-15,95.1015
2020-10-16,93.4167
2020-10-17,93.4167
2020-10-18,93.4167
2020-10-19,99.1194
2020-10-20,100.4154
2020-10-21,100.2534
2020-10-22,100.4154
2020-10-23,100.8042
2020-10-24,100.8042
2020-10-25,100.8042
2020-10-26,95.8792
2020-10-27,94.6803
2020-10-28,90.6301
2020-10-29,99.0221
2020-10-30,93.3195
2020-10-31,93.3195
2020-11-01,93.3195
2020-11-02,93.0278
2020-11-03,94.9071
2020-11-04,97.3697
2020-11-05,100.8042
2020-11-06,101.4123
2020-11-07,101.4123
2020-11-08,101.4123
2020-11-09,96.9216
2020-11-10,100.6313
2020-11-11,101.2821
2020-11-12,100.6964
2020-11-13,102.5187
2020-11-14,102.5187
2020-11-15,102.5187
2020-11-16,103.4298
2020-11-17,102.3234
2020-11-18,101.4774
2020-11-19,102.2584
2020-11-20,103.4949
2020-11-21,103.4949
2020-11-22,103.4949
2020-11-23,104.6664
2020-11-24,105.3823
2020-11-25,109.8078
2020-11-26,109.8078
2020-11-27,107.4649
2020-11-28,107.4649
2020-11-29,107.4649
2020-11-30,105.7402
2020-12-01,107.7252
2020-12-02,107.7903
2020-12-03,110.5238
2020-12-04,114.689
2020-12-05,114.689
2020-12-06,114.689
2020-12-07,117.3573
2020-12-08,123.41
2020-12-09,124.4513
2020-12-10,123.9957
2020-12-11,125.8831
2020-12-12,125.8831
2020-12-13,125.8831
2020-12-14,124.3862
2020-12-15,122.9544
