,MKL US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,6.795
2020-01-02,6.8627
2020-01-03,6.8977
2020-01-04,6.8977
2020-01-05,6.8977
2020-01-06,6.8929
2020-01-07,6.8904
2020-01-08,6.8487
2020-01-09,6.9226
2020-01-10,6.902
2020-01-11,6.902
2020-01-12,6.902
2020-01-13,6.9411
2020-01-14,6.9946
2020-01-15,6.9478
2020-01-16,7.0163
2020-01-17,7.0737
2020-01-18,7.0737
2020-01-19,7.0737
2020-01-20,7.0737
2020-01-21,7.0371
2020-01-22,7.036
2020-01-23,7.0046
2020-01-24,7.0491
2020-01-25,7.0491
2020-01-26,7.0491
2020-01-27,6.9586
2020-01-28,6.9412
2020-01-29,6.9532
2020-01-30,6.9745
2020-01-31,6.9625
2020-02-01,6.9625
2020-02-02,6.9625
2020-02-03,6.9912
2020-02-04,7.0748
2020-02-05,7.44
2020-02-06,7.6542
2020-02-07,7.6869
2020-02-08,7.6869
2020-02-09,7.6869
2020-02-10,7.6358
2020-02-11,7.7005
2020-02-12,7.7226
2020-02-13,7.7774
2020-02-14,7.7994
2020-02-15,7.7994
2020-02-16,7.7994
2020-02-17,7.7994
2020-02-18,7.8165
2020-02-19,7.8726
2020-02-20,7.8973
2020-02-21,7.8895
2020-02-22,7.8895
2020-02-23,7.8895
2020-02-24,7.7728
2020-02-25,7.6317
2020-02-26,7.5405
2020-02-27,7.2438
2020-02-28,6.9964
2020-02-29,6.9964
2020-03-01,6.9964
2020-03-02,7.4512
2020-03-03,7.3229
2020-03-04,7.5142
2020-03-05,7.2604
2020-03-06,7.1946
2020-03-07,7.1946
2020-03-08,7.1946
2020-03-09,6.5061
2020-03-10,6.902
2020-03-11,6.4648
2020-03-12,5.685
2020-03-13,6.2394
2020-03-14,6.2394
2020-03-15,6.2394
2020-03-16,5.0754
2020-03-17,5.2139
2020-03-18,4.8122
2020-03-19,5.0613
2020-03-20,4.7732
2020-03-21,4.7732
2020-03-22,4.7732
2020-03-23,4.5322
2020-03-24,5.1592
2020-03-25,5.1832
2020-03-26,5.7005
2020-03-27,5.3747
2020-03-28,5.3747
2020-03-29,5.3747
