,DISCK US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,12.9292
2020-01-02,12.8499
2020-01-03,12.8128
2020-01-04,12.8128
2020-01-05,12.8128
2020-01-06,12.8887
2020-01-07,12.9213
2020-01-08,12.9464
2020-01-09,12.8764
2020-01-10,12.8259
2020-01-11,12.8259
2020-01-12,12.8259
2020-01-13,12.7781
2020-01-14,12.8074
2020-01-15,12.8767
2020-01-16,12.9574
2020-01-17,12.9166
2020-01-18,12.9166
2020-01-19,12.9166
2020-01-20,12.9166
2020-01-21,12.8525
2020-01-22,12.8261
2020-01-23,12.5265
2020-01-24,12.5041
2020-01-25,12.5041
2020-01-26,12.5041
2020-01-27,12.4803
2020-01-28,12.5574
2020-01-29,12.4001
2020-01-30,12.4358
2020-01-31,12.305
2020-02-01,12.305
2020-02-02,12.305
2020-02-03,12.2847
2020-02-04,12.4071
2020-02-05,12.5827
2020-02-06,12.4306
2020-02-07,12.5005
2020-02-08,12.5005
2020-02-09,12.5005
2020-02-10,12.5025
2020-02-11,12.5694
2020-02-12,12.6088
2020-02-13,12.5318
2020-02-14,12.4997
2020-02-15,12.4997
2020-02-16,12.4997
2020-02-17,12.4997
2020-02-18,12.5255
2020-02-19,12.6439
2020-02-20,12.4312
2020-02-21,12.2832
2020-02-22,12.2832
2020-02-23,12.2832
2020-02-24,12.1085
2020-02-25,11.9301
2020-02-26,11.7484
2020-02-27,11.3255
2020-02-28,11.5785
2020-02-29,11.5785
2020-03-01,11.5785
2020-03-02,11.6451
2020-03-03,11.57
2020-03-04,11.6184
2020-03-05,11.3504
2020-03-06,11.3996
2020-03-07,11.3996
2020-03-08,11.3996
2020-03-09,11.0622
2020-03-10,11.3396
2020-03-11,11.1108
2020-03-12,10.7338
2020-03-13,10.7904
2020-03-14,10.7904
2020-03-15,10.7904
2020-03-16,10.2398
2020-03-17,10.3547
2020-03-18,10.065
2020-03-19,10.3327
2020-03-20,9.7823
2020-03-21,9.7823
2020-03-22,9.7823
2020-03-23,9.7695
2020-03-24,10.0679
2020-03-25,10.2967
2020-03-26,10.2778
2020-03-27,9.8976
2020-03-28,9.8976
2020-03-29,9.8976
2020-03-30,10.0758
2020-03-31,9.7832
2020-04-01,9.798
2020-04-02,9.6648
2020-04-03,9.6105
