,AON US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,25.8409
2020-01-02,25.8944
2020-01-03,25.8067
2020-01-04,25.8067
2020-01-05,25.8067
2020-01-06,25.8709
2020-01-07,25.6815
2020-01-08,25.7725
2020-01-09,25.9276
2020-01-10,25.8163
2020-01-11,25.8163
2020-01-12,25.8163
2020-01-13,25.9244
2020-01-14,25.7725
2020-01-15,25.9201
2020-01-16,26.0399
2020-01-17,26.2218
2020-01-18,26.2218
2020-01-19,26.2218
2020-01-20,26.2218
2020-01-21,26.1587
2020-01-22,26.2282
2020-01-23,26.3555
2020-01-24,26.3898
2020-01-25,26.3898
2020-01-26,26.3898
2020-01-27,26.2325
2020-01-28,26.7257
2020-01-29,26.7279
2020-01-30,27.0542
2020-01-31,27.1205
2020-02-01,27.1205
2020-02-02,27.1205
2020-02-03,27.6319
2020-02-04,27.8041
2020-02-05,27.9817
2020-02-06,28.1208
2020-02-07,28.1775
2020-02-08,28.1775
2020-02-09,28.1775
2020-02-10,28.2781
2020-02-11,28.2941
2020-02-12,28.262
2020-02-13,28.6536
2020-02-14,28.7256
2020-02-15,28.7256
2020-02-16,28.7256
2020-02-17,28.7256
2020-02-18,28.6765
2020-02-19,28.9071
2020-02-20,28.5761
2020-02-21,28.275
2020-02-22,28.275
2020-02-23,28.275
2020-02-24,27.3985
2020-02-25,27.3066
2020-02-26,27.312
2020-02-27,26.2155
2020-02-28,25.7649
2020-02-29,25.7649
2020-03-01,25.7649
2020-03-02,27.1593
2020-03-03,26.4909
2020-03-04,27.6312
2020-03-05,26.7023
2020-03-06,26.492
2020-03-07,26.492
2020-03-08,26.492
2020-03-09,22.6611
2020-03-10,23.0836
2020-03-11,23.284
2020-03-12,22.0587
2020-03-13,22.481
2020-03-14,22.481
2020-03-15,22.481
2020-03-16,21.743
2020-03-17,21.0968
2020-03-18,20.185
2020-03-19,19.6688
2020-03-20,19.5056
2020-03-21,19.5056
2020-03-22,19.5056
2020-03-23,19.0716
2020-03-24,21.2642
2020-03-25,20.956
2020-03-26,21.2279
2020-03-27,21.1981
2020-03-28,21.1981
2020-03-29,21.1981
2020-03-30,21.7964
2020-03-31,20.0119
2020-04-01,18.8841
2020-04-02,19.2395
2020-04-03,18.9298
2020-04-04,18.9298
2020-04-05,18.9298
2020-04-06,20.817
2020-04-07,21.092
2020-04-08,22.2873
2020-04-09,22.6933
2020-04-10,22.6933
2020-04-11,22.6933
2020-04-12,22.6933
2020-04-13,22.1304
2020-04-14,22.8899
2020-04-15,21.8882
2020-04-16,22.1165
2020-04-17,22.5702
2020-04-18,22.5702
2020-04-19,22.5702
2020-04-20,22.0619
2020-04-21,21.3164
2020-04-22,21.6549
2020-04-23,20.9779
2020-04-24,21.037
2020-04-25,21.037
2020-04-26,21.037
2020-04-27,20.7782
2020-04-28,20.7186
2020-04-29,20.5481
2020-04-30,20.7524
2020-05-01,21.302
2020-05-02,21.302
2020-05-03,21.302
2020-05-04,21.2494
2020-05-05,21.7701
2020-05-06,21.2058
2020-05-07,21.9585
2020-05-08,22.4475
2020-05-09,22.4475
2020-05-10,22.4475
2020-05-11,22.6706
2020-05-12,22.7906
