,LBRT US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,14.724
2020-01-02,14.3236
2020-01-03,14.6608
2020-01-04,14.6608
2020-01-05,14.6608
2020-01-06,14.9874
2020-01-07,14.7767
2020-01-08,14.5976
2020-01-09,14.2288
2020-01-10,14.3026
2020-01-11,14.3026
2020-01-12,14.3026
2020-01-13,13.839
2020-01-14,13.9443
2020-01-15,14.0497
2020-01-16,14.3342
2020-01-17,14.1867
2020-01-18,14.1867
2020-01-19,14.1867
2020-01-20,14.1867
2020-01-21,13.3016
2020-01-22,13.1436
2020-01-23,12.8275
2020-01-24,12.2691
2020-01-25,12.2691
2020-01-26,12.2691
2020-01-27,11.8055
2020-01-28,12.0267
2020-01-29,11.9424
2020-01-30,12.2691
2020-01-31,11.9424
2020-02-01,11.9424
2020-02-02,11.9424
2020-02-03,11.4367
2020-02-04,11.4472
2020-02-05,12.3534
2020-02-06,11.226
2020-02-07,11.1838
2020-02-08,11.1838
2020-02-09,11.1838
2020-02-10,11.2154
2020-02-11,11.1311
2020-02-12,11.1522
2020-02-13,11.1627
2020-02-14,11.4367
2020-02-15,11.4367
2020-02-16,11.4367
2020-02-17,11.4367
2020-02-18,11.4156
2020-02-19,11.7317
2020-02-20,11.8265
2020-02-21,11.4051
2020-02-22,11.4051
2020-02-23,11.4051
2020-02-24,10.7202
2020-02-25,10.2039
2020-02-26,10.1934
2020-02-27,9.8795
2020-02-28,10.0586
2020-02-29,10.0586
2020-03-01,10.0586
2020-03-02,9.8268
2020-03-03,9.637
2020-03-04,9.3946
2020-03-05,8.7939
2020-03-06,7.9191
2020-03-07,7.9191
2020-03-08,7.9191
2020-03-09,6.8546
2020-03-10,6.3276
2020-03-11,6.433
2020-03-12,6.022
2020-03-13,6.1484
2020-03-14,6.1484
2020-03-15,6.1484
2020-03-16,5.9798
2020-03-17,6.1801
2020-03-18,5.5371
2020-03-19,5.9166
2020-03-20,5.5477
2020-03-21,5.5477
2020-03-22,5.5477
2020-03-23,5.5371
2020-03-24,6.0114
2020-03-25,5.8112
2020-03-26,6.1801
2020-03-27,5.7901
2020-03-28,5.7901
2020-03-29,5.7901
2020-03-30,5.8006
2020-03-31,9.8406
2020-04-01,9.1372
2020-04-02,9.4807
2020-04-03,9.4971
2020-04-04,9.4971
2020-04-05,9.4971
2020-04-06,9.8243
2020-04-07,9.8406
2020-04-08,10.904
2020-04-09,10.904
2020-04-10,10.904
2020-04-11,10.904
2020-04-12,10.904
2020-04-13,11.0676
2020-04-14,10.7568
2020-04-15,10.1024
2020-04-16,9.7425
2020-04-17,10.0206
2020-04-18,10.0206
2020-04-19,10.0206
2020-04-20,10.1351
2020-04-21,9.9879
2020-04-22,9.9224
2020-04-23,11.1494
2020-04-24,11.2967
2020-04-25,11.2967
2020-04-26,11.2967
2020-04-27,10.8386
2020-04-28,11.313
2020-04-29,13.3908
2020-04-30,13.1617
2020-05-01,12.4816
2020-05-02,12.4816
2020-05-03,12.4816
2020-05-04,12.2354
2020-05-05,12.3667
2020-05-06,12.2518
2020-05-07,12.4324
2020-05-08,13.171
2020-05-09,13.171
2020-05-10,13.171
2020-05-11,13.0069
2020-05-12,13.171
2020-05-13,12.3995
2020-05-14,12.4324
2020-05-15,12.5637
2020-05-16,12.5637
2020-05-17,12.5637
2020-05-18,13.8112
2020-05-19,13.5978
2020-05-20,14.2216
2020-05-21,14.3365
2020-05-22,13.647
2020-05-23,13.647
2020-05-24,13.647
2020-05-25,13.647
2020-05-26,14.2216
2020-05-27,14.3365
2020-05-28,14.3529
2020-05-29,13.8933
2020-05-30,13.8933
2020-05-31,13.8933
2020-06-01,13.9753
