,HON US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,19.3459
2020-01-02,19.7399
2020-01-03,19.5393
2020-01-04,19.5393
2020-01-05,19.5393
2020-01-06,19.3989
2020-01-07,19.4093
2020-01-08,19.4249
2020-01-09,19.5611
2020-01-10,19.5205
2020-01-11,19.5205
2020-01-12,19.5205
2020-01-13,19.7898
2020-01-14,19.7045
2020-01-15,19.7336
2020-01-16,19.8927
2020-01-17,19.9935
2020-01-18,19.9935
2020-01-19,19.9935
2020-01-20,19.9935
2020-01-21,19.7544
2020-01-22,19.663
2020-01-23,19.6141
2020-01-24,19.3594
2020-01-25,19.3594
2020-01-26,19.3594
2020-01-27,18.9863
2020-01-28,19.1858
2020-01-29,19.2077
2020-01-30,19.4852
2020-01-31,18.953
2020-02-01,18.953
2020-02-02,18.953
2020-02-03,18.7555
2020-02-04,19.1598
2020-02-05,19.3355
2020-02-06,19.2783
2020-02-07,19.1671
2020-02-08,19.1671
2020-02-09,19.1671
2020-02-10,19.3407
2020-02-11,19.5694
2020-02-12,19.7804
2020-02-13,19.6702
2020-02-14,19.6911
2020-02-15,19.6911
2020-02-16,19.6911
2020-02-17,19.6911
2020-02-18,19.547
2020-02-19,19.6963
2020-02-20,19.6797
2020-02-21,19.5947
2020-02-22,19.5947
2020-02-23,19.5947
2020-02-24,19.1168
2020-02-25,18.3424
2020-02-26,18.2781
2020-02-27,17.4871
2020-02-28,17.7587
2020-02-29,17.7587
2020-03-01,17.7587
2020-03-02,17.9733
2020-03-03,17.7297
2020-03-04,18.6938
2020-03-05,18.0438
2020-03-06,17.9516
2020-03-07,17.9516
2020-03-08,17.9516
2020-03-09,16.7936
2020-03-10,17.709
2020-03-11,16.8485
2020-03-12,14.8223
2020-03-13,16.3205
2020-03-14,16.3205
2020-03-15,16.3205
2020-03-16,14.8655
2020-03-17,14.5085
2020-03-18,13.2542
2020-03-19,13.1873
2020-03-20,12.5226
2020-03-21,12.5226
2020-03-22,12.5226
2020-03-23,11.6336
2020-03-24,13.2439
2020-03-25,14.2873
2020-03-26,15.0847
2020-03-27,14.454
2020-03-28,14.454
2020-03-29,14.454
2020-03-30,14.5034
2020-03-31,14.9161
2020-04-01,14.4978
2020-04-02,14.8156
2020-04-03,14.2662
2020-04-04,14.2662
2020-04-05,14.2662
2020-04-06,14.9376
2020-04-07,15.0647
2020-04-08,15.4757
2020-04-09,15.9042
2020-04-10,15.9042
2020-04-11,15.9042
2020-04-12,15.9042
2020-04-13,15.3415
2020-04-14,15.6131
2020-04-15,15.0237
2020-04-16,14.7664
2020-04-17,15.3804
2020-04-18,15.3804
2020-04-19,15.3804
2020-04-20,15.1119
2020-04-21,14.7326
2020-04-22,14.8382
2020-04-23,15.0073
2020-04-24,15.0934
2020-04-25,15.0934
2020-04-26,15.0934
2020-04-27,15.5403
2020-04-28,15.8355
2020-04-29,16.1841
2020-04-30,15.7474
2020-05-01,15.1626
2020-05-02,15.1626
2020-05-03,15.1626
2020-05-04,14.954
2020-05-05,14.9205
2020-05-06,14.7343
2020-05-07,14.7089
2020-05-08,15.128
2020-05-09,15.128
2020-05-10,15.128
2020-05-11,14.8605
2020-05-12,14.18
2020-05-13,13.71
2020-05-14,14.125
2020-05-15,13.9582
2020-05-16,13.9582
2020-05-17,13.9582
2020-05-18,15.0395
2020-05-19,14.6235
2020-05-20,15.0385
2020-05-21,15.2073
2020-05-22,15.3589
2020-05-23,15.3589
2020-05-24,15.3589
2020-05-25,15.3589
2020-05-26,15.9448
2020-05-27,16.316
2020-05-28,16.2113
2020-05-29,16.0373
2020-05-30,16.0373
2020-05-31,16.0373
2020-06-01,16.0709
2020-06-02,16.2916
2020-06-03,16.8002
2020-06-04,17.0606
2020-06-05,17.616
2020-06-06,17.616
2020-06-07,17.616
2020-06-08,17.7736
2020-06-09,17.2834
2020-06-10,16.8785
2020-06-11,15.7922
2020-06-12,15.901
2020-06-13,15.901
2020-06-14,15.901
2020-06-15,16.1167
2020-06-16,16.3689
2020-06-17,16.2906
2020-06-18,16.2794
2020-06-19,15.9885
2020-06-20,15.9885
2020-06-21,15.9885
2020-06-22,15.9448
2020-06-23,15.9366
2020-06-24,15.2744
2020-06-25,15.6925
2020-06-26,15.2602
2020-06-27,15.2602
2020-06-28,15.2602
2020-06-29,15.7718
2020-06-30,17.7759
2020-07-01,17.7211
2020-07-02,17.8249
2020-07-03,17.8249
2020-07-04,17.8249
2020-07-05,17.8249
2020-07-06,18.0757
2020-07-07,17.8192
2020-07-08,17.8899
2020-07-09,17.4087
2020-07-10,17.5319
2020-07-11,17.5319
2020-07-12,17.5319
2020-07-13,17.6504
2020-07-14,18.176
2020-07-15,18.6127
2020-07-16,18.7438
2020-07-17,18.9627
2020-07-18,18.9627
2020-07-19,18.9627
2020-07-20,18.7791
2020-07-21,18.9353
2020-07-22,18.9182
2020-07-23,18.8179
2020-07-24,18.3261
2020-07-25,18.3261
2020-07-26,18.3261
2020-07-27,18.4777
2020-07-28,18.6202
2020-07-29,18.9132
2020-07-30,18.2953
2020-07-31,18.3193
2020-08-01,18.3193
2020-08-02,18.3193
2020-08-03,18.2235
2020-08-04,18.0867
2020-08-05,18.4846
2020-08-06,18.6852
2020-08-07,18.9736
2020-08-08,18.9736
2020-08-09,18.9736
2020-08-10,19.4661
2020-08-11,19.563
