,LPLA US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,11.1162
2020-01-02,11.2682
2020-01-03,11.1244
2020-01-04,11.1244
2020-01-05,11.1244
2020-01-06,11.1528
2020-01-07,11.3342
2020-01-08,11.413
2020-01-09,11.5504
2020-01-10,11.5568
2020-01-11,11.5568
2020-01-12,11.5568
2020-01-13,11.6878
2020-01-14,11.6127
2020-01-15,11.609
2020-01-16,11.7217
2020-01-17,11.6557
2020-01-18,11.6557
2020-01-19,11.6557
2020-01-20,11.6557
2020-01-21,11.5577
2020-01-22,11.5788
2020-01-23,11.5559
2020-01-24,11.3626
2020-01-25,11.3626
2020-01-26,11.3626
2020-01-27,11.1629
2020-01-28,11.3058
2020-01-29,11.2994
2020-01-30,11.4249
2020-01-31,11.0429
2020-02-01,11.0429
2020-02-02,11.0429
2020-02-03,10.931
2020-02-04,11.1047
2020-02-05,11.2774
2020-02-06,11.2129
2020-02-07,11.2574
2020-02-08,11.2574
2020-02-09,11.2574
2020-02-10,11.1792
2020-02-11,11.392
2020-02-12,11.3675
2020-02-13,11.3084
2020-02-14,11.2729
2020-02-15,11.2729
2020-02-16,11.2729
2020-02-17,11.2729
2020-02-18,11.2474
2020-02-19,11.5302
2020-02-20,11.6502
2020-02-21,11.225
2020-02-22,11.225
2020-02-23,11.225
2020-02-24,10.5672
2020-02-25,10.2884
2020-02-26,10.181
2020-02-27,10.0051
2020-02-28,9.8373
2020-02-29,9.8373
2020-03-01,9.8373
2020-03-02,10.1098
2020-03-03,9.47
2020-03-04,9.2174
2020-03-05,8.6426
2020-03-06,8.6634
2020-03-07,8.6634
2020-03-08,8.6634
2020-03-09,7.7313
2020-03-10,8.1139
2020-03-11,7.8964
2020-03-12,7.2134
2020-03-13,8.0579
2020-03-14,8.0579
2020-03-15,8.0579
2020-03-16,7.4164
2020-03-17,7.1637
2020-03-18,6.1865
2020-03-19,6.7433
2020-03-20,6.7099
2020-03-21,6.7099
2020-03-22,6.7099
2020-03-23,6.4121
2020-03-24,7.3388
2020-03-25,7.5346
2020-03-26,7.7484
2020-03-27,7.4398
2020-03-28,7.4398
2020-03-29,7.4398
2020-03-30,7.6095
2020-03-31,7.7685
2020-04-01,7.5444
2020-04-02,7.4961
2020-04-03,7.2505
2020-04-04,7.2505
2020-04-05,7.2505
2020-04-06,7.6681
2020-04-07,7.5937
2020-04-08,7.7702
2020-04-09,8.0507
2020-04-10,8.0507
2020-04-11,8.0507
2020-04-12,8.0507
2020-04-13,7.8366
2020-04-14,7.9235
2020-04-15,7.7989
2020-04-16,7.6717
2020-04-17,7.712
2020-04-18,7.712
2020-04-19,7.712
2020-04-20,7.5758
2020-04-21,7.4432
2020-04-22,7.5176
2020-04-23,7.5857
