,TMX US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,43.9614
2020-01-02,43.9439
2020-01-03,43.7514
2020-01-04,43.7514
2020-01-05,43.7514
2020-01-06,43.7077
2020-01-07,43.2527
2020-01-08,41.8878
2020-01-09,42.3778
2020-01-10,42.3428
2020-01-11,42.3428
2020-01-12,42.3428
2020-01-13,42.649
2020-01-14,42.2553
2020-01-15,41.879
2020-01-16,42.0978
2020-01-17,42.2903
2020-01-18,42.2903
2020-01-19,42.2903
2020-01-20,42.2903
2020-01-21,41.459
2020-01-22,42.9377
2020-01-23,42.719
2020-01-24,42.3865
2020-01-25,42.3865
2020-01-26,42.3865
2020-01-27,42.579
2020-01-28,42.439
2020-01-29,42.264
2020-01-30,42.2903
2020-01-31,41.6778
2020-02-01,41.6778
2020-02-02,41.6778
2020-02-03,42.1415
2020-02-04,42.0715
2020-02-05,42.0365
2020-02-06,41.2316
2020-02-07,40.8203
2020-02-08,40.8203
2020-02-09,40.8203
2020-02-10,41.1966
2020-02-11,41.6865
2020-02-12,41.8615
2020-02-13,42.5265
2020-02-14,43.0865
2020-02-15,43.0865
2020-02-16,43.0865
2020-02-17,43.0865
2020-02-18,42.369
2020-02-19,42.9377
2020-02-20,43.2615
2020-02-21,43.4715
2020-02-22,43.4715
2020-02-23,43.4715
2020-02-24,42.6665
2020-02-25,41.9578
2020-02-26,39.6654
2020-02-27,42.8343
2020-02-28,41.3927
2020-02-29,41.3927
2020-03-01,41.3927
2020-03-02,43.2452
2020-03-03,41.8995
2020-03-04,42.2665
2020-03-05,41.4364
2020-03-06,41.716
2020-03-07,41.716
2020-03-08,41.716
2020-03-09,39.5576
2020-03-10,39.7848
2020-03-11,38.177
2020-03-12,36.3681
2020-03-13,35.9137
2020-03-14,35.9137
2020-03-15,35.9137
2020-03-16,33.2835
2020-03-17,33.4145
2020-03-18,27.9268
2020-03-19,31.0639
2020-03-20,31.9028
2020-03-21,31.9028
2020-03-22,31.9028
2020-03-23,31.3348
2020-03-24,31.964
2020-03-25,31.2125
2020-03-26,32.7417
2020-03-27,33.5893
2020-03-28,33.5893
2020-03-29,33.5893
2020-03-30,33.5281
2020-03-31,58.3298
2020-04-01,55.9781
2020-04-02,56.4098
2020-04-03,54.9511
2020-04-04,54.9511
2020-04-05,54.9511
2020-04-06,56.7521
2020-04-07,56.3353
2020-04-08,56.3056
2020-04-09,58.3298
2020-04-10,58.3298
2020-04-11,58.3298
2020-04-12,58.3298
2020-04-13,57.6303
2020-04-14,60.1457
2020-04-15,59.4015
2020-04-16,59.9224
2020-04-17,60.8601
2020-04-18,60.8601
2020-04-19,60.8601
2020-04-20,58.8361
2020-04-21,58.7492
2020-04-22,58.8216
2020-04-23,59.0826
2020-04-24,60.5033
2020-04-25,60.5033
2020-04-26,60.5033
2020-04-27,62.6054
2020-04-28,65.3598
2020-04-29,68.4912
2020-04-30,67.5054
2020-05-01,66.2007
2020-05-02,66.2007
2020-05-03,66.2007
2020-05-04,66.6791
2020-05-05,66.1862
2020-05-06,64.8524
2020-05-07,54.2551
2020-05-08,61.2174
2020-05-09,61.2174
2020-05-10,61.2174
2020-05-11,58.6512
2020-05-12,57.3609
2020-05-13,56.027
2020-05-14,56.7519
2020-05-15,57.1579
2020-05-16,57.1579
2020-05-17,57.1579
2020-05-18,59.1152
2020-05-19,58.2743
2020-05-20,59.1732
2020-05-21,60.4925
2020-05-22,60.3765
2020-05-23,60.3765
2020-05-24,60.3765
2020-05-25,60.3765
2020-05-26,61.8119
2020-05-27,62.9572
2020-05-28,64.0156
2020-05-29,65.8424
2020-05-30,65.8424
2020-05-31,65.8424
2020-06-01,65.4944
2020-06-02,65.9294
2020-06-03,66.9733
2020-06-04,66.8718
2020-06-05,64.958
2020-06-06,64.958
2020-06-07,64.958
2020-06-08,67.0893
2020-06-09,66.1034
2020-06-10,65.3495
2020-06-11,70.3369
2020-06-12,69.8294
2020-06-13,69.8294
2020-06-14,69.8294
2020-06-15,69.0755
2020-06-16,69.9164
2020-06-17,69.8439
2020-06-18,69.9309
2020-06-19,69.699
2020-06-20,69.699
2020-06-21,69.699
2020-06-22,69.1625
2020-06-23,68.8581
2020-06-24,67.7272
2020-06-25,69.1045
2020-06-26,69.1335
2020-06-27,69.1335
2020-06-28,69.1335
2020-06-29,70.1919
2020-06-30,64.3171
2020-07-01,64.6707
2020-07-02,64.5483
2020-07-03,64.5483
2020-07-04,64.5483
2020-07-05,64.5483
2020-07-06,64.97
2020-07-07,65.2284
2020-07-08,64.9972
2020-07-09,64.5075
2020-07-10,65.2828
2020-07-11,65.2828
2020-07-12,65.2828
2020-07-13,64.5075
2020-07-14,65.0244
2020-07-15,66.8334
2020-07-16,66.9694
2020-07-17,67.2686
2020-07-18,67.2686
2020-07-19,67.2686
2020-07-20,67.6087
2020-07-21,67.3502
2020-07-22,67.3638
2020-07-23,67.0646
2020-07-24,66.6429
2020-07-25,66.6429
2020-07-26,66.6429
2020-07-27,67.6495
2020-07-28,67.7175
2020-07-29,69.7441
2020-07-30,71.2947
2020-07-31,71.3899
2020-08-01,71.3899
2020-08-02,71.3899
2020-08-03,71.7843
2020-08-04,71.8523
2020-08-05,72.3012
2020-08-06,73.1581
2020-08-07,71.8387
2020-08-08,71.8387
2020-08-09,71.8387
2020-08-10,71.8766
2020-08-11,72.2576
2020-08-12,72.1215
2020-08-13,71.6453
2020-08-14,71.1554
2020-08-15,71.1554
2020-08-16,71.1554
2020-08-17,71.0193
2020-08-18,70.2165
2020-08-19,69.6177
2020-08-20,70.094
2020-08-21,69.8219
2020-08-22,69.8219
2020-08-23,69.8219
2020-08-24,69.7946
2020-08-25,70.2029
2020-08-26,69.7946
2020-08-27,70.475
2020-08-28,71.1418
2020-08-29,71.1418
2020-08-30,71.1418
2020-08-31,70.0668
2020-09-01,69.3592
2020-09-02,74.0674
2020-09-03,71.4275
2020-09-04,72.4617
2020-09-05,72.4617
2020-09-06,72.4617
2020-09-07,72.4617
2020-09-08,71.0057
2020-09-09,71.4956
2020-09-10,70.0124
2020-09-11,70.1893
2020-09-12,70.1893
2020-09-13,70.1893
2020-09-14,71.1146
2020-09-15,70.2981
2020-09-16,70.6791
2020-09-17,70.2301
2020-09-18,69.3728
2020-09-19,69.3728
2020-09-20,69.3728
2020-09-21,68.8013
2020-09-22,69.1007
2020-09-23,68.5972
2020-09-24,69.4681
2020-09-25,70.8288
2020-09-26,70.8288
2020-09-27,70.8288
2020-09-28,72.0807
2020-09-29,70.7744
2020-09-30,84.298
2020-10-01,85.2879
2020-10-02,85.9974
2020-10-03,85.9974
2020-10-04,85.9974
2020-10-05,87.7463
2020-10-06,88.4392
2020-10-07,88.8187
2020-10-08,89.0497
2020-10-09,90.5841
2020-10-10,90.5841
2020-10-11,90.5841
2020-10-12,91.442
2020-10-13,92.729
2020-10-14,94.0489
2020-10-15,95.4018
2020-10-16,96.5072
2020-10-17,96.5072
2020-10-18,96.5072
2020-10-19,95.9793
2020-10-20,96.6392
2020-10-21,96.0123
2020-10-22,96.5897
2020-10-23,97.1837
2020-10-24,97.1837
2020-10-25,97.1837
2020-10-26,96.7877
2020-10-27,97.3487
2020-10-28,96.6722
2020-10-29,96.8867
2020-10-30,96.1938
2020-10-31,96.1938
2020-11-01,96.1938
2020-11-02,95.6328
2020-11-03,98.0416
2020-11-04,99.1801
2020-11-05,99.708
2020-11-06,99.0646
2020-11-07,99.0646
2020-11-08,99.0646
2020-11-09,95.403
2020-11-10,96.0801
2020-11-11,99.0195
2020-11-12,98.9699
2020-11-13,100.4396
2020-11-14,100.4396
2020-11-15,100.4396
2020-11-16,101.0341
2020-11-17,99.7295
2020-11-18,99.0855
2020-11-19,101.4304
2020-11-20,101.2653
2020-11-21,101.2653
2020-11-22,101.2653
2020-11-23,102.5203
2020-11-24,102.124
2020-11-25,100.6543
2020-11-26,100.6543
2020-11-27,100.7534
2020-11-28,100.7534
2020-11-29,100.7534
2020-11-30,99.4653
2020-12-01,101.9754
2020-12-02,99.5809
2020-12-03,100.6213
2020-12-04,101.3809
2020-12-05,101.3809
2020-12-06,101.3809
2020-12-07,102.2066
2020-12-08,101.6121
2020-12-09,101.1332
2020-12-10,100.9185
2020-12-11,100.6543
2020-12-12,100.6543
2020-12-13,100.6543
2020-12-14,100.258
2020-12-15,102.2231
2020-12-16,100.5717
2020-12-17,103.0818
2020-12-18,103.8249
2020-12-19,103.8249
2020-12-20,103.8249
2020-12-21,102.9662
2020-12-22,103.2634
2020-12-23,103.4616
2020-12-24,102.9332
2020-12-25,102.9332
2020-12-26,102.9332
2020-12-27,102.9332
2020-12-28,102.0414
2020-12-29,100.8855
2020-12-30,102.2066
2020-12-31,47.6187
2021-01-01,47.6187
2021-01-02,47.6187
2021-01-03,47.6187
2021-01-04,46.4209
2021-01-05,47.3809
2021-01-06,48.8693
2021-01-07,49.3361
2021-01-08,49.7588
2021-01-09,49.7588
2021-01-10,49.7588
2021-01-11,49.8997
2021-01-12,50.7628
2021-01-13,49.7236
2021-01-14,48.5875
2021-01-15,48.5346
2021-01-16,48.5346
2021-01-17,48.5346
2021-01-18,48.5346
2021-01-19,48.5522
2021-01-20,48.8781
2021-01-21,49.1687
2021-01-22,47.0286
2021-01-23,47.0286
2021-01-24,47.0286
2021-01-25,45.9453
2021-01-26,45.6371
2021-01-27,44.5273
2021-01-28,45.593
2021-01-29,44.6859
2021-01-30,44.6859
2021-01-31,44.6859
2021-02-01,45.0734
2021-02-02,45.7251
2021-02-03,45.0646
2021-02-04,45.9981
2021-02-05,45.1174
2021-02-06,45.1174
