,CE US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,22.8356
2020-01-02,22.5886
2020-01-03,22.3474
2020-01-04,22.3474
2020-01-05,22.3474
2020-01-06,22.1545
2020-01-07,22.0872
2020-01-08,21.9528
2020-01-09,22.0668
2020-01-10,21.9425
2020-01-11,21.9425
2020-01-12,21.9425
2020-01-13,22.1062
2020-01-14,22.153
2020-01-15,22.1165
2020-01-16,22.1077
2020-01-17,22.0273
2020-01-18,22.0273
2020-01-19,22.0273
2020-01-20,22.0273
2020-01-21,22.0215
2020-01-22,21.9089
2020-01-23,21.7335
2020-01-24,21.5771
2020-01-25,21.5771
2020-01-26,21.5771
2020-01-27,21.1138
2020-01-28,21.2483
2020-01-29,21.2
2020-01-30,20.9457
2020-01-31,19.9679
2020-02-01,19.9679
2020-02-02,19.9679
2020-02-03,20.1521
2020-02-04,20.5277
2020-02-05,20.8975
2020-02-06,20.6646
2020-02-07,20.5388
2020-02-08,20.5388
2020-02-09,20.5388
2020-02-10,20.3913
2020-02-11,20.5431
2020-02-12,20.9479
2020-02-13,20.8149
2020-02-14,20.7455
2020-02-15,20.7455
2020-02-16,20.7455
2020-02-17,20.7455
2020-02-18,20.4174
2020-02-19,20.4896
2020-02-20,20.5836
2020-02-21,20.4506
2020-02-22,20.4506
2020-02-23,20.4506
2020-02-24,19.868
2020-02-25,18.9804
2020-02-26,18.8445
2020-02-27,18.1014
2020-02-28,18.392
2020-02-29,18.392
2020-03-01,18.392
2020-03-02,18.7722
2020-03-03,18.5235
2020-03-04,18.9905
2020-03-05,18.538
2020-03-06,18.1777
2020-03-07,18.1777
2020-03-08,18.1777
2020-03-09,16.3228
2020-03-10,17.3117
2020-03-11,16.5035
2020-03-12,15.4336
2020-03-13,16.1768
2020-03-14,16.1768
2020-03-15,16.1768
2020-03-16,14.4013
2020-03-17,15.023
2020-03-18,13.3879
2020-03-19,14.0688
2020-03-20,14.1989
2020-03-21,14.1989
2020-03-22,14.1989
2020-03-23,13.8332
2020-03-24,14.5141
2020-03-25,15.3758
2020-03-26,15.7604
2020-03-27,15.1445
2020-03-28,15.1445
2020-03-29,15.1445
2020-03-30,15.5536
2020-03-31,18.1951
2020-04-01,17.2921
2020-04-02,17.3851
2020-04-03,17.1314
2020-04-04,17.1314
2020-04-05,17.1314
2020-04-06,18.0396
2020-04-07,18.6095
2020-04-08,19.6479
2020-04-09,19.9743
2020-04-10,19.9743
2020-04-11,19.9743
2020-04-12,19.9743
2020-04-13,19.6682
2020-04-14,19.5346
2020-04-15,18.4979
2020-04-16,18.004
2020-04-17,19.0018
2020-04-18,19.0018
2020-04-19,19.0018
2020-04-20,18.6399
2020-04-21,18.207
2020-04-22,18.552
2020-04-23,18.9782
2020-04-24,19.1084
2020-04-25,19.1084
2020-04-26,19.1084
2020-04-27,19.7544
2020-04-28,19.4861
2020-04-29,20.2219
2020-04-30,19.6751
2020-05-01,19.0463
2020-05-02,19.0463
2020-05-03,19.0463
2020-05-04,18.8005
2020-05-05,18.8289
2020-05-06,18.757
2020-05-07,19.2202
2020-05-08,19.6165
2020-05-09,19.6165
2020-05-10,19.6165
2020-05-11,19.1634
2020-05-12,18.8021
2020-05-13,18.1366
2020-05-14,18.5145
2020-05-15,18.6048
2020-05-16,18.6048
2020-05-17,18.6048
2020-05-18,19.8824
2020-05-19,19.8105
2020-05-20,20.1818
2020-05-21,20.1851
2020-05-22,20.0781
2020-05-23,20.0781
2020-05-24,20.0781
2020-05-25,20.0781
2020-05-26,21.063
2020-05-27,21.5196
2020-05-28,21.2253
2020-05-29,20.8189
2020-05-30,20.8189
2020-05-31,20.8189
2020-06-01,20.7236
2020-06-02,21.2738
2020-06-03,21.8089
2020-06-04,21.9025
2020-06-05,22.1249
2020-06-06,22.1249
2020-06-07,22.1249
2020-06-08,22.2938
2020-06-09,22.0045
2020-06-10,21.5982
2020-06-11,20.0915
2020-06-12,20.5865
2020-06-13,20.5865
2020-06-14,20.5865
2020-06-15,20.665
2020-06-16,20.8172
2020-06-17,20.6768
2020-06-18,20.5229
2020-06-19,20.2854
2020-06-20,20.2854
2020-06-21,20.2854
2020-06-22,20.2269
2020-06-23,20.1433
2020-06-24,19.6567
2020-06-25,20.0145
2020-06-26,19.6266
2020-06-27,19.6266
2020-06-28,19.6266
2020-06-29,20.063
2020-06-30,23.6107
2020-07-01,23.4913
2020-07-02,24.0277
2020-07-03,24.0277
2020-07-04,24.0277
2020-07-05,24.0277
2020-07-06,24.2997
2020-07-07,23.9337
2020-07-08,23.4952
2020-07-09,23.1664
2020-07-10,23.6323
2020-07-11,23.6323
2020-07-12,23.6323
2020-07-13,23.7575
2020-07-14,24.1001
2020-07-15,24.6991
2020-07-16,24.4426
2020-07-17,24.2352
2020-07-18,24.2352
2020-07-19,24.2352
2020-07-20,24.6775
2020-07-21,25.0377
2020-07-22,25.0455
2020-07-23,25.1395
2020-07-24,24.8028
2020-07-25,24.8028
2020-07-26,24.8028
2020-07-27,25.345
2020-07-28,24.9594
2020-07-29,25.7386
2020-07-30,25.8228
2020-07-31,25.7464
2020-08-01,25.7464
2020-08-02,25.7464
2020-08-03,25.6054
2020-08-04,25.8032
2020-08-05,26.146
2020-08-06,26.0931
