,BERY US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,17.6118
2020-01-02,17.6157
2020-01-03,17.4844
2020-01-04,17.4844
2020-01-05,17.4844
2020-01-06,17.3915
2020-01-07,17.284
2020-01-08,17.2508
2020-01-09,17.2336
2020-01-10,17.2495
2020-01-11,17.2495
2020-01-12,17.2495
2020-01-13,17.3503
2020-01-14,17.426
2020-01-15,17.5905
2020-01-16,17.6343
2020-01-17,17.779
2020-01-18,17.779
2020-01-19,17.779
2020-01-20,17.779
2020-01-21,17.7047
2020-01-22,17.7211
2020-01-23,17.5857
2020-01-24,17.4237
2020-01-25,17.4237
2020-01-26,17.4237
2020-01-27,17.4316
2020-01-28,17.4011
2020-01-29,17.4197
2020-01-30,17.4356
2020-01-31,16.9565
2020-02-01,16.9565
2020-02-02,16.9565
2020-02-03,17.0149
2020-02-04,16.9671
2020-02-05,17.1916
2020-02-06,17.0468
2020-02-07,16.8808
2020-02-08,16.8808
2020-02-09,16.8808
2020-02-10,16.8423
2020-02-11,16.9871
2020-02-12,16.9791
2020-02-13,16.9246
2020-02-14,16.8795
2020-02-15,16.8795
2020-02-16,16.8795
2020-02-17,16.8795
2020-02-18,16.9246
2020-02-19,16.999
2020-02-20,17.011
2020-02-21,17.1849
2020-02-22,17.1849
2020-02-23,17.1849
2020-02-24,17.165
2020-02-25,16.8118
2020-02-26,16.4745
2020-02-27,16.3005
2020-02-28,16.351
2020-02-29,16.351
2020-03-01,16.351
2020-03-02,16.4014
2020-03-03,16.1597
2020-03-04,16.2221
2020-03-05,15.9924
2020-03-06,15.9512
2020-03-07,15.9512
2020-03-08,15.9512
2020-03-09,15.5369
2020-03-10,15.6987
2020-03-11,15.3893
2020-03-12,15.0427
2020-03-13,15.3229
2020-03-14,15.3229
2020-03-15,15.3229
2020-03-16,14.894
2020-03-17,14.9391
2020-03-18,15.048
2020-03-19,15.0958
2020-03-20,15.3017
2020-03-21,15.3017
2020-03-22,15.3017
2020-03-23,15.0945
2020-03-24,15.3136
2020-03-25,15.7
2020-03-26,16.0612
2020-03-27,14.0518
2020-03-28,14.0518
2020-03-29,14.0518
2020-03-30,13.9551
2020-03-31,13.9744
2020-04-01,13.8983
2020-04-02,13.9841
2020-04-03,13.7981
2020-04-04,13.7981
2020-04-05,13.7981
2020-04-06,14.1279
2020-04-07,14.094
2020-04-08,14.2474
2020-04-09,14.4323
2020-04-10,14.4323
2020-04-11,14.4323
2020-04-12,14.4323
2020-04-13,14.3103
2020-04-14,14.3332
2020-04-15,14.1339
2020-04-16,14.204
2020-04-17,14.3646
2020-04-18,14.3646
2020-04-19,14.3646
2020-04-20,14.3078
2020-04-21,14.2462
2020-04-22,14.2946
2020-04-23,14.2789
2020-04-24,14.332
2020-04-25,14.332
2020-04-26,14.332
2020-04-27,14.5156
2020-04-28,14.7415
2020-04-29,14.8176
2020-04-30,14.7089
2020-05-01,14.8615
2020-05-02,14.8615
2020-05-03,14.8615
2020-05-04,14.9485
2020-05-05,14.9751
2020-05-06,14.9195
2020-05-07,15.0295
2020-05-08,15.2048
2020-05-09,15.2048
2020-05-10,15.2048
2020-05-11,15.0186
2020-05-12,14.8506
2020-05-13,14.454
2020-05-14,14.7212
2020-05-15,14.7478
2020-05-16,14.7478
2020-05-17,14.7478
2020-05-18,14.9932
2020-05-19,14.8445
2020-05-20,14.8578
2020-05-21,14.8179
2020-05-22,14.8252
2020-05-23,14.8252
2020-05-24,14.8252
2020-05-25,14.8252
2020-05-26,15.1371
2020-05-27,15.4067
2020-05-28,15.3559
2020-05-29,15.3317
2020-05-30,15.3317
2020-05-31,15.3317
2020-06-01,15.4164
2020-06-02,15.3293
2020-06-03,15.4115
2020-06-04,15.4671
2020-06-05,15.6255
2020-06-06,15.6255
2020-06-07,15.6255
2020-06-08,15.8371
2020-06-09,15.6207
2020-06-10,15.3257
2020-06-11,15.0126
2020-06-12,15.1238
2020-06-13,15.1238
2020-06-14,15.1238
2020-06-15,15.2036
2020-06-16,15.3015
2020-06-17,15.1903
2020-06-18,15.1903
2020-06-19,15.2544
2020-06-20,15.2544
2020-06-21,15.2544
2020-06-22,15.1286
2020-06-23,15.0525
2020-06-24,14.9799
2020-06-25,14.9388
2020-06-26,12.6243
2020-06-27,12.6243
2020-06-28,12.6243
2020-06-29,12.9241
2020-06-30,12.9885
2020-07-01,12.9747
2020-07-02,13.0634
2020-07-03,13.0634
2020-07-04,13.0634
2020-07-05,13.0634
2020-07-06,13.0834
2020-07-07,13.0307
2020-07-08,12.9547
2020-07-09,12.866
2020-07-10,12.9177
2020-07-11,12.9177
2020-07-12,12.9177
2020-07-13,12.9695
2020-07-14,13.0687
2020-07-15,13.1805
2020-07-16,13.2914
2020-07-17,13.3114
2020-07-18,13.3114
2020-07-19,13.3114
2020-07-20,13.2977
2020-07-21,13.3019
2020-07-22,13.3072
2020-07-23,13.3779
2020-07-24,13.3621
2020-07-25,13.3621
2020-07-26,13.3621
2020-07-27,13.4254
2020-07-28,13.3135
2020-07-29,13.3748
2020-07-30,13.3241
2020-07-31,13.5909
2020-08-01,13.5909
2020-08-02,13.5909
2020-08-03,13.7852
2020-08-04,13.8264
2020-08-05,13.9088
2020-08-06,13.8919
2020-08-07,13.9901
2020-08-08,13.9901
2020-08-09,13.9901
2020-08-10,13.9944
2020-08-11,14.0081
2020-08-12,14.0472
2020-08-13,14.0556
2020-08-14,14.0514
2020-08-15,14.0514
2020-08-16,14.0514
2020-08-17,14.0366
2020-08-18,14.0335
2020-08-19,14.0356
2020-08-20,14.0261
2020-08-21,13.8655
2020-08-22,13.8655
2020-08-23,13.8655
2020-08-24,13.8359
2020-08-25,13.8243
2020-08-26,13.7557
2020-08-27,13.744
2020-08-28,13.8539
2020-08-29,13.8539
2020-08-30,13.8539
2020-08-31,13.7546
2020-09-01,13.9204
2020-09-02,14.0324
2020-09-03,13.8687
2020-09-04,13.9141
2020-09-05,13.9141
2020-09-06,13.9141
2020-09-07,13.9141
2020-09-08,13.7293
2020-09-09,13.8824
2020-09-10,13.838
2020-09-11,13.8127
2020-09-12,13.8127
2020-09-13,13.8127
2020-09-14,13.8613
2020-09-15,13.7567
2020-09-16,13.7145
2020-09-17,13.6976
2020-09-18,13.5117
2020-09-19,13.5117
2020-09-20,13.5117
2020-09-21,13.3881
2020-09-22,13.3891
2020-09-23,13.3215
2020-09-24,13.3543
2020-09-25,13.5735
2020-09-26,13.5735
2020-09-27,13.5735
2020-09-28,13.6713
2020-09-29,13.5999
2020-09-30,13.6713
2020-10-01,13.7846
2020-10-02,13.8527
2020-10-03,13.8527
2020-10-04,13.8527
2020-10-05,13.8769
2020-10-06,13.8703
2020-10-07,13.8208
2020-10-08,13.8648
2020-10-09,13.789
2020-10-10,13.789
2020-10-11,13.789
2020-10-12,13.7417
2020-10-13,13.8439
2020-10-14,13.8725
2020-10-15,13.8978
2020-10-16,13.8989
2020-10-17,13.8989
2020-10-18,13.8989
2020-10-19,13.8076
2020-10-20,13.8461
2020-10-21,13.8164
2020-10-22,13.8516
2020-10-23,13.9044
2020-10-24,13.9044
2020-10-25,13.9044
2020-10-26,13.6669
2020-10-27,13.5449
2020-10-28,13.4504
2020-10-29,13.5031
2020-10-30,13.4855
2020-10-31,13.4855
2020-11-01,13.4855
2020-11-02,13.5625
2020-11-03,13.7274
2020-11-04,13.6186
2020-11-05,13.8604
2020-11-06,13.8879
2020-11-07,13.8879
2020-11-08,13.8879
2020-11-09,13.9429
2020-11-10,14.1286
2020-11-11,14.1495
2020-11-12,14.1473
2020-11-13,14.2452
2020-11-14,14.2452
2020-11-15,14.2452
2020-11-16,14.3089
2020-11-17,14.3716
2020-11-18,14.2386
2020-11-19,14.4222
2020-11-20,14.2957
2020-11-21,14.2957
2020-11-22,14.2957
2020-11-23,14.3604
2020-11-24,14.3836
2020-11-25,14.3294
2020-11-26,14.3294
2020-11-27,14.294
2020-11-28,14.294
2020-11-29,14.294
2020-11-30,14.2254
2020-12-01,14.4545
2020-12-02,14.3648
2020-12-03,14.2907
2020-12-04,14.4279
2020-12-05,14.4279
2020-12-06,14.4279
2020-12-07,14.3582
2020-12-08,14.2796
2020-12-09,14.3327
2020-12-10,14.2453
2020-12-11,14.242
2020-12-12,14.242
2020-12-13,14.242
2020-12-14,14.2143
2020-12-15,14.3626
2020-12-16,14.3626
2020-12-17,14.3681
2020-12-18,14.3438
2020-12-19,14.3438
2020-12-20,14.3438
2020-12-21,14.3172
2020-12-22,14.2752
2020-12-23,14.429
2020-12-24,14.5198
2020-12-25,14.5198
2020-12-26,14.5198
2020-12-27,14.5198
2020-12-28,14.4611
2020-12-29,14.4423
2020-12-30,14.574
2020-12-31,13.5034
2021-01-01,13.5034
2021-01-02,13.5034
2021-01-03,13.5034
2021-01-04,13.4701
2021-01-05,13.466
2021-01-06,13.5336
2021-01-07,13.3714
2021-01-08,13.2466
2021-01-09,13.2466
2021-01-10,13.2466
2021-01-11,13.3038
2021-01-12,13.2975
2021-01-13,13.2549
2021-01-14,13.2507
2021-01-15,13.1676
2021-01-16,13.1676
2021-01-17,13.1676
2021-01-18,13.1676
2021-01-19,13.022
2021-01-20,13.1187
2021-01-21,13.2019
2021-01-22,13.1014
2021-01-23,13.1014
2021-01-24,13.1014
2021-01-25,13.0034
2021-01-26,12.9388
2021-01-27,12.7907
2021-01-28,12.8314
2021-01-29,12.8095
2021-01-30,12.8095
2021-01-31,12.8095
2021-02-01,12.8772
2021-02-02,12.9992
2021-02-03,13.0587
2021-02-04,13.1212
2021-02-05,13.6369
2021-02-06,13.6369
2021-02-07,13.6369
2021-02-08,13.8843
2021-02-09,13.9417
2021-02-10,13.8352
2021-02-11,13.7225
2021-02-12,13.8258
2021-02-13,13.8258
2021-02-14,13.8258
2021-02-15,13.8258
2021-02-16,13.7298
2021-02-17,13.7163
2021-02-18,13.591
2021-02-19,13.6317
2021-02-20,13.6317
2021-02-21,13.6317
2021-02-22,13.5441
2021-02-23,13.5722
2021-02-24,13.5566
2021-02-25,13.518
2021-02-26,13.4383
2021-02-27,13.4383
2021-02-28,13.4383
2021-03-01,13.6468
2021-03-02,13.6479
2021-03-03,13.7375
2021-03-04,13.6917
2021-03-05,13.7918
2021-03-06,13.7918
2021-03-07,13.7918
2021-03-08,13.8575
2021-03-09,13.8502
2021-03-10,13.9503
2021-03-11,13.8032
2021-03-12,13.8283
2021-03-13,13.8283
2021-03-14,13.8283
2021-03-15,13.8168
2021-03-16,13.7427
2021-03-17,13.7792
2021-03-18,13.7782
2021-03-19,13.7532
2021-03-20,13.7532
2021-03-21,13.7532
2021-03-22,13.944
2021-03-23,14.0942
2021-03-24,14.066
2021-03-25,14.0691
2021-03-26,14.1265
2021-03-27,14.1265
2021-03-28,14.1265
2021-03-29,14.1692
2021-03-30,14.1244
2021-03-31,14.0639
2021-04-01,13.4115
2021-04-02,13.4115
2021-04-03,13.4115
2021-04-04,13.4115
2021-04-05,13.4969
2021-04-06,13.523
2021-04-07,13.4908
2021-04-08,13.4155
2021-04-09,13.5471
2021-04-10,13.5471
2021-04-11,13.5471
2021-04-12,13.5421
2021-04-13,13.4918
2021-04-14,13.3854
2021-04-15,13.5521
2021-04-16,13.536
2021-04-17,13.536
2021-04-18,13.536
2021-04-19,13.539
2021-04-20,13.52
2021-04-21,13.5742
2021-04-22,13.4868
2021-04-23,13.5039
2021-04-24,13.5039
2021-04-25,13.5039
2021-04-26,13.4286
2021-04-27,13.4165
2021-04-28,13.4557
2021-04-29,13.5953
2021-04-30,13.6184
2021-05-01,13.6184
2021-05-02,13.6184
2021-05-03,13.6515
2021-05-04,13.8921
2021-05-05,13.9336
2021-05-06,14.0641
2021-05-07,14.1127
2021-05-08,14.1127
2021-05-09,14.1127
2021-05-10,14.1046
2021-05-11,14.1097
2021-05-12,14.0145
2021-05-13,14.2139
2021-05-14,14.2301
2021-05-15,14.2301
2021-05-16,14.2301
2021-05-17,14.3627
2021-05-18,14.2595
2021-05-19,14.2655
2021-05-20,14.2746
2021-05-21,14.3515
2021-05-22,14.3515
2021-05-23,14.3515
2021-05-24,14.2655
2021-05-25,14.1471
2021-05-26,14.1289
2021-05-27,14.1289
2021-05-28,14.1309
2021-05-29,14.1309
2021-05-30,14.1309
2021-05-31,14.1309
2021-06-01,14.1856
2021-06-02,14.1238
2021-06-03,14.1502
2021-06-04,14.1785
2021-06-05,14.1785
2021-06-06,14.1785
2021-06-07,14.0257
2021-06-08,13.9771
2021-06-09,13.9457
2021-06-10,13.9154
2021-06-11,14.0095
2021-06-12,14.0095
2021-06-13,14.0095
2021-06-14,13.9741
2021-06-15,13.8891
2021-06-16,13.8739
2021-06-17,13.7443
2021-06-18,13.6239
2021-06-19,13.6239
2021-06-20,13.6239
2021-06-21,13.7271
2021-06-22,13.7646
2021-06-23,13.6796
2021-06-24,13.7636
2021-06-25,13.9164
2021-06-26,13.9164
2021-06-27,13.9164
2021-06-28,13.8587
2021-06-29,13.8253
2021-06-30,13.8283
2021-07-01,13.8536
2021-07-02,13.8465
2021-07-03,13.8465
2021-07-04,13.8465
2021-07-05,13.8465
2021-07-06,13.7765
2021-07-07,13.9237
2021-07-08,13.7816
2021-07-09,13.878
2021-07-10,13.878
2021-07-11,13.878
2021-07-12,13.8699
2021-07-13,13.7968
2021-07-14,13.8384
2021-07-15,13.7755
2021-07-16,13.746
2021-07-17,13.746
2021-07-18,13.746
2021-07-19,13.6293
2021-07-20,13.6699
2021-07-21,13.6527
2021-07-22,13.5897
2021-07-23,13.6202
2021-07-24,13.6202
2021-07-25,13.6202
2021-07-26,13.6892
2021-07-27,13.6608
2021-07-28,13.6263
2021-07-29,13.6669
2021-07-30,13.674
2021-07-31,13.674
2021-08-01,13.674
2021-08-02,13.6994
2021-08-03,13.7724
2021-08-04,13.6141
2021-08-05,13.562
2021-08-06,13.6638
2021-08-07,13.6638
2021-08-08,13.6638
2021-08-09,13.7921
2021-08-10,13.8074
2021-08-11,13.8186
2021-08-12,13.846
2021-08-13,13.8094
2021-08-14,13.8094
2021-08-15,13.8094
2021-08-16,13.8206
2021-08-17,13.7269
2021-08-18,13.7381
2021-08-19,13.6424
2021-08-20,13.6567
2021-08-21,13.6567
2021-08-22,13.6567
2021-08-23,13.6658
2021-08-24,13.7055
2021-08-25,14.0018
2021-08-26,13.9305
2021-08-27,13.9346
2021-08-28,13.9346
2021-08-29,13.9346
2021-08-30,13.9977
2021-08-31,13.9865
2021-09-01,14.0771
2021-09-02,14.1382
2021-09-03,14.1107
2021-09-04,14.1107
2021-09-05,14.1107
2021-09-06,14.1107
2021-09-07,13.8287
2021-09-08,13.8074
2021-09-09,13.6893
2021-09-10,13.6638
2021-09-11,13.6638
2021-09-12,13.6638
2021-09-13,13.6333
2021-09-14,13.5997
2021-09-15,13.6343
2021-09-16,13.5366
2021-09-17,13.3635
2021-09-18,13.3635
2021-09-19,13.3635
2021-09-20,13.3258
2021-09-21,13.2708
2021-09-22,13.4195
2021-09-23,13.562
2021-09-24,13.4999
2021-09-25,13.4999
2021-09-26,13.4999
2021-09-27,13.506
2021-09-28,13.451
2021-09-29,13.449
2021-09-30,13.3462
2021-10-01,13.356
2021-10-02,13.356
2021-10-03,13.356
2021-10-04,13.3612
2021-10-05,13.4408
2021-10-06,13.3926
2021-10-07,13.3957
2021-10-08,13.2565
2021-10-09,13.2565
2021-10-10,13.2565
2021-10-11,13.224
2021-10-12,13.2387
2021-10-13,13.2481
2021-10-14,13.3968
2021-10-15,13.5884
2021-10-16,13.5884
2021-10-17,13.5884
2021-10-18,13.5968
2021-10-19,13.7256
2021-10-20,13.8481
2021-10-21,13.8178
2021-10-22,13.9434
2021-10-23,13.9434
2021-10-24,13.9434
2021-10-25,13.9539
2021-10-26,13.9623
2021-10-27,13.9194
2021-10-28,13.9979
2021-10-29,13.8
2021-10-30,13.8
2021-10-31,13.8
2021-11-01,13.8995
2021-11-02,14.023
2021-11-03,14.1351
2021-11-04,13.9968
2021-11-05,14.066
2021-11-06,14.066
2021-11-07,14.066
2021-11-08,13.9665
2021-11-09,14.0063
2021-11-10,13.9822
2021-11-11,14.0178
2021-11-12,14.133
2021-11-13,14.133
2021-11-14,14.133
2021-11-15,14.1058
2021-11-16,14.2094
2021-11-17,14.2922
2021-11-18,13.801
2021-11-19,13.812
2021-11-20,13.812
2021-11-21,13.812
2021-11-22,13.9191
2021-11-23,13.8236
2021-11-24,13.7753
2021-11-25,13.7753
2021-11-26,13.9128
2021-11-27,13.9128
2021-11-28,13.9128
2021-11-29,14.4523
2021-11-30,14.1836
2021-12-01,14.1857
2021-12-02,14.3326
2021-12-03,14.2875
2021-12-04,14.2875
2021-12-05,14.2875
2021-12-06,14.3599
2021-12-07,14.4848
2021-12-08,14.49
2021-12-09,14.4544
2021-12-10,14.49
2021-12-11,14.49
2021-12-12,14.49
2021-12-13,14.3526
2021-12-14,14.2581
2021-12-15,14.2854
2021-12-16,14.3022
2021-12-17,14.1657
2021-12-18,14.1657
2021-12-19,14.1657
2021-12-20,14.045
2021-12-21,14.257
2021-12-22,14.2896
2021-12-23,14.3158
2021-12-24,14.3158
2021-12-25,14.3158
2021-12-26,14.3158
2021-12-27,14.4523
2021-12-28,14.5929
2021-12-29,14.6957
2021-12-30,14.6338
2021-12-31,15.9627
2022-01-01,15.9627
2022-01-02,15.9627
2022-01-03,15.8613
2022-01-04,15.9148
2022-01-05,15.8902
2022-01-06,15.9114
2022-01-07,15.8992
2022-01-08,15.8992
2022-01-09,15.8992
2022-01-10,15.7512
2022-01-11,15.779
2022-01-12,15.8445
2022-01-13,15.8922
2022-01-14,15.7978
2022-01-15,15.7978
2022-01-16,15.7978
2022-01-17,15.7978
2022-01-18,15.7523
2022-01-19,15.8689
2022-01-20,15.7234
2022-01-21,15.427
2022-01-22,15.427
2022-01-23,15.427
2022-01-24,15.3448
2022-01-25,15.2671
2022-01-26,15.0939
2022-01-27,15.1938
2022-01-28,15.1849
2022-01-29,15.1849
2022-01-30,15.1849
2022-01-31,15.2282
2022-02-01,15.2327
