,AL US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,16.1299
2020-01-02,16.1107
2020-01-03,16.1396
2020-01-04,16.1396
2020-01-05,16.1396
2020-01-06,16.0981
2020-01-07,16.0355
2020-01-08,16.0528
2020-01-09,16.1135
2020-01-10,16.1396
2020-01-11,16.1396
2020-01-12,16.1396
2020-01-13,16.2301
2020-01-14,16.2272
2020-01-15,16.2667
2020-01-16,16.3332
2020-01-17,16.313
2020-01-18,16.313
2020-01-19,16.313
2020-01-20,16.313
2020-01-21,16.1511
2020-01-22,16.0866
2020-01-23,16.1145
2020-01-24,15.9835
2020-01-25,15.9835
2020-01-26,15.9835
2020-01-27,15.8245
2020-01-28,15.8495
2020-01-29,15.8399
2020-01-30,15.7985
2020-01-31,15.6886
2020-02-01,15.6886
2020-02-02,15.6886
2020-02-03,15.6973
2020-02-04,15.8197
2020-02-05,15.916
2020-02-06,15.836
2020-02-07,15.7069
2020-02-08,15.7069
2020-02-09,15.7069
2020-02-10,15.7503
2020-02-11,15.81
2020-02-12,15.837
2020-02-13,15.916
2020-02-14,15.9401
2020-02-15,15.9401
2020-02-16,15.9401
2020-02-17,15.9401
2020-02-18,15.7666
2020-02-19,15.7908
2020-02-20,15.879
2020-02-21,15.7501
2020-02-22,15.7501
2020-02-23,15.7501
2020-02-24,15.5767
2020-02-25,15.285
2020-02-26,15.1919
2020-02-27,15.2084
2020-02-28,15.2685
2020-02-29,15.2685
2020-03-01,15.2685
2020-03-02,15.3499
2020-03-03,15.2549
2020-03-04,15.2423
2020-03-05,14.9429
2020-03-06,14.9497
2020-03-07,14.9497
2020-03-08,14.9497
2020-03-09,14.6464
2020-03-10,14.8392
2020-03-11,14.5466
2020-03-12,13.7238
2020-03-13,13.8537
2020-03-14,13.8537
2020-03-15,13.8537
2020-03-16,13.4951
2020-03-17,13.0697
2020-03-18,12.5987
2020-03-19,12.9825
2020-03-20,13.159
2020-03-21,13.159
2020-03-22,13.159
2020-03-23,13.0483
2020-03-24,13.7273
2020-03-25,14.1121
2020-03-26,13.9828
2020-03-27,13.5845
2020-03-28,13.5845
2020-03-29,13.5845
2020-03-30,13.671
2020-03-31,13.8597
2020-04-01,13.7123
2020-04-02,13.6874
2020-04-03,13.5485
2020-04-04,13.5485
2020-04-05,13.5485
2020-04-06,13.8176
2020-04-07,14.0283
2020-04-08,14.0972
2020-04-09,14.2332
2020-04-10,14.2332
2020-04-11,14.2332
2020-04-12,14.2332
2020-04-13,14.057
2020-04-14,14.0618
2020-04-15,13.9804
2020-04-16,13.8253
2020-04-17,14.0148
2020-04-18,14.0148
2020-04-19,14.0148
2020-04-20,13.8578
2020-04-21,13.7927
2020-04-22,13.6558
2020-04-23,13.6673
2020-04-24,13.7103
2020-04-25,13.7103
2020-04-26,13.7103
2020-04-27,13.8291
2020-04-28,13.9449
2020-04-29,14.2983
2020-04-30,14.2437
2020-05-01,14.057
2020-05-02,14.057
2020-05-03,14.057
2020-05-04,13.9995
2020-05-05,14.034
2020-05-06,13.9765
2020-05-07,14.0734
2020-05-08,14.3234
2020-05-09,14.3234
2020-05-10,14.3234
2020-05-11,14.1079
2020-05-12,14.015
2020-05-13,13.8426
2020-05-14,13.8848
2020-05-15,13.8513
2020-05-16,13.8513
2020-05-17,13.8513
2020-05-18,14.2401
2020-05-19,14.1615
2020-05-20,14.2334
2020-05-21,14.2966
2020-05-22,14.2994
2020-05-23,14.2994
2020-05-24,14.2994
2020-05-25,14.2994
2020-05-26,14.4708
2020-05-27,14.6509
2020-05-28,14.649
2020-05-29,14.6231
2020-05-30,14.6231
2020-05-31,14.6231
2020-06-01,14.7294
2020-06-02,14.7945
2020-06-03,15.0492
2020-06-04,15.0445
2020-06-05,15.0799
2020-06-06,15.0799
2020-06-07,15.0799
2020-06-08,15.2752
2020-06-09,15.123
2020-06-10,14.8261
2020-06-11,14.5963
2020-06-12,14.7821
2020-06-13,14.7821
2020-06-14,14.7821
2020-06-15,14.8213
2020-06-16,14.8663
2020-06-17,14.7237
2020-06-18,14.671
2020-06-19,14.6269
2020-06-20,14.6269
2020-06-21,14.6269
2020-06-22,14.6049
2020-06-23,14.6518
2020-06-24,14.5178
2020-06-25,14.5091
2020-06-26,14.4153
2020-06-27,14.4153
2020-06-28,14.4153
2020-06-29,14.5551
2020-06-30,14.2021
2020-07-01,14.1115
2020-07-02,14.1012
2020-07-03,14.1012
2020-07-04,14.1012
2020-07-05,14.1012
2020-07-06,14.2217
2020-07-07,14.0527
2020-07-08,14.1003
2020-07-09,13.9472
2020-07-10,14.0452
2020-07-11,14.0452
2020-07-12,14.0452
2020-07-13,14.0415
2020-07-14,14.0807
2020-07-15,14.2646
2020-07-16,14.1909
2020-07-17,14.1843
2020-07-18,14.1843
2020-07-19,14.1843
2020-07-20,14.0947
2020-07-21,14.0284
2020-07-22,14.0116
