,UVE US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,13.2974
2020-01-02,13.0786
2020-01-03,13.0838
2020-01-04,13.0838
2020-01-05,13.0838
2020-01-06,12.8807
2020-01-07,12.5474
2020-01-08,12.339
2020-01-09,12.438
2020-01-10,12.0838
2020-01-11,12.0838
2020-01-12,12.0838
2020-01-13,12.1099
2020-01-14,12.0786
2020-01-15,12.4067
2020-01-16,12.5213
2020-01-17,12.2661
2020-01-18,12.2661
2020-01-19,12.2661
2020-01-20,12.2661
2020-01-21,12.3963
2020-01-22,12.2974
2020-01-23,12.3182
2020-01-24,12.1984
2020-01-25,12.1984
2020-01-26,12.1984
2020-01-27,11.9328
2020-01-28,11.9224
2020-01-29,11.6151
2020-01-30,11.6828
2020-01-31,11.3963
2020-02-01,11.3963
2020-02-02,11.3963
2020-02-03,11.3651
2020-02-04,11.4796
2020-02-05,12.0005
2020-02-06,12.0161
2020-02-07,11.8911
2020-02-08,11.8911
2020-02-09,11.8911
2020-02-10,11.7036
2020-02-11,11.7244
2020-02-12,11.7036
2020-02-13,11.589
2020-02-14,11.5526
2020-02-15,11.5526
2020-02-16,11.5526
2020-02-17,11.5526
2020-02-18,11.4067
2020-02-19,11.2921
2020-02-20,10.99
2020-02-21,10.8911
2020-02-22,10.8911
2020-02-23,10.8911
2020-02-24,10.8911
2020-02-25,10.5838
2020-02-26,10.6359
2020-02-27,10.1723
2020-02-28,9.4952
2020-02-29,9.4952
2020-03-01,9.4952
2020-03-02,9.9119
2020-03-03,9.2527
2020-03-04,9.878
2020-03-05,9.9139
2020-03-06,10.201
2020-03-07,10.201
2020-03-08,10.201
2020-03-09,10.1138
2020-03-10,10.2266
2020-03-11,9.7345
2020-03-12,7.8277
2020-03-13,9.0528
2020-03-14,9.0528
2020-03-15,9.0528
2020-03-16,8.1557
2020-03-17,8.5761
2020-03-18,7.0588
2020-03-19,7.3048
2020-03-20,6.7102
2020-03-21,6.7102
2020-03-22,6.7102
2020-03-23,6.8948
2020-03-24,8.0225
2020-03-25,7.269
2020-03-26,7.8072
2020-03-27,7.474
2020-03-28,7.474
2020-03-29,7.474
2020-03-30,7.9046
2020-03-31,11.0326
2020-04-01,9.3801
2020-04-02,10.1716
2020-04-03,9.7802
2020-04-04,9.7802
2020-04-05,9.7802
2020-04-06,10.7804
2020-04-07,10.1629
2020-04-08,10.389
2020-04-09,11.3197
2020-04-10,11.3197
2020-04-11,11.3197
2020-04-12,11.3197
2020-04-13,10.676
2020-04-14,10.9544
2020-04-15,9.7106
2020-04-16,9.7106
2020-04-17,10.6412
2020-04-18,10.6412
2020-04-19,10.6412
2020-04-20,10.676
2020-04-21,10.7456
2020-04-22,10.563
2020-04-23,10.5108
2020-04-24,10.7195
2020-04-25,10.7195
2020-04-26,10.7195
2020-04-27,11.3632
2020-04-28,11.2515
2020-04-29,11.8892
2020-04-30,11.1567
2020-05-01,10.7775
2020-05-02,10.7775
2020-05-03,10.7775
2020-05-04,10.5619
2020-05-05,10.2774
2020-05-06,10.2774
2020-05-07,10.4584
2020-05-08,11.5104
2020-05-09,11.5104
2020-05-10,11.5104
2020-05-11,10.7689
2020-05-12,9.8807
2020-05-13,9.5444
2020-05-14,9.622
2020-05-15,10.0532
2020-05-16,10.0532
2020-05-17,10.0532
2020-05-18,10.9672
2020-05-19,10.3981
2020-05-20,10.8206
2020-05-21,11.0017
2020-05-22,10.6999
2020-05-23,10.6999
2020-05-24,10.6999
2020-05-25,10.6999
2020-05-26,11.0879
2020-05-27,11.6139
2020-05-28,11.0275
2020-05-29,10.8465
2020-05-30,10.8465
2020-05-31,10.8465
2020-06-01,10.7085
2020-06-02,11.1051
2020-06-03,11.726
2020-06-04,11.657
2020-06-05,12.1743
2020-06-06,12.1743
2020-06-07,12.1743
2020-06-08,12.502
2020-06-09,12.3813
2020-06-10,11.6052
2020-06-11,11.0017
2020-06-12,11.1827
2020-06-13,11.1827
2020-06-14,11.1827
2020-06-15,10.8982
2020-06-16,11.131
2020-06-17,10.6223
2020-06-18,10.5878
2020-06-19,10.3636
2020-06-20,10.3636
2020-06-21,10.3636
2020-06-22,10.5447
2020-06-23,10.2687
2020-06-24,9.9669
2020-06-25,10.2774
2020-06-26,9.8893
2020-06-27,9.8893
2020-06-28,9.8893
2020-06-29,10.3895
2020-06-30,18.0059
2020-07-01,17.2441
2020-07-02,17.0132
2020-07-03,17.0132
2020-07-04,17.0132
2020-07-05,17.0132
2020-07-06,17.1286
2020-07-07,16.7362
2020-07-08,16.0898
2020-07-09,14.8431
2020-07-10,16.5053
2020-07-11,16.5053
2020-07-12,16.5053
2020-07-13,16.3668
2020-07-14,16.159
2020-07-15,17.3364
2020-07-16,17.6596
2020-07-17,17.1286
2020-07-18,17.1286
2020-07-19,17.1286
2020-07-20,16.7131
2020-07-21,17.7519
2020-07-22,17.4518
2020-07-23,17.6365
2020-07-24,17.8212
2020-07-25,17.8212
2020-07-26,17.8212
2020-07-27,16.7362
2020-07-28,16.5515
2020-07-29,16.1301
2020-07-30,16.9698
2020-07-31,16.7653
2020-08-01,16.7653
2020-08-02,16.7653
2020-08-03,17.1284
2020-08-04,17.3327
2020-08-05,18.5127
2020-08-06,19.5793
2020-08-07,21.8487
2020-08-08,21.8487
2020-08-09,21.8487
2020-08-10,22.0529
2020-08-11,22.8018
2020-08-12,22.8699
2020-08-13,22.5976
2020-08-14,22.2345
2020-08-15,22.2345
2020-08-16,22.2345
2020-08-17,21.3948
2020-08-18,21.1225
2020-08-19,21.6898
2020-08-20,20.3963
2020-08-21,20.2148
2020-08-22,20.2148
2020-08-23,20.2148
2020-08-24,20.7594
2020-08-25,21.1679
2020-08-26,19.6701
2020-08-27,19.8517
2020-08-28,19.7382
2020-08-29,19.7382
2020-08-30,19.7382
2020-08-31,19.1255
2020-09-01,19.3978
2020-09-02,19.4205
2020-09-03,19.1481
2020-09-04,19.307
2020-09-05,19.307
2020-09-06,19.307
2020-09-07,19.307
2020-09-08,18.2404
2020-09-09,18.1723
2020-09-10,16.3568
2020-09-11,16.0391
2020-09-12,16.0391
2020-09-13,16.0391
2020-09-14,16.788
2020-09-15,15.4037
2020-09-16,14.859
2020-09-17,14.5867
