,MGY US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,27.187
2020-01-02,27.2885
2020-01-03,27.8771
2020-01-04,27.8771
2020-01-05,27.8771
2020-01-06,28.2424
2020-01-07,27.8365
2020-01-08,26.8623
2020-01-09,27.0247
2020-01-10,27.0247
2020-01-11,27.0247
2020-01-12,27.0247
2020-01-13,26.6593
2020-01-14,26.842
2020-01-15,26.842
2020-01-16,26.9435
2020-01-17,26.7405
2020-01-18,26.7405
2020-01-19,26.7405
2020-01-20,26.7405
2020-01-21,26.294
2020-01-22,25.7866
2020-01-23,24.9748
2020-01-24,24.508
2020-01-25,24.508
2020-01-26,24.508
2020-01-27,23.9397
2020-01-28,23.8382
2020-01-29,23.3917
2020-01-30,23.6555
2020-01-31,23.0061
2020-02-01,23.0061
2020-02-02,23.0061
2020-02-03,22.5596
2020-02-04,22.6204
2020-02-05,23.0467
2020-02-06,22.5393
2020-02-07,22.2551
2020-02-08,22.2551
2020-02-09,22.2551
2020-02-10,21.5854
2020-02-11,21.1591
2020-02-12,21.078
2020-02-13,20.9359
2020-02-14,21.2606
2020-02-15,21.2606
2020-02-16,21.2606
2020-02-17,21.2606
2020-02-18,20.2864
2020-02-19,20.4691
2020-02-20,19.6369
2020-02-21,19.0484
2020-02-22,19.0484
2020-02-23,19.0484
2020-02-24,18.1756
2020-02-25,16.7143
2020-02-26,16.6129
2020-02-27,15.6717
2020-02-28,16.544
2020-02-29,16.544
2020-03-01,16.544
2020-03-02,16.7224
2020-03-03,16.7819
2020-03-04,16.8017
2020-03-05,15.751
2020-03-06,14.0658
2020-03-07,14.0658
2020-03-08,14.0658
2020-03-09,11.8651
2020-03-10,12.2418
2020-03-11,11.191
2020-03-12,10.4773
2020-03-13,11.5281
2020-03-14,11.5281
2020-03-15,11.5281
2020-03-16,9.6248
2020-03-17,8.8714
2020-03-18,8.3559
2020-03-19,9.9618
2020-03-20,9.5455
2020-03-21,9.5455
2020-03-22,9.5455
2020-03-23,9.3221
2020-03-24,9.7602
2020-03-25,9.7005
2020-03-26,10.6564
2020-03-27,9.8399
2020-03-28,9.8399
2020-03-29,9.8399
2020-03-30,9.4216
2020-03-31,9.4216
2020-04-01,9.4216
2020-04-02,9.4216
2020-04-03,9.4216
2020-04-04,9.4216
2020-04-05,9.4216
2020-04-06,9.4216
2020-04-07,9.4216
2020-04-08,9.4216
2020-04-09,9.4216
2020-04-10,9.4216
2020-04-11,9.4216
2020-04-12,9.4216
2020-04-13,9.4216
2020-04-14,9.4216
2020-04-15,9.4216
2020-04-16,9.4216
2020-04-17,9.4216
2020-04-18,9.4216
2020-04-19,9.4216
2020-04-20,9.4216
2020-04-21,9.4216
2020-04-22,9.4216
2020-04-23,9.4216
2020-04-24,9.4216
2020-04-25,9.4216
2020-04-26,9.4216
2020-04-27,9.4216
2020-04-28,9.4216
2020-04-29,9.4216
2020-04-30,9.4216
2020-05-01,9.4216
2020-05-02,9.4216
2020-05-03,9.4216
2020-05-04,9.4216
2020-05-05,9.4216
2020-05-06,9.4216
2020-05-07,9.4216
2020-05-08,9.4216
2020-05-09,9.4216
2020-05-10,9.4216
2020-05-11,9.4216
2020-05-12,9.4216
2020-05-13,9.4216
2020-05-14,9.4216
2020-05-15,9.4216
2020-05-16,9.4216
2020-05-17,9.4216
2020-05-18,9.4216
2020-05-19,9.4216
2020-05-20,9.4216
2020-05-21,9.4216
2020-05-22,9.4216
2020-05-23,9.4216
2020-05-24,9.4216
2020-05-25,9.4216
2020-05-26,9.4216
2020-05-27,9.4216
2020-05-28,9.4216
2020-05-29,9.4216
2020-05-30,9.4216
2020-05-31,9.4216
2020-06-01,9.4216
2020-06-02,9.4216
2020-06-03,9.4216
2020-06-04,9.4216
2020-06-05,9.4216
2020-06-06,9.4216
2020-06-07,9.4216
2020-06-08,9.4216
2020-06-09,9.4216
2020-06-10,9.4216
2020-06-11,9.4216
2020-06-12,9.4216
2020-06-13,9.4216
2020-06-14,9.4216
2020-06-15,9.4216
2020-06-16,9.4216
2020-06-17,9.4216
2020-06-18,9.4216
2020-06-19,9.4216
2020-06-20,9.4216
2020-06-21,9.4216
2020-06-22,9.4216
2020-06-23,9.4216
2020-06-24,9.4216
2020-06-25,9.4216
2020-06-26,9.4216
2020-06-27,9.4216
2020-06-28,9.4216
2020-06-29,9.4216
2020-06-30,9.4216
2020-07-01,9.4216
2020-07-02,9.4216
2020-07-03,9.4216
2020-07-04,9.4216
2020-07-05,9.4216
2020-07-06,9.4216
2020-07-07,9.4216
2020-07-08,9.4216
2020-07-09,9.4216
2020-07-10,9.4216
2020-07-11,9.4216
2020-07-12,9.4216
2020-07-13,9.4216
2020-07-14,9.4216
2020-07-15,9.4216
2020-07-16,9.4216
2020-07-17,9.4216
2020-07-18,9.4216
2020-07-19,9.4216
2020-07-20,9.4216
2020-07-21,9.4216
2020-07-22,9.4216
2020-07-23,9.4216
2020-07-24,9.4216
2020-07-25,9.4216
2020-07-26,9.4216
2020-07-27,9.4216
2020-07-28,9.4216
2020-07-29,9.4216
2020-07-30,9.4216
2020-07-31,9.4216
2020-08-01,9.4216
2020-08-02,9.4216
2020-08-03,9.4216
2020-08-04,9.4216
2020-08-05,9.4216
2020-08-06,9.4216
2020-08-07,9.4216
2020-08-08,9.4216
2020-08-09,9.4216
2020-08-10,9.4216
2020-08-11,9.4216
2020-08-12,9.4216
2020-08-13,9.4216
2020-08-14,9.4216
2020-08-15,9.4216
2020-08-16,9.4216
2020-08-17,9.4216
2020-08-18,9.4216
2020-08-19,9.4216
2020-08-20,9.4216
2020-08-21,9.4216
2020-08-22,9.4216
2020-08-23,9.4216
2020-08-24,9.4216
2020-08-25,9.4216
2020-08-26,9.4216
2020-08-27,9.4216
2020-08-28,9.4216
2020-08-29,9.4216
2020-08-30,9.4216
2020-08-31,9.4216
2020-09-01,9.4216
2020-09-02,9.4216
2020-09-03,9.4216
2020-09-04,9.4216
2020-09-05,9.4216
2020-09-06,9.4216
2020-09-07,9.4216
2020-09-08,9.4216
2020-09-09,9.4216
2020-09-10,9.4216
2020-09-11,9.4216
2020-09-12,9.4216
2020-09-13,9.4216
2020-09-14,9.4216
2020-09-15,9.4216
2020-09-16,9.4216
2020-09-17,9.4216
2020-09-18,9.4216
2020-09-19,9.4216
2020-09-20,9.4216
2020-09-21,9.4216
2020-09-22,9.4216
2020-09-23,9.4216
2020-09-24,9.4216
2020-09-25,9.4216
2020-09-26,9.4216
2020-09-27,9.4216
2020-09-28,9.4216
2020-09-29,9.4216
2020-09-30,9.4216
2020-10-01,9.4216
2020-10-02,9.4216
2020-10-03,9.4216
2020-10-04,9.4216
2020-10-05,9.4216
2020-10-06,9.4216
2020-10-07,9.4216
2020-10-08,9.4216
2020-10-09,9.4216
2020-10-10,9.4216
2020-10-11,9.4216
2020-10-12,9.4216
2020-10-13,9.4216
2020-10-14,9.4216
2020-10-15,9.4216
2020-10-16,9.4216
2020-10-17,9.4216
2020-10-18,9.4216
2020-10-19,9.4216
2020-10-20,9.4216
2020-10-21,9.4216
2020-10-22,9.4216
2020-10-23,9.4216
2020-10-24,9.4216
2020-10-25,9.4216
2020-10-26,9.4216
2020-10-27,9.4216
2020-10-28,9.4216
2020-10-29,9.4216
2020-10-30,9.4216
2020-10-31,9.4216
2020-11-01,9.4216
2020-11-02,9.4216
2020-11-03,9.4216
2020-11-04,9.4216
2020-11-05,9.4216
2020-11-06,9.4216
2020-11-07,9.4216
2020-11-08,9.4216
2020-11-09,9.4216
2020-11-10,9.4216
