,IBP US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,20.0839
2020-01-02,20.1302
2020-01-03,20.2473
2020-01-04,20.2473
2020-01-05,20.2473
2020-01-06,20.3156
2020-01-07,20.1253
2020-01-08,20.3814
2020-01-09,20.2034
2020-01-10,20.3399
2020-01-11,20.3399
2020-01-12,20.3399
2020-01-13,20.6765
2020-01-14,20.9959
2020-01-15,21.7689
2020-01-16,21.5665
2020-01-17,21.5129
2020-01-18,21.5129
2020-01-19,21.5129
2020-01-20,21.5129
2020-01-21,21.8348
2020-01-22,21.9445
2020-01-23,22.5785
2020-01-24,22.0737
2020-01-25,22.0737
2020-01-26,22.0737
2020-01-27,21.9128
2020-01-28,22.1445
2020-01-29,21.9786
2020-01-30,21.964
2020-01-31,21.3666
2020-02-01,21.3666
2020-02-02,21.3666
2020-02-03,21.6982
2020-02-04,21.6031
2020-02-05,21.986
2020-02-06,21.9347
2020-02-07,21.7665
2020-02-08,21.7665
2020-02-09,21.7665
2020-02-10,21.8031
2020-02-11,21.7714
2020-02-12,21.4617
2020-02-13,21.5104
2020-02-14,21.6738
2020-02-15,21.6738
2020-02-16,21.6738
2020-02-17,21.6738
2020-02-18,21.6446
2020-02-19,22.1347
2020-02-20,22.281
2020-02-21,22.5883
2020-02-22,22.5883
2020-02-23,22.5883
2020-02-24,22.1518
2020-02-25,20.4741
2020-02-26,20.279
2020-02-27,20.069
2020-02-28,19.396
2020-02-29,19.396
2020-03-01,19.396
2020-03-02,19.0985
2020-03-03,19.3131
2020-03-04,20.8835
2020-03-05,20.2153
2020-03-06,19.0961
2020-03-07,19.0961
2020-03-08,19.0961
2020-03-09,16.3942
2020-03-10,16.8478
2020-03-11,15.3871
2020-03-12,13.5655
2020-03-13,14.675
2020-03-14,14.675
2020-03-15,14.675
2020-03-16,11.6854
2020-03-17,12.217
2020-03-18,10.6832
2020-03-19,12.0902
2020-03-20,12.1512
2020-03-21,12.1512
2020-03-22,12.1512
2020-03-23,11.7391
2020-03-24,12.8315
2020-03-25,14.1215
2020-03-26,14.7726
2020-03-27,14.0801
2020-03-28,14.0801
2020-03-29,14.0801
2020-03-30,13.2388
2020-03-31,11.9615
2020-04-01,10.5994
2020-04-02,10.7269
2020-04-03,10.0918
2020-04-04,10.0918
2020-04-05,10.0918
2020-04-06,11.5835
2020-04-07,11.5634
2020-04-08,12.8091
2020-04-09,13.0686
2020-04-10,13.0686
2020-04-11,13.0686
2020-04-12,13.0686
2020-04-13,12.1784
2020-04-14,12.3216
2020-04-15,11.6663
2020-04-16,11.21
2020-04-17,12.1834
2020-04-18,12.1834
2020-04-19,12.1834
2020-04-20,11.6176
2020-04-21,11.3966
2020-04-22,11.2949
2020-04-23,11.4762
2020-04-24,11.9558
2020-04-25,11.9558
2020-04-26,11.9558
2020-04-27,12.5304
2020-04-28,13.3238
2020-04-29,14.714
2020-04-30,13.9427
2020-05-01,13.357
2020-05-02,13.357
2020-05-03,13.357
2020-05-04,13.4012
2020-05-05,13.9913
2020-05-06,14.2411
2020-05-07,14.4974
2020-05-08,15.3295
2020-05-09,15.3295
2020-05-10,15.3295
2020-05-11,14.7678
2020-05-12,14.0774
2020-05-13,13.669
2020-05-14,13.7223
2020-05-15,14.2195
2020-05-16,14.2195
2020-05-17,14.2195
2020-05-18,15.718
2020-05-19,15.6003
2020-05-20,15.7956
2020-05-21,16.2308
2020-05-22,16.7169
2020-05-23,16.7169
2020-05-24,16.7169
2020-05-25,16.7169
2020-05-26,17.2719
2020-05-27,18.7348
2020-05-28,17.7092
2020-05-29,17.3141
2020-05-30,17.3141
2020-05-31,17.3141
2020-06-01,18.0999
2020-06-02,18.3241
2020-06-03,18.7725
2020-06-04,18.7903
2020-06-05,19.5362
2020-06-06,19.5362
2020-06-07,19.5362
2020-06-08,18.9679
2020-06-09,19.363
2020-06-10,19.181
2020-06-11,17.5338
2020-06-12,18.0289
2020-06-13,18.0289
2020-06-14,18.0289
2020-06-15,19.181
2020-06-16,19.252
2020-06-17,18.9657
2020-06-18,18.6172
2020-06-19,18.5062
2020-06-20,18.5062
2020-06-21,18.5062
2020-06-22,18.464
2020-06-23,19.0167
2020-06-24,18.0156
2020-06-25,17.7958
2020-06-26,17.2519
2020-06-27,17.2519
2020-06-28,17.2519
2020-06-29,17.9911
2020-06-30,16.486
2020-07-01,16.1567
2020-07-02,16.3981
2020-07-03,16.3981
2020-07-04,16.3981
2020-07-05,16.3981
2020-07-06,16.9135
2020-07-07,16.3654
2020-07-08,17.3225
2020-07-09,16.8337
2020-07-10,17.0996
2020-07-11,17.0996
2020-07-12,17.0996
2020-07-13,16.6435
2020-07-14,17.1426
2020-07-15,17.9341
2020-07-16,18.2368
2020-07-17,18.1631
2020-07-18,18.1631
2020-07-19,18.1631
2020-07-20,18.3063
2020-07-21,18.1325
2020-07-22,19.0978
2020-07-23,18.6704
2020-07-24,18.5006
