,PGR US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,8.8638
2020-01-02,9.0757
2020-01-03,9.0746
2020-01-04,9.0746
2020-01-05,9.0746
2020-01-06,9.2222
2020-01-07,8.9042
2020-01-08,8.9512
2020-01-09,9.0331
2020-01-10,9.0069
2020-01-11,9.0069
2020-01-12,9.0069
2020-01-13,9.1402
2020-01-14,9.067
2020-01-15,9.2276
2020-01-16,9.197
2020-01-17,9.291
2020-01-18,9.291
2020-01-19,9.291
2020-01-20,9.291
2020-01-21,9.3052
2020-01-22,9.2757
2020-01-23,9.2943
2020-01-24,9.3402
2020-01-25,9.3402
2020-01-26,9.3402
2020-01-27,9.2331
2020-01-28,9.3074
2020-01-29,9.7838
2020-01-30,9.8887
2020-01-31,9.7707
2020-02-01,9.7707
2020-02-02,9.7707
2020-02-03,9.7576
2020-02-04,9.7958
2020-02-05,10.0231
2020-02-06,10.0297
2020-02-07,10.0515
2020-02-08,10.0515
2020-02-09,10.0515
2020-02-10,10.0876
2020-02-11,10.0952
2020-02-12,10.0493
2020-02-13,10.1171
2020-02-14,10.1073
2020-02-15,10.1073
2020-02-16,10.1073
2020-02-17,10.1073
2020-02-18,10.0668
2020-02-19,9.8611
2020-02-20,9.7977
2020-02-21,9.8655
2020-02-22,9.8655
2020-02-23,9.8655
2020-02-24,9.8119
2020-02-25,9.7058
2020-02-26,9.6675
2020-02-27,9.2988
2020-02-28,8.9575
2020-02-29,8.9575
2020-03-01,8.9575
2020-03-02,9.5832
2020-03-03,9.4032
2020-03-04,9.8199
2020-03-05,9.7642
2020-03-06,9.762
2020-03-07,9.762
2020-03-08,9.762
2020-03-09,9.1898
2020-03-10,9.4819
2020-03-11,9.1701
2020-03-12,8.5696
2020-03-13,9.494
2020-03-14,9.494
2020-03-15,9.494
2020-03-16,8.9393
2020-03-17,9.4086
2020-03-18,8.847
2020-03-19,8.2879
2020-03-20,8.4236
2020-03-21,8.4236
2020-03-22,8.4236
2020-03-23,8.2343
2020-03-24,8.5067
2020-03-25,8.6063
2020-03-26,9.2485
2020-03-27,8.999
2020-03-28,8.999
2020-03-29,8.999
2020-03-30,9.2879
2020-03-31,10.5526
2020-04-01,10.3666
2020-04-02,10.8944
2020-04-03,10.8165
2020-04-04,10.8165
2020-04-05,10.8165
2020-04-06,10.8227
2020-04-07,10.7737
2020-04-08,11.0514
2020-04-09,11.3756
2020-04-10,11.3756
2020-04-11,11.3756
2020-04-12,11.3756
2020-04-13,10.9622
2020-04-14,11.3857
2020-04-15,11.2324
2020-04-16,11.2123
2020-04-17,11.6408
2020-04-18,11.6408
2020-04-19,11.6408
2020-04-20,11.5704
2020-04-21,11.4837
2020-04-22,11.6396
2020-04-23,11.529
2020-04-24,11.6873
2020-04-25,11.6873
2020-04-26,11.6873
2020-04-27,11.6986
2020-04-28,11.4699
2020-04-29,11.3015
2020-04-30,10.9874
2020-05-01,10.8466
2020-05-02,10.8466
2020-05-03,10.8466
2020-05-04,10.8052
2020-05-05,11.0804
2020-05-06,10.8479
2020-05-07,10.6896
2020-05-08,10.6066
2020-05-09,10.6066
2020-05-10,10.6066
2020-05-11,10.4684
2020-05-12,10.3453
2020-05-13,10.4169
2020-05-14,10.54
2020-05-15,10.8504
2020-05-16,10.8504
2020-05-17,10.8504
2020-05-18,10.9019
2020-05-19,10.8077
2020-05-20,10.6845
2020-05-21,10.7009
2020-05-22,10.6632
2020-05-23,10.6632
2020-05-24,10.6632
2020-05-25,10.6632
2020-05-26,10.589
2020-05-27,10.8831
2020-05-28,10.8982
2020-05-29,11.0351
2020-05-30,11.0351
2020-05-31,11.0351
2020-06-01,11.1181
2020-06-02,11.211
2020-06-03,11.2148
2020-06-04,11.1759
2020-06-05,11.5616
2020-06-06,11.5616
2020-06-07,11.5616
2020-06-08,11.5164
2020-06-09,11.4548
2020-06-10,11.3618
2020-06-11,10.814
2020-06-12,10.8994
2020-06-13,10.8994
2020-06-14,10.8994
2020-06-15,11.2374
2020-06-16,11.3807
2020-06-17,11.2291
2020-06-18,11.4377
2020-06-19,11.4528
2020-06-20,11.4528
2020-06-21,11.4528
2020-06-22,11.4314
2020-06-23,11.3359
2020-06-24,10.9878
2020-06-25,11.3158
2020-06-26,11.0632
2020-06-27,11.0632
2020-06-28,11.0632
2020-06-29,11.1273
2020-06-30,9.2866
2020-07-01,9.2547
2020-07-02,9.1961
2020-07-03,9.1961
2020-07-04,9.1961
2020-07-05,9.1961
2020-07-06,9.2156
2020-07-07,9.0717
2020-07-08,9.0048
2020-07-09,9.048
2020-07-10,9.3535
2020-07-11,9.3535
2020-07-12,9.3535
2020-07-13,9.3092
2020-07-14,9.7381
2020-07-15,9.8811
2020-07-16,10.0065
2020-07-17,10.06
2020-07-18,10.06
2020-07-19,10.06
2020-07-20,10.1114
2020-07-21,10.1855
2020-07-22,10.3182
2020-07-23,10.1639
2020-07-24,10.0837
2020-07-25,10.0837
2020-07-26,10.0837
2020-07-27,10.0261
2020-07-28,10.0384
2020-07-29,10.1927
2020-07-30,10.1515
2020-07-31,10.3387
2020-08-01,10.3387
2020-08-02,10.3387
2020-08-03,10.2924
2020-08-04,10.3294
2020-08-05,10.3675
2020-08-06,10.2636
2020-08-07,10.3788
2020-08-08,10.3788
2020-08-09,10.3788
2020-08-10,10.3161
2020-08-11,10.2029
2020-08-12,10.2019
2020-08-13,10.205
2020-08-14,10.1978
2020-08-15,10.1978
2020-08-16,10.1978
2020-08-17,10.1834
2020-08-18,10.277
2020-08-19,10.3491
2020-08-20,10.3933
2020-08-21,10.4942
2020-08-22,10.4942
2020-08-23,10.4942
2020-08-24,10.5127
2020-08-25,10.5919
2020-08-26,10.5302
2020-08-27,10.6475
2020-08-28,10.6855
2020-08-29,10.6855
2020-08-30,10.6855
2020-08-31,10.8254
2020-09-01,10.7051
2020-09-02,10.8213
2020-09-03,10.6454
2020-09-04,10.6094
2020-09-05,10.6094
2020-09-06,10.6094
2020-09-07,10.6094
2020-09-08,10.4931
2020-09-09,10.7874
2020-09-10,10.7545
2020-09-11,10.8193
2020-09-12,10.8193
2020-09-13,10.8193
2020-09-14,10.951
2020-09-15,10.8296
2020-09-16,10.8296
2020-09-17,10.8656
2020-09-18,11.0127
2020-09-19,11.0127
2020-09-20,11.0127
2020-09-21,11.0641
2020-09-22,10.7617
2020-09-23,10.4294
2020-09-24,10.5333
2020-09-25,10.5744
2020-09-26,10.5744
2020-09-27,10.5744
2020-09-28,10.7164
2020-09-29,10.7339
2020-09-30,9.2868
2020-10-01,9.1797
2020-10-02,9.2461
2020-10-03,9.2461
2020-10-04,9.2461
2020-10-05,9.4028
2020-10-06,9.3267
2020-10-07,9.4409
2020-10-08,9.579
2020-10-09,9.7481
2020-10-10,9.7481
2020-10-11,9.7481
2020-10-12,9.8809
2020-10-13,9.7827
2020-10-14,9.7278
2020-10-15,9.5383
2020-10-16,9.4506
2020-10-17,9.4506
2020-10-18,9.4506
2020-10-19,9.3851
2020-10-20,9.2798
2020-10-21,9.1921
2020-10-22,9.2621
