,MOH US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,5.4132
2020-01-02,5.2745
2020-01-03,5.2249
2020-01-04,5.2249
2020-01-05,5.2249
2020-01-06,5.5125
2020-01-07,5.6267
2020-01-08,5.8969
2020-01-09,5.876
2020-01-10,5.8712
2020-01-11,5.8712
2020-01-12,5.8712
2020-01-13,5.6572
2020-01-14,5.1836
2020-01-15,5.6081
2020-01-16,5.7223
2020-01-17,5.4808
2020-01-18,5.4808
2020-01-19,5.4808
2020-01-20,5.4808
2020-01-21,5.574
2020-01-22,5.5364
2020-01-23,5.5495
2020-01-24,5.3462
2020-01-25,5.3462
2020-01-26,5.3462
2020-01-27,4.9803
2020-01-28,5.1549
2020-01-29,5.0276
2020-01-30,4.8787
2020-01-31,4.6527
2020-02-01,4.6527
2020-02-02,4.6527
2020-02-03,4.7723
2020-02-04,4.7436
2020-02-05,5.0605
2020-02-06,4.9552
2020-02-07,4.9534
2020-02-08,4.9534
2020-02-09,4.9534
2020-02-10,5.0341
2020-02-11,5.6614
2020-02-12,5.9162
2020-02-13,5.9074
2020-02-14,5.7066
2020-02-15,5.7066
2020-02-16,5.7066
2020-02-17,5.7066
2020-02-18,5.9512
2020-02-19,6.2197
2020-02-20,6.0254
2020-02-21,5.9854
2020-02-22,5.9854
2020-02-23,5.9854
2020-02-24,5.3135
2020-02-25,4.7818
2020-02-26,4.7638
2020-02-27,4.5001
2020-02-28,4.4055
2020-02-29,4.4055
2020-03-01,4.4055
2020-03-02,4.6821
2020-03-03,4.3986
2020-03-04,5.5535
2020-03-05,5.4184
2020-03-06,5.3129
2020-03-07,5.3129
2020-03-08,5.3129
2020-03-09,4.9981
2020-03-10,5.2074
2020-03-11,4.9488
2020-03-12,4.8398
2020-03-13,5.7854
2020-03-14,5.7854
2020-03-15,5.7854
2020-03-16,4.3557
2020-03-17,4.5905
2020-03-18,4.2606
2020-03-19,4.2855
2020-03-20,3.8953
2020-03-21,3.8953
2020-03-22,3.8953
2020-03-23,3.5498
2020-03-24,4.1365
2020-03-25,4.8508
2020-03-26,5.4161
2020-03-27,5.1372
2020-03-28,5.1372
2020-03-29,5.1372
2020-03-30,5.3857
2020-03-31,5.758
2020-04-01,5.2569
2020-04-02,5.3928
2020-04-03,5.3137
2020-04-04,5.3137
2020-04-05,5.3137
2020-04-06,5.8337
2020-04-07,5.7815
2020-04-08,6.8044
2020-04-09,6.5535
2020-04-10,6.5535
2020-04-11,6.5535
2020-04-12,6.5535
2020-04-13,6.7546
2020-04-14,7.1403
2020-04-15,6.9591
2020-04-16,7.5905
2020-04-17,7.5231
2020-04-18,7.5231
2020-04-19,7.5231
2020-04-20,7.1995
2020-04-21,6.9726
2020-04-22,7.145
2020-04-23,7.3706
2020-04-24,7.4328
2020-04-25,7.4328
2020-04-26,7.4328
2020-04-27,7.5846
2020-04-28,7.3197
2020-04-29,7.2264
2020-04-30,7.1801
2020-05-01,7.4493
2020-05-02,7.4493
2020-05-03,7.4493
2020-05-04,7.7379
2020-05-05,7.8959
2020-05-06,8.0111
2020-05-07,7.6786
2020-05-08,7.5805
2020-05-09,7.5805
2020-05-10,7.5805
2020-05-11,7.7693
2020-05-12,7.8628
2020-05-13,7.5138
2020-05-14,7.6335
2020-05-15,7.9153
2020-05-16,7.9153
2020-05-17,7.9153
2020-05-18,7.4778
2020-05-19,7.6444
2020-05-20,7.6615
2020-05-21,7.9324
2020-05-22,7.9603
2020-05-23,7.9603
2020-05-24,7.9603
2020-05-25,7.9603
2020-05-26,8.0459
2020-05-27,8.0425
2020-05-28,8.2255
2020-05-29,8.1662
2020-05-30,8.1662
2020-05-31,8.1662
2020-06-01,8.0094
2020-06-02,8.0122
2020-06-03,7.7852
2020-06-04,7.4681
2020-06-05,7.3227
2020-06-06,7.3227
2020-06-07,7.3227
2020-06-08,7.3649
2020-06-09,7.5543
2020-06-10,7.7681
2020-06-11,7.2047
2020-06-12,7.2577
2020-06-13,7.2577
2020-06-14,7.2577
2020-06-15,7.0467
2020-06-16,7.4185
2020-06-17,7.1955
2020-06-18,7.3307
2020-06-19,7.82
2020-06-20,7.82
2020-06-21,7.82
2020-06-22,7.8257
2020-06-23,7.7567
2020-06-24,7.4282
2020-06-25,7.5337
2020-06-26,7.2121
2020-06-27,7.2121
2020-06-28,7.2121
2020-06-29,7.3552
2020-06-30,6.1557
2020-07-01,6.2121
2020-07-02,6.357
2020-07-03,6.357
