,PSX US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,24.629
2020-01-02,24.7658
2020-01-03,24.1231
2020-01-04,24.1231
2020-01-05,24.1231
2020-01-06,24.0053
2020-01-07,24.0625
2020-01-08,23.3626
2020-01-09,23.626
2020-01-10,23.496
2020-01-11,23.496
2020-01-12,23.496
2020-01-13,23.5705
2020-01-14,23.7576
2020-01-15,23.4995
2020-01-16,23.3089
2020-01-17,23.2258
2020-01-18,23.2258
2020-01-19,23.2258
2020-01-20,23.2258
2020-01-21,23.0578
2020-01-22,22.9746
2020-01-23,23.0127
2020-01-24,22.7078
2020-01-25,22.7078
2020-01-26,22.7078
2020-01-27,22.1188
2020-01-28,22.079
2020-01-29,21.9248
2020-01-30,22.0305
2020-01-31,21.1574
2020-02-01,21.1574
2020-02-02,21.1574
2020-02-03,20.7416
2020-02-04,20.6983
2020-02-05,21.3774
2020-02-06,20.9582
2020-02-07,20.9772
2020-02-08,20.9772
2020-02-09,20.9772
2020-02-10,20.9651
2020-02-11,20.9668
2020-02-12,21.1175
2020-02-13,20.9789
2020-02-14,20.8282
2020-02-15,20.8282
2020-02-16,20.8282
2020-02-17,20.8282
2020-02-18,20.5736
2020-02-19,20.6359
2020-02-20,20.953
2020-02-21,20.6192
2020-02-22,20.6192
2020-02-23,20.6192
2020-02-24,20.1584
2020-02-25,19.5159
2020-02-26,19.091
2020-02-27,18.0511
2020-02-28,18.1539
2020-02-29,18.1539
2020-03-01,18.1539
2020-03-02,18.1967
2020-03-03,17.8113
2020-03-04,18.1145
2020-03-05,17.6605
2020-03-06,17.2014
2020-03-07,17.2014
2020-03-08,17.2014
2020-03-09,15.9662
2020-03-10,16.1837
2020-03-11,14.7772
2020-03-12,13.2782
2020-03-13,14.6419
2020-03-14,14.6419
2020-03-15,14.6419
2020-03-16,13.5985
2020-03-17,13.3244
2020-03-18,12.6905
2020-03-19,13.1548
2020-03-20,13.6122
2020-03-21,13.6122
2020-03-22,13.6122
2020-03-23,12.5398
2020-03-24,13.1377
2020-03-25,13.9806
2020-03-26,14.647
2020-03-27,14.2924
2020-03-28,14.2924
2020-03-29,14.2924
2020-03-30,14.5736
2020-03-31,14.5736
2020-04-01,14.5736
2020-04-02,14.5736
2020-04-03,14.5736
2020-04-04,14.5736
2020-04-05,14.5736
2020-04-06,14.5736
2020-04-07,14.5736
2020-04-08,14.5736
2020-04-09,14.5736
2020-04-10,14.5736
2020-04-11,14.5736
2020-04-12,14.5736
2020-04-13,14.5736
2020-04-14,14.5736
2020-04-15,14.5736
2020-04-16,14.5736
2020-04-17,14.5736
2020-04-18,14.5736
2020-04-19,14.5736
2020-04-20,14.5736
2020-04-21,14.5736
2020-04-22,14.5736
2020-04-23,14.5736
2020-04-24,14.5736
2020-04-25,14.5736
2020-04-26,14.5736
2020-04-27,14.5736
2020-04-28,14.5736
2020-04-29,14.5736
2020-04-30,14.5736
2020-05-01,14.5736
2020-05-02,14.5736
2020-05-03,14.5736
2020-05-04,14.5736
2020-05-05,14.5736
2020-05-06,14.5736
2020-05-07,14.5736
2020-05-08,14.5736
2020-05-09,14.5736
2020-05-10,14.5736
2020-05-11,14.5736
2020-05-12,14.5736
2020-05-13,14.5736
