,IFF US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,26.9942
2020-01-02,26.7583
2020-01-03,26.5657
2020-01-04,26.5657
2020-01-05,26.5657
2020-01-06,26.4325
2020-01-07,26.3988
2020-01-08,26.211
2020-01-09,26.1307
2020-01-10,26.5079
2020-01-11,26.5079
2020-01-12,26.5079
2020-01-13,26.7278
2020-01-14,27.0392
2020-01-15,27.1419
2020-01-16,27.6539
2020-01-17,27.9348
2020-01-18,27.9348
2020-01-19,27.9348
2020-01-20,27.9348
2020-01-21,27.9219
2020-01-22,28.0985
2020-01-23,28.1225
2020-01-24,28.0808
2020-01-25,28.0808
2020-01-26,28.0808
2020-01-27,27.7903
2020-01-28,28.0262
2020-01-29,27.962
2020-01-30,27.6282
2020-01-31,27.3297
2020-02-01,27.3297
2020-02-02,27.3297
2020-02-03,28.0888
2020-02-04,28.7549
2020-02-05,29.185
2020-02-06,29.1112
2020-02-07,28.7565
2020-02-08,28.7565
2020-02-09,28.7565
2020-02-10,28.6056
2020-02-11,28.4323
2020-02-12,28.6586
2020-02-13,28.2333
2020-02-14,28.0936
2020-02-15,28.0936
2020-02-16,28.0936
2020-02-17,28.0936
2020-02-18,27.9283
2020-02-19,27.8352
2020-02-20,27.5833
2020-02-21,27.5014
2020-02-22,27.5014
2020-02-23,27.5014
2020-02-24,26.8161
2020-02-25,26.1789
2020-02-26,26.0987
2020-02-27,25.9044
2020-02-28,25.5112
2020-02-29,25.5112
2020-03-01,25.5112
2020-03-02,25.9574
2020-03-03,25.9221
2020-03-04,26.7954
2020-03-05,26.3266
2020-03-06,25.9895
2020-03-07,25.9895
2020-03-08,25.9895
2020-03-09,24.3825
2020-03-10,25.3217
2020-03-11,24.1513
2020-03-12,22.3308
2020-03-13,23.7885
2020-03-14,23.7885
2020-03-15,23.7885
2020-03-16,22.5796
2020-03-17,23.8624
2020-03-18,23.6906
2020-03-19,23.5317
2020-03-20,22.7274
2020-03-21,22.7274
2020-03-22,22.7274
2020-03-23,21.4222
2020-03-24,22.493
2020-03-25,23.0741
2020-03-26,24.6763
2020-03-27,23.9812
2020-03-28,23.9812
2020-03-29,23.9812
2020-03-30,23.6264
2020-03-31,21.3894
2020-04-01,21.1826
2020-04-02,20.9453
2020-04-03,20.9024
2020-04-04,20.9024
2020-04-05,20.9024
2020-04-06,22.4491
2020-04-07,23.2179
2020-04-08,24.3251
2020-04-09,25.2623
2020-04-10,25.2623
2020-04-11,25.2623
2020-04-12,25.2623
2020-04-13,24.1444
2020-04-14,24.4966
2020-04-15,23.7324
2020-04-16,24.1168
2020-04-17,24.9177
2020-04-18,24.9177
