,NTAP US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,12.0389
2020-01-02,12.1487
2020-01-03,11.9228
2020-01-04,11.9228
2020-01-05,11.9228
2020-01-06,11.8911
2020-01-07,11.9756
2020-01-08,12.2268
2020-01-09,12.2944
2020-01-10,12.2247
2020-01-11,12.2247
2020-01-12,12.2247
2020-01-13,12.4316
2020-01-14,12.3619
2020-01-15,12.4485
2020-01-16,12.6997
2020-01-17,12.0748
2020-01-18,12.0748
2020-01-19,12.0748
2020-01-20,12.0748
2020-01-21,11.6821
2020-01-22,11.6631
2020-01-23,11.6842
2020-01-24,12.1678
2020-01-25,12.1678
2020-01-26,12.1678
2020-01-27,11.805
2020-01-28,11.5324
2020-01-29,11.229
2020-01-30,11.0773
2020-01-31,10.7585
2020-02-01,10.7585
2020-02-02,10.7585
2020-02-03,10.8992
2020-02-04,11.3037
2020-02-05,11.7259
2020-02-06,11.8028
2020-02-07,11.6248
2020-02-08,11.6248
2020-02-09,11.6248
2020-02-10,11.7831
2020-02-11,12.0073
2020-02-12,12.3899
2020-02-13,11.1498
2020-02-14,10.9431
2020-02-15,10.9431
2020-02-16,10.9431
2020-02-17,10.9431
2020-02-18,10.4022
2020-02-19,10.3553
2020-02-20,10.4619
2020-02-21,10.0975
2020-02-22,10.0975
2020-02-23,10.0975
2020-02-24,9.6926
2020-02-25,9.4156
2020-02-26,9.3475
2020-02-27,9.0044
2020-02-28,8.9724
2020-02-29,8.9724
2020-03-01,8.9724
2020-03-02,9.1536
2020-03-03,8.7998
2020-03-04,8.8915
2020-03-05,8.3779
2020-03-06,8.3929
2020-03-07,8.3929
2020-03-08,8.3929
2020-03-09,7.5107
2020-03-10,8.2842
2020-03-11,7.6364
2020-03-12,6.669
2020-03-13,7.711
2020-03-14,7.711
2020-03-15,7.711
2020-03-16,7.5512
2020-03-17,7.988
2020-03-18,8.0285
2020-03-19,7.2337
2020-03-20,6.7394
2020-03-21,6.7394
2020-03-22,6.7394
2020-03-23,6.5497
2020-03-24,7.174
2020-03-25,7.0483
2020-03-26,8.0626
2020-03-27,7.5895
2020-03-28,7.5895
2020-03-29,7.5895
2020-03-30,7.694
2020-03-31,7.9006
2020-04-01,7.5427
2020-04-02,7.4404
2020-04-03,6.9737
2020-04-04,6.9737
2020-04-05,6.9737
2020-04-06,7.4553
2020-04-07,7.483
2020-04-08,7.7494
2020-04-09,8.1222
2020-04-10,8.1222
2020-04-11,8.1222
2020-04-12,8.1222
2020-04-13,7.8879
2020-04-14,8.2096
2020-04-15,7.6322
2020-04-16,7.7984
2020-04-17,7.9987
2020-04-18,7.9987
2020-04-19,7.9987
2020-04-20,7.743
2020-04-21,7.3147
2020-04-22,7.4724
2020-04-23,7.7621
2020-04-24,8.9459
2020-04-25,8.9459
2020-04-26,8.9459
2020-04-27,8.8616
2020-04-28,8.761
2020-04-29,9.3719
