,MSEX US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,37.3889
2020-01-02,36.7264
2020-01-03,36.7411
2020-01-04,36.7411
2020-01-05,36.7411
2020-01-06,36.2946
2020-01-07,36.1032
2020-01-08,36.2749
2020-01-09,36.3387
2020-01-10,36.2946
2020-01-11,36.2946
2020-01-12,36.2946
2020-01-13,36.9423
2020-01-14,36.7215
2020-01-15,37.2466
2020-01-16,37.9778
2020-01-17,38.6452
2020-01-18,38.6452
2020-01-19,38.6452
2020-01-20,38.6452
2020-01-21,38.8464
2020-01-22,38.9445
2020-01-23,38.9249
2020-01-24,38.5274
2020-01-25,38.5274
2020-01-26,38.5274
2020-01-27,38.5667
2020-01-28,38.7286
2020-01-29,39.0083
2020-01-30,39.028
2020-01-31,38.2182
2020-02-01,38.2182
2020-02-02,38.2182
2020-02-03,38.7973
2020-02-04,38.8611
2020-02-05,39.2979
2020-02-06,39.5481
2020-02-07,39.6365
2020-02-08,39.6365
2020-02-09,39.6365
2020-02-10,39.9162
2020-02-11,39.4205
2020-02-12,39.6316
2020-02-13,40.2695
2020-02-14,40.1812
2020-02-15,40.1812
2020-02-16,40.1812
2020-02-17,40.1812
2020-02-18,40.2744
2020-02-19,39.504
2020-02-20,39.3715
2020-02-21,39.6904
2020-02-22,39.6904
2020-02-23,39.6904
2020-02-24,38.9936
2020-02-25,38.0121
2020-02-26,38.3507
2020-02-27,36.5694
2020-02-28,35.3852
2020-02-29,35.3852
2020-03-01,35.3852
2020-03-02,37.8199
2020-03-03,37.2456
2020-03-04,38.8213
2020-03-05,38.4286
2020-03-06,39.3809
2020-03-07,39.3809
2020-03-08,39.3809
2020-03-09,37.6481
2020-03-10,38.139
2020-03-11,34.9188
2020-03-12,32.5086
2020-03-13,33.456
2020-03-14,33.456
2020-03-15,33.456
2020-03-16,30.4666
2020-03-17,36.308
2020-03-18,33.834
2020-03-19,34.3641
2020-03-20,34.104
2020-03-21,34.104
2020-03-22,34.104
2020-03-23,33.132
2020-03-24,33.8733
2020-03-25,32.6117
2020-03-26,33.51
2020-03-27,34.2856
2020-03-28,34.2856
2020-03-29,34.2856
2020-03-30,36.3669
2020-03-31,36.5157
2020-04-01,33.5881
2020-04-02,35.2809
2020-04-03,34.793
2020-04-04,34.793
2020-04-05,34.793
2020-04-06,36.9001
2020-04-07,35.6053
2020-04-08,36.7408
2020-04-09,37.926
2020-04-10,37.926
2020-04-11,37.926
2020-04-12,37.926
2020-04-13,37.6421
2020-04-14,38.1053
2020-04-15,35.9639
2020-04-16,36.6063
2020-04-17,37.1392
2020-04-18,37.1392
2020-04-19,37.1392
2020-04-20,35.7249
2020-04-21,34.9679
2020-04-22,35.8494
2020-04-23,35.7946
2020-04-24,36.0137
2020-04-25,36.0137
2020-04-26,36.0137
2020-04-27,36.0635
2020-04-28,36.7109
2020-04-29,37.8314
2020-04-30,36.6113
2020-05-01,36.4669
2020-05-02,36.4669
2020-05-03,36.4669
2020-05-04,36.9798
2020-05-05,37.3641
2020-05-06,37.0155
2020-05-07,37.399
2020-05-08,37.5085
2020-05-09,37.5085
2020-05-10,37.5085
2020-05-11,37.3442
2020-05-12,37.0354
2020-05-13,37.0852
2020-05-14,36.2735
2020-05-15,36.5723
2020-05-16,36.5723
2020-05-17,36.5723
2020-05-18,38.2306
2020-05-19,37.1002
2020-05-20,37.638
2020-05-21,37.7177
2020-05-22,38.3551
2020-05-23,38.3551
2020-05-24,38.3551
2020-05-25,38.3551
2020-05-26,39.1271
2020-05-27,39.7097
2020-05-28,39.4209
2020-05-29,40.3771
2020-05-30,40.3771
2020-05-31,40.3771
2020-06-01,40.0783
2020-06-02,40.5912
2020-06-03,41.3133
2020-06-04,40.6709
2020-06-05,41.4179
2020-06-06,41.4179
2020-06-07,41.4179
2020-06-08,41.154
2020-06-09,40.8203
2020-06-10,40.8701
2020-06-11,40.2874
2020-06-12,40.4667
2020-06-13,40.4667
2020-06-14,40.4667
2020-06-15,41.7217
2020-06-16,41.134
2020-06-17,40.7257
2020-06-18,40.4966
2020-06-19,40.2177
2020-06-20,40.2177
2020-06-21,40.2177
2020-06-22,39.6898
2020-06-23,39.6052
2020-06-24,38.8183
2020-06-25,38.3352
2020-06-26,37.2097
2020-06-27,37.2097
2020-06-28,37.2097
2020-06-29,39.4109
2020-06-30,40.065
2020-07-01,40.0798
2020-07-02,40.2962
2020-07-03,40.2962
2020-07-04,40.2962
2020-07-05,40.2962
2020-07-06,39.7797
2020-07-07,38.7861
2020-07-08,38.7172
2020-07-09,37.7826
2020-07-10,38.3237
2020-07-11,38.3237
2020-07-12,38.3237
2020-07-13,37.8908
2020-07-14,38.0384
2020-07-15,38.5106
2020-07-16,38.8353
2020-07-17,39.7453
2020-07-18,39.7453
2020-07-19,39.7453
2020-07-20,39.5239
2020-07-21,39.9765
2020-07-22,40.0502
2020-07-23,40.0306
2020-07-24,39.9519
2020-07-25,39.9519
2020-07-26,39.9519
2020-07-27,39.5239
2020-07-28,39.4452
2020-07-29,40.1535
2020-07-30,38.9435
2020-07-31,38.5755
2020-08-01,38.5755
2020-08-02,38.5755
2020-08-03,39.541
2020-08-04,39.3341
2020-08-05,39.403
2020-08-06,39.5804
2020-08-07,41.2946
2020-08-08,41.2946
2020-08-09,41.2946
2020-08-10,41.1813
2020-08-11,40.4326
2020-08-12,40.5951
2020-08-13,40.472
2020-08-14,40.2355
2020-08-15,40.2355
2020-08-16,40.2355
2020-08-17,39.9301
2020-08-18,39.8021
2020-08-19,39.2799
2020-08-20,39.1567
2020-08-21,38.9351
2020-08-22,38.9351
2020-08-23,38.9351
2020-08-24,38.9301
2020-08-25,38.871
2020-08-26,38.5902
2020-08-27,39.2011
2020-08-28,38.9548
2020-08-29,38.9548
2020-08-30,38.9548
2020-08-31,38.61
2020-09-01,38.5952
2020-09-02,39.2405
2020-09-03,38.8021
2020-09-04,38.4967
2020-09-05,38.4967
2020-09-06,38.4967
2020-09-07,38.4967
2020-09-08,37.738
2020-09-09,38.5558
2020-09-10,38.073
2020-09-11,37.4967
2020-09-12,37.4967
2020-09-13,37.4967
2020-09-14,38.4228
2020-09-15,38.8021
2020-09-16,38.4572
2020-09-17,37.9548
2020-09-18,37.7676
2020-09-19,37.7676
2020-09-20,37.7676
2020-09-21,37.605
2020-09-22,37.3489
2020-09-23,36.3982
2020-09-24,36.8858
2020-09-25,37.3489
2020-09-26,37.3489
2020-09-27,37.3489
2020-09-28,37.743
2020-09-29,37.7972
2020-09-30,36.6616
2020-10-01,37.2669
2020-10-02,37.0762
2020-10-03,37.0762
2020-10-04,37.0762
2020-10-05,37.1525
2020-10-06,37.0381
2020-10-07,37.2335
2020-10-08,37.6958
2020-10-09,37.6767
2020-10-10,37.6767
2020-10-11,37.6767
2020-10-12,38.992
2020-10-13,38.2676
2020-10-14,37.853
2020-10-15,38.3915
2020-10-16,38.9158
2020-10-17,38.9158
2020-10-18,38.9158
2020-10-19,39.1302
2020-10-20,38.7204
2020-10-21,39.1779
2020-10-22,39.7402
2020-10-23,40.2596
2020-10-24,40.2596
2020-10-25,40.2596
2020-10-26,39.8021
2020-10-27,39.9118
2020-10-28,38.8872
2020-10-29,38.6489
2020-10-30,37.6181
2020-10-31,37.6181
2020-11-01,37.6181
2020-11-02,39.3341
2020-11-03,39.4104
2020-11-04,38.295
2020-11-05,39.2483
2020-11-06,38.9099
2020-11-07,38.9099
2020-11-08,38.9099
2020-11-09,39.7345
2020-11-10,42.056
2020-11-11,41.9654
