,BBY US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,12.1015
2020-01-02,12.0416
2020-01-03,12.0257
2020-01-04,12.0257
2020-01-05,12.0257
2020-01-06,12.115
2020-01-07,12.1761
2020-01-08,12.2055
2020-01-09,12.2935
2020-01-10,12.45
2020-01-11,12.45
2020-01-12,12.45
2020-01-13,12.5246
2020-01-14,12.428
2020-01-15,12.2385
2020-01-16,12.2421
2020-01-17,12.3632
2020-01-18,12.3632
2020-01-19,12.3632
2020-01-20,12.3632
2020-01-21,12.3999
2020-01-22,12.2813
2020-01-23,12.3485
2020-01-24,12.3021
2020-01-25,12.3021
2020-01-26,12.3021
2020-01-27,12.1015
2020-01-28,12.2348
2020-01-29,12.1407
2020-01-30,12.0159
2020-01-31,11.8247
2020-02-01,11.8247
2020-02-02,11.8247
2020-02-03,11.8981
2020-02-04,12.0823
2020-02-05,12.4443
2020-02-06,12.3335
2020-02-07,12.1248
2020-02-08,12.1248
2020-02-09,12.1248
2020-02-10,12.3412
2020-02-11,12.4945
2020-02-12,12.6285
2020-02-13,12.5602
2020-02-14,12.5357
2020-02-15,12.5357
2020-02-16,12.5357
2020-02-17,12.5357
2020-02-18,12.5293
2020-02-19,12.6298
2020-02-20,12.7573
2020-02-21,12.5422
2020-02-22,12.5422
2020-02-23,12.5422
2020-02-24,11.9291
2020-02-25,11.4641
2020-02-26,11.5014
2020-02-27,11.0029
2020-02-28,10.6603
2020-02-29,10.6603
2020-03-01,10.6603
2020-03-02,11.1704
2020-03-03,10.7762
2020-03-04,11.2734
2020-03-05,10.9462
2020-03-06,10.4246
2020-03-07,10.4246
2020-03-08,10.4246
2020-03-09,9.5293
2020-03-10,9.948
2020-03-11,9.3361
2020-03-12,8.0519
2020-03-13,8.781
2020-03-14,8.781
2020-03-15,8.781
2020-03-16,8.2966
2020-03-17,8.6856
2020-03-18,7.8716
2020-03-19,7.9682
2020-03-20,7.5689
2020-03-21,7.5689
2020-03-22,7.5689
2020-03-23,7.4452
2020-03-24,8.4882
2020-03-25,8.6621
2020-03-26,8.9589
2020-03-27,8.9064
2020-03-28,8.9064
2020-03-29,8.9064
2020-03-30,8.5585
2020-03-31,8.2067
2020-04-01,7.8102
2020-04-02,7.6644
2020-04-03,7.7565
2020-04-04,7.7565
2020-04-05,7.7565
2020-04-06,8.6097
2020-04-07,8.8143
2020-04-08,9.1597
2020-04-09,9.3567
2020-04-10,9.3567
2020-04-11,9.3567
2020-04-12,9.3567
2020-04-13,9.6572
2020-04-14,9.8504
2020-04-15,9.1993
2020-04-16,9.2275
2020-04-17,9.9394
2020-04-18,9.9394
2020-04-19,9.9394
2020-04-20,9.8612
2020-04-21,9.6061
2020-04-22,9.7574
2020-04-23,9.8369
2020-04-24,10.1291
2020-04-25,10.1291
2020-04-26,10.1291
2020-04-27,10.4739
2020-04-28,10.861
2020-04-29,11.1763
2020-04-30,10.7507
2020-05-01,10.4996
2020-05-02,10.4996
2020-05-03,10.4996
2020-05-04,10.7836
2020-05-05,10.8363
2020-05-06,10.7335
2020-05-07,11.0392
2020-05-08,11.3611
2020-05-09,11.3611
2020-05-10,11.3611
2020-05-11,11.2786
2020-05-12,11.1474
2020-05-13,10.8742
2020-05-14,11.1663
2020-05-15,11.3584
2020-05-16,11.3584
2020-05-17,11.3584
2020-05-18,12.5147
2020-05-19,12.017
2020-05-20,11.7546
2020-05-21,11.2732
2020-05-22,11.1298
2020-05-23,11.1298
2020-05-24,11.1298
2020-05-25,11.1298
2020-05-26,11.4747
2020-05-27,11.4554
2020-05-28,11.0959
2020-05-29,11.3211
2020-05-30,11.3211
2020-05-31,11.3211
2020-06-01,11.241
2020-06-02,11.6521
2020-06-03,11.8814
2020-06-04,11.5694
2020-06-05,11.9234
2020-06-06,11.9234
2020-06-07,11.9234
2020-06-08,12.0795
2020-06-09,11.8
2020-06-10,11.8108
2020-06-11,11.2071
2020-06-12,11.2763
2020-06-13,11.2763
2020-06-14,11.2763
2020-06-15,11.5816
2020-06-16,12.051
2020-06-17,12.0198
2020-06-18,11.8922
2020-06-19,11.743
2020-06-20,11.743
2020-06-21,11.743
2020-06-22,12.2287
2020-06-23,12.3725
2020-06-24,12.0985
2020-06-25,12.2192
2020-06-26,12.2314
2020-06-27,12.2314
2020-06-28,12.2314
2020-06-29,12.439
2020-06-30,12.5665
2020-07-01,12.5774
2020-07-02,12.5909
2020-07-03,12.5909
2020-07-04,12.5909
2020-07-05,12.5909
2020-07-06,12.6248
2020-07-07,12.3386
2020-07-08,12.5543
2020-07-09,12.2518
2020-07-10,12.245
2020-07-11,12.245
2020-07-12,12.245
2020-07-13,12.3399
2020-07-14,12.515
2020-07-15,12.7225
2020-07-16,12.713
2020-07-17,12.6601
2020-07-18,12.6601
2020-07-19,12.6601
2020-07-20,12.7171
2020-07-21,12.9749
2020-07-22,13.9354
2020-07-23,13.7617
2020-07-24,13.8852
2020-07-25,13.8852
2020-07-26,13.8852
2020-07-27,14.0114
2020-07-28,13.9123
2020-07-29,14.0358
2020-07-30,14.2976
2020-07-31,11.4002
2020-08-01,11.4002
2020-08-02,11.4002
2020-08-03,11.5557
2020-08-04,11.5103
2020-08-05,11.6778
2020-08-06,11.7783
2020-08-07,11.7962
2020-08-08,11.7962
2020-08-09,11.7962
2020-08-10,11.9541
2020-08-11,11.9422
2020-08-12,12.0451
2020-08-13,12.3944
2020-08-14,12.5846
2020-08-15,12.5846
2020-08-16,12.5846
2020-08-17,12.7402
2020-08-18,12.7079
2020-08-19,12.8802
2020-08-20,12.8491
2020-08-21,13.1242
2020-08-22,13.1242
2020-08-23,13.1242
2020-08-24,13.5274
2020-08-25,12.9615
2020-08-26,12.922
2020-08-27,12.7916
2020-08-28,12.7928
2020-08-29,12.7928
2020-08-30,12.7928
2020-08-31,12.7814
2020-09-01,13.0919
2020-09-02,13.1543
2020-09-03,12.5165
2020-09-04,12.2299
2020-09-05,12.2299
2020-09-06,12.2299
2020-09-07,12.2299
2020-09-08,12.1041
2020-09-09,12.5345
2020-09-10,12.3582
2020-09-11,12.3259
2020-09-12,12.3259
2020-09-13,12.3259
2020-09-14,12.3966
2020-09-15,12.4278
2020-09-16,12.3223
2020-09-17,12.1484
2020-09-18,12.1424
2020-09-19,12.1424
2020-09-20,12.1424
2020-09-21,12.1892
2020-09-22,12.3882
2020-09-23,12.2515
2020-09-24,12.0453
2020-09-25,12.1892
2020-09-26,12.1892
2020-09-27,12.1892
2020-09-28,12.4853
2020-09-29,12.6819
2020-09-30,12.827
2020-10-01,13.1626
2020-10-02,12.9624
2020-10-03,12.9624
2020-10-04,12.9624
2020-10-05,13.4
2020-10-06,12.966
2020-10-07,13.2106
2020-10-08,13.2622
2020-10-09,13.4624
2020-10-10,13.4624
2020-10-11,13.4624
2020-10-12,13.671
2020-10-13,13.6566
2020-10-14,13.6841
2020-10-15,13.9383
2020-10-16,13.7932
2020-10-17,13.7932
2020-10-18,13.7932
2020-10-19,13.9707
2020-10-20,13.9779
2020-10-21,13.7141
2020-10-22,13.5667
2020-10-23,13.6566
2020-10-24,13.6566
2020-10-25,13.6566
2020-10-26,13.195
2020-10-27,13.1015
2020-10-28,12.8054
2020-10-29,12.9457
2020-10-30,12.0085
2020-10-31,12.0085
2020-11-01,12.0085
2020-11-02,12.4727
2020-11-03,12.8178
2020-11-04,12.9336
2020-11-05,13.2898
2020-11-06,13.2898
2020-11-07,13.2898
2020-11-08,13.2898
2020-11-09,11.9473
2020-11-10,12.1287
2020-11-11,12.3436
2020-11-12,12.2812
2020-11-13,12.3146
2020-11-14,12.3146
2020-11-15,12.3146
2020-11-16,12.7989
2020-11-17,12.8401
2020-11-18,12.7009
2020-11-19,12.8189
2020-11-20,12.8534
2020-11-21,12.8534
2020-11-22,12.8534
2020-11-23,13.1763
2020-11-24,12.23
2020-11-25,12.2701
2020-11-26,12.2701
2020-11-27,12.1287
2020-11-28,12.1287
2020-11-29,12.1287
2020-11-30,11.7076
2020-12-01,11.7143
2020-12-02,11.5595
2020-12-03,11.4559
2020-12-04,11.3479
2020-12-05,11.3479
2020-12-06,11.3479
2020-12-07,11.0316
2020-12-08,11.0605
2020-12-09,11.2577
2020-12-10,11.065
2020-12-11,10.7943
2020-12-12,10.7943
2020-12-13,10.7943
2020-12-14,10.8701
2020-12-15,11.0605
2020-12-16,11.1173
2020-12-17,10.9881
2020-12-18,10.9447
2020-12-19,10.9447
2020-12-20,10.9447
2020-12-21,11.0951
2020-12-22,11.1875
2020-12-23,10.9881
