,LUV US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,9.4396
2020-01-02,9.59
2020-01-03,9.5043
2020-01-04,9.5043
2020-01-05,9.5043
2020-01-06,9.4658
2020-01-07,9.4938
2020-01-08,9.5078
2020-01-09,9.4956
2020-01-10,9.4326
2020-01-11,9.4326
2020-01-12,9.4326
2020-01-13,9.4414
2020-01-14,9.5288
2020-01-15,9.6232
2020-01-16,9.6704
2020-01-17,9.6197
2020-01-18,9.6197
2020-01-19,9.6197
2020-01-20,9.6197
2020-01-21,9.3627
2020-01-22,9.3522
2020-01-23,9.6879
2020-01-24,9.8889
2020-01-25,9.8889
2020-01-26,9.8889
2020-01-27,9.8365
2020-01-28,10.0725
2020-01-29,9.9483
2020-01-30,9.763
2020-01-31,9.6144
2020-02-01,9.6144
2020-02-02,9.6144
2020-02-03,9.6564
2020-02-04,9.5707
2020-02-05,9.7889
2020-02-06,9.9212
2020-02-07,9.8422
2020-02-08,9.8422
2020-02-09,9.8422
2020-02-10,9.8697
2020-02-11,9.9573
2020-02-12,10.0518
2020-02-13,10.0622
2020-02-14,9.9642
2020-02-15,9.9642
2020-02-16,9.9642
2020-02-17,9.9642
2020-02-18,9.9006
2020-02-19,9.8164
2020-02-20,9.7872
2020-02-21,9.7168
2020-02-22,9.7168
2020-02-23,9.7168
2020-02-24,9.3009
2020-02-25,8.5363
2020-02-26,8.4057
2020-02-27,8.0156
2020-02-28,7.94
2020-02-29,7.94
2020-03-01,7.94
2020-03-02,8.0706
2020-03-03,7.7716
2020-03-04,8.0672
2020-03-05,7.7785
2020-03-06,7.861
2020-03-07,7.861
2020-03-08,7.861
2020-03-09,7.4984
2020-03-10,7.8317
2020-03-11,7.3042
2020-03-12,6.201
2020-03-13,7.0963
2020-03-14,7.0963
2020-03-15,7.0963
2020-03-16,6.4502
2020-03-17,6.5756
2020-03-18,6.043
2020-03-19,5.3058
2020-03-20,5.4914
2020-03-21,5.4914
2020-03-22,5.4914
2020-03-23,5.799
2020-03-24,6.4743
2020-03-25,6.7732
2020-03-26,7.0877
2020-03-27,6.2543
2020-03-28,6.2543
2020-03-29,6.2543
2020-03-30,6.0344
2020-03-31,8.2088
2020-04-01,7.4202
2020-04-02,7.3009
2020-04-03,7.0889
2020-04-04,7.0889
2020-04-05,7.0889
2020-04-06,7.1242
2020-04-07,7.5815
2020-04-08,7.9194
2020-04-09,8.2659
2020-04-10,8.2659
2020-04-11,8.2659
2020-04-12,8.2659
2020-04-13,7.7858
2020-04-14,7.8988
2020-04-15,7.473
2020-04-16,7.0081
2020-04-17,7.1189
2020-04-18,7.1189
2020-04-19,7.1189
2020-04-20,7.0907
2020-04-21,6.8843
2020-04-22,6.7974
2020-04-23,6.8908
2020-04-24,6.7149
2020-04-25,6.7149
2020-04-26,6.7149
2020-04-27,6.6671
2020-04-28,6.7945
2020-04-29,7.0727
2020-04-30,8.2076
2020-05-01,7.6993
2020-05-02,7.6993
2020-05-03,7.6993
2020-05-04,7.279
2020-05-05,6.9921
2020-05-06,6.6172
2020-05-07,6.748
2020-05-08,7.1884
2020-05-09,7.1884
2020-05-10,7.1884
2020-05-11,6.9091
2020-05-12,6.6952
2020-05-13,6.3831
2020-05-14,6.5794
2020-05-15,6.3504
2020-05-16,6.3504
2020-05-17,6.3504
2020-05-18,7.1607
2020-05-19,7.3117
2020-05-20,7.6792
2020-05-21,7.7924
2020-05-22,7.6087
2020-05-23,7.6087
2020-05-24,7.6087
2020-05-25,7.6087
2020-05-26,8.5272
