,ED US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,19.0108
2020-01-02,18.8136
2020-01-03,18.7854
2020-01-04,18.7854
2020-01-05,18.7854
2020-01-06,18.7499
2020-01-07,18.6678
2020-01-08,18.5821
2020-01-09,18.571
2020-01-10,18.6458
2020-01-11,18.6458
2020-01-12,18.6458
2020-01-13,18.6825
2020-01-14,18.6813
2020-01-15,18.8259
2020-01-16,18.8516
2020-01-17,18.9827
2020-01-18,18.9827
2020-01-19,18.9827
2020-01-20,18.9827
2020-01-21,19.0549
2020-01-22,19.0954
2020-01-23,19.2926
2020-01-24,19.3955
2020-01-25,19.3955
2020-01-26,19.3955
2020-01-27,19.371
2020-01-28,19.4653
2020-01-29,19.4972
2020-01-30,19.5339
2020-01-31,19.4433
2020-02-01,19.4433
2020-02-02,19.4433
2020-02-03,19.4249
2020-02-04,19.2644
2020-02-05,19.3698
2020-02-06,19.3783
2020-02-07,19.2938
2020-02-08,19.2938
2020-02-09,19.2938
2020-02-10,19.3306
2020-02-11,19.3428
2020-02-12,19.3048
2020-02-13,19.3992
2020-02-14,19.48
2020-02-15,19.48
2020-02-16,19.48
2020-02-17,19.48
2020-02-18,19.4861
2020-02-19,19.4286
2020-02-20,19.5143
2020-02-21,19.02
2020-02-22,19.02
2020-02-23,19.02
2020-02-24,18.8613
2020-02-25,18.7826
2020-02-26,18.7137
2020-02-27,18.1602
2020-02-28,17.6227
2020-02-29,17.6227
2020-03-01,17.6227
2020-03-02,18.3251
2020-03-03,18.2402
2020-03-04,18.7531
2020-03-05,18.7002
2020-03-06,18.7396
2020-03-07,18.7396
2020-03-08,18.7396
2020-03-09,18.833
2020-03-10,18.9241
2020-03-11,18.5674
2020-03-12,18.234
2020-03-13,18.7605
2020-03-14,18.7605
2020-03-15,18.7605
2020-03-16,17.7125
2020-03-17,19.4751
2020-03-18,19.2685
2020-03-19,17.779
2020-03-20,16.8565
2020-03-21,16.8565
2020-03-22,16.8565
2020-03-23,15.966
2020-03-24,16.6006
2020-03-25,16.6523
2020-03-26,17.266
2020-03-27,17.5096
2020-03-28,17.5096
2020-03-29,17.5096
2020-03-30,17.8577
2020-03-31,17.6438
2020-04-01,17.5962
2020-04-02,17.7573
2020-04-03,17.6316
2020-04-04,17.6316
2020-04-05,17.6316
2020-04-06,18.0219
2020-04-07,17.8839
2020-04-08,18.3613
2020-04-09,18.863
2020-04-10,18.863
2020-04-11,18.863
2020-04-12,18.863
2020-04-13,18.4846
2020-04-14,19.0291
2020-04-15,18.7446
2020-04-16,18.9204
2020-04-17,19.0608
2020-04-18,19.0608
2020-04-19,19.0608
2020-04-20,18.5615
2020-04-21,18.3198
2020-04-22,18.3967
2020-04-23,18.111
2020-04-24,18.216
2020-04-25,18.216
2020-04-26,18.216
2020-04-27,18.2196
2020-04-28,18.2721
2020-04-29,18.05
2020-04-30,17.7472
2020-05-01,17.558
2020-05-02,17.558
2020-05-03,17.558
2020-05-04,17.5348
2020-05-05,17.5934
2020-05-06,17.2076
2020-05-07,17.1697
2020-05-08,17.1866
2020-05-09,17.1866
2020-05-10,17.1866
2020-05-11,16.9985
2020-05-12,16.8703
2020-05-13,16.8544
2020-05-14,16.8764
2020-05-15,16.7201
2020-05-16,16.7201
2020-05-17,16.7201
2020-05-18,17.0559
2020-05-19,16.7836
2020-05-20,16.7665
2020-05-21,16.6663
2020-05-22,16.6981
2020-05-23,16.6981
2020-05-24,16.6981
2020-05-25,16.6981
2020-05-26,16.8214
2020-05-27,16.8287
2020-05-28,17.0608
2020-05-29,17.2941
2020-05-30,17.2941
2020-05-31,17.2941
2020-06-01,17.2953
2020-06-02,17.2647
2020-06-03,17.3686
2020-06-04,17.266
2020-06-05,17.327
2020-06-06,17.327
2020-06-07,17.327
2020-06-08,17.6177
2020-06-09,17.4943
2020-06-10,17.5249
2020-06-11,17.2464
2020-06-12,17.3331
2020-06-13,17.3331
2020-06-14,17.3331
2020-06-15,17.36
2020-06-16,17.454
2020-06-17,17.3221
2020-06-18,17.2709
2020-06-19,16.852
2020-06-20,16.852
2020-06-21,16.852
2020-06-22,16.8495
2020-06-23,16.7909
2020-06-24,16.8629
2020-06-25,16.7518
2020-06-26,16.8324
2020-06-27,16.8324
2020-06-28,16.8324
2020-06-29,17.0058
2020-06-30,16.9499
2020-07-01,17.0917
2020-07-02,17.1778
2020-07-03,17.1778
2020-07-04,17.1778
2020-07-05,17.1778
2020-07-06,17.0917
2020-07-07,17.019
2020-07-08,17.0105
2020-07-09,16.9233
2020-07-10,17.0166
2020-07-11,17.0166
2020-07-12,17.0166
2020-07-13,16.9778
2020-07-14,16.979
2020-07-15,16.899
2020-07-16,16.939
2020-07-17,17.2093
2020-07-18,17.2093
2020-07-19,17.2093
2020-07-20,17.1111
2020-07-21,17.2347
2020-07-22,17.4141
2020-07-23,17.4735
2020-07-24,17.3923
2020-07-25,17.3923
2020-07-26,17.3923
2020-07-27,17.2929
2020-07-28,17.4868
2020-07-29,17.528
2020-07-30,17.5571
2020-07-31,17.5438
2020-08-01,17.5438
2020-08-02,17.5438
2020-08-03,17.4323
2020-08-04,17.4311
2020-08-05,17.1596
2020-08-06,17.1911
2020-08-07,17.3353
2020-08-08,17.3353
2020-08-09,17.3353
2020-08-10,17.3788
2020-08-11,17.1216
2020-08-12,17.2429
2020-08-13,17.1835
2020-08-14,17.1544
2020-08-15,17.1544
2020-08-16,17.1544
2020-08-17,17.2611
2020-08-18,17.1325
2020-08-19,17.1434
2020-08-20,17.0172
2020-08-21,16.993
2020-08-22,16.993
2020-08-23,16.993
2020-08-24,17.2502
2020-08-25,17.0913
2020-08-26,16.8207
2020-08-27,16.8559
2020-08-28,16.8377
2020-08-29,16.8377
2020-08-30,16.8377
2020-08-31,16.8886
2020-09-01,16.6836
2020-09-02,16.9966
2020-09-03,17.0172
2020-09-04,17.0949
2020-09-05,17.0949
2020-09-06,17.0949
2020-09-07,17.0949
2020-09-08,17.0658
2020-09-09,17.0791
2020-09-10,17.0621
2020-09-11,17.0585
2020-09-12,17.0585
2020-09-13,17.0585
2020-09-14,17.2381
2020-09-15,17.2684
2020-09-16,17.4152
2020-09-17,17.4456
2020-09-18,17.1968
2020-09-19,17.1968
