,PLAY US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,20.3879
2020-01-02,20.4908
2020-01-03,20.4504
2020-01-04,20.4504
2020-01-05,20.4504
2020-01-06,20.4303
2020-01-07,20.406
2020-01-08,20.5554
2020-01-09,20.5937
2020-01-10,20.5594
2020-01-11,20.5594
2020-01-12,20.5594
2020-01-13,20.6321
2020-01-14,20.626
2020-01-15,20.7916
2020-01-16,20.7653
2020-01-17,21.8412
2020-01-18,21.8412
2020-01-19,21.8412
2020-01-20,21.8412
2020-01-21,21.6575
2020-01-22,21.5263
2020-01-23,21.603
2020-01-24,21.6171
2020-01-25,21.6171
2020-01-26,21.6171
2020-01-27,21.5727
2020-01-28,21.4859
2020-01-29,21.5081
2020-01-30,21.2477
2020-01-31,21.885
2020-02-01,21.885
2020-02-02,21.885
2020-02-03,21.9573
2020-02-04,22.0853
2020-02-05,22.2195
2020-02-06,22.2732
2020-02-07,22.2443
2020-02-08,22.2443
2020-02-09,22.2443
2020-02-10,22.2886
2020-02-11,22.1947
2020-02-12,22.2484
2020-02-13,22.364
2020-02-14,22.4817
2020-02-15,22.4817
2020-02-16,22.4817
2020-02-17,22.4817
2020-02-18,22.3186
2020-02-19,22.3165
2020-02-20,22.3268
2020-02-21,22.3888
2020-02-22,22.3888
2020-02-23,22.3888
2020-02-24,21.98
2020-02-25,21.4886
2020-02-26,20.5101
2020-02-27,19.6079
2020-02-28,19.5831
2020-02-29,19.5831
2020-03-01,19.5831
2020-03-02,19.3106
2020-03-03,18.9844
2020-03-04,19.5336
2020-03-05,19.0814
2020-03-06,18.8234
2020-03-07,18.8234
2020-03-08,18.8234
2020-03-09,17.5723
2020-03-10,17.4546
2020-03-11,16.4636
2020-03-12,15.8649
2020-03-13,15.5078
2020-03-14,15.5078
2020-03-15,15.5078
2020-03-16,14.2546
2020-03-17,14.1163
2020-03-18,13.7736
2020-03-19,14.5437
2020-03-20,14.3702
2020-03-21,14.3702
2020-03-22,14.3702
2020-03-23,14.8244
2020-03-24,15.9991
2020-03-25,15.7421
2020-03-26,16.3418
2020-03-27,15.8236
2020-03-28,15.8236
2020-03-29,15.8236
2020-03-30,15.3261
2020-03-31,15.4685
2020-04-01,14.9772
2020-04-02,14.843
2020-04-03,14.8764
2020-04-04,14.8764
2020-04-05,14.8764
2020-04-06,15.1431
2020-04-07,15.2464
2020-04-08,15.4159
2020-04-09,15.8024
2020-04-10,15.8024
2020-04-11,15.8024
2020-04-12,15.8024
2020-04-13,15.6185
2020-04-14,15.295
2020-04-15,15.2568
2020-04-16,15.0955
2020-04-17,15.2268
2020-04-18,15.2268
2020-04-19,15.2268
2020-04-20,15.1575
2020-04-21,15.1596
2020-04-22,15.2485
2020-04-23,15.1679
2020-04-24,15.2485
2020-04-25,15.2485
2020-04-26,15.2485
2020-04-27,15.4242
2020-04-28,15.6412
2020-04-29,16.005
2020-04-30,15.7942
2020-05-01,80.2613
2020-05-02,80.2613
2020-05-03,80.2613
2020-05-04,78.0703
2020-05-05,77.8586
2020-05-06,77.594
2020-05-07,83.7917
2020-05-08,84.5935
2020-05-09,84.5935
2020-05-10,84.5935
2020-05-11,83.5591
2020-05-12,82.3645
2020-05-13,81.0014
2020-05-14,81.9635
2020-05-15,81.7871
2020-05-16,81.7871
2020-05-17,81.7871
2020-05-18,85.1118
2020-05-19,84.5383
2020-05-20,84.4563
2020-05-21,85.0463
2020-05-22,85.8738
2020-05-23,85.8738
2020-05-24,85.8738
2020-05-25,85.8738
2020-05-26,86.177
2020-05-27,90.0607
2020-05-28,88.4876
2020-05-29,87.7665
2020-05-30,87.7665
2020-05-31,87.7665
2020-06-01,88.7989
2020-06-02,87.9632
2020-06-03,92.2402
2020-06-04,98.0741
2020-06-05,97.1072
2020-06-06,97.1072
2020-06-07,97.1072
2020-06-08,100.5158
2020-06-09,97.7054
2020-06-10,94.518
2020-06-11,90.1605
2020-06-12,93.3934
2020-06-13,93.3934
2020-06-14,93.3934
2020-06-15,94.2139
2020-06-16,93.6149
2020-06-17,92.8026
2020-06-18,93.5903
2020-06-19,92.4251
2020-06-20,92.4251
2020-06-21,92.4251
2020-06-22,90.2261
2020-06-23,92.6385
2020-06-24,89.4302
2020-06-25,88.823
2020-06-26,86.3696
2020-06-27,86.3696
2020-06-28,86.3696
2020-06-29,87.7153
2020-06-30,88.0271
2020-07-01,87.8302
2020-07-02,87.0589
2020-07-03,87.0589
2020-07-04,87.0589
2020-07-05,87.0589
2020-07-06,87.3789
2020-07-07,86.0578
2020-07-08,86.5994
2020-07-09,85.4999
2020-07-10,85.9922
2020-07-11,85.9922
2020-07-12,85.9922
2020-07-13,85.5163
2020-07-14,85.1881
2020-07-15,88.6671
2020-07-16,87.4363
2020-07-17,87.9286
2020-07-18,87.9286
2020-07-19,87.9286
2020-07-20,86.8948
2020-07-21,87.3215
2020-07-22,87.4527
2020-07-23,87.5184
2020-07-24,88.0107
2020-07-25,88.0107
2020-07-26,88.0107
2020-07-27,86.304
2020-07-28,86.7635
2020-07-29,88.4374
2020-07-30,87.781
2020-07-31,87.781
2020-08-01,87.781
2020-08-02,87.781
2020-08-03,87.781
2020-08-04,87.781
2020-08-05,87.781
2020-08-06,87.781
2020-08-07,87.781
2020-08-08,87.781
2020-08-09,87.781
2020-08-10,87.781
2020-08-11,87.781
2020-08-12,87.781
2020-08-13,87.781
2020-08-14,87.781
2020-08-15,87.781
2020-08-16,87.781
2020-08-17,87.781
2020-08-18,87.781
2020-08-19,87.781
2020-08-20,87.781
2020-08-21,87.781
2020-08-22,87.781
2020-08-23,87.781
2020-08-24,87.781
2020-08-25,87.781
2020-08-26,87.781
2020-08-27,87.781
2020-08-28,87.781
2020-08-29,87.781
2020-08-30,87.781
2020-08-31,87.781
2020-09-01,87.781
2020-09-02,87.781
2020-09-03,87.781
2020-09-04,87.781
2020-09-05,87.781
2020-09-06,87.781
2020-09-07,87.781
2020-09-08,87.781
2020-09-09,87.781
2020-09-10,87.781
2020-09-11,87.781
2020-09-12,87.781
2020-09-13,87.781
2020-09-14,87.781
2020-09-15,87.781
2020-09-16,87.781
2020-09-17,87.781
2020-09-18,87.781
2020-09-19,87.781
2020-09-20,87.781
2020-09-21,87.781
2020-09-22,87.781
2020-09-23,87.781
2020-09-24,87.781
2020-09-25,87.781
2020-09-26,87.781
2020-09-27,87.781
2020-09-28,87.781
2020-09-29,87.781
2020-09-30,87.781
2020-10-01,87.781
2020-10-02,87.781
2020-10-03,87.781
2020-10-04,87.781
2020-10-05,87.781
2020-10-06,87.781
2020-10-07,87.781
2020-10-08,87.781
2020-10-09,87.781
2020-10-10,87.781
2020-10-11,87.781
2020-10-12,87.781
2020-10-13,87.781
2020-10-14,87.781
2020-10-15,87.781
2020-10-16,87.781
2020-10-17,87.781
2020-10-18,87.781
2020-10-19,87.781
2020-10-20,87.781
2020-10-21,87.781
2020-10-22,87.781
2020-10-23,87.781
2020-10-24,87.781
2020-10-25,87.781
2020-10-26,87.781
2020-10-27,87.781
2020-10-28,87.781
2020-10-29,87.781
2020-10-30,87.781
2020-10-31,87.781
2020-11-01,87.781
2020-11-02,87.781
2020-11-03,87.781
2020-11-04,87.781
2020-11-05,87.781
2020-11-06,87.781
2020-11-07,87.781
2020-11-08,87.781
2020-11-09,87.781
2020-11-10,87.781
2020-11-11,87.781
2020-11-12,87.781
2020-11-13,87.781
2020-11-14,87.781
2020-11-15,87.781
2020-11-16,87.781
2020-11-17,87.781
2020-11-18,87.781
2020-11-19,87.781
2020-11-20,87.781
2020-11-21,87.781
2020-11-22,87.781
2020-11-23,87.781
2020-11-24,87.781
2020-11-25,87.781
2020-11-26,87.781
2020-11-27,87.781
2020-11-28,87.781
2020-11-29,87.781
2020-11-30,87.781
2020-12-01,87.781
2020-12-02,87.781
2020-12-03,87.781
2020-12-04,87.781
2020-12-05,87.781
2020-12-06,87.781
2020-12-07,87.781
2020-12-08,87.781
2020-12-09,87.781
2020-12-10,87.781
2020-12-11,87.781
2020-12-12,87.781
2020-12-13,87.781
2020-12-14,87.781
2020-12-15,87.781
2020-12-16,87.781
2020-12-17,87.781
2020-12-18,87.781
2020-12-19,87.781
2020-12-20,87.781
2020-12-21,87.781
2020-12-22,87.781
2020-12-23,87.781
2020-12-24,87.781
2020-12-25,87.781
2020-12-26,87.781
2020-12-27,87.781
2020-12-28,87.781
2020-12-29,87.781
2020-12-30,87.781
2020-12-31,87.781
2021-01-01,87.781
2021-01-02,87.781
2021-01-03,87.781
2021-01-04,87.781
2021-01-05,87.781
2021-01-06,87.781
2021-01-07,87.781
2021-01-08,87.781
2021-01-09,87.781
2021-01-10,87.781
2021-01-11,87.781
2021-01-12,87.781
2021-01-13,87.781
2021-01-14,87.781
2021-01-15,87.781
2021-01-16,87.781
2021-01-17,87.781
