,TILE US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,11.6088
2020-01-02,11.5684
2020-01-03,11.5322
2020-01-04,11.5322
2020-01-05,11.5322
2020-01-06,11.5875
2020-01-07,11.5705
2020-01-08,11.5322
2020-01-09,11.3877
2020-01-10,11.4365
2020-01-11,11.4365
2020-01-12,11.4365
2020-01-13,11.4599
2020-01-14,11.4982
2020-01-15,11.6045
2020-01-16,11.8511
2020-01-17,11.9447
2020-01-18,11.9447
2020-01-19,11.9447
2020-01-20,11.9447
2020-01-21,11.3791
2020-01-22,11.5832
2020-01-23,11.6385
2020-01-24,11.5195
2020-01-25,11.5195
2020-01-26,11.5195
2020-01-27,11.4897
2020-01-28,11.596
2020-01-29,11.5492
2020-01-30,11.545
2020-01-31,11.3919
2020-02-01,11.3919
2020-02-02,11.3919
2020-02-03,11.3898
2020-02-04,11.5195
2020-02-05,11.6343
2020-02-06,11.6555
2020-02-07,11.3962
2020-02-08,11.3962
2020-02-09,11.3962
2020-02-10,11.4472
2020-02-11,11.5917
2020-02-12,11.5662
2020-02-13,11.5195
2020-02-14,11.528
2020-02-15,11.528
2020-02-16,11.528
2020-02-17,11.528
2020-02-18,11.4004
2020-02-19,11.4684
2020-02-20,11.596
2020-02-21,11.613
2020-02-22,11.613
2020-02-23,11.613
2020-02-24,11.4004
2020-02-25,11.2303
2020-02-26,11.4259
2020-02-27,11.0724
2020-02-28,10.7457
2020-02-29,10.7457
2020-03-01,10.7457
2020-03-02,10.7541
2020-03-03,10.6056
2020-03-04,10.7626
2020-03-05,10.4274
2020-03-06,10.6269
2020-03-07,10.6269
2020-03-08,10.6269
2020-03-09,10.0752
2020-03-10,10.1601
2020-03-11,9.7273
2020-03-12,8.3864
2020-03-13,8.6877
2020-03-14,8.6877
2020-03-15,8.6877
2020-03-16,7.8263
2020-03-17,8.1828
2020-03-18,6.9268
2020-03-19,7.1262
2020-03-20,7.1347
2020-03-21,7.1347
2020-03-22,7.1347
2020-03-23,7.2153
2020-03-24,7.5208
2020-03-25,7.4954
2020-03-26,7.5251
2020-03-27,7.5717
2020-03-28,7.5717
2020-03-29,7.5717
2020-03-30,7.7712
2020-03-31,7.7627
2020-04-01,7.6566
2020-04-02,7.5887
2020-04-03,38.4293
2020-04-04,38.4293
2020-04-05,38.4293
2020-04-06,40.1312
2020-04-07,41.3438
2020-04-08,42.8118
2020-04-09,44.769
2020-04-10,44.769
2020-04-11,44.769
2020-04-12,44.769
2020-04-13,43.6211
2020-04-14,43.8775
2020-04-15,42.1253
2020-04-16,41.5484
2020-04-17,42.8946
2020-04-18,42.8946
2020-04-19,42.8946
2020-04-20,42.0612
2020-04-21,41.5697
2020-04-22,40.8432
2020-04-23,41.6125
2020-04-24,41.4842
2020-04-25,41.4842
2020-04-26,41.4842
2020-04-27,42.6168
2020-04-28,43.4501
2020-04-29,45.3306
2020-04-30,43.8348
2020-05-01,43.3647
2020-05-02,43.3647
2020-05-03,43.3647
2020-05-04,43.1937
2020-05-05,42.7877
2020-05-06,42.168
2020-05-07,42.4245
2020-05-08,43.3647
2020-05-09,43.3647
2020-05-10,43.3647
2020-05-11,42.4245
2020-05-12,40.9928
2020-05-13,40.3509
2020-05-14,39.8921
2020-05-15,40.0842
2020-05-16,40.0842
2020-05-17,40.0842
2020-05-18,42.3141
2020-05-19,41.93
2020-05-20,41.5886
2020-05-21,41.6099
2020-05-22,41.5886
2020-05-23,41.5886
2020-05-24,41.5886
2020-05-25,41.5886
2020-05-26,43.2957
2020-05-27,44.9815
2020-05-28,43.5731
2020-05-29,42.2074
2020-05-30,42.2074
2020-05-31,42.2074
2020-06-01,42.1861
2020-06-02,42.4208
2020-06-03,44.3627
2020-06-04,44.2453
2020-06-05,46.5606
2020-06-06,46.5606
2020-06-07,46.5606
2020-06-08,46.71
2020-06-09,45.7284
2020-06-10,43.5091
2020-06-11,41.7806
2020-06-12,41.93
2020-06-13,41.93
2020-06-14,41.93
2020-06-15,42.2288
2020-06-16,42.3354
2020-06-17,41.4179
2020-06-18,41.2685
2020-06-19,41.1084
2020-06-20,41.1084
2020-06-21,41.1084
2020-06-22,40.5216
2020-06-23,41.0764
2020-06-24,40.1802
2020-06-25,40.2869
2020-06-26,39.54
2020-06-27,39.54
2020-06-28,39.54
2020-06-29,41.3538
2020-06-30,41.4605
2020-07-01,40.0735
2020-07-02,40.0735
2020-07-03,40.0735
2020-07-04,40.0735
2020-07-05,40.0735
2020-07-06,40.0735
2020-07-07,40.0735
2020-07-08,40.0735
2020-07-09,40.0735
2020-07-10,40.0735
2020-07-11,40.0735
2020-07-12,40.0735
2020-07-13,40.0735
2020-07-14,40.0735
2020-07-15,40.0735
2020-07-16,40.0735
2020-07-17,40.0735
2020-07-18,40.0735
2020-07-19,40.0735
2020-07-20,40.0735
2020-07-21,40.0735
2020-07-22,40.0735
2020-07-23,40.0735
2020-07-24,40.0735
2020-07-25,40.0735
