,LRCX US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,17.5568
2020-01-02,17.8873
2020-01-03,17.6946
2020-01-04,17.6946
2020-01-05,17.6946
2020-01-06,17.3635
2020-01-07,17.788
2020-01-08,18.0126
2020-01-09,17.8897
2020-01-10,17.6736
2020-01-11,17.6736
2020-01-12,17.6736
2020-01-13,17.8512
2020-01-14,18.0601
2020-01-15,17.9144
2020-01-16,18.3727
2020-01-17,18.4961
2020-01-18,18.4961
2020-01-19,18.4961
2020-01-20,18.4961
2020-01-21,18.537
2020-01-22,18.6972
2020-01-23,18.7622
2020-01-24,18.4082
2020-01-25,18.4082
2020-01-26,18.4082
2020-01-27,17.6404
2020-01-28,18.1161
2020-01-29,17.9072
2020-01-30,18.336
2020-01-31,17.5827
2020-02-01,17.5827
2020-02-02,17.5827
2020-02-03,18.1876
2020-02-04,19.6072
2020-02-05,19.6205
2020-02-06,19.4937
2020-02-07,19.0031
2020-02-08,19.0031
2020-02-09,19.0031
2020-02-10,19.2708
2020-02-11,19.6235
2020-02-12,20.1642
2020-02-13,20.5847
2020-02-14,20.4469
2020-02-15,20.4469
2020-02-16,20.4469
2020-02-17,20.4469
2020-02-18,19.6036
2020-02-19,20.1177
2020-02-20,19.7939
2020-02-21,19.0877
2020-02-22,19.0877
2020-02-23,19.0877
2020-02-24,18.1006
2020-02-25,17.6029
2020-02-26,17.8675
2020-02-27,17.209
2020-02-28,17.676
2020-02-29,17.676
2020-03-01,17.676
2020-03-02,18.0928
2020-03-03,17.557
2020-03-04,18.4498
2020-03-05,18.0203
2020-03-06,17.7352
2020-03-07,17.7352
2020-03-08,17.7352
2020-03-09,16.1156
2020-03-10,17.322
2020-03-11,16.6611
2020-03-12,14.3184
2020-03-13,15.764
2020-03-14,15.764
2020-03-15,15.764
2020-03-16,12.8499
2020-03-17,13.8019
2020-03-18,11.6779
2020-03-19,11.7305
2020-03-20,11.3004
2020-03-21,11.3004
2020-03-22,11.3004
2020-03-23,11.6
2020-03-24,13.8829
2020-03-25,14.0587
2020-03-26,15.677
2020-03-27,13.7803
2020-03-28,13.7803
2020-03-29,13.7803
2020-03-30,14.5877
2020-03-31,13.7103
2020-04-01,12.7544
2020-04-02,12.5961
2020-04-03,12.4573
2020-04-04,12.4573
2020-04-05,12.4573
2020-04-06,14.3267
2020-04-07,14.6404
2020-04-08,15.2442
2020-04-09,14.7585
2020-04-10,14.7585
2020-04-11,14.7585
2020-04-12,14.7585
2020-04-13,14.7872
2020-04-14,15.5745
2020-04-15,15.0183
2020-04-16,15.4713
2020-04-17,15.9479
2020-04-18,15.9479
2020-04-19,15.9479
2020-04-20,15.2431
2020-04-21,13.9185
2020-04-22,15.4907
2020-04-23,15.0434
2020-04-24,15.1984
2020-04-25,15.1984
2020-04-26,15.1984
2020-04-27,15.0692
2020-04-28,14.9234
2020-04-29,15.9609
2020-04-30,14.5477
2020-05-01,13.389
2020-05-02,13.389
2020-05-03,13.389
2020-05-04,13.3604
2020-05-05,13.8345
2020-05-06,13.9346
2020-05-07,14.1102
