,QCOM US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,13.2431
2020-01-02,13.3089
2020-01-03,13.0701
2020-01-04,13.0701
2020-01-05,13.0701
2020-01-06,12.9972
2020-01-07,13.3489
2020-01-08,13.3117
2020-01-09,13.4833
2020-01-10,13.5333
2020-01-11,13.5333
2020-01-12,13.5333
2020-01-13,13.6348
2020-01-14,13.5762
2020-01-15,13.449
2020-01-16,13.752
2020-01-17,14.3409
2020-01-18,14.3409
2020-01-19,14.3409
2020-01-20,14.3409
2020-01-21,14.1451
2020-01-22,13.9207
2020-01-23,13.7876
2020-01-24,13.4515
2020-01-25,13.4515
2020-01-26,13.4515
2020-01-27,13.0797
2020-01-28,13.38
2020-01-29,13.2484
2020-01-30,13.1841
2020-01-31,12.8309
2020-02-01,12.8309
2020-02-02,12.8309
2020-02-03,12.9982
2020-02-04,13.3485
2020-02-05,13.6398
2020-02-06,13.5969
2020-02-07,13.1404
2020-02-08,13.1404
2020-02-09,13.1404
2020-02-10,13.3093
2020-02-11,13.5096
2020-02-12,13.7557
2020-02-13,13.5139
2020-02-14,13.4524
2020-02-15,13.4524
2020-02-16,13.4524
2020-02-17,13.4524
2020-02-18,13.2277
2020-02-19,13.5898
2020-02-20,13.4338
2020-02-21,13.0846
2020-02-22,13.0846
2020-02-23,13.0846
2020-02-24,12.5537
2020-02-25,12.1102
2020-02-26,12.03
2020-02-27,11.4977
2020-02-28,11.8354
2020-02-29,11.8354
2020-03-01,11.8354
2020-03-02,12.1588
2020-03-03,11.8726
2020-03-04,12.3362
2020-03-05,11.9599
2020-03-06,11.7166
2020-03-07,11.7166
2020-03-08,11.7166
2020-03-09,11.0255
2020-03-10,11.9198
2020-03-11,11.3088
2020-03-12,10.2213
2020-03-13,11.4791
2020-03-14,11.4791
2020-03-15,11.4791
2020-03-16,9.8578
2020-03-17,10.4846
2020-03-18,9.3871
2020-03-19,9.9322
2020-03-20,9.347
2020-03-21,9.347
2020-03-22,9.347
2020-03-23,9.5788
2020-03-24,9.9981
2020-03-25,9.6575
2020-03-26,10.5018
2020-03-27,10.2797
2020-03-28,10.2797
2020-03-29,10.2797
2020-03-30,10.6266
2020-03-31,10.4304
2020-04-01,10.1816
2020-04-02,10.483
2020-04-03,10.0863
2020-04-04,10.0863
2020-04-05,10.0863
2020-04-06,10.8996
2020-04-07,11.1527
2020-04-08,11.238
2020-04-09,10.9892
2020-04-10,10.9892
2020-04-11,10.9892
2020-04-12,10.9892
2020-04-13,11.2337
2020-04-14,11.838
2020-04-15,11.6162
2020-04-16,11.7385
2020-04-17,11.6418
2020-04-18,11.6418
2020-04-19,11.6418
2020-04-20,11.3773
2020-04-21,11.0261
2020-04-22,11.43
2020-04-23,11.3063
2020-04-24,11.6233
2020-04-25,11.6233
2020-04-26,11.6233
2020-04-27,11.6148
2020-04-28,11.5167
2020-04-29,11.862
2020-04-30,11.82
2020-05-01,11.396
2020-05-02,11.396
2020-05-03,11.396
2020-05-04,11.4016
2020-05-05,11.6745
2020-05-06,11.848
2020-05-07,11.8424
2020-05-08,12.0845
2020-05-09,12.0845
2020-05-10,12.0845
2020-05-11,12.0733
2020-05-12,11.785
2020-05-13,11.7263
2020-05-14,11.9879
2020-05-15,11.4142
2020-05-16,11.4142
2020-05-17,11.4142
2020-05-18,11.9977
2020-05-19,11.7389
2020-05-20,12.0943
2020-05-21,11.7263
2020-05-22,11.8242
2020-05-23,11.8242
2020-05-24,11.8242
2020-05-25,11.8242
