,ALK US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,9.4365
2020-01-02,9.4852
2020-01-03,9.3403
2020-01-04,9.3403
2020-01-05,9.3403
2020-01-06,9.3032
2020-01-07,9.2546
2020-01-08,9.2917
2020-01-09,9.2766
2020-01-10,9.221
2020-01-11,9.221
2020-01-12,9.221
2020-01-13,9.2187
2020-01-14,9.2546
2020-01-15,9.3021
2020-01-16,9.2963
2020-01-17,9.3056
2020-01-18,9.3056
2020-01-19,9.3056
2020-01-20,9.3056
2020-01-21,9.1167
2020-01-22,9.1862
2020-01-23,9.3705
2020-01-24,9.3172
2020-01-25,9.3172
2020-01-26,9.3172
2020-01-27,9.1572
2020-01-28,9.1804
2020-01-29,9.3368
2020-01-30,9.2349
2020-01-31,9.0703
2020-02-01,9.0703
2020-02-02,9.0703
2020-02-03,9.0773
2020-02-04,9.2071
2020-02-05,9.272
2020-02-06,9.0043
2020-02-07,8.9973
2020-02-08,8.9973
2020-02-09,8.9973
2020-02-10,9.0518
2020-02-11,9.0657
2020-02-12,9.1644
2020-02-13,9.2754
2020-02-14,9.2303
2020-02-15,9.2303
2020-02-16,9.2303
2020-02-17,9.2303
2020-02-18,9.1586
2020-02-19,9.1216
2020-02-20,9.1436
2020-02-21,9.1516
2020-02-22,9.1516
2020-02-23,9.1516
2020-02-24,8.8718
2020-02-25,8.3862
2020-02-26,8.2197
2020-02-27,7.7098
2020-02-28,7.4207
2020-02-29,7.4207
2020-03-01,7.4207
2020-03-02,7.371
2020-03-03,7.0634
2020-03-04,7.3317
2020-03-05,6.6113
2020-03-06,6.8136
2020-03-07,6.8136
2020-03-08,6.8136
2020-03-09,6.5739
2020-03-10,6.9885
2020-03-11,6.8638
2020-03-12,5.6373
2020-03-13,5.9687
2020-03-14,5.9687
2020-03-15,5.9687
2020-03-16,5.3428
2020-03-17,5.3428
2020-03-18,4.4882
2020-03-19,4.3785
2020-03-20,4.3069
2020-03-21,4.3069
2020-03-22,4.3069
2020-03-23,4.3612
2020-03-24,4.9248
2020-03-25,5.0322
2020-03-26,5.3382
2020-03-27,5.0356
2020-03-28,5.0356
2020-03-29,5.0356
2020-03-30,4.8578
2020-03-31,7.3473
2020-04-01,6.9848
2020-04-02,6.6959
2020-04-03,6.701
2020-04-04,6.701
2020-04-05,6.701
2020-04-06,7.0395
2020-04-07,7.443
2020-04-08,7.4618
2020-04-09,7.8841
2020-04-10,7.8841
2020-04-11,7.8841
2020-04-12,7.8841
2020-04-13,7.5251
2020-04-14,7.7884
2020-04-15,7.6225
2020-04-16,7.3114
2020-04-17,7.5969
2020-04-18,7.5969
2020-04-19,7.5969
2020-04-20,7.4772
2020-04-21,7.3165
2020-04-22,7.1865
2020-04-23,7.3011
2020-04-24,7.2686
2020-04-25,7.2686
2020-04-26,7.2686
2020-04-27,7.2413
2020-04-28,7.879
2020-04-29,8.2927
2020-04-30,8.0397
2020-05-01,7.6276
2020-05-02,7.6276
2020-05-03,7.6276
2020-05-04,7.3985
2020-05-05,7.4327
2020-05-06,7.2378
2020-05-07,7.3096
2020-05-08,7.6088
2020-05-09,7.6088
2020-05-10,7.6088
2020-05-11,7.3285
2020-05-12,7.0703
2020-05-13,6.8429
2020-05-14,6.9489
2020-05-15,6.8617
2020-05-16,6.8617
2020-05-17,6.8617
2020-05-18,7.4465
2020-05-19,7.3798
2020-05-20,7.6533
2020-05-21,7.9235
2020-05-22,7.7833
2020-05-23,7.7833
2020-05-24,7.7833
2020-05-25,7.7833
2020-05-26,8.4689
2020-05-27,8.5902
2020-05-28,8.3714
2020-05-29,8.3252
2020-05-30,8.3252
2020-05-31,8.3252
2020-06-01,8.6535
2020-06-02,8.6689
2020-06-03,9.1989
2020-06-04,9.7152
2020-06-05,9.7836
2020-06-06,9.7836
2020-06-07,9.7836
2020-06-08,11.0693
2020-06-09,10.3615
2020-06-10,9.5716
2020-06-11,8.5646
2020-06-12,9.057
2020-06-13,9.057
2020-06-14,9.057
2020-06-15,8.9373
2020-06-16,9.0125
2020-06-17,8.8758
2020-06-18,8.8826
2020-06-19,8.6843
2020-06-20,8.6843
2020-06-21,8.6843
2020-06-22,8.715
2020-06-23,8.7766
2020-06-24,8.3594
2020-06-25,8.5458
2020-06-26,8.344
2020-06-27,8.344
2020-06-28,8.344
2020-06-29,8.7903
2020-06-30,91.1838
2020-07-01,90.1277
2020-07-02,91.6175
2020-07-03,91.6175
