,TALO US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,11.1611
2020-01-02,11.1255
2020-01-03,11.2679
2020-01-04,11.2679
2020-01-05,11.2679
2020-01-06,11.3595
2020-01-07,11.4561
2020-01-08,10.9119
2020-01-09,10.9119
2020-01-10,10.7415
2020-01-11,10.7415
2020-01-12,10.7415
2020-01-13,10.6702
2020-01-14,10.6499
2020-01-15,10.6855
2020-01-16,10.7694
2020-01-17,10.7847
2020-01-18,10.7847
2020-01-19,10.7847
2020-01-20,10.7847
2020-01-21,10.3498
2020-01-22,10.1565
2020-01-23,10.2303
2020-01-24,10.1183
2020-01-25,10.1183
2020-01-26,10.1183
2020-01-27,9.6427
2020-01-28,9.8538
2020-01-29,9.7114
2020-01-30,9.6707
2020-01-31,9.073
2020-02-01,9.073
2020-02-02,9.073
2020-02-03,8.4575
2020-02-04,8.3889
2020-02-05,8.6076
2020-02-06,8.3456
2020-02-07,8.2337
2020-02-08,8.2337
2020-02-09,8.2337
2020-02-10,8.015
2020-02-11,8.0481
2020-02-12,8.1956
2020-02-13,8.2744
2020-02-14,8.1727
2020-02-15,8.1727
2020-02-16,8.1727
2020-02-17,8.1727
2020-02-18,8.1244
2020-02-19,8.2617
2020-02-20,8.1676
2020-02-21,8.0404
2020-02-22,8.0404
2020-02-23,8.0404
2020-02-24,7.7073
2020-02-25,7.5954
2020-02-26,7.3665
2020-02-27,7.0104
2020-02-28,7.1045
2020-02-29,7.1045
2020-03-01,7.1045
2020-03-02,7.1732
2020-03-03,7.0994
2020-03-04,7.7427
2020-03-05,7.4336
2020-03-06,7.1675
2020-03-07,7.1675
2020-03-08,7.1675
2020-03-09,6.0324
2020-03-10,6.1303
2020-03-11,5.7356
2020-03-12,5.4592
2020-03-13,5.2227
2020-03-14,5.2227
2020-03-15,5.2227
2020-03-16,4.9658
2020-03-17,5.3371
2020-03-18,5.2837
2020-03-19,5.6271
2020-03-20,5.4542
2020-03-21,5.4542
2020-03-22,5.4542
2020-03-23,5.0904
2020-03-24,5.0879
2020-03-25,5.3219
2020-03-26,5.3677
2020-03-27,5.1184
2020-03-28,5.1184
2020-03-29,5.1184
2020-03-30,4.9429
2020-03-31,7.0028
2020-04-01,6.8236
2020-04-02,7.0711
2020-04-03,7.0711
2020-04-04,7.0711
2020-04-05,7.0711
2020-04-06,7.0739
2020-04-07,7.165
2020-04-08,7.3321
2020-04-09,7.3007
2020-04-10,7.3007
2020-04-11,7.3007
2020-04-12,7.3007
2020-04-13,7.3492
2020-04-14,7.5518
2020-04-15,7.509
2020-04-16,7.161
2020-04-17,7.3264
2020-04-18,7.3264
2020-04-19,7.3264
2020-04-20,7.4006
2020-04-21,7.3179
2020-04-22,7.5232
2020-04-23,7.7486
2020-04-24,7.9568
2020-04-25,7.9568
2020-04-26,7.9568
2020-04-27,7.9026
2020-04-28,7.9825
2020-04-29,8.5672
2020-04-30,8.6157
2020-05-01,8.2763
2020-05-02,8.2763
2020-05-03,8.2763
2020-05-04,8.553
2020-05-05,8.5159
2020-05-06,8.4103
2020-05-07,9.2836
2020-05-08,9.4997
2020-05-09,9.4997
2020-05-10,9.4997
2020-05-11,9.3111
2020-05-12,9.462
2020-05-13,9.119
2020-05-14,8.8412
2020-05-15,8.9612
2020-05-16,8.9612
2020-05-17,8.9612
2020-05-18,9.5649
2020-05-19,9.4346
2020-05-20,9.6884
2020-05-21,9.6129
2020-05-22,9.6198
2020-05-23,9.6198
2020-05-24,9.6198
2020-05-25,9.6198
2020-05-26,9.5786
2020-05-27,9.7158
2020-05-28,9.5066
2020-05-29,9.534
2020-05-30,9.534
2020-05-31,9.534
2020-06-01,9.7432
2020-06-02,9.8187
2020-06-03,9.901
2020-06-04,10.2131
2020-06-05,10.6316
2020-06-06,10.6316
2020-06-07,10.6316
2020-06-08,10.7242
2020-06-09,10.5973
2020-06-10,10.2406
2020-06-11,9.414
2020-06-12,9.7707
2020-06-13,9.7707
2020-06-14,9.7707
2020-06-15,10.0759
2020-06-16,10.1171
2020-06-17,9.4517
2020-06-18,9.4106
2020-06-19,9.119
2020-06-20,9.119
2020-06-21,9.119
2020-06-22,8.8343
2020-06-23,8.7932
2020-06-24,8.5051
2020-06-25,8.5428
2020-06-26,8.3953
2020-06-27,8.3953
2020-06-28,8.3953
2020-06-29,8.4399
2020-06-30,1524.5375
2020-07-01,1494.9509
2020-07-02,1512.577
2020-07-03,1512.577
2020-07-04,1512.577
2020-07-05,1512.577
2020-07-06,1503.7639
2020-07-07,1467.8823
2020-07-08,1476.6954
2020-07-09,1447.1088
2020-07-10,1442.7023
2020-07-11,1442.7023
2020-07-12,1442.7023
2020-07-13,1420.6697
2020-07-14,1439.5548
2020-07-15,1482.3609
2020-07-16,1477.3249
2020-07-17,1455.9218
2020-07-18,1455.9218
2020-07-19,1455.9218
2020-07-20,1450.2563
2020-07-21,1487.3969
2020-07-22,1467.2528
2020-07-23,1447.7383
2020-07-24,1430.1122
2020-07-25,1430.1122
2020-07-26,1430.1122
2020-07-27,1391.0831
2020-07-28,1386.6766
2020-07-29,1392.3421
2020-07-30,1384.7881
2020-07-31,1374.0866
2020-08-01,1374.0866
2020-08-02,1374.0866
2020-08-03,1384.1586
2020-08-04,1418.7812
2020-08-05,1429.4827
2020-08-06,1419.2977
2020-08-07,1435.7755
2020-08-08,1435.7755
2020-08-09,1435.7755
2020-08-10,1476.6405
2020-08-11,1474.6632
2020-08-12,1488.5045
2020-08-13,1502.3459
2020-08-14,1520.1419
2020-08-15,1520.1419
2020-08-16,1520.1419
2020-08-17,1499.0503
2020-08-18,1479.9361
2020-08-19,1470.7085
2020-08-20,1452.9124
2020-08-21,1427.8662
2020-08-22,1427.8662
2020-08-23,1427.8662
2020-08-24,1439.0711
2020-08-25,1449.6169
2020-08-26,1432.48
2020-08-27,1435.1164
2020-08-28,1448.9578
2020-08-29,1448.9578
2020-08-30,1448.9578
2020-08-31,1440.3893
2020-09-01,1413.3657
2020-09-02,1399.5244
2020-09-03,1399.5244
2020-09-04,1398.8652
2020-09-05,1398.8652
2020-09-06,1398.8652
