,SUPN US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,4.5622
2020-01-02,4.5587
2020-01-03,4.5202
2020-01-04,4.5202
2020-01-05,4.5202
2020-01-06,4.5447
2020-01-07,4.4362
2020-01-08,4.5587
2020-01-09,4.5359
2020-01-10,4.7476
2020-01-11,4.7476
2020-01-12,4.7476
2020-01-13,4.5237
2020-01-14,4.5849
2020-01-15,4.8631
2020-01-16,4.8421
2020-01-17,4.8141
2020-01-18,4.8141
2020-01-19,4.8141
2020-01-20,4.8141
2020-01-21,4.9016
2020-01-22,4.7896
2020-01-23,4.7337
2020-01-24,4.5097
2020-01-25,4.5097
2020-01-26,4.5097
2020-01-27,4.4677
2020-01-28,4.5849
2020-01-29,4.5937
2020-01-30,4.4642
2020-01-31,4.2648
2020-02-01,4.2648
2020-02-02,4.2648
2020-02-03,4.3103
2020-02-04,4.4642
2020-02-05,4.6147
2020-02-06,4.6497
2020-02-07,4.6357
2020-02-08,4.6357
2020-02-09,4.6357
2020-02-10,4.5972
2020-02-11,4.4677
2020-02-12,4.5342
2020-02-13,4.6392
2020-02-14,4.6602
2020-02-15,4.6602
2020-02-16,4.6602
2020-02-17,4.6602
2020-02-18,4.5062
2020-02-19,4.7861
2020-02-20,4.6357
2020-02-21,4.6567
2020-02-22,4.6567
2020-02-23,4.6567
2020-02-24,4.6427
2020-02-25,4.2893
2020-02-26,3.0925
2020-02-27,2.5607
2020-02-28,2.5657
2020-02-29,2.5657
2020-03-01,2.5657
2020-03-02,2.8145
2020-03-03,2.6498
2020-03-04,2.9301
2020-03-05,2.6498
2020-03-06,2.3555
2020-03-07,2.3555
2020-03-08,2.3555
2020-03-09,1.8474
2020-03-10,1.9876
2020-03-11,1.921
2020-03-12,1.8719
2020-03-13,1.9946
2020-03-14,1.9946
2020-03-15,1.9946
2020-03-16,1.532
2020-03-17,1.3814
2020-03-18,1.3253
2020-03-19,2.0927
2020-03-20,1.7738
2020-03-21,1.7738
2020-03-22,1.7738
2020-03-23,2.0471
2020-03-24,2.2223
2020-03-25,2.0927
2020-03-26,1.963
2020-03-27,1.8929
2020-03-28,1.8929
2020-03-29,1.8929
2020-03-30,2.2749
2020-03-31,2.5596
2020-04-01,2.3201
2020-04-02,2.2517
2020-04-03,2.3304
2020-04-04,2.3304
2020-04-05,2.3304
2020-04-06,2.6657
2020-04-07,2.5733
2020-04-08,2.7581
2020-04-09,2.8402
2020-04-10,2.8402
2020-04-11,2.8402
2020-04-12,2.8402
2020-04-13,2.806
2020-04-14,3.0215
2020-04-15,2.8573
2020-04-16,2.8025
2020-04-17,3.2029
2020-04-18,3.2029
2020-04-19,3.2029
2020-04-20,2.4433
2020-04-21,2.652
2020-04-22,2.6041
2020-04-23,2.8539
2020-04-24,2.8885
2020-04-25,2.8885
2020-04-26,2.8885
2020-04-27,3.1041
2020-04-28,3.0733
2020-04-29,4.4694
2020-04-30,4.4112
2020-05-01,4.3496
2020-05-02,4.3496
2020-05-03,4.3496
2020-05-04,3.9801
2020-05-05,3.9904
2020-05-06,4.3325
2020-05-07,4.3873
2020-05-08,4.3086
2020-05-09,4.3086
2020-05-10,4.3086
2020-05-11,4.3804
2020-05-12,4.2573
2020-05-13,4.3291
2020-05-14,4.2521
2020-05-15,4.4114
2020-05-16,4.4114
2020-05-17,4.4114
2020-05-18,4.5551
2020-05-19,4.7844
2020-05-20,4.562
2020-05-21,4.6988
2020-05-22,4.6201
2020-05-23,4.6201
2020-05-24,4.6201
2020-05-25,4.6201
2020-05-26,4.8956
2020-05-27,4.7313
2020-05-28,4.7878
2020-05-29,4.6578
2020-05-30,4.6578
2020-05-31,4.6578
2020-06-01,4.5688
2020-06-02,4.5346
2020-06-03,4.6475
2020-06-04,4.5722
2020-06-05,4.5277
2020-06-06,4.5277
2020-06-07,4.5277
2020-06-08,4.9212
2020-06-09,4.8289
2020-06-10,4.5072
2020-06-11,4.035
2020-06-12,4.2163
2020-06-13,4.2163
2020-06-14,4.2163
2020-06-15,4.2985
2020-06-16,4.8083
2020-06-17,4.603
2020-06-18,4.5688
2020-06-19,4.5175
2020-06-20,4.5175
2020-06-21,4.5175
2020-06-22,4.5722
2020-06-23,4.6543
2020-06-24,4.3703
2020-06-25,4.538
2020-06-26,4.3566
2020-06-27,4.3566
2020-06-28,4.3566
2020-06-29,4.3669
2020-06-30,5.9566
2020-07-01,6.0312
2020-07-02,5.9092
2020-07-03,5.9092
2020-07-04,5.9092
2020-07-05,5.9092
2020-07-06,5.8991
2020-07-07,5.7229
2020-07-08,5.8313
2020-07-09,5.9871
2020-07-10,6.126
2020-07-11,6.126
2020-07-12,6.126
2020-07-13,5.96
2020-07-14,6.0075
2020-07-15,6.3597
2020-07-16,6.1362
2020-07-17,6.1091
2020-07-18,6.1091
2020-07-19,6.1091
2020-07-20,6.1159
2020-07-21,6.0142
2020-07-22,5.9058
2020-07-23,5.9566
2020-07-24,5.7974
2020-07-25,5.7974
2020-07-26,5.7974
2020-07-27,5.9499
2020-07-28,5.7737
2020-07-29,5.7703
2020-07-30,5.8754
2020-07-31,5.4536
2020-08-01,5.4536
2020-08-02,5.4536
