,CMI US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,11.0272
2020-01-02,11.0476
2020-01-03,10.9052
2020-01-04,10.9052
2020-01-05,10.9052
2020-01-06,10.7531
2020-01-07,10.7605
2020-01-08,10.7656
2020-01-09,10.7185
2020-01-10,10.5999
2020-01-11,10.5999
2020-01-12,10.5999
2020-01-13,10.66
2020-01-14,10.6549
2020-01-15,10.6668
2020-01-16,10.8172
2020-01-17,10.7344
2020-01-18,10.7344
2020-01-19,10.7344
2020-01-20,10.7344
2020-01-21,10.5795
2020-01-22,10.525
2020-01-23,10.6129
2020-01-24,10.4705
2020-01-25,10.4705
2020-01-26,10.4705
2020-01-27,10.222
2020-01-28,10.2963
2020-01-29,10.2742
2020-01-30,10.2975
2020-01-31,9.9496
2020-02-01,9.9496
2020-02-02,9.9496
2020-02-03,10.1153
2020-02-04,9.8588
2020-02-05,10.1619
2020-02-06,10.1351
2020-02-07,9.8476
2020-02-08,9.8476
2020-02-09,9.8476
2020-02-10,9.9274
2020-02-11,10.0168
2020-02-12,10.2249
2020-02-13,10.117
2020-02-14,10.1548
2020-02-15,10.1548
2020-02-16,10.1548
2020-02-17,10.1548
2020-02-18,10.1147
2020-02-19,10.2138
2020-02-20,10.1737
2020-02-21,10.1927
2020-02-22,10.1927
2020-02-23,10.1927
2020-02-24,9.9322
2020-02-25,9.8337
2020-02-26,9.6645
2020-02-27,9.4691
2020-02-28,9.2927
2020-02-29,9.2927
2020-03-01,9.2927
2020-03-02,9.5359
2020-03-03,9.3406
2020-03-04,9.5793
2020-03-05,9.1463
2020-03-06,9.143
2020-03-07,9.143
2020-03-08,9.143
2020-03-09,8.6237
2020-03-10,8.9777
2020-03-11,8.7239
2020-03-12,8.0572
2020-03-13,8.4885
2020-03-14,8.4885
2020-03-15,8.4885
2020-03-16,8.1885
2020-03-17,8.4863
2020-03-18,7.7444
2020-03-19,7.4705
2020-03-20,7.3553
2020-03-21,7.3553
2020-03-22,7.3553
2020-03-23,6.5917
2020-03-24,7.8011
2020-03-25,7.9837
2020-03-26,8.3838
2020-03-27,8.8913
2020-03-28,8.8913
2020-03-29,8.8913
2020-03-30,9.0585
2020-03-31,8.9937
2020-04-01,8.7056
2020-04-02,8.8441
2020-04-03,8.8154
2020-04-04,8.8154
2020-04-05,8.8154
2020-04-06,9.391
2020-04-07,9.6083
2020-04-08,9.8257
2020-04-09,9.8923
2020-04-10,9.8923
2020-04-11,9.8923
2020-04-12,9.8923
2020-04-13,9.644
2020-04-14,9.7427
2020-04-15,9.5861
2020-04-16,9.5616
2020-04-17,9.8035
2020-04-18,9.8035
2020-04-19,9.8035
2020-04-20,9.6235
2020-04-21,9.4062
2020-04-22,9.5552
2020-04-23,9.5844
2020-04-24,9.7211
2020-04-25,9.7211
2020-04-26,9.7211
2020-04-27,9.9356
2020-04-28,10.4609
2020-04-29,10.7007
2020-04-30,10.6018
2020-05-01,10.2485
2020-05-02,10.2485
2020-05-03,10.2485
2020-05-04,10.0466
2020-05-05,10.039
2020-05-06,10.0286
2020-05-07,10.149
2020-05-08,10.4732
2020-05-09,10.4732
2020-05-10,10.4732
2020-05-11,10.5034
2020-05-12,10.0262
2020-05-13,9.6811
2020-05-14,10.1368
2020-05-15,10.1444
2020-05-16,10.1444
2020-05-17,10.1444
2020-05-18,10.5162
2020-05-19,10.2695
2020-05-20,10.5052
2020-05-21,10.2555
2020-05-22,10.1094
2020-05-23,10.1094
2020-05-24,10.1094
2020-05-25,10.1094
2020-05-26,10.8119
2020-05-27,11.0749
2020-05-28,10.9678
2020-05-29,10.9568
2020-05-30,10.9568
2020-05-31,10.9568
2020-06-01,10.9702
2020-06-02,11.0656
2020-06-03,11.2687
2020-06-04,11.26
2020-06-05,11.5626
2020-06-06,11.5626
2020-06-07,11.5626
2020-06-08,11.789
2020-06-09,11.6639
2020-06-10,11.3414
2020-06-11,10.7688
2020-06-12,10.8101
2020-06-13,10.8101
2020-06-14,10.8101
2020-06-15,10.93
2020-06-16,11.0586
2020-06-17,11.0627
2020-06-18,11.0516
2020-06-19,11.2297
2020-06-20,11.2297
2020-06-21,11.2297
2020-06-22,11.0959
2020-06-23,11.1215
2020-06-24,10.7828
2020-06-25,10.9632
2020-06-26,13.8631
2020-06-27,13.8631
2020-06-28,13.8631
2020-06-29,14.1781
2020-06-30,14.192
2020-07-01,14.0235
2020-07-02,14.2058
2020-07-03,14.2058
2020-07-04,14.2058
2020-07-05,14.2058
2020-07-06,14.5493
2020-07-07,14.3604
