,GIS US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,16.5222
2020-01-02,16.2178
2020-01-03,16.1774
2020-01-04,16.1774
2020-01-05,16.1774
2020-01-06,16.3157
2020-01-07,16.2391
2020-01-08,16.3988
2020-01-09,16.271
2020-01-10,16.2434
2020-01-11,16.2434
2020-01-12,16.2434
2020-01-13,16.4158
2020-01-14,16.403
2020-01-15,16.4818
2020-01-16,16.5563
2020-01-17,16.584
2020-01-18,16.584
2020-01-19,16.584
2020-01-20,16.584
2020-01-21,16.6883
2020-01-22,16.6117
2020-01-23,16.667
2020-01-24,16.5542
2020-01-25,16.5542
2020-01-26,16.5542
2020-01-27,16.4499
2020-01-28,16.4052
2020-01-29,16.4094
2020-01-30,16.5584
2020-01-31,16.237
2020-02-01,16.237
2020-02-02,16.237
2020-02-03,16.4009
2020-02-04,16.3072
2020-02-05,16.3094
2020-02-06,16.1284
2020-02-07,16.1688
2020-02-08,16.1688
2020-02-09,16.1688
2020-02-10,16.2668
2020-02-11,16.3519
2020-02-12,16.3881
2020-02-13,16.4009
2020-02-14,16.469
2020-02-15,16.469
2020-02-16,16.469
2020-02-17,16.469
2020-02-18,16.518
2020-02-19,16.4541
2020-02-20,16.6436
2020-02-21,16.4995
2020-02-22,16.4995
2020-02-23,16.4995
2020-02-24,16.4569
2020-02-25,16.2036
2020-02-26,16.1205
2020-02-27,15.6947
2020-02-28,15.4519
2020-02-29,15.4519
2020-03-01,15.4519
2020-03-02,15.9651
2020-03-03,16.0162
2020-03-04,16.5528
2020-03-05,16.5804
2020-03-06,16.6805
2020-03-07,16.6805
2020-03-08,16.6805
2020-03-09,16.5464
2020-03-10,16.5357
2020-03-11,16.276
2020-03-12,15.6649
2020-03-13,16.4058
2020-03-14,16.4058
2020-03-15,16.4058
2020-03-16,16.3846
2020-03-17,17.7239
2020-03-18,17.3419
2020-03-19,16.4734
2020-03-20,16.4073
2020-03-21,16.4073
2020-03-22,16.4073
2020-03-23,15.1077
2020-03-24,15.3104
2020-03-25,15.1867
2020-03-26,15.6881
2020-03-27,16.0765
2020-03-28,16.0765
2020-03-29,16.0765
2020-03-30,16.563
2020-03-31,16.2792
2020-04-01,16.3539
2020-04-02,16.7295
2020-04-03,17.12
2020-04-04,17.12
2020-04-05,17.12
2020-04-06,17.3312
2020-04-07,17.0624
2020-04-08,16.9109
2020-04-09,17.2672
2020-04-10,17.2672
2020-04-11,17.2672
2020-04-12,17.2672
2020-04-13,17.3248
2020-04-14,17.5767
2020-04-15,17.6193
2020-04-16,17.9693
2020-04-17,17.965
2020-04-18,17.965
2020-04-19,17.965
2020-04-20,17.9842
2020-04-21,17.7751
2020-04-22,17.8626
2020-04-23,17.7602
2020-04-24,17.9245
2020-04-25,17.9245
2020-04-26,17.9245
2020-04-27,17.8178
2020-04-28,18.0269
2020-04-29,17.8861
2020-04-30,17.7986
2020-05-01,17.7324
2020-05-02,17.7324
2020-05-03,17.7324
2020-05-04,17.7644
2020-05-05,17.7815
2020-05-06,17.6023
2020-05-07,17.5596
2020-05-08,17.7708
2020-05-09,17.7708
2020-05-10,17.7708
2020-05-11,17.9949
2020-05-12,18.3577
2020-05-13,18.5817
2020-05-14,18.2936
2020-05-15,18.3534
2020-05-16,18.3534
2020-05-17,18.3534
2020-05-18,18.1592
2020-05-19,17.9778
2020-05-20,18.0205
2020-05-21,17.8114
2020-05-22,17.8135
2020-05-23,17.8135
2020-05-24,17.8135
2020-05-25,17.8135
2020-05-26,17.805
2020-05-27,17.997
2020-05-28,18.2296
2020-05-29,17.2638
2020-05-30,17.2638
2020-05-31,17.2638
2020-06-01,17.3658
2020-06-02,17.3413
2020-06-03,16.9434
2020-06-04,16.7986
2020-06-05,16.8475
2020-06-06,16.8475
2020-06-07,16.8475
2020-06-08,17.0801
2020-06-09,17.2189
2020-06-10,17.2107
2020-06-11,16.7618
2020-06-12,16.6741
2020-06-13,16.6741
2020-06-14,16.6741
2020-06-15,16.821
2020-06-16,17.0087
2020-06-17,17.0108
2020-06-18,17.0026
2020-06-19,16.9659
2020-06-20,16.9659
2020-06-21,16.9659
2020-06-22,16.9536
2020-06-23,16.8475
2020-06-24,16.7027
2020-06-25,16.7108
2020-06-26,16.4823
2020-06-27,16.4823
2020-06-28,16.4823
2020-06-29,16.7945
2020-06-30,16.9802
2020-07-01,16.7312
2020-07-02,17.0227
2020-07-03,17.0227
2020-07-04,17.0227
2020-07-05,17.0227
2020-07-06,17.1684
2020-07-07,17.3306
