,MGRC US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,15.227
2020-01-02,15.2355
2020-01-03,15.2903
2020-01-04,15.2903
2020-01-05,15.2903
2020-01-06,15.3177
2020-01-07,15.3417
2020-01-08,15.4769
2020-01-09,15.4838
2020-01-10,15.3965
2020-01-11,15.3965
2020-01-12,15.3965
2020-01-13,15.6002
2020-01-14,15.732
2020-01-15,15.7868
2020-01-16,15.5916
2020-01-17,15.4667
2020-01-18,15.4667
2020-01-19,15.4667
2020-01-20,15.4667
2020-01-21,15.4821
2020-01-22,15.2972
2020-01-23,15.3691
2020-01-24,15.3828
2020-01-25,15.3828
2020-01-26,15.3828
2020-01-27,15.4649
2020-01-28,15.6481
2020-01-29,15.9101
2020-01-30,16.059
2020-01-31,15.3605
2020-02-01,15.3605
2020-02-02,15.3605
2020-02-03,15.4512
2020-02-04,15.643
2020-02-05,15.9358
2020-02-06,15.9512
2020-02-07,15.8022
2020-02-08,15.8022
2020-02-09,15.8022
2020-02-10,15.9032
2020-02-11,16.1635
2020-02-12,16.3552
2020-02-13,15.9837
2020-02-14,16.0745
2020-02-15,16.0745
2020-02-16,16.0745
2020-02-17,16.0745
2020-02-18,16.0214
2020-02-19,16.1258
2020-02-20,15.9443
2020-02-21,15.7337
2020-02-22,15.7337
2020-02-23,15.7337
2020-02-24,15.5694
2020-02-25,15.1413
2020-02-26,14.4417
2020-02-27,14.1745
2020-02-28,14.0186
2020-02-29,14.0186
2020-03-01,14.0186
2020-03-02,14.2293
2020-03-03,13.8234
2020-03-04,14.291
2020-03-05,13.6623
2020-03-06,13.3163
2020-03-07,13.3163
2020-03-08,13.3163
2020-03-09,11.5966
2020-03-10,12.083
2020-03-11,11.2214
2020-03-12,10.1971
2020-03-13,11.5691
2020-03-14,11.5691
2020-03-15,11.5691
2020-03-16,10.5893
2020-03-17,11.0261
2020-03-18,10.1012
2020-03-19,10.4763
2020-03-20,10.1868
2020-03-21,10.1868
2020-03-22,10.1868
2020-03-23,10.12
2020-03-24,11.1341
2020-03-25,10.9525
2020-03-26,11.5195
2020-03-27,10.8857
2020-03-28,10.8857
2020-03-29,10.8857
2020-03-30,11.3345
2020-03-31,10.8778
2020-04-01,10.4875
2020-04-02,10.8559
2020-04-03,10.572
2020-04-04,10.572
2020-04-05,10.572
2020-04-06,11.177
2020-04-07,10.9032
2020-04-08,11.0485
2020-04-09,11.4423
2020-04-10,11.4423
2020-04-11,11.4423
2020-04-12,11.4423
2020-04-13,10.9218
2020-04-14,11.0739
2020-04-15,10.3793
2020-04-16,10.1765
2020-04-17,10.768
2020-04-18,10.768
2020-04-19,10.768
2020-04-20,10.6243
2020-04-21,10.5213
2020-04-22,10.468
2020-04-23,10.5365
2020-04-24,10.6649
2020-04-25,10.6649
2020-04-26,10.6649
2020-04-27,11.2665
2020-04-28,11.4372
2020-04-29,12.1514
2020-04-30,11.1889
2020-05-01,10.9436
2020-05-02,10.9436
2020-05-03,10.9436
2020-05-04,10.9436
2020-05-05,10.7454
2020-05-06,10.6127
2020-05-07,10.569
2020-05-08,10.91
2020-05-09,10.91
2020-05-10,10.91
2020-05-11,10.5573
2020-05-12,10.1944
2020-05-13,10.0113
2020-05-14,10.4263
2020-05-15,10.4716
2020-05-16,10.4716
2020-05-17,10.4716
2020-05-18,11.0343
2020-05-19,10.9235
2020-05-20,11.1116
2020-05-21,11.0797
2020-05-22,11.1788
2020-05-23,11.1788
2020-05-24,11.1788
2020-05-25,11.1788
2020-05-26,11.5064
2020-05-27,11.9549
2020-05-28,11.7919
2020-05-29,11.3921
2020-05-30,11.3921
2020-05-31,11.3921
2020-06-01,11.4677
2020-06-02,11.5635
2020-06-03,11.7768
2020-06-04,11.9129
2020-06-05,12.2102
2020-06-06,12.2102
2020-06-07,12.2102
2020-06-08,12.2068
2020-06-09,12.1699
2020-06-10,12.017
2020-06-11,11.1183
2020-06-12,11.246
2020-06-13,11.246
2020-06-14,11.246
2020-06-15,11.2997
2020-06-16,11.3619
2020-06-17,11.1435
2020-06-18,10.9722
2020-06-19,10.8899
2020-06-20,10.8899
2020-06-21,10.8899
2020-06-22,10.9084
2020-06-23,10.9957
2020-06-24,10.6648
2020-06-25,10.863
2020-06-26,10.648
2020-06-27,10.648
2020-06-28,10.648
2020-06-29,11.0411
2020-06-30,10.6912
2020-07-01,10.5175
2020-07-02,10.5109
2020-07-03,10.5109
2020-07-04,10.5109
2020-07-05,10.5109
2020-07-06,10.5175
2020-07-07,10.3667
2020-07-08,10.2897
2020-07-09,10.0702
2020-07-10,10.2389
2020-07-11,10.2389
2020-07-12,10.2389
2020-07-13,10.4749
2020-07-14,10.5568
2020-07-15,10.9287
2020-07-16,10.7501
2020-07-17,10.8026
2020-07-18,10.8026
2020-07-19,10.8026
2020-07-20,10.601
2020-07-21,10.7796
2020-07-22,10.7288
2020-07-23,11.0139
2020-07-24,10.8321
2020-07-25,10.8321
2020-07-26,10.8321
2020-07-27,10.9337
2020-07-28,10.9124
2020-07-29,11.3711
2020-07-30,11.6423
2020-07-31,11.322
2020-08-01,11.322
2020-08-02,11.322
2020-08-03,11.389
2020-08-04,11.425
2020-08-05,11.541
2020-08-06,11.6194
2020-08-07,11.7175
2020-08-08,11.7175
2020-08-09,11.7175
2020-08-10,11.8907
2020-08-11,12.2028
2020-08-12,13.1243
2020-08-13,12.8694
2020-08-14,12.8661
2020-08-15,12.8661
2020-08-16,12.8661
2020-08-17,12.8351
2020-08-18,12.8286
2020-08-19,12.9152
2020-08-20,12.8874
2020-08-21,12.889
2020-08-22,12.889
2020-08-23,12.889
2020-08-24,13.0753
2020-08-25,13.0034
2020-08-26,12.8106
2020-08-27,12.8661
2020-08-28,12.8433
2020-08-29,12.8433
2020-08-30,12.8433
2020-08-31,12.6848
2020-09-01,12.8057
2020-09-02,12.907
2020-09-03,12.6652
2020-09-04,12.4675
2020-09-05,12.4675
2020-09-06,12.4675
2020-09-07,12.4675
2020-09-08,12.2975
2020-09-09,12.2077
2020-09-10,12.126
2020-09-11,12.0508
2020-09-12,12.0508
2020-09-13,12.0508
2020-09-14,11.9593
2020-09-15,11.7207
2020-09-16,11.8662
2020-09-17,11.8613
2020-09-18,11.6635
2020-09-19,11.6635
2020-09-20,11.6635
2020-09-21,11.2763
2020-09-22,11.3907
2020-09-23,11.3106
2020-09-24,11.358
2020-09-25,11.3988
2020-09-26,11.3988
2020-09-27,11.3988
2020-09-28,11.693
2020-09-29,11.5818
2020-09-30,12.2018
2020-10-01,12.4846
2020-10-02,12.605
2020-10-03,12.605
2020-10-04,12.605
2020-10-05,12.8564
2020-10-06,13.0274
2020-10-07,13.3294
