,MTOR US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,10.0388
2020-01-02,10.1516
2020-01-03,10.1015
2020-01-04,10.1015
2020-01-05,10.1015
2020-01-06,10.0363
2020-01-07,10.0012
2020-01-08,10.0037
2020-01-09,9.8707
2020-01-10,9.8406
2020-01-11,9.8406
2020-01-12,9.8406
2020-01-13,9.8732
2020-01-14,9.8682
2020-01-15,9.8256
2020-01-16,9.788
2020-01-17,9.7554
2020-01-18,9.7554
2020-01-19,9.7554
2020-01-20,9.7554
2020-01-21,9.655
2020-01-22,9.5096
2020-01-23,9.4945
2020-01-24,9.3215
2020-01-25,9.3215
2020-01-26,9.3215
2020-01-27,9.181
2020-01-28,9.2914
2020-01-29,9.319
2020-01-30,8.811
2020-01-31,8.6686
2020-02-01,8.6686
2020-02-02,8.6686
2020-02-03,8.8229
2020-02-04,9.0554
2020-02-05,9.3994
2020-02-06,9.3448
2020-02-07,9.2784
2020-02-08,9.2784
2020-02-09,9.2784
2020-02-10,9.2618
2020-02-11,9.4421
2020-02-12,9.5608
2020-02-13,9.5441
2020-02-14,9.5441
2020-02-15,9.5441
2020-02-16,9.5441
2020-02-17,9.5441
2020-02-18,9.556
2020-02-19,9.4255
2020-02-20,9.5797
2020-02-21,9.5631
2020-02-22,9.5631
2020-02-23,9.5631
2020-02-24,9.1479
2020-02-25,8.9367
2020-02-26,8.7944
2020-02-27,8.8229
2020-02-28,8.8537
2020-02-29,8.8537
2020-03-01,8.8537
2020-03-02,8.83
2020-03-03,8.5595
2020-03-04,8.6022
2020-03-05,8.1395
2020-03-06,7.8691
2020-03-07,7.8691
2020-03-08,7.8691
2020-03-09,7.48
2020-03-10,7.6935
2020-03-11,7.5416
2020-03-12,7.404
2020-03-13,7.601
2020-03-14,7.601
2020-03-15,7.601
2020-03-16,6.8631
2020-03-17,6.6661
2020-03-18,6.3435
2020-03-19,6.6021
2020-03-20,6.3624
2020-03-21,6.3624
2020-03-22,6.3624
2020-03-23,6.4479
2020-03-24,6.7848
2020-03-25,7.0813
2020-03-26,7.143
2020-03-27,6.939
2020-03-28,6.939
2020-03-29,6.939
2020-03-30,6.6922
2020-03-31,3.6984
2020-04-01,3.5675
2020-04-02,3.6756
2020-04-03,3.576
2020-04-04,3.576
2020-04-05,3.576
2020-04-06,3.9004
2020-04-07,3.9346
2020-04-08,4.074
2020-04-09,4.1565
2020-04-10,4.1565
2020-04-11,4.1565
2020-04-12,4.1565
2020-04-13,4.0583
2020-04-14,4.0157
2020-04-15,3.9018
2020-04-16,3.8335
2020-04-17,4.0612
2020-04-18,4.0612
2020-04-19,4.0612
2020-04-20,3.9829
2020-04-21,3.9545
2020-04-22,3.9602
2020-04-23,4.0711
2020-04-24,4.1195
2020-04-25,4.1195
2020-04-26,4.1195
2020-04-27,4.2746
2020-04-28,4.3728
2020-04-29,4.5791
2020-04-30,4.6647
2020-05-01,4.4895
2020-05-02,4.4895
2020-05-03,4.4895
2020-05-04,4.406
2020-05-05,4.4547
2020-05-06,4.3684
2020-05-07,4.3267
2020-05-08,4.5423
2020-05-09,4.5423
2020-05-10,4.5423
2020-05-11,4.4602
2020-05-12,4.2836
2020-05-13,4.1751
2020-05-14,4.2502
2020-05-15,4.2697
2020-05-16,4.2697
2020-05-17,4.2697
2020-05-18,4.527
2020-05-19,4.4728
2020-05-20,4.4895
2020-05-21,4.4533
2020-05-22,4.4602
2020-05-23,4.4602
2020-05-24,4.4602
2020-05-25,4.4602
2020-05-26,4.7829
2020-05-27,4.8497
2020-05-28,4.687
2020-05-29,4.648
2020-05-30,4.648
2020-05-31,4.648
2020-06-01,4.7579
2020-06-02,4.7663
2020-06-03,4.8261
2020-06-04,4.8761
2020-06-05,4.9373
2020-06-06,4.9373
2020-06-07,4.9373
2020-06-08,5.1293
2020-06-09,5.0125
2020-06-10,4.7927
2020-06-11,4.5131
2020-06-12,4.5938
2020-06-13,4.5938
2020-06-14,4.5938
2020-06-15,4.6397
2020-06-16,4.7162
2020-06-17,4.6049
2020-06-18,4.5687
2020-06-19,4.5785
2020-06-20,4.5785
2020-06-21,4.5785
2020-06-22,4.5854
2020-06-23,4.6077
2020-06-24,4.4296
2020-06-25,4.5062
2020-06-26,4.4116
2020-06-27,4.4116
2020-06-28,4.4116
2020-06-29,4.5924
2020-06-30,6.6353
2020-07-01,6.4848
2020-07-02,6.6739
2020-07-03,6.6739
2020-07-04,6.6739
2020-07-05,6.6739
2020-07-06,6.7009
2020-07-07,6.4809
2020-07-08,6.4925
2020-07-09,6.3304
2020-07-10,6.4327
2020-07-11,6.4327
2020-07-12,6.4327
2020-07-13,6.5002
2020-07-14,6.7472
2020-07-15,6.946
2020-07-16,6.9768
2020-07-17,6.9344
2020-07-18,6.9344
2020-07-19,6.9344
2020-07-20,6.9209
2020-07-21,7.0926
2020-07-22,7.1794
2020-07-23,7.2972
2020-07-24,7.3493
2020-07-25,7.3493
2020-07-26,7.3493
2020-07-27,7.4978
2020-07-28,7.4747
2020-07-29,7.4303
2020-07-30,7.2739
2020-07-31,7.2064
2020-08-01,7.2064
2020-08-02,7.2064
2020-08-03,7.2952
2020-08-04,7.3222
2020-08-05,7.4631
2020-08-06,7.3608
2020-08-07,7.465
2020-08-08,7.465
2020-08-09,7.465
2020-08-10,7.7353
2020-08-11,7.7372
2020-08-12,7.687
2020-08-13,7.6002
2020-08-14,7.6214
2020-08-15,7.6214
2020-08-16,7.6214
2020-08-17,7.5673
2020-08-18,7.5075
2020-08-19,7.465
2020-08-20,7.4689
2020-08-21,7.4457
2020-08-22,7.4457
2020-08-23,7.4457
2020-08-24,7.4998
2020-08-25,7.4438
2020-08-26,7.3511
2020-08-27,7.3415
2020-08-28,7.3878
2020-08-29,7.3878
2020-08-30,7.3878
2020-08-31,7.2083
2020-09-01,7.438
2020-09-02,7.4399
2020-09-03,7.2681
2020-09-04,7.3164
2020-09-05,7.3164
2020-09-06,7.3164
2020-09-07,7.3164
2020-09-08,7.2121
2020-09-09,7.3357
2020-09-10,7.245
2020-09-11,7.3415
2020-09-12,7.3415
2020-09-13,7.3415
2020-09-14,7.3318
2020-09-15,7.299
2020-09-16,7.2411
2020-09-17,7.104
2020-09-18,7.0037
2020-09-19,7.0037
2020-09-20,7.0037
2020-09-21,6.7932
2020-09-22,6.745
2020-09-23,6.6562
2020-09-24,6.7064
2020-09-25,6.7083
2020-09-26,6.7083
2020-09-27,6.7083
2020-09-28,6.9303
2020-09-29,6.8917
2020-09-30,7.5504
2020-10-01,7.7336
2020-10-02,7.9125
2020-10-03,7.9125
2020-10-04,7.9125
2020-10-05,8.2271
2020-10-06,8.1797
2020-10-07,8.5094
2020-10-08,8.5094
2020-10-09,8.5978
2020-10-10,8.5978
2020-10-11,8.5978
2020-10-12,8.6043
2020-10-13,8.6021
2020-10-14,8.5978
2020-10-15,8.6905
2020-10-16,8.6517
2020-10-17,8.6517
2020-10-18,8.6517
2020-10-19,8.5784
2020-10-20,8.462
2020-10-21,8.3823
2020-10-22,8.587
2020-10-23,8.6754
2020-10-24,8.6754
2020-10-25,8.6754
2020-10-26,8.5978
2020-10-27,8.4965
2020-10-28,8.4793
2020-10-29,8.3543
2020-10-30,8.2832
2020-10-31,8.2832
2020-11-01,8.2832
2020-11-02,8.3176
2020-11-03,8.6043
2020-11-04,8.2767
2020-11-05,8.6172
2020-11-06,8.3112
2020-11-07,8.3112
2020-11-08,8.3112
2020-11-09,8.8758
2020-11-10,9.1753
2020-11-11,9.0676
2020-11-12,8.759
2020-11-13,8.7547
2020-11-14,8.7547
2020-11-15,8.7547
2020-11-16,8.8259
2020-11-17,8.7655
2020-11-18,8.5435
2020-11-19,8.537
2020-11-20,8.5305
2020-11-21,8.5305
2020-11-22,8.5305
2020-11-23,8.7482
2020-11-24,9.0328
2020-11-25,8.8711
2020-11-26,8.8711
2020-11-27,8.9099
2020-11-28,8.9099
2020-11-29,8.9099
2020-11-30,8.7288
2020-12-01,8.8539
2020-12-02,8.9186
2020-12-03,8.897
2020-12-04,9.0975
2020-12-05,9.0975
2020-12-06,9.0975
2020-12-07,9.1039
2020-12-08,9.0091
2020-12-09,9.091
2020-12-10,9.0328
2020-12-11,8.9832
2020-12-12,8.9832
2020-12-13,8.9832
2020-12-14,8.9272
2020-12-15,9.1686
2020-12-16,9.1966
2020-12-17,9.1772
2020-12-18,9.1384
2020-12-19,9.1384
2020-12-20,9.1384
2020-12-21,9.1018
2020-12-22,9.05
2020-12-23,9.1061
2020-12-24,9.0716
2020-12-25,9.0716
2020-12-26,9.0716
2020-12-27,9.0716
2020-12-28,9.063
2020-12-29,8.9315
2020-12-30,9.0156
2020-12-31,9.2081
2021-01-01,9.2081
2021-01-02,9.2081
2021-01-03,9.2081
2021-01-04,9.0984
2021-01-05,9.1812
2021-01-06,9.3894
2021-01-07,9.385
2021-01-08,9.282
2021-01-09,9.282
2021-01-10,9.282
2021-01-11,9.1947
2021-01-12,9.1141
2021-01-13,8.9753
2021-01-14,9.0021
2021-01-15,8.8566
2021-01-16,8.8566
2021-01-17,8.8566
2021-01-18,8.8566
2021-01-19,8.9417
2021-01-20,8.9126
2021-01-21,9.1521
2021-01-22,9.2797
2021-01-23,9.2797
2021-01-24,9.2797
2021-01-25,9.2103
2021-01-26,9.1723
2021-01-27,9.0156
2021-01-28,8.9529
2021-01-29,8.738
2021-01-30,8.738
2021-01-31,8.738
2021-02-01,8.8902
2021-02-02,8.9865
2021-02-03,9.7417
2021-02-04,9.6811
2021-02-05,9.7754
2021-02-06,9.7754
2021-02-07,9.7754
2021-02-08,10.1504
2021-02-09,10.2515
2021-02-10,10.3435
2021-02-11,10.3682
2021-02-12,10.3054
2021-02-13,10.3054
2021-02-14,10.3054
2021-02-15,10.3054
2021-02-16,10.1706
2021-02-17,10.11
2021-02-18,9.7462
2021-02-19,9.9977
2021-02-20,9.9977
2021-02-21,9.9977
2021-02-22,10.2447
2021-02-23,9.9999
2021-02-24,10.1414
2021-02-25,9.6406
2021-02-26,9.7799
2021-02-27,9.7799
2021-02-28,9.7799
2021-03-01,9.9371
2021-03-02,9.836
2021-03-03,10.0089
2021-03-04,9.7866
2021-03-05,9.7394
2021-03-06,9.7394
2021-03-07,9.7394
2021-03-08,9.7731
2021-03-09,9.8315
2021-03-10,10.1369
2021-03-11,10.1594
2021-03-12,10.2806
2021-03-13,10.2806
2021-03-14,10.2806
2021-03-15,10.2268
2021-03-16,10.0314
2021-03-17,10.2312
2021-03-18,10.11
2021-03-19,10.0089
2021-03-20,10.0089
2021-03-21,10.0089
2021-03-22,9.6923
2021-03-23,9.2858
2021-03-24,9.2184
2021-03-25,9.3959
2021-03-26,9.6811
2021-03-27,9.6811
2021-03-28,9.6811
2021-03-29,9.5351
2021-03-30,9.6519
2021-03-31,33.911
