,AWR US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,28.9606
2020-01-02,28.7264
2020-01-03,28.923
2020-01-04,28.923
2020-01-05,28.923
2020-01-06,28.4576
2020-01-07,28.2581
2020-01-08,28.0789
2020-01-09,28.1714
2020-01-10,28.2061
2020-01-11,28.2061
2020-01-12,28.2061
2020-01-13,28.4402
2020-01-14,28.2957
2020-01-15,28.5964
2020-01-16,28.9866
2020-01-17,29.1254
2020-01-18,29.1254
2020-01-19,29.1254
2020-01-20,29.1254
2020-01-21,29.5446
2020-01-22,29.721
2020-01-23,29.8944
2020-01-24,29.958
2020-01-25,29.958
2020-01-26,29.958
2020-01-27,29.8106
2020-01-28,29.9233
2020-01-29,30.0505
2020-01-30,30.1402
2020-01-31,29.5157
2020-02-01,29.5157
2020-02-02,29.5157
2020-02-03,29.7354
2020-02-04,29.4897
2020-02-05,29.6949
2020-02-06,29.8829
2020-02-07,30.013
2020-02-08,30.013
2020-02-09,30.013
2020-02-10,30.2442
2020-02-11,30.2356
2020-02-12,30.3686
2020-02-13,30.6634
2020-02-14,31.0451
2020-02-15,31.0451
2020-02-16,31.0451
2020-02-17,31.0451
2020-02-18,30.9843
2020-02-19,30.3657
2020-02-20,29.9985
2020-02-21,29.9783
2020-02-22,29.9783
2020-02-23,29.9783
2020-02-24,29.7496
2020-02-25,29.2723
2020-02-26,29.1682
2020-02-27,27.6293
2020-02-28,26.0673
2020-02-29,26.0673
2020-03-01,26.0673
2020-03-02,27.1954
2020-03-03,27.3892
2020-03-04,29.1768
2020-03-05,29.1161
2020-03-06,29.3041
2020-03-07,29.3041
2020-03-08,29.3041
2020-03-09,27.7363
2020-03-10,28.0574
2020-03-11,26.9958
2020-03-12,24.7049
2020-03-13,26.1165
2020-03-14,26.1165
2020-03-15,26.1165
2020-03-16,22.8334
2020-03-17,26.5995
2020-03-18,30.8227
2020-03-19,30.6405
2020-03-20,28.7892
2020-03-21,28.7892
2020-03-22,28.7892
2020-03-23,25.5784
2020-03-24,26.9409
2020-03-25,26.1917
2020-03-26,27.34
2020-03-27,27.3371
2020-03-28,27.3371
2020-03-29,27.3371
2020-03-30,28.3843
2020-03-31,26.6922
2020-04-01,24.7989
2020-04-02,25.4967
2020-04-03,25.8109
2020-04-04,25.8109
2020-04-05,25.8109
2020-04-06,27.6308
2020-04-07,26.2537
2020-04-08,27.3332
2020-04-09,28.4404
2020-04-10,28.4404
2020-04-11,28.4404
2020-04-12,28.4404
2020-04-13,28.0092
2020-04-14,29.033
2020-04-15,27.923
2020-04-16,27.9369
2020-04-17,28.752
2020-04-18,28.752
2020-04-19,28.752
2020-04-20,27.1106
2020-04-21,26.8546
2020-04-22,27.2553
2020-04-23,26.735
2020-04-24,26.8324
2020-04-25,26.8324
2020-04-26,26.8324
2020-04-27,26.7795
2020-04-28,27.0494
2020-04-29,27.2886
2020-04-30,26.0478
2020-05-01,25.6027
2020-05-02,25.6027
2020-05-03,25.6027
2020-05-04,25.4302
2020-05-05,25.6556
2020-05-06,24.604
2020-05-07,24.565
2020-05-08,25.038
2020-05-09,25.038
2020-05-10,25.038
2020-05-11,25.2967
2020-05-12,24.9128
2020-05-13,25.1242
2020-05-14,25.0213
2020-05-15,24.821
2020-05-16,24.821
2020-05-17,24.821
2020-05-18,25.8642
2020-05-19,25.0046
2020-05-20,25.6611
2020-05-21,25.9254
2020-05-22,26.1146
2020-05-23,26.1146
2020-05-24,26.1146
2020-05-25,26.1146
2020-05-26,25.9783
2020-05-27,26.0896
2020-05-28,26.3928
2020-05-29,26.7823
2020-05-30,26.7823
2020-05-31,26.7823
2020-06-01,26.5458
2020-06-02,26.4791
2020-06-03,26.6349
2020-06-04,26.5236
2020-06-05,26.888
2020-06-06,26.888
2020-06-07,26.888
2020-06-08,26.6655
2020-06-09,26.084
2020-06-10,26.1814
2020-06-11,24.9907
2020-06-12,25.2466
2020-06-13,25.2466
2020-06-14,25.2466
2020-06-15,25.931
2020-06-16,25.7724
2020-06-17,25.5693
2020-06-18,25.5526
2020-06-19,25.3885
2020-06-20,25.3885
2020-06-21,25.3885
2020-06-22,25.5638
2020-06-23,25.4775
2020-06-24,25.2689
2020-06-25,25.0185
2020-06-26,24.5121
2020-06-27,24.5121
2020-06-28,24.5121
2020-06-29,25.4692
2020-06-30,26.6665
2020-07-01,26.6207
2020-07-02,26.9413
2020-07-03,26.9413
2020-07-04,26.9413
2020-07-05,26.9413
2020-07-06,26.5635
2020-07-07,26.2772
2020-07-08,26.3488
2020-07-09,26.0397
2020-07-10,26.449
2020-07-11,26.449
2020-07-12,26.449
2020-07-13,26.1742
2020-07-14,26.0769
2020-07-15,26.2601
2020-07-16,26.3688
2020-07-17,27.0357
2020-07-18,27.0357
2020-07-19,27.0357
2020-07-20,26.7409
2020-07-21,27.2475
2020-07-22,27.3334
2020-07-23,27.4422
2020-07-24,27.1159
2020-07-25,27.1159
2020-07-26,27.1159
2020-07-27,26.8325
2020-07-28,26.8354
2020-07-29,27.0214
2020-07-30,26.5806
2020-07-31,26.1656
2020-08-01,26.1656
2020-08-02,26.1656
2020-08-03,26.2
2020-08-04,25.9224
2020-08-05,26.097
2020-08-06,26.0998
2020-08-07,27.0215
2020-08-08,27.0215
2020-08-09,27.0215
2020-08-10,27.0158
2020-08-11,26.5235
2020-08-12,27.1417
2020-08-13,26.7582
2020-08-14,26.6981
2020-08-15,26.6981
2020-08-16,26.6981
2020-08-17,26.678
2020-08-18,26.5206
2020-08-19,26.2258
2020-08-20,26.2057
2020-08-21,26.0598
2020-08-22,26.0598
2020-08-23,26.0598
2020-08-24,26.4233
2020-08-25,26.5006
2020-08-26,26.0369
2020-08-27,26.2029
2020-08-28,26.0598
2020-08-29,26.0598
2020-08-30,26.0598
2020-08-31,25.9367
2020-09-01,25.6848
2020-09-02,26.2659
2020-09-03,26.3002
2020-09-04,26.1972
2020-09-05,26.1972
2020-09-06,26.1972
2020-09-07,26.1972
2020-09-08,25.7134
2020-09-09,25.8108
2020-09-10,25.3585
2020-09-11,25.1811
2020-09-12,25.1811
2020-09-13,25.1811
2020-09-14,25.2125
2020-09-15,24.9063
2020-09-16,24.8719
2020-09-17,24.5485
2020-09-18,24.1936
2020-09-19,24.1936
2020-09-20,24.1936
2020-09-21,25.4472
2020-09-22,25.1954
2020-09-23,24.7775
2020-09-24,25.0322
2020-09-25,25.2955
2020-09-26,25.2955
2020-09-27,25.2955
2020-09-28,25.4358
2020-09-29,25.4701
2020-09-30,26.2096
2020-10-01,26.5464
2020-10-02,26.7279
2020-10-03,26.7279
2020-10-04,26.7279
2020-10-05,26.6342
2020-10-06,26.7455
2020-10-07,26.4937
2020-10-08,26.6752
2020-10-09,26.7133
2020-10-10,26.7133
2020-10-11,26.7133
2020-10-12,27.4279
2020-10-13,27.1848
2020-10-14,26.9183
2020-10-15,26.9007
2020-10-16,26.9915
2020-10-17,26.9915
2020-10-18,26.9915
2020-10-19,26.7162
2020-10-20,26.6694
2020-10-21,26.8509
2020-10-22,27.0354
2020-10-23,27.463
2020-10-24,27.463
2020-10-25,27.463
2020-10-26,27.0442
2020-10-27,27.1292
2020-10-28,26.4585
2020-10-29,26.4702
2020-10-30,26.1335
2020-10-31,26.1335
2020-11-01,26.1335
2020-11-02,26.5642
2020-11-03,26.3093
2020-11-04,25.4804
2020-11-05,25.6064
2020-11-06,25.6298
2020-11-07,25.6298
2020-11-08,25.6298
2020-11-09,26.3181
2020-11-10,27.5951
2020-11-11,27.4282
2020-11-12,26.778
2020-11-13,26.8717
2020-11-14,26.8717
2020-11-15,26.8717
2020-11-16,27.437
2020-11-17,27.0416
2020-11-18,26.1892
2020-11-19,26.1512
2020-11-20,26.3621
2020-11-21,26.3621
2020-11-22,26.3621
2020-11-23,26.4499
2020-11-24,26.6286
2020-11-25,26.5231
2020-11-26,26.5231
2020-11-27,26.2742
2020-11-28,26.2742
2020-11-29,26.2742
2020-11-30,25.8817
2020-12-01,26.0633
2020-12-02,26.0897
2020-12-03,25.8876
2020-12-04,25.9256
2020-12-05,25.9256
2020-12-06,25.9256
2020-12-07,26.0399
2020-12-08,26.1512
2020-12-09,26.3826
2020-12-10,26.4353
2020-12-11,26.8453
2020-12-12,26.8453
2020-12-13,26.8453
2020-12-14,26.6374
2020-12-15,27.314
2020-12-16,27.1968
2020-12-17,27.7064
2020-12-18,27.1617
2020-12-19,27.1617
2020-12-20,27.1617
2020-12-21,26.6667
2020-12-22,26.8424
2020-12-23,26.9303
2020-12-24,27.0094
2020-12-25,27.0094
2020-12-26,27.0094
2020-12-27,27.0094
2020-12-28,27.4428
2020-12-29,27.2085
2020-12-30,27.2349
2020-12-31,26.6888
2021-01-01,26.6888
2021-01-02,26.6888
2021-01-03,26.6888
2021-01-04,26.3157
2021-01-05,26.4005
2021-01-06,27.3277
2021-01-07,26.8528
2021-01-08,27.1044
2021-01-09,27.1044
2021-01-10,27.1044
2021-01-11,27.0252
2021-01-12,27.0281
2021-01-13,27.062
2021-01-14,26.9743
2021-01-15,27.2146
2021-01-16,27.2146
2021-01-17,27.2146
2021-01-18,27.2146
2021-01-19,27.2683
2021-01-20,27.1298
2021-01-21,26.7765
2021-01-22,26.9715
2021-01-23,26.9715
2021-01-24,26.9715
2021-01-25,27.0281
2021-01-26,26.9546
2021-01-27,26.392
2021-01-28,26.3553
2021-01-29,26.0528
2021-01-30,26.0528
2021-01-31,26.0528
2021-02-01,26.638
2021-02-02,26.98
2021-02-03,26.7539
2021-02-04,26.7708
2021-02-05,27.209
2021-02-06,27.209
2021-02-07,27.209
2021-02-08,27.1044
2021-02-09,27.4408
2021-02-10,27.3616
2021-02-11,27.2853
2021-02-12,26.6888
2021-02-13,26.6888
2021-02-14,26.6888
2021-02-15,26.6888
2021-02-16,26.4005
2021-02-17,26.3694
2021-02-18,26.3553
2021-02-19,26.2535
2021-02-20,26.2535
2021-02-21,26.2535
2021-02-22,25.9511
2021-02-23,25.7811
2021-02-24,25.7218
2021-02-25,25.1676
2021-02-26,24.8679
2021-02-27,24.8679
2021-02-28,24.8679
2021-03-01,24.9725
2021-03-02,24.472
2021-03-03,24.2289
2021-03-04,24.1865
2021-03-05,24.2713
2021-03-06,24.2713
2021-03-07,24.2713
2021-03-08,24.4353
2021-03-09,24.6162
2021-03-10,24.5484
2021-03-11,24.5088
2021-03-12,24.6162
2021-03-13,24.6162
2021-03-14,24.6162
2021-03-15,24.6784
2021-03-16,24.8735
2021-03-17,24.6388
2021-03-18,24.8566
2021-03-19,25.0488
2021-03-20,25.0488
2021-03-21,25.0488
2021-03-22,24.9555
2021-03-23,25.2496
2021-03-24,25.2043
2021-03-25,25.2157
2021-03-26,25.5408
2021-03-27,25.5408
2021-03-28,25.5408
2021-03-29,25.6765
2021-03-30,25.4843
2021-03-31,24.8958
2021-04-01,24.9696
2021-04-02,24.9696
2021-04-03,24.9696
2021-04-04,24.9696
2021-04-05,25.0762
2021-04-06,25.3494
2021-04-07,25.2401
2021-04-08,25.2948
2021-04-09,25.3084
2021-04-10,25.3084
2021-04-11,25.3084
2021-04-12,25.6034
2021-04-13,25.74
2021-04-14,25.9039
2021-04-15,26.2618
2021-04-16,26.2946
2021-04-17,26.2946
2021-04-18,26.2946
2021-04-19,26.1307
2021-04-20,26.3956
2021-04-21,26.5978
2021-04-22,26.5431
2021-04-23,26.7508
2021-04-24,26.7508
2021-04-25,26.7508
2021-04-26,26.2153
2021-04-27,25.7564
2021-04-28,25.6854
2021-04-29,25.8083
2021-04-30,25.8793
2021-05-01,25.8793
2021-05-02,25.8793
2021-05-03,25.9039
2021-05-04,26.0924
2021-05-05,25.8192
2021-05-06,26.0733
2021-05-07,25.964
2021-05-08,25.964
2021-05-09,25.964
2021-05-10,25.8083
2021-05-11,25.7318
2021-05-12,25.2729
2021-05-13,25.7755
2021-05-14,25.6827
2021-05-15,25.6827
2021-05-16,25.6827
2021-05-17,25.4122
2021-05-18,25.1882
2021-05-19,25.2565
2021-05-20,25.639
2021-05-21,25.7291
2021-05-22,25.7291
2021-05-23,25.7291
2021-05-24,25.8739
2021-05-25,25.8247
2021-05-26,26.2017
2021-05-27,25.9094
2021-05-28,25.9285
2021-05-29,25.9285
2021-05-30,25.9285
2021-05-31,25.9285
2021-06-01,25.8602
2021-06-02,25.7865
2021-06-03,25.9504
2021-06-04,25.8029
2021-06-05,25.8029
2021-06-06,25.8029
2021-06-07,26.0487
2021-06-08,26.035
2021-06-09,26.2454
2021-06-10,26.412
2021-06-11,26.7699
2021-06-12,26.7699
2021-06-13,26.7699
2021-06-14,26.7098
2021-06-15,26.9447
2021-06-16,26.7644
2021-06-17,26.8764
2021-06-18,26.158
2021-06-19,26.158
2021-06-20,26.158
2021-06-21,26.5568
2021-06-22,26.5213
2021-06-23,25.975
2021-06-24,26.1225
2021-06-25,26.4229
2021-06-26,26.4229
2021-06-27,26.4229
2021-06-28,26.3765
2021-06-29,26.0159
2021-06-30,25.8141
2021-07-01,26.0077
2021-07-02,26.161
2021-07-03,26.161
2021-07-04,26.161
2021-07-05,26.161
2021-07-06,26.3062
2021-07-07,26.6719
2021-07-08,26.5133
2021-07-09,26.6074
2021-07-10,26.6074
2021-07-11,26.6074
2021-07-12,26.6773
2021-07-13,26.5751
2021-07-14,26.6047
2021-07-15,26.9005
2021-07-16,27.4976
2021-07-17,27.4976
2021-07-18,27.4976
2021-07-19,27.3443
2021-07-20,27.6105
2021-07-21,27.3577
2021-07-22,27.3093
2021-07-23,27.6912
2021-07-24,27.6912
2021-07-25,27.6912
2021-07-26,27.6535
2021-07-27,27.8741
2021-07-28,27.9682
2021-07-29,28.151
2021-07-30,28.1699
2021-07-31,28.1699
2021-08-01,28.1699
2021-08-02,28.2788
2021-08-03,28.3999
2021-08-04,28.7012
2021-08-05,29.0322
2021-08-06,28.825
2021-08-07,28.825
2021-08-08,28.825
2021-08-09,28.5775
2021-08-10,28.4133
2021-08-11,28.1685
2021-08-12,28.2923
2021-08-13,28.4967
2021-08-14,28.4967
2021-08-15,28.4967
2021-08-16,28.7712
2021-08-17,28.6905
2021-08-18,28.4349
2021-08-19,28.6582
2021-08-20,29.0107
2021-08-21,29.0107
2021-08-22,29.0107
2021-08-23,28.7927
2021-08-24,28.451
2021-08-25,28.3891
2021-08-26,28.5828
2021-08-27,28.7524
2021-08-28,28.7524
2021-08-29,28.7524
2021-08-30,29.199
2021-08-31,29.2286
2021-09-01,29.6699
2021-09-02,29.7613
2021-09-03,29.53
2021-09-04,29.53
2021-09-05,29.53
2021-09-06,29.53
2021-09-07,29.3039
2021-09-08,29.8959
2021-09-09,29.4519
2021-09-10,28.7712
2021-09-11,28.7712
2021-09-12,28.7712
2021-09-13,28.2223
2021-09-14,28.2788
2021-09-15,28.1416
2021-09-16,27.8483
2021-09-17,27.738
2021-09-18,27.738
2021-09-19,27.738
2021-09-20,28.1281
2021-09-21,27.9559
2021-09-22,27.9667
2021-09-23,27.8806
2021-09-24,28.034
2021-09-25,28.034
2021-09-26,28.034
2021-09-27,27.7487
2021-09-28,27.6088
2021-09-29,27.7999
2021-09-30,26.8492
2021-10-01,26.865
2021-10-02,26.865
2021-10-03,26.865
2021-10-04,27.3732
2021-10-05,27.4759
2021-10-06,27.7314
2021-10-07,27.7498
2021-10-08,27.5813
2021-10-09,27.5813
2021-10-10,27.5813
2021-10-11,27.6445
2021-10-12,27.8025
2021-10-13,27.842
2021-10-14,28.1791
2021-10-15,27.9816
2021-10-16,27.9816
2021-10-17,27.9816
2021-10-18,27.7656
2021-10-19,27.8315
2021-10-20,28.0606
2021-10-21,27.8894
2021-10-22,27.8789
2021-10-23,27.8789
2021-10-24,27.8789
2021-10-25,28.1791
2021-10-26,28.2976
2021-10-27,28.0053
2021-10-28,28.3292
2021-10-29,28.2502
2021-10-30,28.2502
2021-10-31,28.2502
2021-11-01,27.9107
2021-11-02,28.2268
2021-11-03,28.1794
2021-11-04,28.6218
2021-11-05,29.1565
2021-11-06,29.1565
2021-11-07,29.1565
2021-11-08,28.9063
2021-11-09,28.8325
2021-11-10,28.9906
2021-11-11,28.8457
2021-11-12,28.7167
2021-11-13,28.7167
2021-11-14,28.7167
2021-11-15,28.8668
2021-11-16,28.6218
2021-11-17,29.1012
2021-11-18,29.1855
2021-11-19,29.6201
2021-11-20,29.6201
2021-11-21,29.6201
2021-11-22,29.6148
2021-11-23,29.5964
2021-11-24,29.2645
2021-11-25,29.2645
2021-11-26,28.6772
2021-11-27,28.6772
2021-11-28,28.6772
