,SMG US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,18.7734
2020-01-02,18.7036
2020-01-03,18.8587
2020-01-04,18.8587
2020-01-05,18.8587
2020-01-06,18.6286
2020-01-07,18.7023
2020-01-08,18.6286
2020-01-09,18.7476
2020-01-10,18.9958
2020-01-11,18.9958
2020-01-12,18.9958
2020-01-13,19.2634
2020-01-14,19.3707
2020-01-15,19.3202
2020-01-16,19.3616
2020-01-17,19.4805
2020-01-18,19.4805
2020-01-19,19.4805
2020-01-20,19.4805
2020-01-21,19.147
2020-01-22,19.0888
2020-01-23,19.0513
2020-01-24,19.0914
2020-01-25,19.0914
2020-01-26,19.0914
2020-01-27,19.0733
2020-01-28,19.1767
2020-01-29,19.9925
2020-01-30,20.666
2020-01-31,20.9142
2020-02-01,20.9142
2020-02-02,20.9142
2020-02-03,21.059
2020-02-04,20.9232
2020-02-05,20.9857
2020-02-06,20.8917
2020-02-07,20.8776
2020-02-08,20.8776
2020-02-09,20.8776
2020-02-10,20.6793
2020-02-11,20.5184
2020-02-12,20.3767
2020-02-13,20.4978
2020-02-14,20.6935
2020-02-15,20.6935
2020-02-16,20.6935
2020-02-17,20.6935
2020-02-18,20.5158
2020-02-19,20.7025
2020-02-20,20.8699
2020-02-21,20.6574
2020-02-22,20.6574
2020-02-23,20.6574
2020-02-24,20.2402
2020-02-25,19.6866
2020-02-26,19.8836
2020-02-27,19.3106
2020-02-28,18.6939
2020-02-29,18.6939
2020-03-01,18.6939
2020-03-02,19.8347
2020-03-03,20.1334
2020-03-04,21.1737
2020-03-05,20.3175
2020-03-06,20.2119
2020-03-07,20.2119
2020-03-08,20.2119
2020-03-09,19.3776
2020-03-10,19.5282
2020-03-11,18.4686
2020-03-12,17.0098
2020-03-13,17.7488
2020-03-14,17.7488
2020-03-15,17.7488
2020-03-16,16.7162
2020-03-17,18.2806
2020-03-18,15.8652
2020-03-19,16.5862
2020-03-20,15.8021
2020-03-21,15.8021
2020-03-22,15.8021
2020-03-23,15.0399
2020-03-24,16.5012
2020-03-25,17.8145
2020-03-26,18.3965
2020-03-27,16.4251
2020-03-28,16.4251
2020-03-29,16.4251
2020-03-30,16.7776
2020-03-31,16.4105
2020-04-01,16.2253
2020-04-02,16.525
2020-04-03,16.149
2020-04-04,16.149
2020-04-05,16.149
2020-04-06,16.3746
2020-04-07,16.2916
2020-04-08,16.6519
2020-04-09,17.4107
2020-04-10,17.4107
2020-04-11,17.4107
2020-04-12,17.4107
2020-04-13,17.3579
2020-04-14,17.6295
2020-04-15,17.4017
2020-04-16,17.9057
2020-04-17,18.1414
2020-04-18,18.1414
2020-04-19,18.1414
2020-04-20,18.2503
2020-04-21,18.1347
2020-04-22,18.4052
2020-04-23,18.6151
2020-04-24,18.926
2020-04-25,18.926
2020-04-26,18.926
2020-04-27,19.348
2020-04-28,18.9608
2020-04-29,19.1931
2020-04-30,18.8384
2020-05-01,18.9574
2020-05-02,18.9574
2020-05-03,18.9574
2020-05-04,19.1292
2020-05-05,19.5568
2020-05-06,19.652
2020-05-07,20.1562
2020-05-08,20.5843
2020-05-09,20.5843
2020-05-10,20.5843
2020-05-11,20.3669
2020-05-12,20.4106
2020-05-13,20.0655
2020-05-14,20.7423
2020-05-15,20.5551
2020-05-16,20.5551
2020-05-17,20.5551
2020-05-18,21.1547
2020-05-19,20.9339
2020-05-20,21.1737
2020-05-21,21.678
2020-05-22,21.8035
2020-05-23,21.8035
2020-05-24,21.8035
2020-05-25,21.8035
2020-05-26,20.0038
2020-05-27,20.5058
2020-05-28,20.8499
2020-05-29,20.8924
2020-05-30,20.8924
2020-05-31,20.8924
2020-06-01,20.9507
2020-06-02,20.87
2020-06-03,20.498
2020-06-04,20.4913
2020-06-05,19.9971
2020-06-06,19.9971
2020-06-07,19.9971
2020-06-08,20.5283
2020-06-09,20.721
2020-06-10,20.916
2020-06-11,19.8447
2020-06-12,19.8268
2020-06-13,19.8268
2020-06-14,19.8268
2020-06-15,19.6183
2020-06-16,19.866
2020-06-17,19.968
2020-06-18,19.4671
2020-06-19,19.42
2020-06-20,19.42
2020-06-21,19.42
2020-06-22,19.5007
2020-06-23,19.7002
2020-06-24,19.4368
2020-06-25,19.5276
2020-06-26,17.0591
2020-06-27,17.0591
2020-06-28,17.0591
2020-06-29,17.3315
2020-06-30,17.7944
2020-07-01,17.6901
2020-07-02,17.8157
2020-07-03,17.8157
2020-07-04,17.8157
2020-07-05,17.8157
2020-07-06,17.7901
2020-07-07,18.2232
2020-07-08,18.1934
2020-07-09,18.1402
2020-07-10,18.2839
2020-07-11,18.2839
2020-07-12,18.2839
2020-07-13,18.2775
2020-07-14,18.6861
2020-07-15,18.734
2020-07-16,18.5669
2020-07-17,18.8319
2020-07-18,18.8319
2020-07-19,18.8319
2020-07-20,18.7904
2020-07-21,18.933
2020-07-22,19.1873
2020-07-23,18.9074
2020-07-24,19.0255
2020-07-25,19.0255
2020-07-26,19.0255
2020-07-27,19.2767
