,LNTH US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,17.5657
2020-01-02,16.6085
2020-01-03,16.5629
2020-01-04,16.5629
2020-01-05,16.5629
2020-01-06,16.768
2020-01-07,16.6541
2020-01-08,17.2163
2020-01-09,16.2514
2020-01-10,16.5477
2020-01-11,16.5477
2020-01-12,16.5477
2020-01-13,15.6968
2020-01-14,16.0539
2020-01-15,16.3198
2020-01-16,16.3122
2020-01-17,16.354
2020-01-18,16.354
2020-01-19,16.354
2020-01-20,16.354
2020-01-21,16.2058
2020-01-22,16.2362
2020-01-23,16.2818
2020-01-24,15.6816
2020-01-25,15.6816
2020-01-26,15.6816
2020-01-27,15.7386
2020-01-28,15.788
2020-01-29,15.7728
2020-01-30,15.6132
2020-01-31,15.2866
2020-02-01,15.2866
2020-02-02,15.2866
2020-02-03,14.9523
2020-02-04,15.2942
2020-02-05,15.5297
2020-02-06,15.4233
2020-02-07,14.9295
2020-02-08,14.9295
2020-02-09,14.9295
2020-02-10,15.0131
2020-02-11,14.8611
2020-02-12,14.8231
2020-02-13,14.77
2020-02-14,14.6256
2020-02-15,14.6256
2020-02-16,14.6256
2020-02-17,14.6256
2020-02-18,14.5572
2020-02-19,14.542
2020-02-20,14.5724
2020-02-21,14.5664
2020-02-22,14.5664
2020-02-23,14.5664
2020-02-24,14.2171
2020-02-25,14.6575
2020-02-26,14.3687
2020-02-27,13.8673
2020-02-28,13.7989
2020-02-29,13.7989
2020-03-01,13.7989
2020-03-02,13.8407
2020-03-03,13.7153
2020-03-04,13.9204
2020-03-05,13.4266
2020-03-06,13.4342
2020-03-07,13.4342
2020-03-08,13.4342
2020-03-09,12.6592
2020-03-10,12.53
2020-03-11,12.3324
2020-03-12,11.1851
2020-03-13,11.8655
2020-03-14,11.8655
2020-03-15,11.8655
2020-03-16,10.2288
2020-03-17,10.9783
2020-03-18,8.9515
2020-03-19,9.9792
2020-03-20,10.1176
2020-03-21,10.1176
2020-03-22,10.1176
2020-03-23,10.4866
2020-03-24,11.0017
2020-03-25,10.7941
2020-03-26,11.6783
2020-03-27,11.3015
2020-03-28,11.3015
2020-03-29,11.3015
2020-03-30,11.4322
2020-03-31,14.1423
2020-04-01,13.0612
2020-04-02,12.6512
2020-04-03,11.887
2020-04-04,11.887
2020-04-05,11.887
2020-04-06,12.5859
2020-04-07,12.9773
2020-04-08,14.3007
2020-04-09,14.5616
2020-04-10,14.5616
2020-04-11,14.5616
2020-04-12,14.5616
2020-04-13,14.7201
2020-04-14,15.3351
2020-04-15,14.4032
2020-04-16,14.5057
2020-04-17,15.1581
2020-04-18,15.1581
2020-04-19,15.1581
2020-04-20,14.6269
2020-04-21,14.6548
2020-04-22,14.9437
2020-04-23,15.009
2020-04-24,14.9624
2020-04-25,14.9624
2020-04-26,14.9624
2020-04-27,14.8785
2020-04-28,14.3287
2020-04-29,15.3258
2020-04-30,14.4247
2020-05-01,13.5105
2020-05-02,13.5105
2020-05-03,13.5105
2020-05-04,13.9676
2020-05-05,14.1075
2020-05-06,13.9583
2020-05-07,14.2195
2020-05-08,14.2848
2020-05-09,14.2848
2020-05-10,14.2848
2020-05-11,14.1822
2020-05-12,13.781
2020-05-13,13.2773
2020-05-14,13.0254
2020-05-15,13.4316
2020-05-16,13.4316
2020-05-17,13.4316
2020-05-18,14.0876
2020-05-19,13.3566
2020-05-20,13.7596
2020-05-21,14.097
2020-05-22,14.1532
2020-05-23,14.1532
2020-05-24,14.1532
2020-05-25,14.1532
2020-05-26,14.2188
2020-05-27,15.1935
2020-05-28,15.6528
2020-05-29,15.1186
2020-05-30,15.1186
2020-05-31,15.1186
2020-06-01,15.2591
2020-06-02,15.4466
2020-06-03,15.5684
2020-06-04,15.8636
2020-06-05,15.9433
2020-06-06,15.9433
