,LAZ US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,11.5698
2020-01-02,11.7539
2020-01-03,11.6779
2020-01-04,11.6779
2020-01-05,11.6779
2020-01-06,11.8298
2020-01-07,11.8965
2020-01-08,12.168
2020-01-09,12.3521
2020-01-10,12.3199
2020-01-11,12.3199
2020-01-12,12.3199
2020-01-13,12.5431
2020-01-14,12.5339
2020-01-15,12.4971
2020-01-16,12.6259
2020-01-17,12.5546
2020-01-18,12.5546
2020-01-19,12.5546
2020-01-20,12.5546
2020-01-21,12.3383
2020-01-22,12.3107
2020-01-23,12.1289
2020-01-24,12.0208
2020-01-25,12.0208
2020-01-26,12.0208
2020-01-27,11.8712
2020-01-28,11.9587
2020-01-29,12.1957
2020-01-30,12.2233
2020-01-31,12.03
2020-02-01,12.03
2020-02-02,12.03
2020-02-03,11.8804
2020-02-04,12.1174
2020-02-05,12.4465
2020-02-06,12.4695
2020-02-07,12.3889
2020-02-08,12.3889
2020-02-09,12.3889
2020-02-10,12.4327
2020-02-11,12.3038
2020-02-12,12.3912
2020-02-13,12.244
2020-02-14,12.1105
2020-02-15,12.1105
2020-02-16,12.1105
2020-02-17,12.1105
2020-02-18,12.1197
2020-02-19,12.1427
2020-02-20,12.03
2020-02-21,11.9057
2020-02-22,11.9057
2020-02-23,11.9057
2020-02-24,11.4018
2020-02-25,11.128
2020-02-26,11.0728
2020-02-27,10.7598
2020-02-28,10.6172
2020-02-29,10.6172
2020-03-01,10.6172
2020-03-02,11.1073
2020-03-03,10.8519
2020-03-04,10.9922
2020-03-05,10.3894
2020-03-06,10.1731
2020-03-07,10.1731
2020-03-08,10.1731
2020-03-09,9.2642
2020-03-10,9.821
2020-03-11,9.1905
2020-03-12,8.0239
2020-03-13,8.4377
2020-03-14,8.4377
2020-03-15,8.4377
2020-03-16,7.8244
2020-03-17,7.8949
2020-03-18,7.5765
2020-03-19,7.6961
2020-03-20,7.1832
2020-03-21,7.1832
2020-03-22,7.1832
2020-03-23,6.8755
2020-03-24,7.4611
2020-03-25,7.429
2020-03-26,7.7474
2020-03-27,7.5786
2020-03-28,7.5786
2020-03-29,7.5786
2020-03-30,7.4461
2020-03-31,9.3425
2020-04-01,9.0793
2020-04-02,9.1856
2020-04-03,9.0962
2020-04-04,9.0962
2020-04-05,9.0962
2020-04-06,9.316
2020-04-07,9.7217
2020-04-08,10.0864
2020-04-09,10.1395
2020-04-10,10.1395
2020-04-11,10.1395
2020-04-12,10.1395
2020-04-13,9.8956
2020-04-14,10.026
2020-04-15,9.7676
2020-04-16,9.9536
2020-04-17,10.3738
2020-04-18,10.3738
2020-04-19,10.3738
2020-04-20,10.3521
2020-04-21,10.1903
2020-04-22,10.0333
2020-04-23,10.0164
2020-04-24,9.4778
2020-04-25,9.4778
2020-04-26,9.4778
2020-04-27,9.6203
2020-04-28,9.9367
2020-04-29,10.3666
2020-04-30,10.2941
2020-05-01,9.7652
2020-05-02,9.7652
2020-05-03,9.7652
2020-05-04,9.7048
2020-05-05,9.6359
2020-05-06,9.5804
2020-05-07,9.8962
2020-05-08,10.0891
2020-05-09,10.0891
2020-05-10,10.0891
2020-05-11,10.0915
2020-05-12,9.7926
2020-05-13,9.5973
2020-05-14,9.631
2020-05-15,9.8167
2020-05-16,9.8167
2020-05-17,9.8167
2020-05-18,9.9926
2020-05-19,9.6961
2020-05-20,9.8118
2020-05-21,9.8191
2020-05-22,9.8263
2020-05-23,9.8263
2020-05-24,9.8263
2020-05-25,9.8263
2020-05-26,10.1108
2020-05-27,10.5158
2020-05-28,10.3133
2020-05-29,10.1276
2020-05-30,10.1276
2020-05-31,10.1276
2020-06-01,10.3229
2020-06-02,10.4796
2020-06-03,11.0702
2020-06-04,11.1811
2020-06-05,11.5331
2020-06-06,11.5331
2020-06-07,11.5331
2020-06-08,11.6078
2020-06-09,11.4608
2020-06-10,10.8147
2020-06-11,10.347
2020-06-12,10.5278
2020-06-13,10.5278
2020-06-14,10.5278
2020-06-15,10.6074
2020-06-16,10.8219
2020-06-17,10.8846
2020-06-18,10.9593
2020-06-19,10.9087
2020-06-20,10.9087
2020-06-21,10.9087
2020-06-22,10.7978
2020-06-23,10.711
2020-06-24,10.4651
2020-06-25,10.4676
2020-06-26,10.2168
2020-06-27,10.2168
2020-06-28,10.2168
2020-06-29,10.3687
2020-06-30,10.4732
2020-07-01,10.3632
2020-07-02,10.5221
2020-07-03,10.5221
2020-07-04,10.5221
2020-07-05,10.5221
2020-07-06,10.6028
2020-07-07,10.3583
2020-07-08,10.4219
2020-07-09,10.1652
2020-07-10,10.3852
2020-07-11,10.3852
2020-07-12,10.3852
2020-07-13,10.395
2020-07-14,10.4561
2020-07-15,10.6395
2020-07-16,10.615
2020-07-17,10.4463
2020-07-18,10.4463
2020-07-19,10.4463
2020-07-20,10.3437
2020-07-21,10.6003
2020-07-22,10.3632
2020-07-23,10.4781
2020-07-24,10.307
2020-07-25,10.307
2020-07-26,10.307
2020-07-27,10.3828
2020-07-28,10.3583
2020-07-29,10.4781
2020-07-30,10.2459
2020-07-31,10.6419
2020-08-01,10.6419
2020-08-02,10.6419
2020-08-03,10.9304
2020-08-04,10.962
2020-08-05,11.1388
2020-08-06,11.129
2020-08-07,11.1707
2020-08-08,11.1707
2020-08-09,11.1707
2020-08-10,11.3573
2020-08-11,11.4039
2020-08-12,11.4015
2020-08-13,11.399
2020-08-14,11.3745
2020-08-15,11.3745
2020-08-16,11.3745
2020-08-17,11.3401
2020-08-18,11.2075
2020-08-19,11.1658
2020-08-20,11.0749
2020-08-21,11.0602
2020-08-22,11.0602
2020-08-23,11.0602
2020-08-24,11.2345
2020-08-25,11.2296
2020-08-26,11.183
2020-08-27,11.2002
2020-08-28,11.2885
2020-08-29,11.2885
2020-08-30,11.2885
2020-08-31,11.2493
2020-09-01,11.3597
2020-09-02,11.48
2020-09-03,11.3155
2020-09-04,11.2542
2020-09-05,11.2542
2020-09-06,11.2542
2020-09-07,11.2542
2020-09-08,11.1118
2020-09-09,11.2861
2020-09-10,11.0946
2020-09-11,11.5046
2020-09-12,11.5046
2020-09-13,11.5046
2020-09-14,11.7623
2020-09-15,11.701
2020-09-16,11.8164
2020-09-17,11.9219
2020-09-18,11.9686
2020-09-19,11.9686
2020-09-20,11.9686
2020-09-21,11.48
2020-09-22,11.507
2020-09-23,11.2934
2020-09-24,11.2566
2020-09-25,11.1265
2020-09-26,11.1265
2020-09-27,11.1265
2020-09-28,11.3327
2020-09-29,11.4579
2020-09-30,9.8651
2020-10-01,9.876
2020-10-02,10.1472
2020-10-03,10.1472
2020-10-04,10.1472
2020-10-05,10.2062
2020-10-06,10.1822
2020-10-07,10.2806
2020-10-08,10.5933
2020-10-09,10.6217
2020-10-10,10.6217
2020-10-11,10.6217
2020-10-12,10.7748
2020-10-13,10.6501
2020-10-14,10.6851
2020-10-15,10.7748
2020-10-16,10.7179
2020-10-17,10.7179
2020-10-18,10.7179
2020-10-19,10.6436
2020-10-20,10.6632
2020-10-21,10.532
2020-10-22,10.5211
2020-10-23,10.4839
2020-10-24,10.4839
2020-10-25,10.4839
2020-10-26,10.2325
2020-10-27,10.2434
2020-10-28,9.9679
2020-10-29,10.0991
2020-10-30,10.0007
2020-10-31,10.0007
2020-11-01,10.0007
2020-11-02,10.3389
2020-11-03,10.4855
2020-11-04,10.4855
2020-11-05,10.8137
2020-11-06,10.3827
2020-11-07,10.3827
2020-11-08,10.3827
2020-11-09,10.6649
2020-11-10,10.6518
2020-11-11,10.7852
2020-11-12,10.573
2020-11-13,10.7306
2020-11-14,10.7306
2020-11-15,10.7306
2020-11-16,10.8684
2020-11-17,10.7984
2020-11-18,10.689
2020-11-19,10.6124
2020-11-20,10.7087
2020-11-21,10.7087
2020-11-22,10.7087
2020-11-23,10.7962
2020-11-24,11.039
2020-11-25,11.0828
2020-11-26,11.0828
2020-11-27,10.9384
2020-11-28,10.9384
2020-11-29,10.9384
2020-11-30,10.8027
2020-12-01,11.0631
2020-12-02,11.1725
2020-12-03,11.4875
2020-12-04,11.5619
2020-12-05,11.5619
2020-12-06,11.5619
2020-12-07,11.4985
2020-12-08,11.6582
2020-12-09,11.5991
2020-12-10,11.5138
2020-12-11,11.5532
2020-12-12,11.5532
2020-12-13,11.5532
2020-12-14,11.5707
2020-12-15,11.6232
2020-12-16,11.6647
2020-12-17,11.6275
2020-12-18,11.5247
2020-12-19,11.5247
2020-12-20,11.5247
2020-12-21,11.4328
2020-12-22,11.3781
2020-12-23,11.54
2020-12-24,11.7391
2020-12-25,11.7391
2020-12-26,11.7391
2020-12-27,11.7391
2020-12-28,11.8616
2020-12-29,11.7916
2020-12-30,11.8354
2020-12-31,9.4169
2021-01-01,9.4169
2021-01-02,9.4169
2021-01-03,9.4169
2021-01-04,9.3004
2021-01-05,9.355
2021-01-06,9.7411
2021-01-07,9.9379
2021-01-08,9.9597
2021-01-09,9.9597
2021-01-10,9.9597
2021-01-11,9.9506
2021-01-12,9.9178
2021-01-13,9.9852
2021-01-14,10.2384
2021-01-15,10.0198
2021-01-16,10.0198
2021-01-17,10.0198
2021-01-18,10.0198
2021-01-19,9.9761
2021-01-20,9.7976
2021-01-21,9.5954
2021-01-22,9.6246
2021-01-23,9.6246
2021-01-24,9.6246
2021-01-25,9.4934
2021-01-26,9.426
2021-01-27,8.998
2021-01-28,9.2676
2021-01-29,9.2166
2021-01-30,9.2166
2021-01-31,9.2166
2021-02-01,9.3113
2021-02-02,9.2475
2021-02-03,9.3823
2021-02-04,9.4588
2021-02-05,9.4188
2021-02-06,9.4188
2021-02-07,9.4188
2021-02-08,9.2876
2021-02-09,9.1401
2021-02-10,9.1237
2021-02-11,9.2913
2021-02-12,9.3477
2021-02-13,9.3477
2021-02-14,9.3477
2021-02-15,9.3477
2021-02-16,9.6009
2021-02-17,9.5863
2021-02-18,9.2949
2021-02-19,9.2093
2021-02-20,9.2093
2021-02-21,9.2093
2021-02-22,9.1874
2021-02-23,9.12
2021-02-24,9.018
2021-02-25,8.9689
2021-02-26,8.7102
2021-02-27,8.7102
2021-02-28,8.7102
2021-03-01,9.0412
2021-03-02,9.0756
2021-03-03,9.0883
2021-03-04,8.873
2021-03-05,8.9544
2021-03-06,8.9544
2021-03-07,8.9544
2021-03-08,8.8965
2021-03-09,9.1733
2021-03-10,9.3451
2021-03-11,9.5079
2021-03-12,9.6435
2021-03-13,9.6435
2021-03-14,9.6435
2021-03-15,9.7484
2021-03-16,9.7303
2021-03-17,10.0854
2021-03-18,9.9253
2021-03-19,9.7466
2021-03-20,9.7466
2021-03-21,9.7466
2021-03-22,9.728
2021-03-23,9.4748
2021-03-24,9.6256
2021-03-25,9.7578
2021-03-26,9.8527
2021-03-27,9.8527
2021-03-28,9.8527
2021-03-29,9.7745
2021-03-30,9.8843
2021-03-31,10.5973
