,LILA US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,28.8896
2020-01-02,29.0185
2020-01-03,28.9798
2020-01-04,28.9798
2020-01-05,28.9798
2020-01-06,29.034
2020-01-07,28.9397
2020-01-08,28.7342
2020-01-09,28.782
2020-01-10,28.638
2020-01-11,28.638
2020-01-12,28.638
2020-01-13,28.639
2020-01-14,28.5437
2020-01-15,28.7461
2020-01-16,28.7862
2020-01-17,28.6203
2020-01-18,28.6203
2020-01-19,28.6203
2020-01-20,28.6203
2020-01-21,28.4827
2020-01-22,28.3798
2020-01-23,28.2982
2020-01-24,28.1606
2020-01-25,28.1606
2020-01-26,28.1606
2020-01-27,28.0398
2020-01-28,27.8917
2020-01-29,27.8699
2020-01-30,27.9464
2020-01-31,27.5801
2020-02-01,27.5801
2020-02-02,27.5801
2020-02-03,27.6804
2020-02-04,27.612
2020-02-05,27.7204
2020-02-06,27.8521
2020-02-07,27.771
2020-02-08,27.771
2020-02-09,27.771
2020-02-10,27.7515
2020-02-11,27.7838
2020-02-12,27.8786
2020-02-13,27.7737
2020-02-14,27.7329
2020-02-15,27.7329
2020-02-16,27.7329
2020-02-17,27.7329
2020-02-18,27.819
2020-02-19,27.9179
2020-02-20,28.7118
2020-02-21,28.5509
2020-02-22,28.5509
2020-02-23,28.5509
2020-02-24,28.2603
2020-02-25,27.9509
2020-02-26,27.7251
2020-02-27,27.283
2020-02-28,26.7684
2020-02-29,26.7684
2020-03-01,26.7684
2020-03-02,26.8852
2020-03-03,26.6714
2020-03-04,26.6425
2020-03-05,26.4239
2020-03-06,26.6033
2020-03-07,26.6033
2020-03-08,26.6033
2020-03-09,25.7513
2020-03-10,25.6783
2020-03-11,25.1774
2020-03-12,24.1532
2020-03-13,24.4291
2020-03-14,24.4291
2020-03-15,24.4291
2020-03-16,23.5357
2020-03-17,24.5825
2020-03-18,23.7251
2020-03-19,23.9914
2020-03-20,23.8413
2020-03-21,23.8413
2020-03-22,23.8413
2020-03-23,24.1997
2020-03-24,24.7157
2020-03-25,24.6729
2020-03-26,25.1738
2020-03-27,24.6349
2020-03-28,24.6349
2020-03-29,24.6349
2020-03-30,24.4225
2020-03-31,24.8462
2020-04-01,24.4633
2020-04-02,24.6381
2020-04-03,24.3506
2020-04-04,24.3506
2020-04-05,24.3506
2020-04-06,24.738
2020-04-07,24.8795
2020-04-08,25.0507
2020-04-09,25.3985
2020-04-10,25.3985
2020-04-11,25.3985
2020-04-12,25.3985
2020-04-13,25.2524
2020-04-14,25.3162
2020-04-15,24.8944
2020-04-16,24.8079
2020-04-17,25.1737
2020-04-18,25.1737
2020-04-19,25.1737
2020-04-20,24.9559
2020-04-21,24.733
2020-04-22,24.6169
2020-04-23,24.8136
2020-04-24,24.8447
2020-04-25,24.8447
2020-04-26,24.8447
2020-04-27,24.927
2020-04-28,24.9169
2020-04-29,25.2821
2020-04-30,24.911
2020-05-01,24.8217
2020-05-02,24.8217
2020-05-03,24.8217
2020-05-04,24.7714
2020-05-05,24.6026
2020-05-06,24.3904
2020-05-07,24.3959
2020-05-08,24.5685
2020-05-09,24.5685
2020-05-10,24.5685
2020-05-11,24.4142
2020-05-12,24.2513
2020-05-13,23.9625
2020-05-14,24.1921
2020-05-15,24.1696
2020-05-16,24.1696
2020-05-17,24.1696
2020-05-18,24.4731
2020-05-19,24.1723
2020-05-20,24.3975
2020-05-21,24.2191
2020-05-22,24.3453
2020-05-23,24.3453
2020-05-24,24.3453
2020-05-25,24.3453
2020-05-26,24.6328
2020-05-27,24.7039
2020-05-28,24.608
2020-05-29,24.5565
2020-05-30,24.5565
2020-05-31,24.5565
2020-06-01,24.6892
2020-06-02,24.6162
2020-06-03,24.7057
2020-06-04,24.7586
2020-06-05,25.2448
