,MAR US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,34.0195
2020-01-02,34.0304
2020-01-03,33.6272
2020-01-04,33.6272
2020-01-05,33.6272
2020-01-06,33.2766
2020-01-07,32.8407
2020-01-08,33.1658
2020-01-09,33.115
2020-01-10,32.9224
2020-01-11,32.9224
2020-01-12,32.9224
2020-01-13,33.1785
2020-01-14,33.2421
2020-01-15,33.2694
2020-01-16,33.5818
2020-01-17,33.807
2020-01-18,33.807
2020-01-19,33.807
2020-01-20,33.807
2020-01-21,32.7372
2020-01-22,32.6918
2020-01-23,32.8443
2020-01-24,32.1287
2020-01-25,32.1287
2020-01-26,32.1287
2020-01-27,31.5802
2020-01-28,32.1705
2020-01-29,32.4175
2020-01-30,32.5447
2020-01-31,31.9543
2020-02-01,31.9543
2020-02-02,31.9543
2020-02-03,32.2123
2020-02-04,33.2875
2020-02-05,33.3438
2020-02-06,33.0732
2020-02-07,32.6827
2020-02-08,32.6827
2020-02-09,32.6827
2020-02-10,32.9842
2020-02-11,33.2494
2020-02-12,33.9014
2020-02-13,33.164
2020-02-14,32.8334
2020-02-15,32.8334
2020-02-16,32.8334
2020-02-17,32.8334
2020-02-18,32.8407
2020-02-19,33.3293
2020-02-20,33.1858
2020-02-21,32.5319
2020-02-22,32.5319
2020-02-23,32.5319
2020-02-24,31.0044
2020-02-25,29.0519
2020-02-26,28.3453
2020-02-27,28.0645
2020-02-28,28.8498
2020-02-29,28.8498
2020-03-01,28.8498
2020-03-02,28.6625
2020-03-03,27.099
2020-03-04,27.8285
2020-03-05,26.3677
2020-03-06,26.447
2020-03-07,26.447
2020-03-08,26.447
2020-03-09,25.2816
2020-03-10,26.3245
2020-03-11,24.5467
2020-03-12,23.394
2020-03-13,23.7362
2020-03-14,23.7362
2020-03-15,23.7362
2020-03-16,22.0809
2020-03-17,20.0672
2020-03-18,18.0084
2020-03-19,18.547
2020-03-20,19.9483
2020-03-21,19.9483
2020-03-22,19.9483
2020-03-23,19.1468
2020-03-24,20.7696
2020-03-25,21.8702
2020-03-26,21.4307
2020-03-27,20.7174
2020-03-28,20.7174
2020-03-29,20.7174
2020-03-30,20.2329
2020-03-31,25.4348
2020-04-01,24.1278
