,ATO US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,23.4587
2020-01-02,23.2234
2020-01-03,23.3395
2020-01-04,23.3395
2020-01-05,23.3395
2020-01-06,23.3156
2020-01-07,23.4333
2020-01-08,23.2807
2020-01-09,23.3379
2020-01-10,23.384
2020-01-11,23.384
2020-01-12,23.384
2020-01-13,23.5668
2020-01-14,23.6097
2020-01-15,23.7591
2020-01-16,23.9117
2020-01-17,23.9547
2020-01-18,23.9547
2020-01-19,23.9547
2020-01-20,23.9547
2020-01-21,24.1041
2020-01-22,24.1311
2020-01-23,24.2567
2020-01-24,24.3362
2020-01-25,24.3362
2020-01-26,24.3362
2020-01-27,24.1788
2020-01-28,24.1661
2020-01-29,24.1661
2020-01-30,24.3362
2020-01-31,24.2805
2020-02-01,24.2805
2020-02-02,24.2805
2020-02-03,24.5412
2020-02-04,24.3118
2020-02-05,24.4803
2020-02-06,24.3818
2020-02-07,24.3706
2020-02-08,24.3706
2020-02-09,24.3706
2020-02-10,24.4851
2020-02-11,24.652
2020-02-12,24.4265
2020-02-13,24.6745
2020-02-14,24.8255
2020-02-15,24.8255
2020-02-16,24.8255
2020-02-17,24.8255
2020-02-18,24.8446
2020-02-19,24.6903
2020-02-20,24.6315
2020-02-21,24.5473
2020-02-22,24.5473
2020-02-23,24.5473
2020-02-24,24.153
2020-02-25,23.7588
2020-02-26,23.4964
2020-02-27,22.7191
2020-02-28,22.0911
2020-02-29,22.0911
2020-03-01,22.0911
2020-03-02,22.8288
2020-03-03,22.6141
2020-03-04,23.6252
2020-03-05,23.3438
2020-03-06,23.3629
2020-03-07,23.3629
2020-03-08,23.3629
2020-03-09,22.39
2020-03-10,22.4377
2020-03-11,22.0275
2020-03-12,20.7287
2020-03-13,21.681
2020-03-14,21.681
2020-03-15,21.681
2020-03-16,20.5697
2020-03-17,22.8605
2020-03-18,22.5029
2020-03-19,21.3376
2020-03-20,19.3806
2020-03-21,19.3806
2020-03-22,19.3806
2020-03-23,18.4786
2020-03-24,19.7651
2020-03-25,20.037
2020-03-26,20.9864
2020-03-27,21.1677
2020-03-28,21.1677
2020-03-29,21.1677
2020-03-30,22.0281
2020-03-31,20.6464
2020-04-01,19.9472
2020-04-02,20.363
2020-04-03,19.874
2020-04-04,19.874
2020-04-05,19.874
2020-04-06,21.3167
2020-04-07,20.523
2020-04-08,21.1674
2020-04-09,21.5558
2020-04-10,21.5558
2020-04-11,21.5558
2020-04-12,21.5558
2020-04-13,21.2618
2020-04-14,21.9991
2020-04-15,21.731
2020-04-16,21.5391
2020-04-17,22.3937
2020-04-18,22.3937
2020-04-19,22.3937
2020-04-20,21.1491
2020-04-21,20.884
2020-04-22,21.1171
2020-04-23,20.9663
2020-04-24,21.4355
2020-04-25,21.4355
2020-04-26,21.4355
2020-04-27,21.6091
2020-04-28,21.8529
2020-04-29,21.504
2020-04-30,21.0638
2020-05-01,20.7789
2020-05-02,20.7789
2020-05-03,20.7789
2020-05-04,20.8779
2020-05-05,21.0333
2020-05-06,20.2386
2020-05-07,20.2127
2020-05-08,20.3575
2020-05-09,20.3575
2020-05-10,20.3575
2020-05-11,20.2737
2020-05-12,20.2112
2020-05-13,20.2219
2020-05-14,19.9858
2020-05-15,20.0193
2020-05-16,20.0193
2020-05-17,20.0193
2020-05-18,20.5388
2020-05-19,20.2006
2020-05-20,20.6743
2020-05-21,20.426
2020-05-22,20.5098
2020-05-23,20.5098
2020-05-24,20.5098
2020-05-25,20.5098
2020-05-26,20.3986
2020-05-27,20.6393
2020-05-28,21.0202
